日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"960,089","9,398,364",9.81,9.96,9.74,9.75,-0.08,691
2025/01/03,"766,194","7,467,505",9.8,9.98,9.62,9.63,-0.12,809
2025/01/06,"909,868","8,754,977",9.63,9.79,9.58,9.6,-0.03,946
2025/01/07,"1,836,129","17,186,914",9.64,9.65,9.17,9.21,-0.39,"1,505"
2025/01/08,"1,524,553","14,115,668",9.25,9.34,9.23,9.24,+0.03,748
2025/01/09,"1,911,246","17,579,986",9.3,9.45,9.01,9.04,-0.20,"1,020"
2025/01/10,"1,645,124","14,801,942",9.07,9.19,8.88,8.98,-0.06,"1,096"
2025/01/13,"1,642,582","14,689,346",8.98,9.07,8.87,9.03,+0.05,975
2025/01/14,"1,389,254","12,580,926",9.05,9.19,8.96,9.12,+0.09,679
2025/01/15,"1,206,820","11,102,496",9.12,9.27,9.08,9.22,+0.10,585
2025/01/16,"596,267","5,582,313",9.31,9.42,9.27,9.39,+0.17,420
2025/01/17,"618,669","5,883,686",9.41,9.58,9.4,9.53,+0.14,396
2025/01/20,"1,154,983","10,814,859",9.65,9.65,9.19,9.22,-0.31,836
2025/01/21,"2,952,883","26,888,426",9.27,9.45,8.96,8.96,-0.26,"1,397"
2025/01/22,"2,881,156","26,985,693",9.04,9.55,9.02,9.5,+0.54,"1,133"
2025/02/03,"1,043,939","9,673,698",9.38,9.42,9.12,9.31,-0.19,686
2025/02/04,"543,240","5,022,181",9.31,9.34,9.2,9.21,-0.10,407
2025/02/05,"366,374","3,392,939",9.23,9.35,9.21,9.25,+0.04,243
2025/02/06,"534,712","5,015,956",9.3,9.48,9.3,9.41,+0.16,332
2025/02/07,"760,949","7,266,475",9.54,9.65,9.44,9.59,+0.18,390
2025/02/10,"447,733","4,247,031",9.6,9.6,9.43,9.51,-0.08,364
2025/02/11,"474,073","4,474,812",9.51,9.55,9.35,9.4,-0.11,343
2025/02/12,"318,309","2,984,783",9.4,9.45,9.34,9.34,-0.06,285
2025/02/13,"529,299","5,034,282",9.36,9.58,9.34,9.58,+0.24,314
2025/02/14,"293,231","2,800,887",9.65,9.65,9.52,9.58,0.00,227
2025/02/17,"783,485","7,561,344",9.6,9.78,9.52,9.78,+0.20,341
2025/02/18,"1,056,908","10,246,882",9.75,9.81,9.59,9.81,+0.03,531
2025/02/19,"1,099,397","10,874,934",9.86,10.15,9.78,9.99,+0.18,425
2025/02/20,"496,813","4,966,327",10.0,10.05,9.93,10.05,+0.06,256
2025/02/21,"743,490","7,414,150",9.95,10.1,9.92,9.93,-0.12,366
2025/02/24,"533,004","5,239,858",9.78,9.88,9.77,9.84,-0.09,310
2025/02/25,"299,413","2,945,420",9.88,9.93,9.77,9.84,0.00,234
2025/02/26,"368,164","3,601,864",9.82,9.83,9.74,9.8,-0.04,354
2025/02/27,"221,100","2,172,745",9.76,9.91,9.75,9.81,+0.01,173
2025/03/03,"401,563","3,895,078",9.81,9.81,9.66,9.66,-0.15,384
2025/03/04,"402,328","3,844,310",9.63,9.65,9.47,9.59,-0.07,396
2025/03/05,"244,041","2,355,566",9.6,9.73,9.56,9.72,+0.13,173
2025/03/06,"137,026","1,327,538",9.75,9.75,9.65,9.65,-0.07,180
2025/03/07,"147,036","1,416,078",9.6,9.68,9.6,9.61,-0.04,118
2025/03/10,"360,784","3,504,400",9.6,9.84,9.6,9.68,+0.07,247
2025/03/11,"398,874","3,812,633",9.7,9.74,9.39,9.72,+0.04,283
2025/03/12,"234,215","2,267,873",9.7,9.74,9.61,9.74,+0.02,196
2025/03/13,"429,202","4,184,774",9.74,9.9,9.62,9.62,-0.12,254
2025/03/14,"489,478","4,738,439",9.61,9.74,9.6,9.74,+0.12,268
2025/03/17,"346,581","3,374,571",9.83,9.83,9.69,9.78,+0.04,264
2025/03/18,"341,640","3,319,966",9.72,9.79,9.68,9.72,-0.06,222
2025/03/19,"227,388","2,197,659",9.67,9.74,9.64,9.68,-0.04,193
2025/03/20,"270,057","2,624,931",9.71,9.76,9.68,9.74,+0.06,178
2025/03/21,"163,252","1,584,120",9.75,9.75,9.66,9.67,-0.07,135
2025/03/24,"203,278","1,968,439",9.74,9.76,9.62,9.62,-0.05,147
2025/03/25,"343,672","3,286,441",9.68,9.69,9.48,9.5,-0.12,271
2025/03/26,"238,040","2,261,226",9.55,9.59,9.45,9.47,-0.03,163
2025/03/27,"246,815","2,327,311",9.47,9.47,9.39,9.4,-0.07,202
2025/03/28,"819,920","7,546,799",9.4,9.4,9.12,9.17,-0.23,438
2025/03/31,"687,221","6,167,044",9.1,9.1,8.91,8.92,-0.25,555
2025/04/01,"1,443,765","14,072,763",9.59,9.81,9.59,9.81,+0.89,534
2025/04/02,"8,980,346","94,142,821",10.4,10.7,10.3,10.55,+0.74,"3,822"
2025/04/07,"13,730,019","140,323,511",9.54,10.95,9.52,10.95,+0.40,"5,461"
2025/04/08,"25,281,807","285,727,755",11.1,11.9,10.9,10.9,-0.05,"9,262"
2025/04/09,"11,256,055","118,576,094",10.95,11.2,9.83,10.25,-0.65,"4,348"
2025/04/10,"10,757,929","118,409,391",11.0,11.2,10.7,10.9,+0.65,"3,607"
2025/04/11,"3,839,552","40,594,899",10.6,10.95,10.35,10.6,-0.30,"1,819"
2025/04/14,"3,572,959","37,931,214",10.85,10.95,10.4,10.45,-0.15,"1,464"
2025/04/15,"5,797,142","63,469,161",10.6,11.2,10.5,11.05,+0.60,"2,036"
2025/04/16,"5,193,331","57,791,018",11.1,11.4,10.75,11.2,+0.15,"2,067"
2025/04/17,"3,793,099","42,614,321",11.25,11.65,10.85,11.25,+0.05,"1,627"
2025/04/18,"10,354,875","120,041,399",11.8,12.1,11.25,11.35,+0.10,"3,965"
2025/04/21,"3,078,680","34,681,609",11.4,11.45,11.05,11.4,+0.05,"1,380"
2025/04/22,"3,156,796","35,362,857",11.25,11.5,10.95,11.0,-0.40,"1,638"
2025/04/23,"2,277,254","25,773,394",11.3,11.45,11.2,11.3,+0.30,"1,120"
2025/04/24,"1,597,112","18,065,160",11.4,11.6,11.15,11.2,-0.10,966
2025/04/25,"1,687,631","18,858,181",11.3,11.35,11.05,11.15,-0.05,750
2025/04/28,"2,031,016","22,343,027",11.2,11.25,10.85,11.0,-0.15,869
2025/04/29,"1,069,441","11,933,051",11.1,11.3,11.05,11.15,+0.15,507
