日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,080,015","40,703,233",37.3,38.1,37.2,37.6,+0.20,797
2025/01/03,"678,162","25,449,754",37.75,37.85,37.3,37.35,-0.25,922
2025/01/06,"1,128,656","42,271,495",37.75,37.95,37.3,37.45,+0.10,910
2025/01/07,"2,701,252","99,597,488",37.55,37.65,36.5,36.95,-0.50,"1,461"
2025/01/08,"1,242,453","45,617,468",36.95,36.95,36.55,36.65,-0.30,"1,137"
2025/01/09,"1,665,955","61,287,255",36.65,37.3,36.45,36.45,-0.20,"1,168"
2025/01/10,"1,010,142","36,670,111",36.25,36.55,36.2,36.25,-0.20,951
2025/01/13,"1,473,805","52,378,305",36.15,36.25,35.3,35.6,-0.65,"1,202"
2025/01/14,"790,843","28,528,190",35.6,36.55,35.3,36.2,+0.60,572
2025/01/15,"962,751","34,896,114",36.2,36.6,35.9,35.9,-0.30,753
2025/01/16,"1,093,980","39,389,406",36.1,36.45,35.85,35.85,-0.05,"1,040"
2025/01/17,"1,438,796","51,390,414",35.85,36.05,35.55,35.6,-0.25,"1,570"
2025/01/20,"1,178,381","42,524,694",35.85,36.55,35.5,36.4,+0.80,826
2025/01/21,"729,466","26,355,265",36.6,36.75,35.9,35.95,-0.45,948
2025/01/22,"1,529,926","54,926,167",36.35,36.35,35.7,35.95,0.00,"1,159"
2025/02/03,"1,703,010","61,644,439",35.9,36.7,35.5,36.55,+0.60,"1,164"
2025/02/04,"1,084,851","39,310,893",36.8,37.0,35.9,35.9,-0.65,970
2025/02/05,"1,026,686","37,068,024",36.35,36.7,35.85,35.85,-0.05,802
2025/02/06,"740,061","26,583,156",35.85,36.15,35.75,35.9,+0.05,693
2025/02/07,"806,396","28,796,936",36.05,36.05,35.6,35.65,-0.25,841
2025/02/10,"1,416,011","50,926,502",35.65,36.3,35.45,36.05,+0.40,"1,086"
2025/02/11,"1,602,572","57,068,328",36.05,36.15,35.4,35.4,-0.65,"2,218"
2025/02/12,"956,521","34,079,980",35.5,35.95,35.4,35.45,+0.05,784
2025/02/13,"1,753,296","63,440,442",35.55,36.4,35.55,36.35,+0.90,"1,346"
2025/02/14,"1,357,479","49,978,576",36.5,37.35,36.1,37.25,+0.90,"1,715"
2025/02/17,"2,216,972","81,717,648",37.25,37.25,36.45,37.1,-0.15,"1,851"
2025/02/18,"856,853","31,651,267",37.3,37.3,36.65,36.9,-0.20,804
2025/02/19,"1,283,326","47,900,347",37.25,37.6,37.0,37.3,+0.40,978
2025/02/20,"865,746","32,260,827",37.3,37.5,37.1,37.3,0.00,871
2025/02/21,"3,329,567","127,580,625",37.45,38.85,37.3,38.3,+1.00,"2,393"
2025/02/24,"1,306,372","49,932,952",38.25,38.45,37.85,38.15,-0.15,"1,165"
2025/02/25,"1,614,126","61,586,576",38.4,38.45,37.9,38.15,0.00,"1,148"
2025/02/26,"1,479,256","56,073,222",38.15,38.35,37.75,37.8,-0.35,"1,160"
2025/02/27,"1,815,848","68,111,348",37.7,38.1,37.15,37.5,-0.30,"1,466"
2025/03/03,"1,254,559","46,520,089",37.3,37.4,36.9,37.1,-0.40,"1,056"
2025/03/04,"1,141,425","41,675,860",36.75,36.8,36.05,36.75,-0.35,"1,013"
2025/03/05,"1,028,216","37,907,132",36.9,37.05,36.5,37.05,+0.30,843
2025/03/06,"1,353,278","49,687,863",37.3,37.3,36.5,36.55,-0.50,"1,121"
2025/03/07,"1,069,904","39,189,536",36.55,36.9,36.45,36.5,-0.05,909
2025/03/10,"901,422","32,889,113",36.6,36.95,36.25,36.35,-0.15,781
2025/03/11,"1,967,488","69,705,000",35.6,35.9,35.0,35.75,-0.60,"1,502"
2025/03/12,"2,714,089","94,970,247",35.4,35.65,34.5,35.05,-0.70,"2,294"
2025/03/13,"3,097,285","107,099,579",35.15,35.15,34.25,34.25,-0.80,"2,267"
2025/03/14,"1,992,058","67,724,225",34.25,34.25,33.7,34.05,-0.20,"1,658"
2025/03/17,"1,709,690","58,413,617",34.1,34.65,33.85,34.4,+0.35,"1,214"
2025/03/18,"722,211","24,924,422",34.6,34.65,34.35,34.45,+0.05,682
2025/03/19,"1,290,839","44,337,878",34.5,34.8,34.0,34.05,-0.40,"1,224"
2025/03/20,"999,508","34,058,006",34.05,34.3,33.9,34.1,+0.05,899
2025/03/21,"6,806,946","238,805,656",34.15,35.35,33.85,35.35,+1.25,"2,055"
2025/03/24,"3,342,844","120,204,317",35.5,36.7,35.5,35.5,+0.15,"2,264"
2025/03/25,"2,113,659","73,342,419",35.5,35.5,34.3,34.5,-1.00,"1,887"
2025/03/26,"1,502,935","51,967,575",34.5,34.95,34.45,34.55,+0.05,811
2025/03/27,"8,607,478","312,523,829",35.1,37.45,35.05,36.25,+1.70,"5,664"
2025/03/28,"6,348,280","230,849,092",36.4,37.45,35.45,36.1,-0.15,"3,909"
2025/03/31,"3,453,258","120,815,600",35.65,35.65,34.4,35.05,-1.05,"2,197"
2025/04/01,"1,903,326","66,417,298",35.15,35.25,34.65,35.0,-0.05,"1,314"
2025/04/02,"2,597,023","89,277,921",35.0,35.0,34.0,34.7,-0.30,"1,772"
2025/04/07,"595,747","18,617,008",31.25,31.25,31.25,31.25,-3.45,735
2025/04/08,"6,098,925","183,655,678",28.6,31.2,28.45,31.05,-0.20,"3,016"
2025/04/09,"4,860,018","144,080,867",30.6,30.9,28.8,29.3,-1.75,"3,199"
2025/04/10,"4,105,435","131,907,745",31.5,32.2,31.5,32.2,+2.90,"1,598"
2025/04/11,"5,078,668","154,156,174",31.2,31.2,29.4,31.2,-1.00,"3,118"
2025/04/14,"1,821,213","57,417,755",31.15,32.2,31.05,31.7,+0.50,"1,146"
2025/04/15,"1,442,773","46,785,934",31.6,32.85,31.6,32.85,+1.15,997
2025/04/16,"1,210,509","38,906,329",32.75,32.75,31.75,31.75,-1.10,"1,623"
2025/04/17,"1,018,443","32,100,231",32.05,32.05,31.05,31.7,-0.05,990
2025/04/18,"516,042","16,228,662",31.7,31.7,31.3,31.4,-0.30,527
2025/04/21,"981,368","30,560,523",31.45,31.5,30.7,30.8,-0.60,914
2025/04/22,"1,295,914","39,577,241",30.3,30.95,30.1,30.75,-0.05,907
2025/04/23,"1,699,197","54,145,266",31.2,32.25,31.2,32.1,+1.35,"1,283"
2025/04/24,"747,218","23,664,699",32.3,32.4,31.2,31.5,-0.60,"1,248"
2025/04/25,"744,822","23,932,718",31.9,32.45,31.9,31.9,+0.40,776
2025/04/28,"389,726","12,452,013",32.2,32.2,31.85,31.9,0.00,346
2025/04/29,"1,174,689","38,247,195",32.25,32.9,31.8,32.85,+0.95,953
2025/04/30,"766,406","24,896,354",32.8,33.1,32.2,32.25,-0.60,"1,319"
2025/05/02,"1,121,462","36,723,463",32.65,33.05,32.25,32.85,+0.60,974
2025/05/05,"2,183,759","71,783,143",33.1,33.7,32.05,32.65,-0.20,"1,823"
2025/05/06,"1,056,693","34,488,375",33.0,33.05,32.4,32.7,+0.05,844
2025/05/07,"720,639","23,136,140",32.4,32.4,31.85,31.95,-0.75,"1,151"
2025/05/08,"604,557","19,304,862",32.3,32.35,31.7,31.8,-0.15,596
2025/05/09,"1,464,228","46,802,034",32.0,32.3,31.6,32.15,+0.35,748
2025/05/12,"977,178","31,288,152",32.4,32.4,31.85,31.95,-0.20,717
2025/05/13,"1,065,619","34,104,960",31.95,32.35,31.7,32.05,+0.10,854
2025/05/14,"1,105,938","35,517,359",32.25,32.5,31.8,32.3,+0.25,"1,164"
2025/05/15,"1,290,503","40,948,330",32.4,32.4,31.5,31.6,-0.70,"1,262"
2025/05/16,"758,208","23,957,545",31.7,31.7,31.4,31.55,-0.05,626
2025/05/19,"1,831,857","56,578,469",31.4,31.4,30.65,30.75,-0.80,"1,426"
2025/05/20,"800,158","24,660,034",30.85,31.05,30.65,30.75,0.00,659
2025/05/21,"667,761","20,686,778",30.95,31.15,30.7,31.1,+0.35,671
2025/05/22,"915,786","28,197,053",30.95,30.95,30.7,30.9,-0.20,813
2025/05/23,"573,854","17,760,110",30.7,31.15,30.7,30.9,0.00,535
2025/05/26,"838,919","26,034,181",31.0,31.25,30.85,31.1,+0.20,710
2025/05/27,"1,118,866","34,585,838",31.2,31.3,30.7,31.05,-0.05,831
2025/05/28,"1,291,968","39,563,371",31.2,31.2,30.2,30.3,-0.75,"1,094"
2025/05/29,"1,112,067","33,666,604",30.5,30.7,30.1,30.2,-0.10,951
2025/06/02,"1,786,688","53,270,169",30.05,30.3,29.5,30.0,-0.20,"1,396"
2025/06/03,"748,808","22,712,077",30.1,30.6,30.0,30.25,+0.25,657
2025/06/04,"1,324,461","41,192,737",30.35,31.45,30.35,31.3,+1.05,994
2025/06/05,"1,098,494","34,674,340",31.4,31.85,31.3,31.55,+0.25,976
2025/06/06,"1,523,797","48,876,739",31.75,32.3,31.6,32.1,+0.55,"1,102"
2025/06/09,"994,571","31,287,380",32.0,32.1,31.2,31.25,-0.85,781
2025/06/10,"792,265","24,824,876",31.25,31.6,31.0,31.25,0.00,721
2025/06/11,"848,109","26,402,246",31.0,31.3,30.95,31.25,0.00,730
