日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"629,471","12,458,655",19.6,20.05,19.6,19.6,-0.05,340
2025/01/03,"941,469","18,093,414",19.6,19.8,18.9,18.95,-0.65,635
2025/01/06,"503,496","9,641,927",19.0,19.3,18.9,19.2,+0.25,322
2025/01/07,"409,772","7,758,068",19.25,19.35,18.8,18.8,-0.40,309
2025/01/08,"334,873","6,310,817",18.9,19.2,18.7,18.8,0.00,284
2025/01/09,"636,303","11,802,305",19.05,19.15,18.3,18.35,-0.45,449
2025/01/10,"497,212","9,222,331",18.35,18.8,18.25,18.6,+0.25,448
2025/01/13,"603,082","10,950,625",18.75,18.75,17.7,18.25,-0.35,567
2025/01/14,"321,968","5,976,014",18.5,18.7,18.3,18.7,+0.45,304
2025/01/15,"328,971","6,190,714",18.8,19.05,18.7,18.75,+0.05,304
2025/01/16,"272,341","5,170,654",19.0,19.15,18.9,18.95,+0.20,270
2025/01/17,"215,565","4,080,954",19.1,19.1,18.8,18.8,-0.15,252
2025/01/20,"301,159","5,719,330",18.8,19.2,18.7,19.1,+0.30,344
2025/01/21,"348,044","6,659,367",19.25,19.35,19.0,19.0,-0.10,336
2025/01/22,"216,344","4,125,177",19.2,19.2,19.0,19.1,+0.10,264
2025/02/03,"561,131","10,747,969",19.1,19.4,18.85,19.4,+0.30,493
2025/02/04,"318,001","6,044,843",19.4,19.4,18.9,18.95,-0.45,261
2025/02/05,"991,892","19,403,127",19.15,19.8,19.15,19.5,+0.55,531
2025/02/06,"3,092,753","63,339,789",19.7,20.95,19.55,20.55,+1.05,"1,590"
2025/02/07,"3,585,534","73,905,665",20.75,21.0,20.25,20.4,-0.15,"1,983"
2025/02/10,"918,097","18,691,623",20.4,20.6,20.05,20.6,+0.20,645
2025/02/11,"1,168,172","23,453,094",20.25,20.45,19.85,19.85,-0.75,862
2025/02/12,"534,715","10,552,105",20.0,20.0,19.55,19.55,-0.30,456
2025/02/13,"585,052","11,576,210",19.7,19.95,19.6,19.8,+0.25,442
2025/02/14,"601,316","11,989,727",19.95,20.1,19.8,19.95,+0.15,380
2025/02/17,"405,824","8,042,889",19.95,20.1,19.65,19.75,-0.20,455
2025/02/18,"1,895,170","38,465,189",20.05,21.0,19.95,19.95,+0.20,"1,118"
2025/02/19,"945,935","19,046,758",20.0,20.4,19.85,20.3,+0.35,743
2025/02/20,"1,823,450","37,564,290",20.95,21.0,20.3,20.35,+0.05,"1,171"
2025/02/21,"769,052","15,497,110",20.5,20.5,20.0,20.0,-0.35,643
2025/02/24,"436,322","8,726,986",20.0,20.15,19.9,19.95,-0.05,460
2025/02/25,"478,513","9,500,309",19.8,20.05,19.7,19.8,-0.15,381
2025/02/26,"440,668","8,747,672",19.9,20.0,19.75,19.85,+0.05,327
2025/02/27,"669,600","13,239,007",19.95,20.1,19.55,19.55,-0.30,549
2025/03/03,"575,148","11,289,588",19.8,19.9,19.5,19.5,-0.05,531
2025/03/04,"444,738","8,571,044",19.5,19.5,19.0,19.35,-0.15,423
2025/03/05,"318,624","6,207,570",19.45,19.6,19.35,19.6,+0.25,302
2025/03/06,"376,201","7,311,166",19.6,19.6,19.35,19.35,-0.25,329
2025/03/07,"422,539","8,109,970",19.35,19.45,19.0,19.0,-0.35,348
2025/03/10,"679,336","13,152,705",19.05,19.7,19.0,19.2,+0.20,520
2025/03/11,"724,295","13,502,287",19.0,19.0,18.35,18.8,-0.40,561
2025/03/12,"309,477","5,827,742",18.85,19.05,18.75,18.75,-0.05,278
2025/03/13,"361,683","6,790,520",18.9,19.1,18.5,18.5,-0.25,624
2025/03/14,"390,511","7,265,371",18.7,18.75,18.45,18.65,+0.15,404
2025/03/17,"260,660","4,907,355",18.65,19.05,18.65,18.8,+0.15,492
2025/03/18,"187,510","3,550,212",18.8,19.05,18.8,18.9,+0.10,393
2025/03/19,"393,517","7,489,423",18.8,19.2,18.8,19.1,+0.20,461
2025/03/20,"131,169","2,508,814",19.15,19.2,19.05,19.05,-0.05,208
2025/03/21,"136,526","2,599,064",19.05,19.1,18.9,18.95,-0.10,225
2025/03/24,"1,979,842","39,002,270",19.0,20.1,18.9,19.7,+0.75,"1,027"
2025/03/25,"1,266,561","24,943,456",19.8,20.05,19.3,19.35,-0.35,797
2025/03/26,"500,377","9,617,503",19.55,19.55,19.05,19.05,-0.30,385
2025/03/27,"300,597","5,697,935",19.15,19.2,18.8,18.9,-0.15,331
2025/03/28,"853,637","15,638,352",18.8,18.8,18.0,18.1,-0.80,606
2025/03/31,"1,957,318","32,817,999",17.5,17.65,16.35,16.45,-1.65,"1,279"
2025/04/01,"845,221","14,455,826",16.8,17.35,16.7,17.15,+0.70,569
2025/04/02,"481,077","8,273,511",17.25,17.45,16.9,17.2,+0.05,382
2025/04/07,"199,531","3,095,260",15.5,15.5,15.5,15.5,-1.70,725
2025/04/08,"2,457,509","34,533,008",14.0,14.4,13.95,14.05,-1.45,"1,677"
2025/04/09,"1,997,882","26,706,148",13.95,14.15,12.9,13.1,-0.95,"1,604"
2025/04/10,"372,650","5,356,497",14.4,14.4,14.1,14.4,+1.30,242
2025/04/11,"812,132","11,902,706",14.4,15.0,13.75,14.7,+0.30,704
2025/04/14,"781,769","11,869,554",14.8,15.7,14.8,15.05,+0.35,858
2025/04/15,"433,824","6,739,338",15.5,15.75,15.1,15.75,+0.70,939
2025/04/16,"446,862","7,076,644",16.1,16.1,15.6,15.65,-0.10,"1,013"
2025/04/17,"283,747","4,399,291",15.8,15.8,15.2,15.65,0.00,662
2025/04/18,"187,278","2,923,567",15.8,15.8,15.5,15.55,-0.10,340
