日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"90,835","3,737,968",41.1,41.25,41.1,41.25,+0.05,124
2025/01/03,"47,917","1,977,869",41.2,41.3,41.2,41.25,0.00,68
2025/01/06,"33,221","1,377,612",41.25,41.75,41.25,41.4,+0.15,54
2025/01/07,"79,008","3,273,885",41.3,41.7,41.3,41.35,-0.05,106
2025/01/08,"33,409","1,382,087",41.35,41.55,41.3,41.35,0.00,44
2025/01/09,"631,557","27,345,710",44.5,44.5,42.7,42.7,+1.35,427
2025/01/10,"137,353","5,857,241",43.2,43.25,42.25,42.55,-0.15,175
2025/01/13,"175,538","7,471,212",42.55,43.05,42.25,42.5,-0.05,260
2025/01/14,"39,373","1,665,693",42.5,42.65,42.15,42.2,-0.30,234
2025/01/15,"90,442","3,846,645",42.2,42.65,42.2,42.35,+0.15,86
2025/01/16,"81,584","3,488,346",42.75,43.0,42.55,42.65,+0.30,72
2025/01/17,"184,649","7,930,440",42.65,43.3,42.45,43.25,+0.60,148
2025/01/20,"82,864","3,587,925",43.25,43.8,42.9,43.0,-0.25,328
2025/01/21,"40,724","1,746,405",43.25,43.25,42.7,42.7,-0.30,122
2025/01/22,"70,900","3,021,204",42.85,42.85,42.5,42.65,-0.05,190
2025/02/03,"102,567","4,367,714",42.5,43.15,42.4,42.55,-0.10,184
2025/02/04,"61,252","2,602,229",42.55,42.6,42.3,42.45,-0.10,48
2025/02/05,"74,972","3,194,589",42.45,42.65,42.45,42.55,+0.10,85
2025/02/06,"226,568","9,789,780",42.7,43.7,42.5,43.6,+1.05,178
2025/02/07,"93,356","4,056,255",43.6,43.6,43.15,43.5,-0.10,145
2025/02/10,"458,998","21,963,026",47.85,47.85,47.85,47.85,+4.35,240
2025/02/11,"4,533,412","224,062,123",49.85,49.85,49.1,49.35,+1.50,"2,165"
2025/02/12,"1,456,682","71,898,853",49.35,49.7,49.2,49.3,-0.05,"1,000"
2025/02/13,"816,106","40,235,044",49.3,49.45,49.25,49.3,0.00,"1,023"
2025/02/14,"693,358","34,219,127",49.3,49.6,49.3,49.3,0.00,282
2025/02/17,"568,985","28,079,249",49.35,49.4,49.3,49.35,+0.05,473
2025/02/18,"634,684","31,325,573",49.35,49.5,49.3,49.35,0.00,310
2025/02/19,"317,635","15,694,494",49.35,49.5,49.35,49.45,+0.10,187
2025/02/20,"453,954","22,545,740",49.45,49.8,49.45,49.75,+0.30,273
2025/02/21,"394,241","19,640,803",49.8,50.0,49.7,49.75,0.00,541
2025/02/24,"421,777","21,061,849",49.75,50.3,49.75,49.9,+0.15,216
2025/02/25,"219,280","10,931,838",49.95,50.1,49.75,49.9,0.00,293
2025/02/26,"195,646","9,758,462",49.8,50.0,49.8,49.85,-0.05,119
