日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"168,809","8,697,328",51.8,52.0,51.2,51.7,-0.1,157
2025/01/03,"116,339","5,971,262",51.7,52.0,51.0,51.3,-0.4,99
2025/01/06,"53,613","2,775,576",51.6,52.1,51.4,52.0,0.7,61
2025/01/07,"57,101","2,953,575",52.0,52.1,51.4,51.4,-0.6,61
2025/01/08,"430,899","21,847,059",51.3,51.4,50.0,51.4,0.0,246
2025/01/09,"160,309","8,136,970",50.9,51.4,50.2,51.4,0.0,140
2025/01/10,"147,087","7,475,437",50.5,51.3,50.3,51.3,-0.1,116
2025/01/13,"433,589","21,646,731",50.6,51.1,49.05,51.1,-0.2,286
2025/01/14,"160,142","8,028,629",49.8,50.8,49.8,49.85,-1.25,138
2025/01/15,"140,676","7,046,988",49.95,50.7,49.6,50.2,0.35,107
2025/01/16,"145,021","7,251,089",49.7,50.4,49.7,49.95,-0.25,138
2025/01/17,"144,055","7,225,024",50.2,50.9,49.95,50.9,0.95,74
2025/01/20,"111,265","5,646,817",51.0,51.3,50.3,50.5,-0.4,84
2025/01/21,"114,184","5,786,070",50.9,51.0,50.5,50.9,0.4,77
2025/01/22,"71,198","3,626,091",50.9,51.1,50.6,51.0,0.1,69
2025/02/03,"217,720","10,879,621",50.5,50.9,49.5,49.95,-1.05,230
2025/02/04,"74,116","3,701,170",49.75,50.5,49.75,50.1,0.15,68
2025/02/05,"127,820","6,404,222",50.5,50.5,49.95,50.0,-0.1,108
2025/02/06,"57,355","2,884,458",50.0,50.6,50.0,50.5,0.5,59
2025/02/07,"115,315","5,789,697",50.3,50.6,50.0,50.1,-0.4,91
2025/02/10,"92,183","4,609,116",50.0,50.2,49.9,50.0,-0.1,112
2025/02/11,"140,411","7,024,752",50.1,50.5,49.85,50.2,0.2,82
2025/02/12,"219,495","11,202,569",50.5,51.7,50.5,50.9,0.7,190
2025/02/13,"199,268","10,251,828",51.3,52.0,50.9,51.5,0.6,185
2025/02/14,"74,577","3,833,978",51.5,51.7,51.2,51.4,-0.1,162
2025/02/17,"143,383","7,394,518",51.4,52.3,51.3,51.3,-0.1,204
2025/02/18,"343,360","17,461,135",51.7,51.7,50.5,50.5,-0.8,315
2025/02/19,"292,821","14,732,758",51.0,51.0,50.1,50.3,-0.2,284
2025/02/20,"222,872","11,235,623",50.2,51.0,50.2,50.2,-0.1,237
2025/02/21,"397,206","19,926,659",50.2,50.4,50.0,50.1,-0.1,383
2025/02/24,"193,691","9,686,396",50.1,50.3,49.9,50.0,-0.1,195
2025/02/25,"581,527","29,093,714",50.0,50.4,49.8,50.0,0.0,291
