日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"688,287","11,294,126",16.4,16.6,16.25,16.4,-0.15,555
2025/01/03,"755,163","12,442,648",16.45,16.65,16.3,16.35,-0.05,463
2025/01/06,"825,256","13,592,989",16.35,16.7,16.25,16.6,0.25,515
2025/01/07,"689,548","11,266,602",16.5,16.7,16.25,16.3,-0.3,550
2025/01/08,"419,165","6,802,122",16.25,16.45,16.1,16.35,0.05,372
2025/01/09,"1,363,911","21,682,272",16.3,16.3,15.5,15.75,-0.6,"1,195"
2025/01/10,"1,167,985","18,305,911",15.6,15.8,15.5,15.8,0.05,794
2025/01/13,"1,405,346","21,599,266",15.7,15.7,15.2,15.6,-0.2,"1,176"
2025/01/14,"916,059","14,501,387",15.6,16.0,15.55,16.0,0.4,576
2025/01/15,"872,867","14,024,551",15.85,16.25,15.85,16.0,0.0,615
2025/01/16,"1,022,582","16,559,540",16.3,16.35,16.05,16.2,0.2,580
2025/01/17,"950,595","15,468,102",16.2,16.45,16.1,16.45,0.25,518
2025/01/20,"644,475","10,651,315",16.65,16.65,16.3,16.6,0.15,446
2025/01/21,"592,828","9,827,561",16.6,16.8,16.4,16.4,-0.2,405
2025/01/22,"969,484","15,870,374",16.65,16.65,16.25,16.35,-0.05,630
2025/02/03,"1,009,065","16,270,342",16.35,16.35,15.9,16.2,-0.15,777
2025/02/04,"603,496","9,712,957",16.15,16.3,16.0,16.0,-0.2,479
2025/02/05,"627,423","10,130,269",16.2,16.5,16.0,16.05,0.05,496
2025/02/06,"815,542","13,271,914",16.05,16.4,16.05,16.4,0.35,428
2025/02/07,"519,701","8,405,565",16.45,16.45,16.1,16.1,-0.3,556
2025/02/10,"815,803","13,189,691",16.1,16.3,16.0,16.2,0.1,482
2025/02/11,"476,558","7,728,949",16.2,16.4,16.1,16.15,-0.05,436
2025/02/12,"409,479","6,634,889",16.15,16.3,16.1,16.15,0.0,291
2025/02/13,"1,968,221","32,683,675",16.2,16.9,16.2,16.85,0.7,992
2025/02/14,"1,556,401","26,331,808",16.9,17.05,16.65,17.05,0.2,907
2025/02/17,"4,593,537","80,831,554",17.4,18.0,17.3,17.3,0.25,"2,161"
2025/02/18,"1,203,028","20,651,045",17.4,17.55,17.05,17.05,-0.25,855
2025/02/19,"924,505","15,872,562",17.05,17.3,17.0,17.2,0.15,572
2025/02/20,"873,958","14,985,947",17.2,17.3,17.05,17.2,0.0,442
2025/02/21,"834,133","14,357,073",17.2,17.3,17.1,17.25,0.05,561
2025/02/24,"653,716","11,222,041",17.15,17.35,17.05,17.15,-0.1,500
2025/02/25,"778,403","13,321,943",17.1,17.2,17.0,17.15,0.0,516
2025/02/26,"657,331","11,229,352",17.1,17.2,17.05,17.05,-0.1,553
2025/02/27,"1,158,107","19,891,999",17.05,17.35,17.05,17.05,0.0,590
2025/03/03,"823,526","13,914,289",17.05,17.05,16.8,16.9,-0.15,615
2025/03/04,"724,892","12,035,131",16.7,16.9,16.35,16.9,0.0,629
2025/03/05,"833,048","14,026,764",16.75,16.95,16.6,16.95,0.05,612
2025/03/06,"645,981","10,915,625",16.95,17.1,16.75,16.8,-0.15,510
2025/03/07,"562,951","9,404,157",16.8,16.9,16.6,16.6,-0.2,416
2025/03/10,"1,277,086","21,686,581",16.65,17.25,16.55,17.25,0.65,813
2025/03/11,"1,613,428","26,930,035",16.9,16.95,16.45,16.85,-0.4,982
2025/03/12,"707,116","11,814,952",16.75,16.9,16.65,16.65,-0.2,584
2025/03/13,"1,187,023","19,677,039",16.75,16.85,16.4,16.45,-0.2,689
2025/03/14,"1,048,461","17,504,489",16.6,16.85,16.5,16.8,0.35,533
2025/03/17,"659,514","11,102,756",16.7,16.95,16.7,16.9,0.1,436
2025/03/18,"984,205","16,668,444",17.0,17.05,16.8,16.8,-0.1,564
2025/03/19,"1,429,698","24,184,304",16.8,17.25,16.7,16.8,0.0,935
2025/03/20,"800,191","13,431,671",16.9,16.9,16.7,16.75,-0.05,411
2025/03/21,"1,264,602","20,877,692",16.75,16.75,16.35,16.55,-0.2,798
2025/03/24,"750,295","12,243,102",16.5,16.5,16.2,16.2,-0.35,645
2025/03/25,"1,165,994","18,741,103",16.3,16.35,16.0,16.05,-0.15,723
2025/03/26,"412,905","6,661,922",16.1,16.2,16.05,16.15,0.1,326
2025/03/27,"1,120,373","17,868,218",16.15,16.15,15.8,15.8,-0.35,791
2025/03/28,"1,685,850","25,992,846",15.8,15.8,15.25,15.35,-0.45,"1,286"
2025/03/31,"1,997,960","29,915,852",15.2,15.2,14.85,15.0,-0.35,"1,524"
2025/04/01,"1,058,198","15,934,013",14.9,15.2,14.9,15.05,0.05,924
2025/04/02,"1,298,828","19,844,900",15.05,15.55,14.85,15.55,0.5,941
2025/04/07,"420,553","5,887,877",14.0,14.0,14.0,14.0,-1.55,"1,083"
2025/04/08,"4,626,414","59,023,481",12.6,13.3,12.6,12.95,-1.05,"2,219"
2025/04/09,"4,245,437","51,476,916",12.8,12.85,11.7,11.7,-1.25,"2,256"
2025/04/10,"1,238,405","15,911,874",12.85,12.85,12.7,12.85,1.15,547
2025/04/11,"1,633,674","21,082,116",12.7,13.15,12.35,13.1,0.25,"1,051"
2025/04/14,"1,366,593","18,080,296",13.2,13.45,13.05,13.05,-0.05,877
2025/04/15,"1,130,903","15,243,674",13.1,13.65,13.1,13.65,0.6,714
2025/04/16,"715,127","9,521,714",13.45,13.55,13.2,13.25,-0.4,683
2025/04/17,"539,943","7,034,464",13.05,13.15,12.9,13.05,-0.2,502
2025/04/18,"415,222","5,398,551",13.05,13.1,12.9,13.0,-0.05,362
2025/04/21,"715,694","9,051,545",13.0,13.0,12.5,12.5,-0.5,689
2025/04/22,"790,885","9,802,775",12.5,12.6,12.25,12.4,-0.1,535
2025/04/23,"788,102","10,119,657",12.65,13.0,12.65,13.0,0.6,537
2025/04/24,"841,799","10,843,316",13.0,13.05,12.75,13.0,0.0,613
2025/04/25,"591,158","7,671,402",13.1,13.15,12.85,12.85,-0.15,616
2025/04/28,"510,941","6,624,320",12.95,13.05,12.9,13.0,0.15,442
2025/04/29,"497,023","6,501,558",13.0,13.15,12.9,13.15,0.15,499
2025/04/30,"844,792","10,899,262",13.05,13.2,12.7,12.75,-0.4,814
2025/05/02,"1,539,350","20,365,730",12.85,13.5,12.8,13.35,0.6,895
2025/05/05,"7,035,355","100,463,199",13.4,14.65,13.4,13.85,0.5,"3,291"
2025/05/06,"1,414,826","19,654,969",13.9,14.15,13.65,13.95,0.1,838
2025/05/07,"1,024,802","14,406,624",13.95,14.2,13.85,14.0,0.05,602
2025/05/08,"928,892","12,849,641",14.15,14.2,13.65,13.75,-0.25,733
2025/05/09,"781,594","10,769,171",13.65,13.95,13.6,13.8,0.05,516
2025/05/12,"629,822","8,792,729",14.05,14.15,13.8,13.9,0.1,450
2025/05/13,"760,866","10,570,680",14.0,14.0,13.8,13.85,-0.05,427
2025/05/14,"1,037,378","14,512,048",13.85,14.1,13.85,14.0,0.15,688
2025/05/15,"667,229","9,231,280",13.95,13.95,13.75,13.75,-0.25,555
2025/05/16,"4,465,573","64,542,264",13.8,14.8,13.8,14.35,0.6,"2,396"
2025/05/19,"1,466,586","20,783,161",14.25,14.35,14.05,14.2,-0.15,731
2025/05/20,"1,145,377","16,010,398",14.25,14.25,13.8,13.85,-0.35,651
2025/05/21,"634,024","8,887,335",13.9,14.1,13.8,14.1,0.25,441
2025/05/22,"534,174","7,423,286",14.0,14.0,13.8,13.95,-0.15,387
2025/05/23,"438,399","6,089,618",13.85,13.95,13.8,13.9,-0.05,239
2025/05/26,"692,606","9,572,822",13.95,14.0,13.7,13.85,-0.05,525
2025/05/27,"1,176,153","16,183,646",13.85,14.1,13.5,13.6,-0.25,750
2025/05/28,"829,923","11,204,778",13.7,13.75,13.35,13.35,-0.25,465
2025/05/29,"1,240,215","16,179,311",13.55,13.55,12.9,12.95,-0.4,938
2025/06/02,"1,167,889","14,695,772",12.85,12.85,12.45,12.5,-0.45,921
2025/06/03,"999,842","12,350,267",12.6,12.6,12.25,12.3,-0.2,781
2025/06/04,"1,059,289","13,268,297",12.35,12.65,12.35,12.4,0.1,582
2025/06/05,"517,269","6,435,592",12.45,12.55,12.3,12.45,0.05,390
2025/06/06,"320,114","3,993,107",12.45,12.55,12.4,12.45,0.0,300
2025/06/09,"623,880","7,690,192",12.65,12.65,12.25,12.3,-0.15,486
2025/06/10,"720,400","9,013,722",12.35,12.65,12.3,12.35,0.05,519
2025/06/11,"835,558","10,211,219",12.35,12.35,12.1,12.2,-0.15,645
2025/06/12,"836,006","10,126,924",12.2,12.25,12.05,12.1,-0.1,655
2025/06/13,"1,739,529","20,556,013",12.0,12.0,11.65,11.95,-0.15,"1,349"
2025/06/16,"926,219","10,979,820",11.8,12.0,11.7,12.0,0.05,643
2025/06/17,"638,488","7,626,788",12.0,12.05,11.85,12.0,0.0,508
2025/06/18,"910,193","11,041,411",12.0,12.25,12.0,12.15,0.15,583
2025/06/19,"1,151,080","13,632,296",12.05,12.1,11.75,11.8,-0.35,763
2025/06/20,"3,115,841","35,875,073",11.7,11.7,11.35,11.55,-0.25,"1,638"
2025/06/23,"1,497,635","16,709,866",11.5,11.5,11.0,11.2,-0.35,"1,495"
2025/06/24,"1,050,773","12,109,112",11.4,11.65,11.3,11.55,0.35,767
2025/06/25,"512,743","5,932,521",11.6,11.65,11.5,11.6,0.05,345
2025/06/26,"1,441,614","17,181,974",11.6,12.1,11.6,11.9,0.3,778
2025/06/27,"903,442","10,819,122",11.8,12.15,11.8,11.95,0.05,601
2025/06/30,"745,631","8,923,804",12.1,12.1,11.7,12.0,0.05,404
2025/07/01,"700,476","8,475,984",12.0,12.2,12.0,12.05,0.05,497
2025/07/02,"310,663","3,748,438",12.05,12.1,12.0,12.1,0.05,207
2025/07/03,"576,474","7,015,603",12.0,12.35,12.0,12.15,0.05,391
2025/07/04,"411,624","4,971,097",12.2,12.25,11.95,12.0,-0.15,296
2025/07/07,"309,476","3,691,739",11.9,12.05,11.8,12.0,0.0,271
2025/07/08,"510,166","6,015,172",12.0,12.0,11.7,11.8,-0.2,410
2025/07/09,"460,344","5,428,923",11.8,11.9,11.7,11.8,0.0,304
2025/07/10,"315,456","3,687,355",11.7,11.85,11.6,11.65,-0.15,275
2025/07/11,"729,062","8,489,006",11.55,11.8,11.55,11.6,-0.05,464
2025/07/14,"1,164,389","13,320,224",11.55,11.55,11.3,11.5,-0.1,681
2025/07/15,"731,296","8,323,558",11.35,11.55,11.3,11.35,-0.15,511
2025/07/16,"934,637","10,531,601",11.25,11.35,11.15,11.25,-0.1,641
2025/07/17,"1,174,578","13,553,476",11.35,11.65,11.3,11.5,0.25,613
2025/07/18,"2,444,600","29,057,807",11.6,12.15,11.6,11.75,0.25,"1,301"
2025/07/21,"627,958","7,400,620",11.85,11.9,11.65,11.75,0.0,405
2025/07/22,"902,566","10,658,982",11.85,11.95,11.65,11.85,0.1,501
2025/07/23,"1,187,746","14,269,162",11.95,12.15,11.85,12.1,0.25,582
2025/07/24,"2,262,494","27,629,446",12.2,12.5,11.9,12.25,0.15,977
2025/07/25,"5,444,323","70,141,532",12.15,13.3,12.15,12.65,0.4,"2,783"
2025/07/28,"2,022,323","25,467,001",12.75,12.85,12.4,12.5,-0.15,"1,171"
2025/07/29,"1,363,941","16,921,139",12.5,12.65,12.25,12.25,-0.25,736
2025/07/30,"766,316","9,442,775",12.25,12.45,12.1,12.4,0.15,476
2025/07/31,"900,307","11,001,979",12.3,12.35,12.1,12.25,-0.15,579
2025/08/01,"933,901","11,271,810",12.1,12.2,11.9,12.2,-0.05,526
2025/08/04,"953,636","11,373,448",12.0,12.15,11.6,12.1,-0.1,640
2025/08/05,"994,994","11,978,240",12.0,12.15,11.95,12.05,-0.05,624
2025/08/06,"2,717,803","33,914,361",12.05,12.65,12.05,12.6,0.55,"1,391"
2025/08/07,"1,319,922","16,452,322",12.6,12.7,12.35,12.4,-0.2,783
2025/08/08,"918,664","11,351,211",12.3,12.5,12.25,12.25,-0.15,616
2025/08/11,"1,324,148","16,473,981",12.3,12.55,12.2,12.5,0.25,801
2025/08/12,"1,491,983","18,432,809",12.5,12.5,12.2,12.3,-0.2,904
2025/08/13,"1,945,119","23,885,369",12.4,12.5,12.1,12.15,-0.15,"1,097"
2025/08/14,"2,022,346","24,585,500",12.15,12.3,12.05,12.05,-0.1,"1,060"
2025/08/15,"2,579,241","30,973,304",12.1,12.2,11.85,12.15,0.1,"1,325"
2025/08/18,"2,391,063","29,408,492",12.15,12.5,12.15,12.25,0.1,"1,150"
2025/08/19,"1,753,968","21,249,881",12.25,12.25,12.0,12.05,-0.2,942
2025/08/20,"2,788,840","32,967,375",12.1,12.1,11.65,11.75,-0.3,"1,430"
2025/08/21,"2,007,451","23,904,287",11.75,12.0,11.7,11.95,0.2,"1,022"
2025/08/22,"2,128,354","25,074,622",11.9,12.0,11.7,11.75,-0.2,"1,186"
2025/08/25,"2,083,633","24,723,494",11.9,12.0,11.75,11.8,0.05,951
2025/08/26,"9,246,355","111,971,059",11.8,12.15,11.7,12.15,0.35,"1,003"
2025/08/27,"5,144,521","64,094,301",12.15,12.85,12.1,12.25,0.1,"2,134"
2025/08/28,"1,169,004","14,293,751",12.3,12.3,12.15,12.2,-0.05,541
2025/08/29,"1,235,918","15,013,513",12.2,12.3,12.05,12.15,-0.05,668
2025/10/01,"721,805","8,633,191",12.05,12.05,11.9,11.95,-0.05,431
2025/10/02,"1,413,328","16,727,869",11.95,12.0,11.75,11.8,-0.15,742
2025/10/03,"1,673,819","19,537,672",11.9,11.9,11.6,11.65,-0.15,938
2025/10/07,"1,938,319","22,446,134",11.65,11.7,11.45,11.55,-0.1,"1,012"
2025/10/08,"777,155","8,969,761",11.6,11.6,11.5,11.55,0.0,504
2025/10/09,"1,279,577","14,960,172",11.6,11.8,11.6,11.65,0.1,690
2025/10/13,"1,485,300","16,973,658",11.45,11.65,11.25,11.5,-0.15,766
2025/10/14,"905,131","10,570,473",11.6,11.8,11.6,11.65,0.15,543
2025/10/15,"1,318,639","15,544,894",11.7,11.9,11.65,11.75,0.1,713
2025/10/16,"1,047,708","12,479,810",11.85,12.0,11.8,11.95,0.2,588
2025/10/17,"2,996,541","36,880,852",11.95,12.55,11.95,12.3,0.35,"1,378"
2025/10/20,"1,937,818","24,197,868",12.45,12.65,12.3,12.45,0.15,"1,068"
2025/10/21,"925,667","11,464,396",12.55,12.55,12.25,12.25,-0.2,637
2025/10/22,"764,650","9,432,381",12.25,12.4,12.25,12.35,0.1,373
2025/10/23,"8,884,021","116,482,217",12.4,13.5,12.35,13.25,0.9,"4,660"
2025/10/27,"3,869,766","50,821,898",13.35,13.5,12.95,13.05,-0.2,"1,702"
