日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"78,384","1,059,112",13.7,13.7,13.35,13.55,-0.15,230
2025/01/03,"65,218","886,457",13.75,13.75,13.5,13.55,0.00,159
2025/01/06,"45,525","624,610",13.6,13.8,13.6,13.7,+0.15,64
2025/01/07,"23,268","319,461",13.85,13.85,13.65,13.65,-0.05,79
2025/01/08,"42,618","582,239",13.65,13.7,13.65,13.7,+0.05,45
2025/01/09,"123,423","1,690,250",13.7,13.9,13.55,13.65,-0.05,239
2025/01/10,"67,551","916,119",13.7,13.8,13.5,13.5,-0.15,96
2025/01/13,"159,500","2,141,365",13.5,13.5,13.3,13.45,-0.05,231
2025/01/14,"24,702","337,348",13.65,13.7,13.5,13.7,+0.25,72
2025/01/15,"50,922","696,237",13.7,13.95,13.5,13.7,0.00,166
2025/01/16,"65,188","908,872",13.9,14.0,13.85,13.85,+0.15,56
2025/01/17,"293,717","4,069,334",13.95,13.95,13.6,13.8,-0.05,142
2025/01/20,"66,338","917,387",13.85,13.95,13.7,13.85,+0.05,87
2025/01/21,"27,341","379,153",13.85,13.95,13.85,13.85,0.00,87
2025/01/22,"27,386","379,587",13.95,13.95,13.75,13.8,-0.05,139
2025/02/03,"71,403","983,278",13.85,13.85,13.7,13.75,-0.05,254
2025/02/04,"18,793","257,146",13.75,13.75,13.55,13.6,-0.15,106
2025/02/05,"49,276","679,819",13.8,14.0,13.65,13.75,+0.15,99
2025/02/06,"40,317","557,744",13.8,13.95,13.75,13.8,+0.05,86
2025/02/07,"59,668","822,881",13.8,13.85,13.75,13.75,-0.05,162
2025/02/10,"93,147","1,287,986",13.75,13.85,13.75,13.85,+0.10,104
2025/02/11,"102,073","1,399,675",13.85,13.85,13.6,13.6,-0.25,305
2025/02/12,"72,444","989,518",13.7,13.75,13.6,13.7,+0.10,129
2025/02/13,"82,064","1,131,472",13.95,13.95,13.7,13.8,+0.10,120
2025/02/14,"68,008","941,345",13.9,13.9,13.8,13.9,+0.10,136
2025/02/17,"101,962","1,438,800",14.2,14.2,14.0,14.05,+0.15,81
2025/02/18,"59,352","831,996",14.05,14.05,13.9,14.05,0.00,124
2025/02/19,"56,333","791,602",14.0,14.15,13.95,14.1,+0.05,74
2025/02/20,"49,589","695,996",14.0,14.1,14.0,14.1,0.00,111
2025/02/21,"54,733","771,485",14.15,14.15,14.0,14.1,0.00,127
2025/02/24,"152,454","2,143,529",14.0,14.15,14.0,14.15,+0.05,132
2025/02/25,"39,599","559,546",14.05,14.25,14.05,14.1,-0.05,76
2025/02/26,"23,319","329,165",14.1,14.2,14.1,14.2,+0.10,113
2025/02/27,"40,351","570,313",14.2,14.2,14.05,14.05,-0.15,115
2025/03/03,"13,948","196,121",14.05,14.05,14.05,14.05,0.00,56
2025/03/04,"33,722","472,101",14.0,14.15,13.85,14.15,+0.10,113
2025/03/05,"28,767","403,097",13.9,14.15,13.9,14.15,0.00,93
2025/03/06,"24,095","341,785",14.25,14.3,14.1,14.15,0.00,129
2025/03/07,"11,100","156,371",14.1,14.1,14.05,14.05,-0.10,79
2025/03/10,"108,694","1,512,097",14.15,14.15,13.8,14.05,0.00,155
2025/03/11,"47,648","662,294",13.85,14.1,13.75,14.1,+0.05,142
2025/03/12,"45,178","632,546",13.9,14.1,13.9,13.95,-0.15,68
2025/03/13,"34,759","480,567",14.0,14.0,13.75,13.75,-0.20,130
2025/03/14,"35,660","496,132",13.8,14.0,13.75,13.95,+0.20,55
2025/03/17,"17,796","249,251",13.95,14.1,13.95,14.05,+0.10,129
2025/03/18,"38,986","544,349",14.0,14.05,13.9,14.0,-0.05,98
2025/03/19,"61,243","855,924",14.0,14.0,13.9,14.0,0.00,90
2025/03/20,"57,853","806,400",14.0,14.0,13.9,13.9,-0.10,77
2025/03/21,"70,529","973,435",13.85,13.85,13.75,13.75,-0.15,122
2025/03/24,"40,392","554,577",13.8,13.8,13.65,13.8,+0.05,122
2025/03/25,"56,108","764,658",13.75,13.75,13.55,13.6,-0.20,176
2025/03/26,"74,968","1,033,218",13.7,13.85,13.7,13.75,+0.15,77
2025/03/27,"58,398","790,368",13.55,13.7,13.4,13.5,-0.25,155
2025/03/28,"108,903","1,456,183",13.5,13.55,13.3,13.4,-0.10,300
2025/03/31,"70,740","935,632",13.35,13.35,13.15,13.2,-0.20,454
2025/04/01,"40,720","543,161",13.25,13.45,13.25,13.35,+0.15,300
2025/04/02,"58,034","782,750",13.3,13.6,13.3,13.5,+0.15,120
2025/04/07,"361,062","4,465,684",12.6,12.65,12.15,12.25,-1.25,425
2025/04/08,"102,995","1,198,324",11.3,12.2,11.3,11.5,-0.75,356
2025/04/09,"192,907","2,099,780",11.1,11.35,10.35,10.5,-1.00,506
2025/04/10,"94,005","1,082,395",10.85,11.55,10.85,11.55,+1.05,63
2025/04/11,"222,063","2,597,678",11.2,11.85,11.05,11.7,+0.15,149
2025/04/14,"213,463","2,696,952",11.85,12.85,11.85,12.65,+0.95,181
2025/04/15,"160,226","2,052,871",12.7,12.9,12.7,12.9,+0.25,173
2025/04/16,"100,041","1,274,958",12.85,12.85,12.55,12.55,-0.35,166
2025/04/17,"21,596","274,958",12.75,12.8,12.7,12.8,+0.25,94
2025/04/18,"54,045","689,867",12.8,12.9,12.65,12.8,0.00,93
2025/04/21,"27,734","351,962",12.7,12.7,12.55,12.7,-0.10,63
2025/04/22,"12,172","152,066",12.5,12.6,12.45,12.6,-0.10,53
2025/04/23,"42,272","539,581",12.75,12.85,12.65,12.85,+0.25,24
2025/04/24,"37,916","486,819",12.8,12.9,12.8,12.9,+0.05,50
2025/04/25,"57,140","735,145",12.9,12.9,12.8,12.9,0.00,144
2025/04/28,"190,072","2,454,600",12.9,13.0,12.9,12.9,0.00,88
2025/04/29,"5,384","69,775",12.95,12.95,12.95,12.95,+0.05,44
2025/04/30,"48,940","625,679",12.9,12.95,12.65,12.85,-0.10,256
2025/05/02,"37,893","489,278",12.85,12.95,12.85,12.9,+0.05,55
2025/05/05,"135,010","1,778,922",12.95,13.45,12.95,13.1,+0.20,186
2025/05/06,"71,092","934,861",13.05,13.3,12.8,13.1,0.00,96
2025/05/07,"25,635","334,761",13.05,13.1,12.95,13.1,0.00,104
2025/05/08,"66,375","860,163",13.0,13.1,12.85,12.95,-0.15,133
2025/05/09,"16,100","209,968",13.05,13.1,13.0,13.1,+0.15,39
2025/05/12,"37,773","492,538",13.15,13.2,13.0,13.0,-0.10,78
2025/05/13,"44,858","581,477",13.0,13.0,12.9,12.95,-0.05,90
2025/05/14,"29,718","386,630",13.0,13.15,12.85,13.05,+0.10,163
2025/05/15,"23,960","312,778",13.0,13.1,12.95,13.1,+0.05,60
2025/05/16,"34,809","456,409",13.1,13.1,13.05,13.05,-0.05,147
2025/05/19,"20,480","264,448",13.05,13.05,12.85,12.85,-0.20,81
2025/05/20,"15,324","198,645",12.85,13.0,12.85,13.0,+0.15,40
2025/05/21,"29,001","378,775",13.0,13.15,12.95,13.1,+0.10,132
2025/05/22,"27,577","355,437",12.95,13.0,12.65,13.0,-0.10,98
2025/05/23,"15,082","195,424",12.95,13.0,12.95,13.0,0.00,37
2025/05/26,"26,967","352,312",13.1,13.2,12.9,13.1,+0.10,114
2025/05/27,"90,006","1,172,840",13.0,13.3,12.75,12.85,-0.25,220
2025/05/28,"16,522","212,334",12.9,12.9,12.7,12.9,+0.05,102
2025/05/29,"34,531","447,125",12.9,12.95,12.9,12.95,+0.05,36
2025/06/02,"18,638","236,339",12.7,12.75,12.6,12.7,-0.25,117
2025/06/03,"10,259","131,316",12.95,12.95,12.7,12.9,+0.20,68
2025/06/04,"52,014","663,104",12.75,12.95,12.6,12.75,-0.15,66
2025/06/05,"17,747","226,477",12.65,12.85,12.65,12.7,-0.05,82
2025/06/06,"4,822","61,429",12.75,12.75,12.7,12.7,0.00,41
2025/06/09,"11,868","149,656",12.7,12.7,12.55,12.55,-0.15,53
2025/06/10,"22,147","280,957",12.55,12.8,12.55,12.65,+0.10,77
2025/06/11,"10,173","128,745",12.65,12.65,12.65,12.65,0.00,39
2025/06/12,"14,955","189,082",12.65,12.65,12.6,12.65,0.00,33
2025/06/13,"22,995","286,211",12.5,12.6,12.4,12.4,-0.25,87
2025/06/16,"26,746","332,779",12.4,12.6,12.4,12.6,+0.20,37
2025/06/17,"10,343","129,352",12.5,12.6,12.45,12.6,0.00,38
2025/06/18,"132,483","1,658,840",12.3,12.8,12.2,12.7,+0.10,615
2025/06/19,"50,797","636,623",12.45,12.6,12.45,12.5,-0.20,233
2025/06/20,"36,303","454,369",12.45,12.65,12.4,12.55,+0.05,100
2025/06/23,"21,129","260,622",12.2,12.4,12.2,12.3,-0.25,131
2025/06/24,"36,527","457,243",12.6,12.6,12.5,12.5,+0.20,73
2025/06/25,"14,245","177,272",12.5,12.5,12.35,12.5,0.00,51
2025/06/26,"47,998","602,159",12.25,12.7,12.25,12.4,-0.10,115
2025/06/27,"36,170","447,377",12.5,12.5,12.25,12.45,+0.05,103
2025/06/30,"23,502","291,563",12.4,12.4,12.4,12.4,-0.05,50
2025/07/01,"55,865","696,435",12.4,12.7,12.35,12.45,+0.05,73
2025/07/02,"46,128","567,114",12.25,12.45,12.25,12.25,-0.20,52
2025/07/03,"27,881","343,495",12.3,12.45,12.2,12.45,X0.00,73
2025/07/04,"15,845","195,298",12.3,12.4,12.25,12.3,-0.15,69
2025/07/07,"107,928","1,339,547",12.65,12.65,12.25,12.45,+0.15,53
2025/07/08,"18,533","228,716",12.55,12.55,12.25,12.3,-0.15,89
2025/07/09,"8,988","110,470",12.2,12.4,12.2,12.3,0.00,52
2025/07/10,"18,640","228,682",12.25,12.4,12.2,12.2,-0.10,99
2025/07/11,"13,391","164,444",12.35,12.35,12.25,12.25,+0.05,68
2025/07/14,"90,433","1,112,872",12.25,12.35,12.25,12.25,0.00,74
2025/07/15,"25,494","311,658",12.35,12.35,12.2,12.2,-0.05,96
2025/07/16,"22,476","274,899",12.1,12.3,12.1,12.3,+0.10,54
2025/07/17,"22,026","269,690",12.3,12.3,12.2,12.25,-0.05,46
2025/07/18,"32,704","403,082",12.35,12.45,12.2,12.2,-0.05,41
