日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"685,474","20,237,867",29.55,29.7,29.4,29.6,-0.10,656
2025/01/03,"450,418","13,324,000",29.7,29.8,29.55,29.55,-0.05,461
2025/01/06,"800,407","23,654,780",29.6,29.7,29.45,29.45,-0.10,615
2025/01/07,"1,052,883","30,931,457",29.75,29.75,29.2,29.3,-0.15,904
2025/01/08,"359,722","10,530,355",29.3,29.35,29.2,29.25,-0.05,470
2025/01/09,"1,146,637","33,338,337",29.25,29.3,28.95,28.95,-0.30,"1,178"
2025/01/10,"974,968","28,169,299",28.95,29.05,28.8,28.85,-0.10,811
2025/01/13,"1,487,999","42,423,912",28.8,29.0,28.2,29.0,+0.15,"1,231"
2025/01/14,"680,883","19,776,924",28.95,29.3,28.95,28.95,-0.05,652
2025/01/15,"699,403","20,409,808",28.95,29.3,28.95,29.1,+0.15,499
2025/01/16,"493,233","14,541,800",29.4,29.65,29.35,29.45,+0.35,415
2025/01/17,"314,043","9,288,802",29.65,29.7,29.5,29.5,+0.05,251
2025/01/20,"323,003","9,535,242",29.5,29.7,29.4,29.65,+0.15,349
2025/01/21,"273,283","8,094,725",29.6,29.7,29.55,29.7,+0.05,254
2025/01/22,"598,782","17,935,534",29.8,30.1,29.8,29.95,+0.25,472
2025/02/03,"819,593","24,370,301",29.95,30.1,29.5,29.6,-0.35,948
2025/02/04,"284,774","8,439,011",29.6,29.9,29.55,29.55,-0.05,515
2025/02/05,"646,537","19,208,379",29.9,30.1,29.5,29.6,+0.05,708
2025/02/06,"399,645","11,931,772",29.85,30.1,29.6,30.05,+0.45,368
2025/02/07,"342,012","10,193,314",30.05,30.05,29.7,29.8,-0.25,420
2025/02/10,"473,324","14,142,308",29.75,29.95,29.7,29.85,+0.05,531
2025/02/11,"721,648","21,435,325",29.85,30.0,29.6,29.6,-0.25,621
2025/02/12,"526,535","15,547,272",29.55,29.65,29.4,29.4,-0.20,782
2025/02/13,"406,209","12,085,831",29.85,29.85,29.6,29.8,+0.40,386
2025/02/14,"367,641","10,963,118",29.7,29.95,29.7,29.85,+0.05,370
2025/02/17,"1,601,314","48,839,864",30.1,30.95,30.1,30.25,+0.40,"1,353"
2025/02/18,"423,316","12,707,542",30.15,30.2,29.9,30.0,-0.25,556
2025/02/19,"515,586","15,644,414",30.0,30.5,30.0,30.35,+0.35,515
2025/02/20,"384,637","11,676,902",30.35,30.6,30.2,30.35,0.00,538
2025/02/21,"649,632","19,813,124",30.35,30.65,30.3,30.5,+0.15,627
2025/02/24,"425,365","12,921,692",30.6,30.6,30.2,30.2,-0.30,769
2025/02/25,"521,642","15,762,354",29.9,30.4,29.9,30.3,+0.10,402
2025/02/26,"517,843","15,672,418",30.2,30.5,30.15,30.35,+0.05,375
2025/02/27,"820,508","24,598,530",30.25,30.25,29.85,29.9,-0.45,592
2025/03/03,"580,364","17,391,407",30.2,30.2,29.75,30.0,+0.10,470
2025/03/04,"821,708","24,437,499",29.7,29.95,29.6,29.85,-0.15,555
2025/03/05,"506,411","15,156,828",29.75,30.1,29.65,30.0,+0.15,395
2025/03/06,"503,680","15,097,730",30.0,30.1,29.9,30.0,0.00,467
2025/03/07,"408,305","12,188,644",29.95,30.0,29.75,29.75,-0.25,332
2025/03/10,"479,247","14,342,075",29.8,30.15,29.8,29.85,+0.10,463
2025/03/11,"1,183,349","34,778,345",29.3,29.8,29.15,29.8,-0.05,882
2025/03/12,"445,031","13,205,217",29.7,29.8,29.6,29.6,-0.20,410
