日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,370,234","92,402,067",67.6,68.6,67.0,67.0,-0.90,"6,635"
2025/01/03,"1,204,473","80,374,886",67.3,67.7,66.0,66.0,-1.00,"1,295"
2025/01/06,"1,177,668","78,671,690",66.0,67.4,66.0,66.6,+0.60,"1,859"
2025/01/07,"2,220,245","146,068,227",66.6,66.9,65.3,65.3,-1.30,"2,873"
2025/01/08,"1,894,229","124,988,765",66.0,66.4,65.4,66.0,+0.70,"1,001"
2025/01/09,"1,977,346","129,913,779",66.5,66.8,64.8,64.8,-1.20,"2,511"
2025/01/10,"1,618,185","104,955,812",64.7,65.3,64.2,64.6,-0.20,"1,182"
2025/01/13,"3,189,896","204,419,961",64.6,64.8,63.6,63.6,-1.00,"2,513"
2025/01/14,"1,074,466","69,998,738",63.8,65.7,63.8,65.4,+1.80,"1,220"
2025/01/15,"1,350,778","89,489,109",65.6,66.8,65.3,65.8,+0.40,"2,110"
2025/01/16,"1,164,049","77,148,303",66.8,66.8,66.0,66.0,+0.20,"1,420"
2025/01/17,"1,496,913","100,591,807",66.0,67.7,65.9,67.0,+1.00,"1,712"
2025/01/20,"738,820","49,818,694",66.8,67.6,66.8,67.5,+0.50,"1,569"
2025/01/21,"629,128","42,807,460",67.5,68.3,67.5,67.9,+0.40,887
2025/01/22,"828,216","56,456,402",68.1,68.5,67.8,68.2,+0.30,"1,122"
2025/02/03,"1,572,124","108,298,811",68.3,69.2,68.3,69.0,+0.80,"2,315"
2025/02/04,"1,445,720","100,599,590",68.6,69.9,68.6,69.4,+0.40,"1,506"
2025/02/05,"1,232,265","85,568,624",69.7,69.8,69.1,69.1,-0.30,"1,850"
2025/02/06,"954,121","66,025,035",69.1,69.7,68.8,68.8,-0.30,"2,625"
2025/02/07,"797,500","55,035,816",68.5,69.6,68.5,69.1,+0.30,"1,049"
2025/02/10,"1,448,221","101,406,716",69.4,70.6,69.1,69.5,+0.40,"3,044"
2025/02/11,"1,412,657","98,887,434",70.0,70.8,69.6,69.8,+0.30,"2,180"
2025/02/12,"910,158","63,757,501",70.0,70.5,69.8,70.0,+0.20,"1,166"
2025/02/13,"2,041,589","147,191,018",70.2,73.3,69.9,72.4,+2.40,"2,684"
2025/02/14,"1,590,218","116,255,135",73.0,73.7,72.2,72.9,+0.50,"1,425"
2025/02/17,"913,798","66,030,392",73.8,73.8,71.4,71.4,-1.50,"2,446"
2025/02/18,"675,317","48,338,474",71.5,72.1,71.3,71.4,0.00,"2,765"
2025/02/19,"796,307","57,654,196",72.0,73.0,72.0,72.4,+1.00,"1,149"
