日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"313,946","2,921,866",9.39,9.39,9.25,9.3,-0.09,247
2025/01/03,"581,944","5,279,571",9.3,9.3,9.0,9.03,-0.27,316
2025/01/06,"225,608","2,044,222",9.01,9.12,9.0,9.09,0.06,134
2025/01/07,"334,947","3,008,393",9.04,9.08,8.94,8.99,-0.1,240
2025/01/08,"214,552","1,910,119",8.92,8.96,8.88,8.95,-0.04,154
2025/01/09,"676,236","5,855,878",8.95,8.95,8.5,8.63,-0.32,383
2025/01/10,"346,597","2,901,562",8.31,8.47,8.29,8.34,-0.29,242
2025/01/13,"351,950","2,857,800",8.38,8.38,8.01,8.14,-0.2,269
2025/01/14,"248,438","2,058,055",8.14,8.45,8.08,8.43,0.29,170
2025/01/15,"568,496","5,206,533",8.5,9.27,8.5,9.27,0.84,341
2025/01/16,"830,307","7,728,175",9.27,9.75,8.95,9.18,-0.09,472
2025/01/17,"374,078","3,473,673",9.17,9.38,9.14,9.34,0.16,258
2025/01/20,"142,481","1,327,476",9.38,9.43,9.27,9.34,0.0,115
2025/01/21,"364,864","3,483,468",9.54,9.71,9.28,9.45,0.11,191
2025/01/22,"247,722","2,331,935",9.27,9.59,9.27,9.47,0.02,163
2025/02/03,"253,878","2,361,485",9.42,9.45,9.22,9.32,-0.15,180
2025/02/04,"248,143","2,339,690",9.32,9.55,9.32,9.36,0.04,178
2025/02/05,"166,350","1,565,110",9.47,9.51,9.35,9.42,0.06,102
2025/02/06,"122,022","1,153,209",9.43,9.5,9.41,9.48,0.06,93
2025/02/07,"164,677","1,552,240",9.5,9.5,9.4,9.41,-0.07,122
2025/02/10,"2,174,427","22,196,002",9.43,10.35,9.43,10.35,0.94,"1,261"
2025/02/11,"1,656,388","16,677,869",10.35,10.4,9.9,9.9,-0.45,901
2025/02/12,"628,378","6,230,149",9.9,9.97,9.85,9.9,0.0,304
2025/02/13,"2,661,278","28,396,399",9.89,10.85,9.87,10.85,0.95,"2,578"
2025/02/14,"3,814,564","43,030,897",10.8,11.65,10.55,11.1,0.25,"1,618"
2025/02/17,"2,167,438","23,661,147",11.1,11.3,10.75,10.8,-0.3,864
2025/02/18,"832,824","9,026,254",10.9,11.05,10.6,10.9,0.1,409
2025/02/19,"958,761","10,465,141",11.0,11.05,10.8,11.05,0.15,395
2025/02/20,"1,256,381","13,986,748",11.1,11.35,11.0,11.2,0.15,498
2025/02/21,"459,833","5,096,777",11.05,11.15,11.05,11.05,-0.15,289
2025/02/24,"859,114","9,517,616",11.2,11.25,10.7,11.15,0.1,390
2025/02/25,"2,013,008","22,753,768",11.0,11.5,10.95,11.45,0.3,796
2025/02/26,"1,132,515","12,885,944",11.45,11.55,11.25,11.3,-0.15,419
2025/02/27,"714,282","8,065,457",11.3,11.45,11.2,11.3,0.0,360
2025/03/03,"682,414","7,612,757",11.25,11.25,10.95,11.05,-0.25,265
2025/03/04,"413,207","4,526,402",11.0,11.05,10.85,11.0,-0.05,189
2025/03/05,"490,360","5,476,572",10.9,11.25,10.9,11.2,0.2,288
2025/03/06,"355,424","3,966,660",11.2,11.35,11.1,11.1,-0.1,189
2025/03/07,"278,766","3,084,808",11.0,11.2,11.0,11.1,0.0,153
2025/03/10,"358,454","3,967,499",11.1,11.15,11.0,11.0,-0.1,187
2025/03/11,"406,505","4,381,866",10.85,10.9,10.6,10.9,-0.1,220
2025/03/12,"267,833","2,915,119",10.85,11.0,10.8,10.95,0.05,137
2025/03/13,"418,678","4,481,803",10.95,10.95,10.6,10.6,-0.35,205
2025/03/14,"248,741","2,658,100",10.9,10.9,10.6,10.6,0.0,133
2025/03/17,"292,184","3,110,060",10.7,10.75,10.5,10.65,0.05,157
2025/03/18,"203,628","2,170,760",10.8,10.8,10.55,10.55,-0.1,114
2025/03/19,"283,665","2,983,553",10.6,10.65,10.45,10.6,0.05,138
2025/03/20,"141,755","1,511,992",10.6,10.7,10.6,10.7,0.1,102
2025/03/21,"251,937","2,649,692",10.7,10.7,10.4,10.45,-0.25,143
2025/03/24,"255,904","2,655,225",10.4,10.45,10.25,10.35,-0.1,121
2025/03/25,"289,979","2,967,118",10.4,10.4,10.15,10.15,-0.2,148
2025/03/26,"99,441","1,018,826",10.15,10.3,10.15,10.3,0.15,77
2025/03/27,"51,953","532,369",10.2,10.4,10.2,10.2,-0.1,40
2025/03/28,"239,952","2,407,492",10.3,10.3,9.97,10.0,-0.2,139
2025/03/31,"191,085","1,873,802",9.68,9.96,9.68,9.96,-0.04,147
2025/04/01,"280,019","2,798,544",9.75,10.05,9.75,9.98,0.02,122
2025/04/02,"91,714","907,787",9.98,9.98,9.82,9.98,0.0,66
2025/04/07,"110,827","996,330",8.99,8.99,8.99,8.99,-0.99,113
2025/04/08,"868,315","7,177,468",8.1,8.8,8.1,8.34,-0.65,390
2025/04/09,"794,225","6,245,734",8.18,8.33,7.52,7.53,-0.81,463
2025/04/10,"343,641","2,844,563",8.28,8.28,8.25,8.28,0.75,186
2025/04/11,"1,133,561","9,357,206",8.27,8.6,8.0,8.28,0.0,615
2025/04/14,"575,555","4,893,564",8.3,8.7,8.3,8.33,0.05,418
2025/04/15,"326,359","2,795,885",8.33,8.69,8.33,8.59,0.26,221
2025/04/16,"243,515","2,052,857",8.68,8.68,8.36,8.36,-0.23,295
2025/04/17,"113,304","935,592",8.34,8.34,8.17,8.3,-0.06,78
2025/04/18,"483,960","3,939,366",8.2,8.23,8.09,8.1,-0.2,283
2025/04/21,"379,878","3,022,694",7.99,8.05,7.9,7.9,-0.2,183
2025/04/22,"274,466","2,167,914",7.85,7.98,7.82,7.89,-0.01,117
2025/04/23,"219,599","1,778,434",8.0,8.15,8.0,8.12,0.23,134
2025/04/24,"153,737","1,246,910",8.13,8.17,8.05,8.1,-0.02,97
2025/04/25,"171,372","1,395,151",8.19,8.19,8.09,8.11,0.01,95
2025/04/28,"184,328","1,496,920",8.02,8.18,8.02,8.16,0.05,85
2025/04/29,"207,433","1,703,229",8.16,8.24,8.16,8.24,0.08,129
2025/04/30,"167,146","1,365,410",8.19,8.25,8.11,8.14,-0.1,128
2025/05/02,"380,661","3,171,091",8.2,8.43,8.18,8.4,0.26,190
2025/05/05,"254,413","2,136,953",8.5,8.54,8.26,8.33,-0.07,169
2025/05/06,"673,617","5,714,760",8.33,8.66,8.3,8.33,0.0,311
2025/05/07,"226,266","1,891,279",8.37,8.42,8.33,8.37,0.04,125
2025/05/08,"82,095","685,934",8.35,8.4,8.32,8.34,-0.03,64
2025/05/09,"181,088","1,505,864",8.32,8.37,8.28,8.31,-0.03,109
2025/05/12,"277,000","2,342,214",8.36,8.53,8.36,8.45,0.14,163
2025/05/13,"158,711","1,333,542",8.45,8.5,8.36,8.42,-0.03,117
2025/05/14,"185,799","1,569,409",8.43,8.51,8.38,8.47,0.05,148
2025/05/15,"212,458","1,783,980",8.45,8.45,8.37,8.39,-0.08,114
2025/05/16,"115,789","973,290",8.49,8.5,8.38,8.42,0.03,99
2025/05/19,"77,266","645,772",8.4,8.42,8.32,8.38,-0.04,83
2025/05/20,"74,410","624,527",8.38,8.44,8.35,8.44,0.06,64
2025/05/21,"188,136","1,586,916",8.44,8.49,8.4,8.49,0.05,138
2025/05/22,"89,902","754,218",8.49,8.49,8.36,8.37,-0.12,53
2025/05/23,"195,923","1,626,884",8.3,8.4,8.25,8.25,-0.12,105
2025/05/26,"153,527","1,270,327",8.22,8.37,8.22,8.35,0.1,121
2025/05/27,"61,417","512,818",8.35,8.47,8.2,8.22,-0.13,46
2025/05/28,"191,266","1,560,775",8.21,8.3,8.12,8.12,-0.1,89
2025/05/29,"122,528","988,552",8.2,8.22,8.03,8.1,-0.02,75
2025/06/02,"178,901","1,401,808",7.93,8.15,7.6,7.75,-0.35,177
2025/06/03,"146,995","1,142,931",7.76,7.87,7.72,7.78,0.03,89
2025/06/04,"141,087","1,117,169",7.78,8.0,7.78,7.9,0.12,103
2025/06/05,"59,715","471,954",7.9,7.92,7.9,7.9,0.0,48
2025/06/06,"69,840","548,903",7.9,7.91,7.81,7.83,-0.07,65
2025/06/09,"78,454","611,251",7.83,7.87,7.75,7.75,-0.08,97
2025/06/10,"121,162","949,894",7.8,7.92,7.7,7.9,0.15,90
2025/06/11,"99,240","772,256",7.92,7.92,7.7,7.76,-0.14,78
2025/06/12,"58,745","454,166",7.76,7.76,7.7,7.74,-0.02,44
2025/06/13,"129,143","986,625",7.65,7.73,7.59,7.63,-0.11,127
2025/06/16,"133,330","1,014,561",7.63,7.7,7.45,7.7,0.07,86
2025/06/17,"79,861","613,116",7.7,7.71,7.61,7.68,-0.02,55
2025/06/18,"114,169","871,075",7.65,7.68,7.53,7.57,-0.11,97
2025/06/19,"229,765","1,710,479",7.57,7.57,7.39,7.4,-0.17,195
2025/06/20,"149,437","1,084,553",7.32,7.38,7.15,7.2,-0.2,144
2025/06/23,"170,528","1,208,062",7.1,7.15,7.05,7.08,-0.12,103
2025/06/24,"234,596","1,699,693",6.94,7.35,6.94,7.35,0.27,129
2025/06/25,"80,089","582,732",7.35,7.35,7.25,7.35,0.0,76
2025/06/26,"198,097","1,455,588",7.35,7.5,7.18,7.47,0.12,130
2025/06/27,"182,839","1,377,187",7.64,7.64,7.37,7.45,-0.02,131
2025/06/30,"99,122","724,354",7.35,7.45,7.23,7.31,-0.14,112
2025/07/01,"111,145","822,236",7.32,7.46,7.28,7.46,0.15,103
2025/07/02,"90,554","667,236",7.46,7.46,7.31,7.36,-0.1,67
2025/07/03,"135,147","990,248",7.31,7.4,7.28,7.4,0.04,76
2025/07/04,"237,218","1,712,345",7.39,7.4,7.16,7.28,-0.12,140
2025/07/07,"211,138","1,490,250",7.06,7.14,7.0,7.14,-0.14,142
2025/07/08,"203,975","1,427,942",7.03,7.06,6.97,7.06,-0.08,114
2025/07/09,"72,316","507,358",7.06,7.06,6.99,7.05,-0.01,47
2025/07/10,"147,331","1,026,404",6.97,7.04,6.95,6.96,-0.09,90
2025/07/11,"181,881","1,267,488",6.91,7.03,6.91,7.01,0.05,75
2025/07/14,"113,692","796,828",7.01,7.05,6.98,6.98,-0.03,67
2025/07/15,"156,566","1,088,726",6.98,7.0,6.92,6.97,-0.01,116
2025/07/16,"134,316","945,554",6.97,7.08,6.97,7.02,0.05,94
2025/07/17,"70,976","501,366",7.04,7.09,7.04,7.05,0.03,53
2025/07/18,"62,159","439,768",7.08,7.1,7.05,7.09,0.04,61
2025/07/21,"83,473","592,555",7.06,7.13,7.06,7.09,0.0,84
2025/07/22,"188,894","1,339,559",7.06,7.14,7.04,7.04,-0.05,123
2025/07/23,"396,213","2,883,066",7.11,7.33,7.11,7.32,0.28,222
2025/07/24,"147,638","1,070,169",7.25,7.32,7.23,7.23,-0.09,134
2025/07/25,"354,020","2,686,535",7.26,7.7,7.26,7.42,0.19,254
2025/07/28,"180,748","1,326,983",7.42,7.44,7.27,7.34,-0.08,133
2025/07/29,"173,536","1,293,903",7.31,7.52,7.31,7.41,0.07,118
2025/07/30,"128,875","963,549",7.26,7.52,7.26,7.51,0.1,92
2025/07/31,"88,147","652,064",7.36,7.52,7.35,7.38,-0.13,78
2025/08/01,"120,249","880,054",7.37,7.37,7.3,7.35,-0.03,103
2025/08/04,"83,110","600,565",7.34,7.34,7.16,7.3,-0.05,77
2025/08/05,"124,725","905,938",7.29,7.3,7.25,7.27,-0.03,81
2025/08/06,"155,463","1,128,049",7.2,7.3,7.2,7.28,0.01,86
2025/08/07,"98,611","715,621",7.26,7.34,7.24,7.27,-0.01,67
2025/08/08,"145,090","1,053,357",7.22,7.35,7.22,7.29,0.02,108
2025/08/11,"159,119","1,142,949",7.3,7.3,7.15,7.17,-0.12,116
2025/08/12,"172,045","1,235,927",7.15,7.25,7.07,7.17,0.0,116
2025/08/13,"179,200","1,305,904",7.44,7.44,7.25,7.25,0.08,97
2025/08/14,"227,686","1,674,884",7.26,7.4,7.26,7.3,0.05,96
2025/08/15,"292,864","2,145,718",7.31,7.43,7.1,7.43,0.13,162
2025/08/18,"1,242,098","9,985,716",7.45,8.17,7.43,8.17,0.74,495
2025/08/19,"2,740,691","24,505,560",8.98,8.98,8.54,8.98,0.81,"2,105"
2025/08/20,"1,903,983","16,314,388",9.17,9.17,8.1,8.95,-0.03,925
2025/08/21,"870,902","7,587,121",8.9,8.9,8.6,8.69,-0.26,489
2025/08/22,"686,358","5,938,141",8.75,8.77,8.51,8.51,-0.18,323
2025/08/25,"310,411","2,659,644",8.71,8.71,8.51,8.52,0.01,215
2025/08/26,"252,750","2,123,834",8.54,8.54,8.35,8.35,-0.17,207
2025/08/27,"220,234","1,844,256",8.31,8.48,8.31,8.33,-0.02,149
2025/08/28,"229,992","1,896,519",8.32,8.33,8.21,8.22,-0.11,148
2025/08/29,"178,619","1,483,083",8.45,8.45,8.25,8.26,0.04,122
2025/09/01,"162,810","1,328,863",8.3,8.3,8.0,8.1,-0.16,118
2025/09/02,"161,062","1,312,506",8.2,8.23,8.11,8.13,0.03,74
2025/09/03,"130,521","1,065,145",8.14,8.21,8.13,8.2,0.07,72
2025/09/04,"265,024","2,173,095",8.25,8.3,8.15,8.24,0.04,145
2025/09/05,"317,231","2,569,804",8.2,8.2,8.05,8.08,-0.16,212
2025/09/08,"204,010","1,640,287",8.05,8.08,8.02,8.05,-0.03,135
2025/09/09,"175,103","1,403,089",7.97,8.09,7.97,8.03,-0.02,155
2025/09/10,"218,698","1,754,794",8.05,8.07,7.97,8.02,-0.01,137
2025/09/11,"194,332","1,547,772",7.97,8.0,7.94,7.96,-0.06,133
2025/09/12,"142,017","1,129,879",7.96,8.0,7.94,7.98,0.02,121
2025/09/15,"90,259","713,026",7.86,7.96,7.86,7.91,-0.07,61
2025/09/16,"198,734","1,558,012",7.87,7.88,7.78,7.79,-0.12,131
2025/09/17,"144,613","1,137,357",7.87,7.88,7.81,7.82,0.03,125
2025/09/18,"203,151","1,591,500",7.82,7.88,7.8,7.81,-0.01,113
2025/09/19,"105,628","825,566",7.8,7.88,7.78,7.81,0.0,102
2025/09/22,"87,452","684,422",7.83,7.85,7.8,7.8,-0.01,83
2025/09/23,"179,682","1,397,886",7.99,7.99,7.7,7.76,-0.04,155
2025/09/24,"127,384","985,817",7.76,7.8,7.71,7.75,-0.01,92
2025/09/25,"436,441","3,513,909",7.86,8.2,7.86,8.07,0.32,274
2025/09/26,"423,552","3,439,711",8.18,8.18,8.03,8.12,0.05,213
2025/09/30,"217,210","1,764,633",8.2,8.2,8.05,8.08,-0.04,127
2025/10/01,"207,050","1,652,824",8.24,8.24,7.8,8.02,-0.06,144
2025/10/02,"126,310","1,008,029",7.99,8.0,7.95,7.96,-0.06,94
2025/10/03,"124,691","984,788",8.03,8.03,7.87,7.87,-0.09,79
2025/10/07,"242,624","1,903,220",7.81,7.91,7.81,7.83,-0.04,123
2025/10/08,"207,461","1,623,563",7.89,7.89,7.79,7.83,0.0,105
2025/10/09,"216,463","1,699,267",7.8,7.93,7.8,7.87,0.04,109
2025/10/13,"179,151","1,372,456",7.8,7.8,7.61,7.67,-0.2,179
2025/10/14,"226,542","1,745,866",7.7,7.78,7.65,7.65,-0.02,148
2025/10/15,"305,952","2,313,845",7.61,7.66,7.5,7.51,-0.14,173
2025/10/16,"100,713","760,754",7.47,7.6,7.47,7.53,0.02,94
2025/10/17,"220,690","1,670,224",7.49,7.63,7.48,7.59,0.06,106
2025/10/20,"168,650","1,263,438",7.59,7.59,7.46,7.57,-0.02,105
2025/10/21,"221,209","1,655,908",7.57,7.57,7.45,7.45,-0.12,141
2025/10/22,"251,910","1,883,727",7.45,7.57,7.43,7.47,0.02,119
2025/10/23,"178,180","1,327,384",7.47,7.49,7.42,7.42,-0.05,106
2025/10/27,"183,144","1,357,813",7.4,7.45,7.37,7.39,-0.03,127
2025/10/28,"204,977","1,511,494",7.44,7.44,7.33,7.33,-0.06,123
2025/10/29,"125,194","921,230",7.4,7.4,7.34,7.36,0.03,83
2025/10/30,"103,780","758,140",7.33,7.33,7.29,7.31,-0.05,162
2025/10/31,"187,006","1,358,732",7.33,7.37,7.23,7.27,-0.04,112
2025/11/03,"219,357","1,575,904",7.23,7.27,7.16,7.18,-0.09,136
2025/11/04,"253,553","1,805,330",7.18,7.19,7.1,7.11,-0.07,130
2025/11/05,"151,223","1,070,024",7.07,7.12,7.01,7.12,0.01,95
2025/11/06,"236,083","1,709,547",7.13,7.39,7.13,7.29,0.17,119
2025/11/07,"98,503","710,246",7.2,7.27,7.18,7.2,-0.09,68
2025/11/10,"110,836","793,750",7.19,7.2,7.08,7.15,-0.05,76
2025/11/11,"149,032","1,059,149",7.07,7.16,7.07,7.12,-0.03,82
2025/11/12,"210,116","1,498,828",7.24,7.24,7.04,7.15,0.03,119
2025/11/13,"173,126","1,238,633",7.19,7.19,7.13,7.15,0.0,117
