日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"46,830","1,402,657",30.00,30.00,29.80,29.80,-0.20,41
2025/01/03,"24,831","743,280",30.00,30.00,29.90,29.90,+0.10,38
2025/01/06,"78,771","2,349,625",30.15,30.15,29.50,29.95,+0.05,116
2025/01/07,"29,423","879,488",29.95,29.95,29.80,29.80,-0.15,33
2025/01/08,"67,499","2,008,631",29.85,30.00,29.60,29.90,+0.10,37
2025/01/09,"29,199","870,430",29.90,29.90,29.70,29.90,0.00,24
2025/01/10,"38,230","1,136,907",29.80,29.85,29.65,29.65,-0.25,44
2025/01/13,"104,018","3,055,387",29.60,29.60,28.65,29.45,-0.20,124
2025/01/14,"18,100","534,250",29.50,29.60,29.45,29.55,+0.10,25
2025/01/15,"71,587","2,106,172",29.50,30.10,29.00,29.05,-0.50,155
2025/01/16,"39,178","1,142,373",29.15,29.30,29.05,29.20,+0.15,45
2025/01/17,"64,706","1,881,665",29.20,29.30,29.00,29.00,-0.20,74
2025/01/20,"37,833","1,093,374",29.00,29.00,28.80,28.85,-0.15,37
2025/01/21,"34,198","988,791",28.95,29.10,28.80,28.80,-0.05,29
2025/01/22,"53,350","1,538,499",28.80,29.25,28.80,28.80,0.00,35
2025/02/03,"31,355","904,187",28.80,29.10,28.80,28.80,0.00,33
2025/02/04,"29,256","842,422",28.80,28.80,28.75,28.75,-0.05,24
2025/02/05,"13,630","396,855",28.80,29.95,28.80,28.90,+0.15,30
2025/02/06,"44,807","1,297,450",29.00,29.00,28.90,29.00,+0.10,32
2025/02/07,"29,040","839,810",29.00,29.05,28.80,29.05,+0.05,26
2025/02/10,"51,408","1,527,382",29.50,29.95,29.25,29.80,+0.75,51
2025/02/11,"21,110","615,587",29.15,29.70,29.05,29.15,-0.65,31
2025/02/12,"22,000","643,500",29.80,29.80,29.10,29.15,0.00,20
2025/02/13,"97,942","2,904,301",29.25,30.35,29.25,29.50,+0.35,85
2025/02/14,"225,913","6,695,938",29.75,30.10,29.50,29.60,+0.10,63
2025/02/17,"38,171","1,128,858",29.65,29.65,29.50,29.50,-0.10,46
2025/02/18,"26,020","764,788",29.50,29.50,29.30,29.40,-0.10,20
2025/02/19,"7,968","235,145",29.50,29.65,29.45,29.45,+0.05,46
2025/02/20,"40,985","1,216,055",29.70,29.90,29.40,29.75,+0.30,49
2025/02/21,"30,836","906,216",29.75,29.75,29.30,29.45,-0.30,32
2025/02/24,"24,238","714,017",29.45,29.60,29.40,29.40,-0.05,26
2025/02/25,"17,080","504,835",29.40,29.65,29.40,29.60,+0.20,29
2025/02/26,"39,225","1,152,627",29.60,29.60,29.35,29.35,-0.25,31
2025/02/27,"46,825","1,371,599",29.35,29.40,29.20,29.20,-0.15,38
2025/03/03,"42,390","1,236,808",29.30,29.30,29.05,29.05,-0.15,35
2025/03/04,"38,364","1,116,519",29.10,29.20,29.05,29.10,+0.05,38
2025/03/05,"178,521","5,146,495",29.10,29.10,28.65,28.70,-0.40,156
2025/03/06,"44,342","1,269,631",28.80,28.80,28.55,28.55,-0.15,33
2025/03/07,"40,566","1,155,253",28.50,28.55,28.30,28.55,0.00,43
2025/03/10,"46,538","1,326,532",28.80,28.80,28.40,28.40,-0.15,48
2025/03/11,"110,391","3,038,748",26.05,28.00,26.05,27.30,-1.10,185
2025/03/12,"38,616","1,076,075",27.50,28.00,27.50,27.95,+0.65,42
2025/03/13,"98,044","2,751,566",29.40,29.40,27.60,27.80,-0.15,43
2025/03/14,"77,482","2,146,432",28.35,28.35,27.40,27.95,+0.15,57
2025/03/17,"37,485","1,038,245",27.65,28.35,27.45,27.65,-0.30,36
2025/03/18,"22,734","625,836",27.55,27.60,27.50,27.50,-0.15,39
2025/03/19,"30,347","831,677",27.55,27.55,27.10,27.10,-0.40,33
2025/03/20,"59,272","1,644,187",27.10,28.10,27.10,27.85,+0.75,69
2025/03/21,"39,223","1,080,329",27.50,27.80,27.20,27.20,-0.65,26
2025/03/24,"52,075","1,412,878",27.20,27.30,27.00,27.05,-0.15,32
2025/03/25,"87,647","2,354,591",27.00,27.05,26.65,26.75,-0.30,61
2025/03/26,"5,078","135,334",26.55,26.80,26.55,26.80,+0.05,6
2025/03/27,"16,061","432,434",26.95,27.15,26.90,27.15,+0.35,12
2025/03/28,"34,221","916,994",27.05,27.05,26.55,26.70,-0.45,38
2025/03/31,"63,830","1,686,408",26.40,26.70,26.30,26.70,0.00,64
2025/04/01,"4,208","113,324",27.10,27.10,26.65,26.90,+0.20,6
2025/04/02,"14,507","387,028",26.70,26.70,26.65,26.65,-0.25,24
2025/04/07,"115,478","2,771,472",24.00,24.00,24.00,24.00,-2.65,35
2025/04/08,"51,405","1,224,950",24.35,24.35,23.35,23.80,-0.20,43
2025/04/09,"189,494","4,328,448",23.50,23.50,22.00,22.00,-1.80,159
2025/04/10,"51,609","1,236,936",24.20,24.20,23.30,24.20,+2.20,22
2025/04/11,"13,017","313,354",24.15,24.20,23.85,23.85,-0.35,12
2025/04/14,"11,815","281,490",23.50,24.10,23.50,24.10,+0.25,43
2025/04/15,"40,268","990,734",24.15,24.85,24.15,24.50,+0.40,27
