日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"502,526","18,586,745",36.8,37.4,36.65,36.7,-0.45,436
2025/01/03,"420,315","15,446,856",37.05,37.35,36.55,36.55,-0.15,631
2025/01/06,"734,025","27,252,938",36.7,37.6,36.35,37.3,+0.75,721
2025/01/07,"499,980","18,534,520",37.45,37.8,36.75,36.75,-0.55,879
2025/01/08,"583,639","21,306,128",36.7,36.9,36.2,36.6,-0.15,623
2025/01/09,"850,750","31,378,939",36.9,37.55,36.1,36.3,-0.30,776
2025/01/10,"1,154,240","41,182,785",36.3,36.8,35.25,35.25,-1.05,992
2025/01/13,"1,081,525","37,335,432",35.15,35.15,34.05,35.0,-0.25,749
2025/01/14,"598,819","21,374,286",35.15,35.95,35.15,35.9,+0.90,567
2025/01/15,"1,208,120","44,211,749",36.15,37.1,36.0,36.05,+0.15,"1,220"
2025/01/16,"468,605","17,095,704",36.35,36.85,36.15,36.3,+0.25,540
2025/01/17,"1,347,224","50,160,187",36.25,37.65,36.25,37.35,+1.05,"1,074"
2025/01/20,"1,876,001","70,568,946",38.7,38.7,36.95,37.3,-0.05,"1,953"
2025/01/21,"718,402","26,634,423",36.8,37.9,36.8,36.9,-0.40,563
2025/01/22,"540,028","20,056,274",37.15,37.4,36.85,37.3,+0.40,483
2025/02/03,"579,213","21,107,505",36.9,37.0,36.0,36.65,-0.65,613
2025/02/04,"440,878","15,967,480",36.65,36.7,36.0,36.25,-0.40,597
2025/02/05,"873,190","32,431,298",36.8,37.75,36.7,36.95,+0.70,760
2025/02/06,"1,578,291","59,733,733",37.5,38.35,37.2,38.1,+1.15,"1,174"
2025/02/07,"836,267","31,385,022",37.95,37.95,37.35,37.5,-0.60,"1,073"
2025/02/10,"5,514,573","223,984,671",38.95,41.25,38.9,41.25,+3.75,"2,853"
2025/02/11,"30,289,464","1,308,243,463",43.0,44.15,41.9,42.4,+1.15,"17,779"
2025/02/12,"6,825,954","273,971,378",41.8,41.8,39.3,39.3,-3.10,"6,543"
2025/02/13,"8,095,264","335,098,046",40.1,42.35,40.0,41.3,+2.00,"5,764"
2025/02/14,"10,280,285","436,155,852",41.8,43.2,41.25,42.8,+1.50,"7,978"
2025/02/17,"5,038,422","212,755,608",42.6,43.25,41.6,42.0,-0.80,"3,487"
2025/02/18,"1,740,367","72,014,625",41.1,41.8,41.05,41.5,-0.50,"2,000"
2025/02/19,"2,517,197","102,937,073",41.5,41.55,40.55,40.75,-0.75,"2,005"
2025/02/20,"5,674,833","237,991,068",41.25,43.0,40.75,43.0,+2.25,"3,438"
2025/02/21,"4,923,423","208,674,114",43.8,43.8,41.6,41.9,-1.10,"3,436"
2025/02/24,"1,894,399","79,880,736",41.9,42.75,41.75,41.9,0.00,"1,495"
2025/02/25,"1,882,808","78,508,309",41.8,42.25,41.2,41.35,-0.55,"1,848"
2025/02/26,"22,173,195","984,883,038",44.5,45.45,43.05,43.9,+2.55,"11,161"
2025/02/27,"24,688,980","1,105,677,103",44.2,46.7,43.8,43.8,-0.10,"12,875"
2025/03/03,"5,883,638","242,566,208",41.9,42.25,40.65,40.9,-2.90,"4,457"
2025/03/04,"3,724,690","153,044,561",41.0,41.75,40.7,40.9,0.00,"2,661"
2025/03/05,"2,570,105","106,075,280",41.0,41.7,40.55,41.45,+0.55,"1,775"
2025/03/06,"9,734,369","423,426,762",44.5,44.7,42.5,42.5,+1.05,"5,839"
2025/03/07,"5,281,313","226,941,878",43.0,43.9,42.1,42.1,-0.40,"3,549"
2025/03/10,"1,755,129","73,200,977",41.55,42.05,41.2,41.9,-0.20,"1,247"
2025/03/11,"2,043,410","83,102,534",40.8,41.45,40.15,41.45,-0.45,"1,742"
2025/03/12,"2,462,838","102,523,203",42.1,42.5,41.2,41.2,-0.25,"1,707"
