日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"79,158","3,962,403",50.0,50.5,49.85,50.5,-0.10,459
2025/01/03,"27,174","1,359,733",50.3,50.3,49.85,49.85,-0.65,235
2025/01/06,"38,875","1,940,475",49.3,50.2,49.3,49.95,+0.10,231
2025/01/07,"56,714","2,823,145",49.95,50.0,49.45,49.45,-0.50,277
2025/01/08,"30,349","1,501,929",49.45,49.5,49.4,49.5,+0.05,247
2025/01/09,"63,902","3,137,821",49.2,49.25,48.75,48.75,-0.75,367
2025/01/10,"72,443","3,503,503",48.65,48.7,48.05,48.45,-0.30,515
2025/01/13,"102,072","4,826,102",48.1,48.45,46.7,47.85,-0.60,731
2025/01/14,"42,125","2,019,265",48.45,48.45,47.55,48.0,+0.15,254
2025/01/15,"67,121","3,245,553",47.9,48.8,47.6,48.4,+0.40,139
2025/01/16,"50,427","2,460,042",49.1,49.1,48.4,48.9,+0.50,118
2025/01/17,"44,412","2,160,664",48.7,48.95,48.2,48.6,-0.30,188
2025/01/20,"29,768","1,440,538",48.5,48.6,48.25,48.5,-0.10,160
2025/01/21,"222,738","11,309,872",51.6,51.9,50.0,50.4,+1.90,391
2025/01/22,"104,155","5,279,510",50.5,51.0,50.1,51.0,+0.60,212
2025/02/03,"68,081","3,450,921",51.2,51.5,50.1,50.3,-0.70,353
2025/02/04,"101,788","5,045,852",49.3,50.6,49.3,49.55,-0.75,269
2025/02/05,"39,215","1,957,559",49.7,50.2,49.65,49.9,+0.35,131
2025/02/06,"41,100","2,048,850",50.2,50.2,49.75,50.0,+0.10,126
2025/02/07,"31,489","1,569,807",50.0,50.0,49.7,49.9,-0.10,138
2025/02/10,"134,574","6,760,724",50.2,50.6,49.65,50.3,+0.40,254
2025/02/11,"70,699","3,548,417",50.6,50.6,49.85,49.85,-0.45,224
2025/02/12,"50,154","2,491,895",49.9,49.9,49.5,49.7,-0.15,356
2025/02/13,"1,054,988","56,286,102",49.6,54.6,49.6,52.9,+3.20,"1,209"
2025/02/14,"1,944,912","108,325,537",52.8,58.0,52.0,54.6,+1.70,"2,141"
2025/02/17,"411,671","22,306,230",54.8,55.5,53.1,54.2,-0.40,522
2025/02/18,"229,862","12,395,772",53.8,54.3,53.2,54.2,0.00,403
2025/02/19,"164,065","8,805,543",53.8,54.1,53.2,53.8,-0.40,705
2025/02/20,"241,721","13,116,695",54.2,55.0,53.4,54.2,+0.40,253
2025/02/21,"81,208","4,380,064",54.0,54.2,53.6,54.0,-0.20,144
2025/02/24,"70,968","3,837,452",54.0,54.4,53.7,53.9,-0.10,140
2025/02/25,"213,067","11,574,900",53.5,54.9,53.5,54.1,+0.20,311
2025/02/26,"227,381","12,401,766",55.0,55.6,53.9,53.9,-0.20,349
2025/02/27,"185,002","10,060,248",54.1,54.9,54.1,54.1,+0.20,213
2025/03/03,"188,770","10,063,437",53.8,54.1,52.9,53.2,-0.90,394
2025/03/04,"120,333","6,375,002",52.8,53.4,52.6,52.9,-0.30,254
2025/03/05,"121,056","6,427,438",52.8,53.4,52.7,53.4,+0.50,202
2025/03/06,"38,632","2,063,072",53.6,53.6,53.1,53.5,+0.10,152
2025/03/07,"37,784","2,011,580",52.9,53.5,52.9,53.2,-0.30,199
2025/03/10,"86,431","4,564,095",53.2,53.3,52.6,52.7,-0.50,202
2025/03/11,"86,261","4,456,984",51.8,52.2,51.1,52.1,-0.60,244
2025/03/12,"82,581","4,258,744",52.0,52.3,51.2,51.6,-0.50,250
2025/03/13,"65,263","3,364,465",51.6,52.0,51.3,51.3,-0.30,170
2025/03/14,"113,845","5,919,084",51.9,52.3,51.8,51.8,+0.50,131
2025/03/17,"95,996","4,937,706",51.9,51.9,51.3,51.4,-0.40,235
2025/03/18,"70,040","3,602,200",51.7,51.9,51.2,51.3,-0.10,164
2025/03/19,"102,702","5,258,165",51.4,51.5,51.0,51.2,-0.10,239
2025/03/20,"102,875","5,259,824",51.2,51.5,51.0,51.1,-0.10,365
2025/03/21,"73,186","3,728,432",51.1,51.1,50.8,50.8,-0.30,344
2025/03/24,"53,848","2,723,755",50.7,50.8,50.4,50.6,-0.20,280
2025/03/25,"91,220","4,573,937",50.5,50.5,50.0,50.0,-0.60,281
2025/03/26,"68,173","3,410,645",50.1,50.3,49.85,50.3,+0.30,232
2025/03/27,"35,565","1,776,958",50.0,50.0,49.85,50.0,-0.30,167
2025/03/28,"91,609","4,531,754",49.85,49.9,49.2,49.9,-0.10,328
2025/03/31,"451,138","22,433,574",51.6,51.6,48.7,48.7,-1.20,620
2025/04/01,"101,296","4,975,314",48.95,49.5,48.85,49.1,+0.40,236
2025/04/02,"73,684","3,610,981",48.3,49.35,48.3,49.1,0.00,158
2025/04/07,"398,170","17,780,886",44.2,46.15,44.2,44.3,-4.80,806
2025/04/08,"191,181","8,366,841",44.45,44.7,43.15,43.7,-0.60,480
2025/04/09,"434,124","17,886,185",43.85,43.85,39.55,39.8,-3.90,816
2025/04/10,"400,442","17,338,213",43.0,43.75,42.95,43.75,+3.95,315
2025/04/11,"137,994","6,039,150",43.75,44.85,42.2,43.95,+0.20,313
2025/04/14,"115,525","5,138,221",44.3,45.15,44.0,44.0,+0.05,304
2025/04/15,"62,198","2,795,216",44.3,45.3,44.3,45.0,+1.00,143
2025/04/16,"64,376","2,864,029",44.95,44.95,44.25,44.25,-0.75,271
2025/04/17,"49,448","2,168,951",43.9,44.0,43.65,43.95,-0.30,283
2025/04/18,"30,862","1,359,756",43.55,44.7,43.55,43.9,-0.05,128
2025/04/21,"32,030","1,399,630",43.95,44.8,43.4,43.75,-0.15,172
2025/04/22,"51,202","2,231,432",43.5,43.85,43.4,43.5,-0.25,117
2025/04/23,"117,496","5,140,723",43.6,44.15,43.6,43.75,+0.25,153
2025/04/24,"18,859","829,839",43.85,44.15,43.8,44.0,+0.25,88
2025/04/25,"78,139","3,439,415",44.25,44.25,43.8,43.9,-0.10,155
2025/04/28,"32,153","1,410,727",43.75,43.9,43.75,43.85,-0.05,154
2025/04/29,"110,784","4,874,417",43.85,44.5,43.85,43.9,+0.05,250
2025/04/30,"90,983","3,993,820",43.9,44.0,43.7,43.7,-0.20,328
2025/05/02,"47,310","2,089,606",43.7,44.65,43.7,44.3,+0.60,128
2025/05/05,"84,372","3,704,253",44.5,44.5,43.55,43.95,-0.35,249
2025/05/06,"81,525","3,621,169",44.5,44.8,43.9,44.0,+0.05,143
2025/05/07,"55,373","2,438,044",43.95,44.45,43.75,43.85,-0.15,257
2025/05/08,"91,895","4,032,905",43.8,44.3,43.6,44.0,+0.15,244
2025/05/09,"204,674","9,017,422",43.9,44.2,43.9,44.0,0.00,222
2025/05/12,"109,355","4,845,969",44.85,44.85,44.05,44.5,+0.50,103
2025/05/13,"134,951","6,017,391",44.55,44.8,44.35,44.5,0.00,207
2025/05/14,"231,520","10,351,068",44.9,45.0,44.45,44.9,+0.40,557
2025/05/15,"74,762","3,339,276",44.9,44.9,44.5,44.8,-0.10,176
2025/05/16,"188,634","8,475,525",44.65,45.4,44.2,44.85,+0.05,250
2025/05/19,"54,603","2,436,241",44.5,44.85,44.35,44.35,-0.50,163
2025/05/20,"142,229","6,314,542",44.95,44.95,44.25,44.35,0.00,157
2025/05/21,"104,871","4,670,867",44.6,44.9,44.35,44.4,+0.05,143
2025/05/22,"73,071","3,230,856",44.35,44.4,44.0,44.1,-0.30,249
2025/05/23,"54,152","2,385,173",43.6,44.4,43.6,44.4,+0.30,158
2025/05/26,"123,680","5,453,624",44.0,44.4,43.85,44.0,-0.40,278
2025/05/27,"125,909","5,521,523",43.85,44.4,43.65,43.7,-0.30,244
2025/05/28,"84,671","3,695,058",43.8,44.15,43.45,43.6,-0.10,160
2025/05/29,"138,785","6,034,488",43.75,44.0,43.3,43.85,+0.25,176
2025/06/02,"110,191","4,718,969",43.5,43.5,42.5,42.6,-1.25,278
2025/06/03,"100,249","4,267,423",42.75,42.95,42.25,42.4,-0.20,197
2025/06/04,"83,879","3,574,911",42.5,42.95,42.4,42.65,+0.25,122
2025/06/05,"54,931","2,365,220",42.65,43.3,42.65,43.15,+0.50,93
2025/06/06,"93,000","3,989,153",42.75,43.35,42.5,42.7,-0.45,262
2025/06/09,"201,042","8,481,322",43.1,43.1,41.85,41.9,-0.80,342
2025/06/10,"163,491","6,912,336",42.45,42.7,42.0,42.05,+0.15,306
2025/06/11,"148,408","6,218,998",42.2,42.25,41.5,41.8,-0.25,315
2025/06/12,"107,015","4,515,322",42.25,42.8,41.9,42.0,+0.20,184
2025/06/13,"82,580","3,492,541",41.9,42.55,41.9,42.3,+0.30,163
2025/06/16,"49,582","2,114,852",42.25,42.9,42.25,42.85,+0.55,77
2025/06/17,"47,120","2,013,995",42.9,42.95,42.6,42.7,-0.15,112
2025/06/18,"50,699","2,159,703",42.75,42.8,42.4,42.5,-0.20,111
2025/06/19,"103,666","4,369,656",42.3,42.4,41.9,42.0,-0.50,153
2025/06/20,"140,925","5,968,704",42.05,42.95,41.7,42.9,+0.90,145
2025/06/23,"89,695","3,806,209",43.4,43.4,42.1,42.45,-0.45,174
2025/06/24,"137,073","5,934,923",43.95,43.95,42.8,43.85,+1.40,147
2025/06/25,"65,297","2,855,778",43.8,44.0,43.25,43.8,-0.05,191
2025/06/26,"72,302","3,175,473",43.8,44.1,43.75,43.75,-0.05,108
2025/06/27,"106,692","4,650,555",43.7,43.9,43.45,43.45,-0.30,166
2025/06/30,"43,219","1,881,021",43.35,43.85,43.3,43.85,+0.40,71
2025/07/01,"135,583","6,028,997",44.1,44.9,43.95,44.5,+0.65,161
2025/07/02,"26,359","1,172,470",44.25,44.65,44.25,44.45,-0.05,136
2025/07/03,"53,537","2,390,287",44.4,44.8,44.4,44.65,+0.20,97
2025/07/04,"88,762","3,936,775",44.7,44.7,44.1,44.1,-0.55,208
2025/07/07,"40,472","1,767,488",44.15,44.15,43.45,43.45,-0.65,144
2025/07/08,"73,219","3,162,546",43.2,43.8,42.9,43.8,+0.35,128
2025/07/09,"22,912","998,903",43.5,43.7,43.5,43.6,-0.20,68
2025/07/10,"81,923","3,575,120",43.35,43.85,43.05,43.65,+0.05,128
2025/07/11,"163,351","7,189,643",43.8,44.2,43.65,44.0,+0.35,249
2025/07/14,"109,587","4,619,107",42.05,42.8,42.05,42.1,X0.00,188
2025/07/15,"280,942","11,725,303",42.1,42.1,41.5,41.6,-0.50,464
2025/07/16,"43,456","1,824,741",41.6,42.25,41.6,41.95,+0.35,118
2025/07/17,"216,744","9,102,732",42.3,42.3,41.9,42.05,+0.10,184
2025/07/18,"59,878","2,533,545",42.5,42.8,42.05,42.35,+0.30,92
2025/07/21,"41,293","1,751,532",42.2,42.6,42.2,42.4,+0.05,75
2025/07/22,"111,359","4,723,285",42.45,42.75,42.25,42.35,-0.05,138
2025/07/23,"81,877","3,506,772",42.65,43.3,42.3,43.1,+0.75,107
2025/07/24,"50,690","2,179,365",43.1,43.35,42.85,42.9,-0.20,95
2025/07/25,"27,271","1,172,807",43.05,43.2,42.9,42.9,0.00,88
2025/07/28,"15,766","672,933",42.3,42.85,42.3,42.75,-0.15,102
2025/07/29,"44,255","1,886,911",42.75,42.8,42.5,42.75,0.00,120
2025/07/30,"48,635","2,081,217",43.0,43.0,42.55,42.8,+0.05,73
2025/07/31,"42,442","1,812,987",42.8,42.8,42.6,42.8,0.00,85
2025/08/01,"41,606","1,765,692",42.2,42.8,42.1,42.6,-0.20,80
2025/08/04,"58,070","2,493,040",42.85,43.15,42.45,42.85,+0.25,110
2025/08/05,"48,659","2,086,001",42.85,42.95,42.8,42.8,-0.05,96
2025/08/06,"68,351","2,942,772",42.8,43.3,42.75,43.1,+0.30,115
2025/08/07,"68,015","2,931,604",43.5,43.5,43.0,43.1,0.00,252
2025/08/08,"59,677","2,565,625",43.0,43.15,42.55,43.15,+0.05,129
2025/08/11,"31,121","1,333,218",43.35,43.35,42.7,42.7,-0.45,160
2025/08/12,"40,856","1,745,200",42.75,42.85,42.6,42.6,-0.10,115
2025/08/13,"52,264","2,226,983",42.7,42.7,42.55,42.55,-0.05,147
2025/08/14,"40,219","1,717,112",42.55,42.9,42.55,42.9,+0.35,57
2025/08/15,"103,771","4,422,144",42.9,42.9,42.35,42.75,-0.15,193
2025/08/18,"133,244","5,713,406",42.7,43.0,42.7,43.0,+0.25,179
2025/08/19,"109,200","4,646,771",42.9,42.95,42.25,42.8,-0.20,204
2025/08/20,"108,560","4,603,185",42.55,42.8,42.25,42.3,-0.50,190
2025/08/21,"58,306","2,470,955",42.35,42.5,42.25,42.4,+0.10,175
2025/08/22,"60,373","2,557,333",42.3,42.5,42.2,42.3,-0.10,141
2025/08/25,"98,032","4,148,857",42.4,42.5,42.2,42.2,-0.10,147
2025/08/26,"95,450","4,003,998",42.1,42.2,41.75,41.9,-0.30,276
2025/08/27,"35,049","1,470,550",41.6,42.1,41.6,41.95,+0.05,165
2025/08/28,"33,699","1,421,683",42.0,42.35,42.0,42.05,+0.10,153
2025/08/29,"35,408","1,495,854",42.3,42.35,42.1,42.15,+0.10,64
2025/09/01,"1,002,177","42,091,660",42.45,42.45,41.85,42.0,-0.15,78
2025/09/02,"104,255","4,377,615",42.0,42.15,41.9,42.0,0.00,82
2025/09/03,"28,333","1,190,731",41.75,42.2,41.75,42.0,0.00,97
2025/09/04,"39,154","1,662,948",42.1,42.6,42.1,42.6,+0.60,102
2025/09/05,"31,996","1,357,113",42.3,42.55,42.25,42.4,-0.20,154
2025/09/08,"56,609","2,416,095",42.35,42.95,42.2,42.55,+0.15,127
2025/09/09,"116,816","4,955,761",42.35,42.95,42.05,42.05,-0.50,122
2025/09/10,"118,874","5,014,478",41.95,42.55,41.9,42.0,-0.05,145
2025/09/11,"100,630","4,222,914",42.0,42.35,41.75,42.3,+0.30,192
