日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"416,147","28,600,745",69.7,69.7,68.2,68.2,-1.40,608
2025/01/03,"425,626","28,688,641",68.3,68.5,66.9,66.9,-1.30,431
2025/01/06,"418,975","28,227,510",66.9,68.2,66.9,67.0,+0.10,270
2025/01/07,"125,485","8,519,873",67.5,68.4,67.4,68.2,+1.20,133
2025/01/08,"409,301","27,667,767",68.1,68.8,67.3,67.3,-0.90,286
2025/01/09,"416,654","27,834,338",67.3,67.9,66.1,66.1,-1.20,399
2025/01/10,"388,751","25,587,427",65.6,66.2,65.6,65.6,-0.50,327
2025/01/13,"573,612","36,987,566",65.3,65.3,64.2,64.3,-1.30,450
2025/01/14,"324,703","20,950,665",64.3,65.6,64.2,64.2,-0.10,346
2025/01/15,"423,311","27,948,812",64.9,66.9,64.8,65.6,+1.40,368
2025/01/16,"337,927","22,495,982",66.1,67.3,65.9,65.9,+0.30,480
2025/01/17,"243,756","16,273,119",66.2,67.5,66.0,66.5,+0.60,238
2025/01/20,"238,951","15,900,259",66.6,67.0,66.3,66.6,+0.10,198
2025/01/21,"252,087","17,024,505",67.1,68.0,67.0,67.3,+0.70,254
2025/01/22,"240,412","16,118,957",67.7,67.7,66.7,66.8,-0.50,216
2025/02/03,"316,807","21,221,580",67.0,67.4,66.4,67.3,+0.50,314
2025/02/04,"408,586","27,648,891",67.9,68.2,67.2,68.2,+0.90,298
2025/02/05,"462,659","31,601,577",69.0,69.0,67.7,67.8,-0.40,428
2025/02/06,"342,159","23,530,280",68.4,69.3,68.0,68.5,+0.70,331
2025/02/07,"337,149","23,126,947",68.4,68.9,68.2,68.3,-0.20,343
2025/02/10,"470,403","32,746,565",68.7,70.4,68.6,69.3,+1.00,450
2025/02/11,"525,464","36,413,637",70.2,70.5,68.8,68.8,-0.50,727
2025/02/12,"360,634","24,988,351",69.6,69.6,68.9,68.9,+0.10,323
2025/02/13,"780,422","55,310,771",69.9,71.2,69.8,71.0,+2.10,513
2025/02/14,"505,076","36,262,209",72.4,72.5,71.3,71.4,+0.40,460
2025/02/17,"637,380","45,263,378",72.0,72.4,70.1,70.1,-1.30,432
2025/02/18,"471,998","33,185,974",70.7,71.2,69.9,70.1,0.00,427
2025/02/19,"927,784","65,056,945",70.4,71.2,69.6,70.0,-0.10,615
2025/02/20,"772,596","54,413,994",70.0,70.9,70.0,70.4,+0.40,492
2025/02/21,"463,569","32,736,918",70.2,71.0,70.2,70.4,0.00,456
2025/02/24,"590,909","41,913,051",70.7,71.2,70.6,70.9,+0.50,349
2025/02/25,"1,244,802","89,143,081",70.4,72.0,70.4,72.0,+1.10,711
2025/02/26,"698,102","49,824,165",72.0,72.6,71.0,71.2,-0.80,581
2025/02/27,"945,142","68,422,974",70.5,73.4,70.5,72.3,+1.10,747
2025/03/03,"607,142","43,875,934",72.3,72.8,71.7,71.8,-0.50,581
2025/03/04,"953,770","69,105,029",71.9,73.1,71.4,72.1,+0.30,922
2025/03/05,"1,362,321","100,356,841",72.1,74.4,72.1,73.6,+1.50,958
2025/03/06,"1,996,188","148,134,777",74.2,74.6,73.8,74.1,+0.50,960
2025/03/07,"2,117,186","157,001,595",74.5,75.0,73.7,74.2,+0.10,"1,031"
2025/03/10,"1,948,537","145,882,341",75.5,76.0,74.3,74.9,+0.70,"1,051"
2025/03/11,"1,510,872","110,625,343",73.8,74.6,72.6,72.7,-2.20,"1,194"
2025/03/12,"1,894,452","136,756,837",72.5,73.1,71.7,72.4,-0.30,958
2025/03/13,"1,708,751","123,422,444",72.9,72.9,71.8,71.9,-0.50,955
2025/03/14,"1,382,896","101,628,248",72.5,74.3,72.2,74.2,+2.30,738
2025/03/17,"914,998","67,756,218",74.1,74.9,73.7,73.8,-0.40,796
2025/03/18,"1,037,568","77,266,953",74.9,74.9,73.8,74.7,+0.90,753
2025/03/19,"1,287,610","98,068,662",75.0,76.8,74.9,76.4,+1.70,"1,105"
2025/03/20,"536,452","40,758,426",77.6,77.6,75.1,75.2,-1.20,"1,094"
2025/03/21,"720,709","53,770,301",75.2,76.0,73.9,74.4,-0.80,804
2025/03/24,"850,058","63,290,801",75.5,75.5,73.2,73.2,-1.20,776
2025/03/25,"791,199","57,042,674",73.8,73.9,71.9,71.9,-1.30,579
2025/03/26,"1,201,860","86,462,898",72.0,72.2,71.7,72.0,+0.10,634
2025/03/27,"2,041,322","141,341,600",69.0,69.0,67.9,68.5,X0.00,975
2025/03/28,"797,356","54,455,752",68.3,68.9,68.0,68.2,-0.30,508
2025/03/31,"725,780","48,849,966",68.1,68.1,66.8,67.7,-0.50,567
2025/04/01,"518,822","35,475,492",67.2,68.9,67.2,68.6,+0.90,394
2025/04/02,"437,581","29,400,513",68.5,68.5,66.6,66.7,-1.90,427
2025/04/07,"330,604","19,869,930",60.1,60.1,60.1,60.1,-6.60,267
2025/04/08,"3,248,900","182,642,260",54.1,58.2,54.1,57.1,-3.00,"2,186"
2025/04/09,"2,345,817","131,035,630",57.1,57.3,55.1,55.3,-1.80,"1,204"
2025/04/10,"1,060,999","63,722,122",60.7,60.7,59.3,60.2,+4.90,819
2025/04/11,"498,919","29,725,147",60.4,60.7,58.3,59.7,-0.50,360
