日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"831,193","8,866,540",10.9,10.95,10.45,10.6,-0.3,"1,071"
2025/01/03,"223,209","2,369,046",10.6,10.75,10.55,10.6,0.0,379
2025/01/06,"242,858","2,602,328",10.65,10.8,10.65,10.75,0.15,206
2025/01/07,"312,261","3,304,276",10.65,10.7,10.5,10.6,-0.15,362
2025/01/08,"485,946","5,046,346",10.35,10.5,10.35,10.45,-0.15,963
2025/01/09,"854,866","8,694,053",10.45,10.45,10.0,10.1,-0.35,"1,147"
2025/01/10,"658,499","6,664,323",10.1,10.2,10.0,10.15,0.05,420
2025/01/13,"682,044","6,811,902",9.98,10.2,9.87,10.2,0.05,636
2025/01/14,"381,214","3,916,541",10.1,10.35,10.1,10.3,0.1,277
2025/01/15,"876,683","9,348,258",10.3,11.0,10.3,10.55,0.25,605
2025/01/16,"238,856","2,529,096",10.6,10.7,10.5,10.55,0.0,286
2025/01/17,"347,879","3,741,422",10.55,10.85,10.55,10.8,0.25,316
2025/01/20,"199,814","2,144,338",10.8,10.8,10.65,10.7,-0.1,216
2025/01/21,"603,113","6,658,459",10.65,11.2,10.65,11.0,0.3,428
2025/01/22,"513,242","5,632,449",11.1,11.1,10.85,10.95,-0.05,338
2025/02/03,"726,133","8,039,399",10.95,11.3,10.95,11.0,0.05,467
2025/02/04,"465,639","5,117,363",11.05,11.05,10.9,10.95,-0.05,309
2025/02/05,"248,056","2,726,545",11.0,11.1,10.9,11.0,0.05,190
2025/02/06,"222,271","2,445,397",10.95,11.05,10.95,11.05,0.05,186
2025/02/07,"172,671","1,886,792",10.9,11.0,10.9,10.9,-0.15,258
2025/02/10,"3,254,834","37,815,265",10.9,11.85,10.9,11.7,0.8,"1,743"
2025/02/11,"1,582,417","18,167,396",11.7,11.7,11.25,11.25,-0.45,991
2025/02/12,"403,094","4,565,697",11.25,11.45,11.2,11.25,0.0,296
2025/02/13,"4,369,147","52,466,045",11.2,12.35,11.2,12.15,0.9,"2,457"
2025/02/14,"3,744,154","45,933,764",12.1,12.55,11.85,12.3,0.15,"1,901"
2025/02/17,"1,111,885","13,591,722",12.4,12.45,12.1,12.15,-0.15,618
2025/02/18,"727,666","8,783,536",12.2,12.2,12.0,12.0,-0.15,405
2025/02/19,"714,762","8,718,519",12.1,12.3,12.05,12.3,0.3,370
2025/02/20,"1,275,651","15,710,775",12.4,12.6,12.15,12.15,-0.15,595
2025/02/21,"526,149","6,359,458",12.1,12.2,12.05,12.1,-0.05,407
2025/02/24,"907,086","11,108,847",12.1,12.4,12.1,12.3,0.2,408
2025/02/25,"5,086,923","65,086,963",12.2,13.2,12.15,12.8,0.5,"2,133"
2025/02/26,"2,749,226","35,175,767",12.9,13.05,12.6,12.85,0.05,"1,472"
2025/02/27,"2,982,185","38,355,675",12.8,13.0,12.7,12.75,-0.1,"1,173"
