日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"563,018","4,722,761",8.51,8.56,8.32,8.33,-0.18,448
2025/01/03,"521,777","4,330,326",8.31,8.44,8.17,8.28,-0.05,412
2025/01/06,"508,399","4,218,307",8.25,8.37,8.22,8.32,0.04,299
2025/01/07,"655,126","5,331,863",8.38,8.38,8.07,8.08,-0.24,633
2025/01/08,"480,397","3,892,190",8.08,8.18,8.02,8.17,0.09,364
2025/01/09,"423,723","3,399,222",8.19,8.19,7.95,8.0,-0.17,409
2025/01/10,"342,331","2,745,840",8.01,8.12,7.98,8.03,0.03,249
2025/01/13,"508,693","4,027,896",8.05,8.05,7.81,8.0,-0.03,778
2025/01/14,"528,431","4,253,464",8.02,8.11,7.95,8.03,0.03,509
2025/01/15,"1,595,150","13,506,035",8.08,8.79,8.04,8.38,0.35,"1,133"
2025/01/16,"462,496","3,909,826",8.53,8.61,8.38,8.4,0.02,468
2025/01/17,"1,013,410","8,827,970",8.48,8.85,8.4,8.7,0.3,818
2025/01/20,"496,489","4,328,376",8.71,8.8,8.61,8.77,0.07,468
2025/01/21,"947,165","8,444,019",8.85,9.15,8.8,8.84,0.07,687
2025/01/22,"521,009","4,605,458",8.89,8.89,8.8,8.86,0.02,521
2025/02/03,"654,505","5,829,104",8.85,9.03,8.82,8.94,0.08,700
2025/02/04,"463,621","4,143,136",9.01,9.05,8.87,8.91,-0.03,508
2025/02/05,"439,366","3,933,427",8.93,9.06,8.9,8.91,0.0,328
2025/02/06,"389,535","3,490,869",8.91,9.03,8.91,9.0,0.09,411
2025/02/07,"429,851","3,829,881",9.07,9.07,8.84,8.86,-0.14,506
2025/02/10,"3,133,091","29,994,785",9.04,9.74,8.92,9.74,0.88,"1,547"
2025/02/11,"4,768,214","45,976,695",9.8,9.9,9.3,9.37,-0.37,"2,773"
2025/02/12,"1,192,159","11,044,431",9.36,9.39,9.19,9.19,-0.18,901
