日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"7,065","134,833",19.05,19.15,19.05,19.15,0.00,27
2025/01/03,"3,023","56,693",18.75,18.75,18.75,18.75,-0.40,26
2025/01/06,"26,118","486,366",18.75,19.10,18.40,19.10,+0.35,48
2025/01/07,"10,611","200,365",19.10,19.10,19.00,19.00,-0.10,138
2025/01/08,"16,292","310,057",19.00,19.10,19.00,19.00,0.00,28
2025/01/09,"8,482","160,824",18.90,19.00,18.90,19.00,0.00,48
2025/01/10,"12,419","234,139",19.00,19.00,19.00,19.00,0.00,248
2025/01/13,"1,115","21,169",19.00,19.00,19.00,19.00,0.00,62
2025/01/14,"10,201","191,479",18.90,18.90,18.70,18.70,-0.30,48
2025/01/15,"25,629","484,490",18.65,19.10,18.60,19.10,+0.40,84
2025/01/16,669,"12,783",--,--,--,--,0.00,40
2025/01/17,"1,073","20,652",19.20,19.20,19.20,19.20,X0.00,63
2025/01/20,"28,336","566,055",19.05,20.40,19.05,20.40,+1.20,80
2025/01/21,"9,410","187,299",19.80,20.20,19.45,20.20,-0.20,77
2025/01/22,"71,088","1,364,869",20.40,20.40,18.50,19.00,-1.20,131
2025/02/03,"7,189","139,599",19.00,19.55,19.00,19.45,+0.45,83
2025/02/04,"21,083","408,677",19.40,19.40,19.10,19.10,-0.35,89
2025/02/05,"6,078","116,132",19.10,19.15,19.10,19.10,0.00,82
2025/02/06,"35,078","669,687",19.15,19.15,19.00,19.00,-0.10,67
2025/02/07,"13,206","250,509",18.75,19.00,18.75,18.95,-0.05,85
2025/02/10,"64,541","1,263,471",19.25,20.00,19.10,19.60,+0.65,187
2025/02/11,"44,223","847,756",19.55,19.60,19.10,19.10,-0.50,116
2025/02/12,"32,127","610,676",19.00,19.05,19.00,19.05,-0.05,134
2025/02/13,"58,641","1,156,028",19.45,20.00,19.45,19.50,+0.45,153
2025/02/14,"63,260","1,230,151",19.15,19.90,19.15,19.30,-0.20,165
2025/02/17,"31,858","609,061",19.00,19.35,19.00,19.30,0.00,231
2025/02/18,"27,411","525,841",19.20,19.30,19.10,19.30,0.00,119
2025/02/19,"24,214","465,444",19.40,19.40,19.20,19.25,-0.05,138
2025/02/20,"65,147","1,294,182",19.70,20.10,19.65,19.65,+0.40,153
2025/02/21,"33,445","644,881",19.40,19.40,19.20,19.35,-0.30,128
2025/02/24,"34,253","659,929",19.30,19.65,19.20,19.65,+0.30,215
2025/02/25,"66,517","1,311,837",19.65,20.05,19.55,19.75,+0.10,153
2025/02/26,"46,551","917,815",19.75,19.75,19.45,19.45,-0.30,121
2025/02/27,"45,163","881,534",19.35,20.40,19.30,19.60,+0.15,119
2025/03/03,"27,707","532,396",19.25,19.45,19.10,19.45,-0.15,168
2025/03/04,"26,806","515,123",19.25,19.40,19.20,19.40,-0.05,151
2025/03/05,"10,280","198,806",19.65,19.65,19.15,19.30,-0.10,151
2025/03/06,"6,144","117,737",19.30,19.30,19.00,19.30,0.00,123
2025/03/07,"14,160","274,276",19.60,19.60,19.30,19.35,+0.05,93
2025/03/10,"46,505","905,435",19.90,19.90,19.30,19.45,+0.10,163
2025/03/11,"49,905","969,015",19.70,19.85,19.30,19.35,-0.10,694
2025/03/12,"26,509","510,947",19.25,19.30,19.25,19.30,-0.05,403
