日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"838,043","7,839,187",9.33,9.65,9.05,9.64,+0.29,"1,210"
2025/01/03,"476,867","4,523,286",9.85,9.85,9.3,9.5,-0.14,752
2025/01/06,"457,934","4,287,856",9.36,9.5,9.25,9.35,-0.15,619
2025/01/07,"566,103","5,216,571",9.4,9.41,9.15,9.33,-0.02,459
2025/01/08,"900,638","8,492,532",9.33,9.63,9.12,9.59,+0.26,486
2025/01/09,"382,916","3,586,651",9.59,9.63,9.23,9.37,-0.22,382
2025/01/10,"471,011","4,394,999",9.22,9.4,9.22,9.4,+0.03,256
2025/01/13,"590,489","5,431,578",9.45,9.46,9.11,9.29,-0.11,375
2025/01/14,"859,234","8,368,080",9.31,10.2,9.24,9.87,+0.58,517
2025/01/15,"821,125","8,245,814",9.65,10.25,9.65,9.92,+0.05,569
2025/01/16,"1,972,421","20,898,132",9.92,10.9,9.92,10.7,+0.78,884
2025/01/17,"558,303","5,911,576",10.85,10.85,10.4,10.7,0.00,545
2025/01/20,"542,699","5,719,300",10.55,10.7,10.35,10.7,0.00,369
2025/01/21,"266,462","2,846,818",10.9,10.9,10.55,10.7,0.00,245
2025/01/22,"2,035,819","22,039,429",10.6,11.2,10.55,10.8,+0.10,741
2025/02/03,"738,800","7,744,745",10.3,10.7,10.3,10.6,-0.20,615
2025/02/04,"1,102,429","11,515,586",10.6,10.65,10.25,10.5,-0.10,674
2025/02/12,"725,987","12,096,111",17.7,17.8,16.2,16.65,X0.00,"1,270"
2025/02/13,"1,088,391","18,109,092",16.5,17.2,16.15,16.7,+0.05,"1,775"
2025/02/14,"671,345","11,120,653",16.6,16.95,16.25,16.9,+0.20,951
2025/02/17,"987,146","16,729,667",16.9,17.5,16.5,17.35,+0.45,976
2025/02/18,"916,683","16,171,507",17.25,18.5,17.1,18.1,+0.75,"1,139"
2025/02/19,"1,368,491","25,489,747",18.05,19.0,18.0,18.45,+0.35,"1,211"
2025/02/20,"1,863,225","35,471,610",18.35,19.45,18.35,19.45,+1.00,"1,504"
2025/02/21,"1,157,303","22,543,221",19.5,19.8,18.8,19.45,0.00,"1,354"
2025/02/24,"482,919","9,342,717",19.45,19.6,19.2,19.3,-0.15,970
2025/02/25,"368,536","7,049,652",19.3,19.35,19.0,19.2,-0.10,493
2025/02/26,"335,017","6,322,950",19.0,19.25,18.75,18.75,-0.45,634
2025/02/27,"469,989","8,599,175",18.8,18.85,18.0,18.1,-0.65,570
2025/03/03,"253,920","4,508,629",17.8,18.0,17.6,17.7,-0.40,641
2025/03/04,"228,005","4,010,474",17.5,17.8,17.2,17.65,-0.05,414
2025/03/05,"173,054","3,048,310",17.65,17.95,17.5,17.65,0.00,299
2025/03/06,"284,217","4,920,122",17.65,17.7,17.2,17.2,-0.45,376
2025/03/07,"313,646","5,488,959",17.1,18.4,17.05,18.1,+0.90,326
2025/03/10,"233,416","4,101,623",17.8,17.8,17.4,17.4,-0.70,459
2025/03/11,"292,219","5,055,851",17.1,17.65,16.9,17.65,+0.25,496
2025/03/12,"211,430","3,744,753",17.65,18.1,17.35,17.7,+0.05,407
2025/03/13,"204,782","3,607,998",17.7,17.95,17.1,17.6,-0.10,301
2025/03/14,"170,698","2,979,093",17.3,17.7,17.3,17.55,-0.05,313
2025/03/17,"125,669","2,190,122",17.3,17.8,17.3,17.4,-0.15,226
2025/03/18,"195,368","3,385,434",17.35,17.5,17.2,17.5,+0.10,685
2025/03/19,"121,117","2,098,318",17.55,17.55,17.15,17.5,0.00,381
2025/03/20,"168,928","2,921,657",17.5,17.5,17.2,17.4,-0.10,353
2025/03/21,"118,380","2,049,580",17.35,17.4,17.2,17.35,-0.05,318
2025/03/24,"454,117","7,784,865",17.35,17.7,16.9,16.9,-0.45,589
2025/03/25,"348,316","5,761,708",17.0,17.0,16.2,16.35,-0.55,485
2025/03/26,"345,183","5,534,063",16.35,16.45,15.8,15.9,-0.45,548
2025/03/27,"240,148","3,794,849",15.85,16.2,15.65,15.8,-0.10,579
2025/03/28,"220,303","3,376,074",15.8,15.8,15.05,15.15,-0.65,568
2025/03/31,"329,216","4,788,065",14.05,14.9,14.05,14.75,-0.40,"1,103"
2025/04/01,"284,083","4,340,411",14.8,16.2,14.65,15.4,+0.65,274
2025/04/02,"150,761","2,343,722",15.25,15.85,15.2,15.5,+0.10,216
2025/04/07,"56,965","794,589",13.95,13.95,13.95,13.95,-1.55,123
2025/04/08,"676,656","8,757,319",12.6,13.85,12.6,13.1,-0.85,360
2025/04/09,"420,852","5,046,547",12.6,13.0,11.8,11.8,-1.30,266
2025/04/10,"232,905","3,014,519",12.95,12.95,12.9,12.95,+1.15,117
2025/04/11,"194,289","2,497,562",12.85,13.35,12.45,13.05,+0.10,174
2025/04/14,"200,938","2,624,921",13.05,13.55,12.75,13.0,-0.05,183
2025/04/15,"242,152","3,229,340",13.0,13.7,13.0,13.65,+0.65,145
2025/04/16,"153,761","2,159,270",14.75,14.75,13.45,13.45,-0.20,177
2025/04/17,"91,147","1,204,876",13.8,13.8,13.05,13.35,-0.10,101
2025/04/18,"80,668","1,070,864",13.65,13.65,13.05,13.3,-0.05,101
2025/04/21,"95,033","1,231,461",13.5,13.5,12.5,12.95,-0.35,128
2025/04/22,"278,589","3,404,894",12.55,12.95,12.0,12.0,-0.95,219
2025/04/23,"215,110","2,622,589",12.5,12.5,12.0,12.15,+0.15,161
2025/04/24,"248,202","3,078,938",12.35,12.85,12.1,12.45,+0.30,145
2025/04/25,"304,525","3,758,173",12.45,12.75,12.15,12.2,-0.25,159
2025/04/28,"68,417","834,280",12.45,12.45,12.1,12.2,0.00,95
2025/04/29,"118,607","1,444,497",12.35,12.35,12.1,12.2,0.00,87
2025/04/30,"76,280","926,408",12.35,12.35,12.1,12.2,0.00,78
2025/05/02,"939,688","12,063,737",12.15,13.4,12.15,13.4,+1.20,982
2025/05/05,"386,549","5,206,541",13.45,13.85,12.6,13.7,+0.30,253
2025/05/06,"944,970","13,842,905",13.55,15.05,13.55,15.05,+1.35,908
2025/05/07,"1,072,060","16,931,398",14.8,16.45,14.8,15.75,+0.70,668
2025/05/08,"1,294,601","21,197,115",15.8,17.0,15.5,16.7,+0.95,622
2025/05/09,"617,499","10,176,381",16.65,17.05,16.05,16.7,0.00,429
2025/05/12,"362,479","5,935,211",16.7,16.75,16.1,16.35,-0.35,262
2025/05/13,"517,202","8,196,909",16.9,16.9,15.0,15.15,-1.20,388
2025/05/14,"530,631","8,460,392",15.15,16.5,15.15,16.0,+0.85,402
2025/05/15,"170,559","2,662,812",15.55,16.0,15.5,15.6,-0.40,164
2025/05/16,"702,306","11,237,262",16.05,16.4,15.55,16.3,+0.70,271
2025/05/19,"150,644","2,383,552",16.3,16.3,15.65,15.8,-0.50,148
2025/05/20,"251,697","3,865,168",16.1,16.1,15.1,15.45,-0.35,171
2025/05/21,"152,712","2,335,235",15.7,15.7,15.2,15.3,-0.15,128
2025/05/22,"112,830","1,716,987",15.3,15.5,15.1,15.15,-0.15,93
2025/05/23,"44,215","673,647",15.55,15.55,15.1,15.15,0.00,53
2025/05/26,"175,603","2,613,367",14.8,15.3,14.7,14.9,-0.25,184
2025/05/27,"100,196","1,480,650",14.8,14.95,14.7,14.75,-0.15,95
2025/05/28,"182,871","2,665,953",14.9,14.9,14.5,14.7,-0.05,107
2025/05/29,"69,838","1,011,062",14.7,14.75,14.2,14.5,-0.20,71
2025/06/02,"162,043","2,295,831",14.2,14.4,14.05,14.1,-0.40,119
2025/06/03,"711,768","10,587,790",14.0,15.5,14.0,15.3,+1.20,958
2025/06/04,"213,761","3,237,221",15.7,15.7,14.8,15.15,-0.15,152
2025/06/05,"56,421","849,696",15.3,15.35,14.9,15.1,-0.05,64
2025/06/06,"44,314","661,313",15.0,15.1,14.85,14.85,-0.25,51
2025/06/09,"94,315","1,416,915",14.7,15.3,14.7,15.15,+0.30,80
2025/06/10,"270,904","3,985,319",14.45,15.05,14.3,14.9,-0.25,153
2025/06/11,"107,992","1,622,281",14.8,15.25,14.6,15.0,+0.10,85
2025/06/12,"68,514","1,029,658",15.1,15.15,14.7,15.1,+0.10,53
2025/06/13,"45,369","673,855",15.45,15.45,14.7,14.7,-0.40,54
2025/06/16,"52,597","767,902",14.95,14.95,14.4,14.65,-0.05,56
2025/06/17,"41,444","604,373",14.8,14.8,14.4,14.7,+0.05,56
2025/06/18,"49,953","729,269",14.7,14.75,14.45,14.65,-0.05,49
2025/06/19,"64,994","934,563",14.75,14.75,14.3,14.3,-0.35,61
2025/06/20,"47,801","689,750",14.65,14.65,14.05,14.5,+0.20,46
2025/06/23,"105,901","1,523,083",14.5,14.5,14.1,14.45,-0.05,83
2025/06/24,"82,947","1,207,815",14.5,14.75,14.35,14.75,+0.30,73
2025/06/25,"36,190","529,590",14.75,15.3,14.45,14.55,-0.20,46
2025/06/26,"27,469","398,030",14.7,14.7,14.35,14.45,-0.10,46
2025/06/27,"61,288","884,696",14.5,14.55,14.3,14.35,-0.10,53
2025/06/30,"81,603","1,157,154",14.75,14.75,14.05,14.4,+0.05,101
2025/07/01,"59,838","860,720",14.7,14.7,14.2,14.2,-0.20,43
2025/07/02,"32,929","464,693",14.5,14.5,14.05,14.15,-0.05,50
2025/07/03,"94,292","1,335,091",14.3,14.3,14.1,14.2,+0.05,65
2025/07/04,"41,419","581,044",14.2,14.2,13.9,14.05,-0.15,49
2025/07/07,"62,480","850,683",14.45,14.45,13.4,13.9,-0.15,80
2025/07/08,"77,929","1,052,268",14.2,14.2,13.35,13.6,-0.30,85
2025/07/09,"118,824","1,546,014",13.6,13.6,12.65,12.9,-0.70,290
2025/07/10,"208,758","2,551,967",12.75,12.75,12.0,12.25,-0.65,263
2025/07/11,"91,886","1,104,995",11.8,12.3,11.8,12.15,-0.10,161
2025/07/14,"61,255","731,732",12.15,12.15,11.85,11.9,-0.25,66
2025/07/15,"61,222","720,615",11.9,11.9,11.6,11.8,-0.10,96
2025/07/16,"121,738","1,410,975",11.65,11.75,11.5,11.7,-0.10,145
2025/07/17,"115,125","1,333,399",11.45,11.7,11.45,11.5,-0.20,99
2025/07/18,"216,733","2,506,867",11.6,11.7,11.4,11.65,+0.15,149
2025/07/21,"64,225","751,387",11.75,11.8,11.55,11.7,+0.05,78
2025/07/22,"169,216","1,972,138",11.9,11.9,11.2,11.35,-0.35,164
2025/07/23,"209,267","2,471,935",11.3,12.45,11.3,12.45,+1.10,150
2025/07/24,"120,706","1,464,854",12.4,12.4,12.05,12.05,-0.40,112
2025/07/25,"63,072","763,588",12.35,12.35,12.0,12.1,+0.05,105
2025/07/28,"32,448","388,914",12.1,12.1,11.95,11.95,-0.15,49
2025/07/29,"99,719","1,195,027",12.1,12.1,11.85,11.85,-0.10,83
2025/07/30,"42,314","502,916",11.85,11.95,11.85,11.85,0.00,54
2025/07/31,"56,178","659,299",11.85,11.85,11.5,11.7,-0.15,75
2025/08/01,"44,049","514,515",11.8,11.85,11.6,11.7,0.00,60
2025/08/04,"116,160","1,344,369",11.8,11.8,11.15,11.5,-0.20,101
2025/08/05,"192,895","2,180,737",11.5,11.55,11.2,11.25,-0.25,158
2025/08/06,"99,039","1,131,216",11.45,11.5,11.35,11.45,+0.20,93
2025/08/07,"341,676","4,052,333",11.6,12.35,11.35,12.2,+0.75,239
2025/08/08,"228,142","2,751,642",12.0,12.25,11.8,12.15,-0.05,138
2025/08/11,"76,020","902,673",12.3,12.3,11.8,11.85,-0.30,61
2025/08/12,"136,000","1,611,855",11.85,12.5,11.45,11.9,+0.05,150
2025/08/13,"190,577","2,266,333",12.1,12.15,11.7,12.05,+0.15,96
2025/08/14,"173,490","2,083,099",12.05,12.05,11.9,12.05,0.00,71
2025/08/15,"385,497","4,635,657",12.1,12.4,11.6,12.05,0.00,174
2025/08/18,"311,296","3,842,193",12.05,12.6,11.9,12.55,+0.50,226
2025/08/19,"203,011","2,568,461",13.0,13.0,12.35,12.55,0.00,149
2025/08/20,"231,793","2,888,491",12.85,12.95,12.05,12.5,-0.05,133
2025/08/21,"106,759","1,310,087",12.35,12.45,12.2,12.2,-0.30,126
2025/08/22,"118,600","1,414,380",12.1,12.2,11.75,11.85,-0.35,100
2025/08/25,"122,921","1,451,138",11.6,12.0,11.6,11.8,-0.05,121
2025/08/26,"137,535","1,604,470",11.8,11.8,11.6,11.6,-0.20,107
2025/08/27,"118,972","1,383,413",11.7,11.8,11.55,11.75,+0.15,153
2025/08/28,"65,987","769,343",12.0,12.0,11.6,11.7,-0.05,58
2025/08/29,"135,340","1,567,720",11.7,11.8,11.5,11.65,-0.05,92
2025/09/01,"82,329","936,837",11.45,11.45,11.25,11.4,-0.25,81
2025/09/02,"158,255","1,769,595",11.4,11.4,11.1,11.3,-0.10,188
2025/09/03,"64,124","719,124",11.5,11.5,11.15,11.2,-0.10,160
2025/09/04,"147,103","1,657,718",11.3,11.5,11.15,11.4,+0.20,108
2025/09/05,"37,224","420,645",11.4,11.4,11.2,11.2,-0.20,39
2025/09/08,"116,451","1,295,774",11.4,11.4,10.9,11.2,0.00,114
2025/09/09,"251,782","2,875,770",11.4,11.7,11.2,11.6,+0.40,173
2025/09/10,"271,213","3,105,816",11.65,11.95,11.3,11.3,-0.30,184
2025/09/11,"160,737","1,797,121",11.55,11.55,11.05,11.1,-0.20,195
2025/09/12,"182,277","2,025,525",11.1,11.3,11.0,11.05,-0.05,110
2025/09/15,"48,472","541,559",11.05,11.35,11.05,11.1,+0.05,85
2025/09/16,"120,762","1,340,058",11.15,11.3,10.95,11.2,+0.10,104
2025/09/17,"68,755","769,268",11.2,11.3,11.05,11.1,-0.10,134
2025/09/18,"391,384","4,422,047",11.1,11.65,11.0,11.25,+0.15,241
2025/09/19,"147,293","1,649,652",11.25,11.4,11.1,11.15,-0.10,76
2025/09/22,"61,008","681,462",11.45,11.45,11.1,11.15,0.00,95
2025/09/23,"62,519","697,252",11.4,11.4,11.15,11.2,+0.05,88
2025/09/24,"49,824","560,270",11.2,11.35,11.2,11.2,0.00,80
2025/09/25,"156,551","1,762,417",11.5,11.55,11.15,11.15,-0.05,202
2025/09/26,"70,280","783,059",11.4,11.4,11.1,11.1,-0.05,56
2025/09/30,"53,697","603,916",11.4,11.4,11.2,11.3,+0.20,87
2025/10/01,"92,859","1,047,616",11.35,11.35,11.2,11.25,-0.05,52
2025/10/02,"131,557","1,461,005",11.3,11.3,11.0,11.05,-0.20,140
2025/10/03,"74,062","814,856",11.05,11.05,10.95,11.05,0.00,71
2025/10/07,"75,374","828,394",11.05,11.05,10.9,11.0,-0.05,81
2025/10/08,"76,618","833,617",11.2,11.2,10.85,10.95,-0.05,89
2025/10/09,"137,783","1,497,574",11.1,11.1,10.8,10.95,0.00,115
2025/10/13,"217,868","2,300,431",10.85,10.85,10.35,10.7,-0.25,162
2025/10/14,"202,667","2,178,493",10.7,11.0,10.6,10.7,0.00,139
2025/10/15,"179,251","1,871,486",10.9,10.9,10.35,10.35,-0.35,196
2025/10/16,"137,965","1,418,924",10.4,10.5,10.2,10.2,-0.15,128
2025/10/17,"75,490","774,106",10.3,10.3,10.2,10.2,0.00,71
2025/10/20,"127,541","1,285,170",10.15,10.2,10.0,10.1,-0.10,118
2025/10/21,"175,865","1,763,007",10.1,10.1,9.97,9.98,-0.12,202
2025/10/22,"140,554","1,412,986",10.05,10.1,9.99,10.1,+0.12,112
2025/10/23,"67,776","681,135",10.15,10.15,10.0,10.05,-0.05,70
2025/10/27,"193,048","1,944,052",10.0,10.3,9.98,10.0,-0.05,134
2025/10/28,"189,025","1,891,737",10.05,10.2,9.98,10.0,0.00,110
2025/10/29,"155,209","1,549,266",10.0,10.0,9.95,9.99,-0.01,165
2025/10/30,"211,108","2,096,159",9.97,10.0,9.85,9.85,-0.14,179
2025/10/31,"163,889","1,599,186",9.82,9.82,9.7,9.72,-0.13,179
2025/11/03,"308,155","2,884,753",9.86,9.86,9.21,9.23,-0.49,456
2025/11/04,"180,311","1,637,491",9.23,9.26,9.0,9.03,-0.20,160
2025/11/05,"518,549","4,848,088",9.03,9.93,8.81,9.93,+0.90,740
2025/11/06,"356,670","3,585,823",10.15,10.25,9.93,10.15,+0.22,281
2025/11/07,"131,710","1,275,253",10.0,10.0,9.55,9.6,-0.55,183
2025/11/10,"94,899","894,802",9.6,9.6,9.3,9.3,-0.30,129
2025/11/11,"61,511","571,203",9.52,9.52,9.25,9.25,-0.05,126
2025/11/12,"64,106","596,088",9.25,9.4,9.25,9.29,+0.04,68
2025/11/13,"82,478","757,497",9.28,9.28,9.13,9.15,-0.14,99
2025/11/14,"49,443","453,909",9.24,9.24,9.14,9.14,-0.01,92
2025/11/17,"38,298","348,074",9.26,9.26,9.07,9.12,-0.02,95
2025/11/18,"76,459","692,072",9.17,9.17,9.03,9.07,-0.05,67
2025/11/19,"38,740","354,127",9.5,9.5,9.04,9.07,0.00,69
2025/11/20,"95,123","873,723",9.4,9.4,9.09,9.1,+0.03,61
2025/11/21,"51,019","455,137",8.74,9.02,8.74,9.01,-0.09,82
2025/11/24,"39,172","354,538",9.12,9.12,9.01,9.06,+0.05,43
2025/11/25,"30,657","277,601",9.01,9.1,9.01,9.07,+0.01,79
2025/11/26,"150,387","1,376,146",9.18,9.22,9.07,9.22,+0.15,107
2025/11/27,"17,418","159,868",9.22,9.22,9.11,9.17,-0.05,36
2025/11/28,"57,071","518,408",9.05,9.18,9.05,9.06,-0.11,46
2025/12/01,"451,399","4,328,323",9.17,9.96,9.1,9.96,+0.90,232
