日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"142,549","2,920,252",20.8,20.85,20.3,20.4,-0.5,124
2025/01/03,"96,059","1,933,990",20.4,20.4,20.0,20.0,-0.4,84
2025/01/06,"127,483","2,567,116",19.95,20.35,19.8,20.3,0.3,106
2025/01/07,"72,367","1,460,174",20.5,20.5,19.95,20.25,-0.05,75
2025/01/08,"87,911","1,770,637",20.25,20.25,19.9,20.25,0.0,67
2025/01/09,"83,074","1,659,920",20.1,20.2,19.8,19.8,-0.45,89
2025/01/10,"84,122","1,668,667",19.55,20.1,19.55,19.8,0.0,77
2025/01/13,"127,377","2,497,458",19.8,19.9,19.5,19.5,-0.3,119
2025/01/14,"130,979","2,578,143",19.55,19.95,19.55,19.9,0.4,80
2025/01/15,"1,196,720","25,608,072",19.9,21.85,19.8,20.8,0.9,871
2025/01/16,"261,818","5,474,378",20.85,21.45,20.7,20.7,-0.1,217
2025/01/17,"255,986","5,392,546",20.9,21.45,20.75,20.75,0.05,201
2025/01/20,"150,835","3,156,320",20.9,21.05,20.7,21.05,0.3,132
2025/01/21,"596,205","12,940,000",21.25,22.25,21.25,21.4,0.35,443
2025/01/22,"270,723","5,779,131",21.6,21.6,21.15,21.6,0.2,170
2025/02/03,"276,405","6,058,214",21.7,22.2,21.7,21.75,0.15,228
2025/02/04,"82,411","1,778,564",21.85,22.0,21.3,21.4,-0.35,118
2025/02/05,"85,295","1,832,657",21.65,21.75,21.35,21.35,-0.05,81
2025/02/06,"66,493","1,429,162",21.45,21.6,21.4,21.6,0.25,55
2025/02/07,"61,700","1,316,343",21.55,21.55,21.3,21.3,-0.3,47
2025/02/10,"1,613,001","36,530,121",21.5,23.3,21.45,22.5,1.2,"1,249"
2025/02/11,"512,070","11,306,574",22.3,22.45,21.8,21.9,-0.6,373
2025/02/12,"104,900","2,281,889",21.9,21.95,21.6,21.6,-0.3,151
2025/02/13,"1,656,712","38,939,133",21.9,23.75,21.9,23.75,2.15,"1,881"
2025/02/14,"5,612,034","139,502,065",25.0,25.8,24.15,24.5,0.75,"3,519"
2025/02/17,"854,227","20,337,440",24.5,24.55,23.45,24.55,0.05,635
2025/02/18,"847,068","20,411,157",24.6,24.7,23.65,24.0,-0.55,701
2025/02/19,"504,342","12,075,262",23.85,24.15,23.75,24.1,0.1,365
2025/02/20,"770,744","18,691,053",24.5,24.85,23.7,23.7,-0.4,565
2025/02/21,"299,589","7,151,746",23.65,24.55,23.6,23.7,0.0,233
2025/02/24,"271,202","6,481,951",23.8,24.15,23.7,23.95,0.25,212
2025/02/25,"1,347,306","32,960,139",23.7,25.1,23.6,24.15,0.2,918
2025/02/26,"649,826","15,818,014",24.35,24.95,24.0,24.15,0.0,464
2025/02/27,"294,770","7,084,710",23.9,24.3,23.85,23.95,-0.2,223
2025/03/03,"260,268","6,107,556",23.4,23.65,23.3,23.65,-0.3,214
2025/03/04,"207,810","4,863,309",23.65,23.65,23.2,23.5,-0.15,158
2025/03/05,"225,832","5,390,562",23.45,24.05,23.4,24.0,0.5,222
2025/03/06,"145,491","3,471,095",24.0,24.1,23.7,23.7,-0.3,126
2025/03/07,"109,233","2,598,823",23.75,24.0,23.65,23.7,0.0,97
2025/03/10,"140,999","3,340,435",23.7,23.95,23.55,23.7,0.0,117
2025/03/11,"139,335","3,228,559",23.3,23.5,22.85,23.25,-0.45,133
2025/03/12,"118,153","2,763,711",23.35,23.55,23.15,23.4,0.15,80
2025/03/13,"125,850","2,883,192",23.5,23.5,22.65,22.65,-0.75,120
2025/03/14,"229,229","5,309,159",22.75,23.35,22.75,23.25,0.6,187
2025/03/17,"156,820","3,687,763",23.25,23.75,23.1,23.6,0.35,128
2025/03/18,"55,629","1,306,206",23.75,23.75,23.3,23.4,-0.2,83
2025/03/19,"113,966","2,641,275",23.2,23.4,23.1,23.2,-0.2,89
2025/03/20,"57,186","1,331,815",23.4,23.4,23.2,23.3,0.1,50
2025/03/21,"145,094","3,335,682",23.2,23.25,22.6,23.05,-0.25,176
2025/03/24,"132,378","3,069,516",23.6,23.6,22.9,23.05,0.0,104
2025/03/25,"153,799","3,483,458",22.85,22.85,22.5,22.6,-0.45,111
2025/03/26,"55,974","1,260,709",22.6,22.65,22.4,22.4,-0.2,49
2025/03/27,"44,141","985,765",22.5,22.5,22.25,22.35,-0.05,64
2025/03/28,"246,927","5,379,322",22.8,22.8,21.2,21.4,-0.95,136
2025/03/31,"1,114,588","25,078,345",21.9,23.15,21.6,22.6,1.2,850
2025/04/01,"511,814","11,587,424",22.7,23.1,22.3,22.55,-0.05,414
2025/04/02,"194,090","4,306,519",22.4,22.4,22.05,22.1,-0.45,165
2025/04/07,"150,250","2,990,342",19.9,19.9,19.9,19.9,-2.2,69
2025/04/08,"788,367","14,369,985",18.3,18.95,17.95,18.45,-1.45,391
2025/04/09,"744,548","12,841,425",18.15,18.2,16.65,17.4,-1.05,395
2025/04/10,"271,575","5,148,380",18.7,19.1,18.7,19.1,1.7,145
