日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"101,693","2,414,649",23.75,23.85,23.6,23.65,-0.25,105
2025/01/03,"198,925","4,689,641",23.7,23.8,23.4,23.5,-0.15,137
2025/01/06,"230,025","5,444,116",23.5,23.85,23.45,23.8,+0.30,146
2025/01/07,"207,269","4,933,025",23.9,24.0,23.55,23.6,-0.20,104
2025/01/08,"124,061","2,951,199",23.6,23.85,23.6,23.75,+0.15,61
2025/01/09,"191,856","4,538,343",23.85,23.9,23.5,23.5,-0.25,120
2025/01/10,"171,617","4,059,592",23.65,23.8,23.4,23.55,+0.05,105
2025/01/13,"374,254","8,778,925",23.4,23.7,23.15,23.55,0.00,236
2025/01/14,"80,142","1,892,220",23.65,23.7,23.5,23.55,0.00,54
2025/01/15,"357,793","8,606,754",23.6,24.3,23.55,23.8,+0.25,223
2025/01/16,"251,505","6,040,958",24.15,24.35,23.8,23.8,0.00,186
2025/01/17,"274,856","6,617,586",23.75,24.35,23.75,24.25,+0.45,171
2025/01/20,"136,737","3,311,295",24.4,24.4,24.05,24.2,-0.05,118
2025/01/21,"108,100","2,631,570",24.35,24.45,24.2,24.35,+0.15,82
2025/01/22,"243,227","5,911,026",24.45,24.5,24.15,24.2,-0.15,161
2025/02/03,"438,959","10,701,077",24.2,24.6,24.1,24.5,+0.30,281
2025/02/04,"216,350","5,239,065",24.5,24.5,24.1,24.15,-0.35,134
2025/02/05,"180,705","4,366,764",24.25,24.45,24.0,24.15,0.00,130
2025/02/06,"179,751","4,337,616",24.15,24.25,24.05,24.15,0.00,103
2025/02/07,"136,247","3,287,641",24.25,24.25,24.0,24.2,+0.05,100
2025/02/10,"1,030,258","25,714,169",24.1,25.4,24.1,25.1,+0.90,667
2025/02/11,"527,184","13,014,031",25.0,25.05,24.5,24.55,-0.55,354
2025/02/12,"268,192","6,544,036",24.85,24.85,24.25,24.35,-0.20,222
2025/02/13,"1,541,801","39,192,234",24.45,25.75,24.45,25.55,+1.20,859
2025/02/14,"924,384","23,903,653",25.55,26.15,25.4,25.8,+0.25,673
2025/02/17,"501,773","12,851,921",25.9,25.9,25.3,25.75,-0.05,363
2025/02/18,"274,218","7,002,664",25.65,25.7,25.4,25.5,-0.25,195
2025/02/19,"297,584","7,639,183",25.6,25.8,25.4,25.8,+0.30,173
2025/02/20,"446,396","11,582,302",26.1,26.3,25.7,25.7,-0.10,288
2025/02/21,"248,254","6,405,817",25.9,25.9,25.7,25.8,+0.10,146
2025/02/24,"463,599","11,969,935",25.5,26.0,25.5,25.85,+0.05,248
2025/02/25,"514,444","13,382,590",25.85,26.3,25.7,26.05,+0.20,365
2025/02/26,"392,651","10,200,636",26.1,26.3,25.8,25.85,-0.20,306
2025/02/27,"633,945","16,546,633",25.7,26.5,25.7,26.35,+0.50,419
2025/03/03,"548,059","14,169,565",26.2,26.2,25.5,25.8,-0.55,337
2025/03/04,"1,322,493","34,832,060",25.8,26.8,25.6,26.55,+0.75,763
2025/03/05,"638,138","16,966,763",26.6,26.8,26.1,26.7,+0.15,424
2025/03/06,"947,674","25,441,243",26.7,27.1,26.5,27.0,+0.30,562
2025/03/07,"505,628","13,551,304",26.9,27.0,26.65,26.65,-0.35,316
2025/03/10,"848,509","22,941,743",27.0,27.35,26.8,27.15,+0.50,541
2025/03/11,"1,050,358","28,362,372",27.05,27.25,26.55,27.15,0.00,691
2025/03/12,"669,195","18,247,107",27.25,27.5,26.9,27.5,+0.35,511
2025/03/13,"612,767","16,725,662",27.55,27.55,27.05,27.1,-0.40,301
2025/03/14,"539,263","14,767,102",27.35,27.6,27.15,27.55,+0.45,349
2025/03/17,"582,889","16,121,456",27.65,27.8,27.45,27.75,+0.20,347
2025/03/18,"534,146","14,775,052",27.8,27.8,27.5,27.55,-0.20,317
2025/03/19,"420,294","11,597,690",27.65,27.8,27.45,27.5,-0.05,285
2025/03/20,"542,374","14,884,279",27.65,27.65,27.35,27.35,-0.15,309
