日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"270,547","4,424,561",16.5,16.5,16.3,16.4,-0.15,195
2025/01/03,"474,766","7,715,960",16.4,16.4,16.1,16.4,0.00,260
2025/01/06,"304,346","4,983,300",16.4,16.45,16.25,16.45,+0.05,178
2025/01/07,"286,216","4,652,692",16.45,16.7,16.1,16.15,-0.30,210
2025/01/08,"244,576","3,917,295",16.05,16.15,16.0,16.0,-0.15,172
2025/01/09,"654,845","10,390,291",16.1,16.1,15.7,15.75,-0.25,347
2025/01/10,"490,694","7,681,595",15.6,15.8,15.55,15.7,-0.05,267
2025/01/13,"637,680","9,809,149",15.6,15.6,15.2,15.6,-0.10,399
2025/01/14,"240,067","3,773,136",15.5,15.85,15.5,15.7,+0.10,200
2025/01/15,"1,166,703","19,071,579",15.8,16.7,15.7,16.25,+0.55,762
2025/01/16,"324,505","5,260,650",16.25,16.35,16.1,16.15,-0.10,256
2025/01/17,"878,968","14,277,457",16.05,16.5,16.05,16.15,0.00,278
2025/01/20,"791,335","12,786,595",16.25,16.45,16.0,16.1,-0.05,315
2025/01/21,"1,302,820","21,539,757",16.2,16.95,16.2,16.4,+0.30,627
2025/01/22,"738,134","12,113,960",16.5,16.5,16.35,16.4,0.00,262
2025/02/03,"960,477","15,894,176",16.4,16.75,16.35,16.5,+0.10,413
2025/02/04,"437,478","7,287,342",16.5,16.75,16.5,16.75,+0.25,294
2025/02/05,"264,035","4,456,588",16.9,17.1,16.7,16.75,0.00,264
2025/02/06,"347,268","5,838,513",16.9,17.0,16.6,16.9,+0.15,221
2025/02/07,"204,954","3,432,516",17.05,17.05,16.65,16.8,-0.10,178
2025/02/10,"2,449,395","42,714,962",16.9,17.8,16.85,17.45,+0.65,"1,444"
2025/02/11,"849,367","14,600,629",17.65,17.65,16.95,17.1,-0.35,472
2025/02/12,"356,466","6,069,811",17.1,17.2,16.9,16.9,-0.20,255
2025/02/13,"3,584,493","64,456,183",17.15,18.3,16.95,18.15,+1.25,"1,793"
2025/02/14,"4,202,369","77,640,614",18.4,18.85,18.0,18.5,+0.35,"2,136"
2025/02/17,"967,702","17,674,891",18.5,18.5,17.95,18.45,-0.05,816
2025/02/18,"1,029,671","19,043,619",18.4,18.65,18.2,18.6,+0.15,644
2025/02/19,"792,923","14,746,904",18.5,18.75,18.45,18.65,+0.05,462
2025/02/20,"1,146,905","21,582,820",18.9,19.2,18.55,18.55,-0.10,651
2025/02/21,"562,589","10,356,254",18.45,18.6,18.3,18.4,-0.15,361
2025/02/24,"493,925","9,165,106",18.4,18.7,18.35,18.6,+0.20,358
2025/02/25,"1,772,689","33,534,825",18.65,19.15,18.5,19.0,+0.40,"1,018"
2025/02/26,"922,517","17,475,637",19.2,19.35,18.75,18.75,-0.25,673
2025/02/27,"1,057,499","20,062,141",18.8,19.15,18.8,18.9,+0.15,608
2025/03/03,"628,354","11,587,774",18.5,18.6,18.2,18.45,-0.45,541
2025/03/04,"421,648","7,735,221",18.25,18.5,18.2,18.4,-0.05,295
2025/03/05,"503,867","9,423,827",18.45,18.9,18.35,18.7,+0.30,359
2025/03/06,"389,350","7,293,826",18.85,18.85,18.65,18.7,0.00,283
2025/03/07,"489,856","9,218,592",18.65,18.9,18.65,18.8,+0.10,331
2025/03/10,"478,155","9,043,812",18.9,19.05,18.75,19.0,+0.20,357
2025/03/11,"813,053","15,269,429",19.0,19.0,18.4,18.95,-0.05,507
2025/03/12,"560,536","10,556,992",19.1,19.2,18.65,18.95,0.00,357
2025/03/13,"500,530","9,475,860",19.1,19.15,18.7,18.75,-0.20,356
2025/03/14,"573,007","10,859,914",18.75,19.1,18.75,18.9,+0.15,456
2025/03/17,"282,805","5,321,126",19.0,19.0,18.7,18.7,-0.20,375
2025/03/18,"321,071","6,011,404",18.9,18.9,18.65,18.7,0.00,280
2025/03/19,"386,015","7,245,953",18.75,18.85,18.65,18.7,0.00,264
2025/03/20,"412,183","7,661,314",18.7,18.7,18.5,18.6,-0.10,314
2025/03/21,"545,492","9,996,812",18.55,18.6,18.15,18.15,-0.45,406
2025/03/24,"210,315","3,824,361",18.15,18.25,18.1,18.2,+0.05,251
2025/03/25,"429,565","7,673,106",18.15,18.2,17.7,17.75,-0.45,337
2025/03/26,"336,092","5,967,839",17.7,17.95,17.65,17.7,-0.05,211
2025/03/27,"169,759","2,999,118",17.7,17.75,17.6,17.65,-0.05,219
2025/03/28,"661,601","11,455,864",17.6,17.6,17.1,17.4,-0.25,419
2025/03/31,"589,535","10,117,107",17.3,17.4,17.0,17.3,-0.10,355
2025/04/01,"237,827","4,158,187",17.15,17.6,17.15,17.6,+0.30,229
2025/04/02,"184,830","3,242,912",17.6,17.7,17.35,17.7,+0.10,181
2025/04/07,"129,762","2,069,660",15.95,15.95,15.95,15.95,-1.75,240
2025/04/08,"1,577,380","22,983,504",14.4,15.5,14.4,14.7,-1.25,910
2025/04/09,"1,594,350","21,857,731",14.2,14.55,13.35,13.6,-1.10,912
2025/04/10,"396,642","5,915,965",14.8,14.95,14.75,14.95,+1.35,249
2025/04/11,"554,597","8,147,207",14.4,14.95,14.3,14.75,-0.20,485
2025/04/14,"535,242","8,027,965",15.0,15.25,14.75,14.9,+0.15,790
2025/04/15,"444,085","6,775,334",14.9,15.45,14.9,15.35,+0.45,515
2025/04/16,"263,346","3,957,862",15.35,15.35,14.9,15.0,-0.35,434
2025/04/17,"297,234","4,378,528",14.85,14.85,14.6,14.8,-0.20,225
2025/04/18,"189,988","2,801,330",14.65,14.85,14.65,14.85,+0.05,241
2025/04/21,"298,533","4,356,709",14.65,14.65,14.5,14.6,-0.25,233
2025/04/22,"154,860","2,261,098",14.5,14.7,14.45,14.7,+0.10,149
2025/04/23,"177,140","2,626,458",14.7,14.9,14.7,14.75,+0.05,204
2025/04/24,"175,502","2,605,781",14.75,14.9,14.75,14.8,+0.05,128
2025/04/25,"261,745","3,922,617",14.9,15.05,14.9,14.95,+0.15,127
2025/04/28,"137,827","2,061,162",14.85,15.05,14.85,14.95,0.00,105
2025/04/29,"334,350","5,085,239",14.95,15.4,14.95,15.25,+0.30,197
2025/04/30,"183,151","2,785,212",15.3,15.4,15.05,15.05,-0.20,176
2025/05/02,"353,416","5,445,497",15.05,15.6,15.05,15.4,+0.35,225
2025/05/05,"320,679","4,892,131",15.4,15.6,14.9,15.05,-0.35,207
2025/05/06,"458,960","7,071,389",15.0,15.8,15.0,15.4,+0.35,285
2025/05/07,"194,560","2,983,877",15.3,15.4,15.25,15.3,-0.10,118
2025/05/08,"195,943","3,010,980",15.3,15.45,15.3,15.4,+0.10,124
2025/05/09,"237,465","3,672,844",15.4,15.55,15.35,15.5,+0.10,142
2025/05/12,"420,234","6,679,029",15.75,16.1,15.75,15.9,+0.40,279
2025/05/13,"536,444","8,501,594",16.05,16.1,15.7,15.75,-0.15,385
2025/05/14,"212,435","3,355,413",15.75,15.9,15.65,15.9,+0.15,261
2025/05/15,"113,301","1,786,214",16.0,16.0,15.65,15.65,-0.25,109
2025/05/16,"243,094","3,813,427",15.65,15.8,15.55,15.8,+0.15,166
2025/05/19,"195,245","3,072,061",15.85,15.85,15.6,15.75,-0.05,132
2025/05/20,"145,256","2,288,928",15.75,15.85,15.65,15.85,+0.10,120
2025/05/21,"92,221","1,455,900",15.85,15.85,15.7,15.85,0.00,112
2025/05/22,"148,753","2,326,393",15.8,15.8,15.55,15.55,-0.30,103
2025/05/23,"95,729","1,486,729",15.5,15.65,15.5,15.5,-0.05,73
2025/05/26,"135,602","2,104,623",15.55,15.55,15.45,15.55,+0.05,114
2025/05/27,"146,359","2,274,016",15.55,15.7,15.4,15.45,-0.10,94
2025/05/28,"100,274","1,545,733",15.5,15.6,15.3,15.35,-0.10,103
2025/05/29,"86,185","1,319,562",15.45,15.45,15.25,15.3,-0.05,80
2025/06/02,"308,020","4,695,815",15.1,15.6,15.0,15.6,+0.30,218
2025/06/03,"247,510","3,788,074",15.6,15.6,15.1,15.45,-0.15,179
2025/06/04,"326,889","5,076,224",15.45,15.6,15.3,15.6,+0.15,166
2025/06/05,"218,927","3,409,091",15.5,15.7,15.35,15.7,+0.10,125
2025/06/06,"73,711","1,141,668",15.5,15.6,15.45,15.45,-0.25,111
2025/06/09,"184,869","2,817,879",15.3,15.35,15.1,15.15,-0.30,161
2025/06/10,"172,066","2,626,645",15.35,15.4,15.1,15.1,-0.05,130
2025/06/11,"217,662","3,276,825",15.05,15.2,15.0,15.1,0.00,138
2025/06/12,"179,927","2,702,959",15.15,15.15,15.0,15.0,-0.10,122
2025/06/13,"263,940","3,909,438",14.9,14.95,14.75,14.75,-0.25,240
2025/06/16,"112,773","1,666,123",14.75,14.9,14.7,14.8,+0.05,108
2025/06/17,"146,831","2,185,357",14.8,14.95,14.8,14.9,+0.10,104
2025/06/18,"166,214","2,501,461",14.9,15.2,14.85,15.05,+0.15,151
2025/06/19,"155,263","2,312,851",15.0,15.05,14.8,14.8,-0.25,137
2025/06/20,"218,118","3,195,235",14.75,14.8,14.55,14.6,-0.20,198
2025/06/23,"220,164","3,155,702",14.4,14.5,14.2,14.3,-0.30,200
2025/06/24,"191,173","2,789,218",14.45,14.8,14.4,14.65,+0.35,123
2025/06/25,"117,442","1,734,795",14.85,15.0,14.7,14.75,+0.10,118
2025/06/26,"130,402","1,940,913",14.75,14.95,14.75,14.85,+0.10,116
2025/06/27,"275,421","4,111,409",14.85,15.05,14.75,14.95,+0.10,195
2025/06/30,"244,324","3,641,886",14.95,15.0,14.7,15.0,+0.05,222
2025/07/01,"166,896","2,400,927",14.45,14.5,14.3,14.45,X0.00,129
2025/07/02,"59,196","851,326",14.45,14.45,14.35,14.35,-0.10,65
2025/07/03,"176,973","2,579,244",14.45,14.75,14.3,14.65,+0.30,153
2025/07/04,"61,963","893,656",14.65,14.65,14.35,14.4,-0.25,62
2025/07/07,"114,217","1,639,695",14.3,14.45,14.25,14.4,0.00,80
2025/07/08,"104,785","1,492,077",14.4,14.4,14.2,14.25,-0.15,99
2025/07/09,"38,401","545,558",14.4,14.4,14.15,14.2,-0.05,51
2025/07/10,"210,259","2,930,298",14.05,14.05,13.85,13.9,-0.30,225
2025/07/11,"98,125","1,365,206",13.9,14.0,13.85,13.9,0.00,92
2025/07/14,"104,500","1,458,621",13.95,14.0,13.85,13.95,+0.05,101
2025/07/15,"82,644","1,150,409",13.9,14.0,13.8,13.95,0.00,73
2025/07/16,"75,995","1,056,022",13.8,13.95,13.8,13.9,-0.05,96
2025/07/17,"134,602","1,891,757",13.9,14.15,13.9,14.05,+0.15,110
2025/07/18,"67,284","947,289",14.15,14.2,14.05,14.05,0.00,56
2025/07/21,"58,566","825,182",14.05,14.15,14.0,14.1,+0.05,58
2025/07/22,"165,727","2,350,463",14.1,14.3,14.0,14.1,0.00,121
2025/07/23,"294,095","4,233,065",14.25,14.6,14.2,14.55,+0.45,209
2025/07/24,"183,728","2,669,673",14.75,14.9,14.35,14.5,-0.05,152
2025/07/25,"235,252","3,451,711",14.35,14.8,14.35,14.6,+0.10,146
2025/07/28,"104,035","1,501,063",14.6,14.6,14.35,14.45,-0.15,97
2025/07/29,"112,813","1,627,370",14.5,14.55,14.35,14.45,0.00,105
2025/07/30,"162,332","2,372,398",14.45,14.85,14.4,14.75,+0.30,118
2025/07/31,"189,934","2,768,399",14.65,14.7,14.45,14.55,-0.20,104
2025/08/01,"147,218","2,129,559",14.4,14.55,14.4,14.4,-0.15,91
