日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"312,438","14,385,524",45.95,46.4,45.8,46.1,-0.10,249
2025/01/03,"570,710","26,075,600",45.9,46.1,45.35,45.4,-0.70,384
2025/01/06,"413,271","18,916,788",45.45,46.2,45.2,45.8,+0.40,341
2025/01/07,"267,529","12,214,721",46.15,46.15,45.4,45.6,-0.20,256
2025/01/08,"325,577","14,744,740",45.6,45.6,45.05,45.5,-0.10,275
2025/01/09,"489,471","21,899,445",45.7,45.7,44.25,44.3,-1.20,463
2025/01/10,"664,468","29,836,218",44.85,45.55,44.55,44.75,+0.45,438
2025/01/13,"508,013","22,343,304",44.5,44.5,43.6,44.15,-0.60,487
2025/01/14,"556,237","25,112,202",44.05,45.55,44.05,45.4,+1.25,454
2025/01/15,"887,706","40,547,896",45.4,46.05,44.85,45.7,+0.30,727
2025/01/16,"657,937","30,008,360",46.2,46.2,45.35,45.5,-0.20,677
2025/01/17,"1,068,912","49,600,694",45.6,46.8,45.6,46.3,+0.80,921
2025/01/20,"490,887","22,606,836",46.55,46.55,45.65,46.55,+0.25,494
2025/01/21,"638,573","29,912,530",46.1,47.2,46.1,46.7,+0.15,598
2025/01/22,"672,865","31,590,003",46.85,47.2,46.5,47.2,+0.50,563
2025/02/03,"886,220","41,802,553",47.0,47.65,46.5,47.15,-0.05,987
2025/02/04,"649,017","30,213,657",47.15,47.25,46.2,46.25,-0.90,854
2025/02/05,"440,007","20,390,415",46.75,47.0,46.1,46.15,-0.10,460
2025/02/06,"333,639","15,444,455",46.35,46.55,46.05,46.5,+0.35,324
2025/02/07,"698,890","32,001,215",46.75,46.75,45.55,45.6,-0.90,821
2025/02/10,"4,471,639","215,191,175",45.8,49.4,45.8,48.55,+2.95,"3,159"
2025/02/11,"2,358,507","112,026,747",48.3,48.55,46.8,47.3,-1.25,"2,694"
2025/02/12,"914,789","42,832,143",46.85,47.2,46.5,46.55,-0.75,801
2025/02/13,"4,747,915","233,579,989",46.95,50.1,46.7,49.75,+3.20,"3,298"
2025/02/14,"9,385,281","487,026,570",51.0,53.2,50.2,53.2,+3.45,"7,287"
