日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"68,280","909,037",13.25,13.45,13.25,13.3,-0.15,58
2025/01/03,"30,320","402,392",13.4,13.4,13.2,13.3,0.00,37
2025/01/06,"26,631","355,444",13.25,13.45,13.25,13.35,+0.05,33
2025/01/07,"72,440","964,739",13.4,13.4,13.2,13.25,-0.10,77
2025/01/08,"58,954","783,773",13.35,13.35,13.2,13.3,+0.05,57
2025/01/09,"95,759","1,249,586",13.35,13.35,12.8,12.9,-0.40,105
2025/01/10,"103,774","1,318,270",12.9,12.9,12.55,12.7,-0.20,84
2025/01/13,"205,351","2,512,032",12.45,12.5,12.05,12.15,-0.55,138
2025/01/14,"85,954","1,058,844",12.35,12.4,12.15,12.3,+0.15,60
2025/01/15,"670,981","8,966,131",12.2,13.5,12.2,13.5,+1.20,346
2025/01/16,"1,685,594","23,095,922",13.6,14.25,13.4,13.7,+0.20,861
2025/01/17,"413,627","5,681,190",13.55,13.95,13.35,13.85,+0.15,336
2025/01/20,"232,059","3,174,860",13.65,13.8,13.6,13.6,-0.25,131
2025/01/21,"880,396","12,392,499",13.5,14.35,13.5,13.9,+0.30,519
2025/01/22,"218,742","3,033,452",14.05,14.05,13.75,13.85,-0.05,129
2025/02/03,"296,910","4,137,762",13.9,14.2,13.7,13.8,-0.05,220
2025/02/04,"265,243","3,590,763",13.95,13.95,13.1,13.6,-0.20,186
2025/02/05,"124,023","1,692,464",13.9,13.9,13.5,13.5,-0.10,96
2025/02/06,"73,160","997,382",13.55,13.7,13.55,13.7,+0.20,52
2025/02/07,"75,052","1,021,056",13.65,13.7,13.55,13.7,0.00,61
2025/02/10,"1,460,904","21,648,817",14.05,15.05,14.05,15.05,+1.35,725
2025/02/11,"1,765,449","26,298,937",15.05,15.45,14.35,14.7,-0.35,957
2025/02/12,"303,622","4,438,604",14.6,14.8,14.5,14.6,-0.10,175
2025/02/13,"1,673,903","26,638,457",14.9,16.05,14.9,16.05,+1.45,500
2025/02/14,"10,035,683","176,258,677",17.65,17.65,17.0,17.65,+1.60,"3,080"
2025/02/17,"11,971,548","215,149,702",18.2,18.5,17.5,18.5,+0.85,"5,237"
2025/02/18,"7,532,453","140,581,904",18.2,19.3,18.0,18.55,+0.05,"4,030"
2025/02/19,"3,594,577","65,866,862",18.35,18.8,18.0,18.25,-0.30,"1,833"
2025/02/20,"4,739,645","89,049,505",18.95,19.35,18.2,18.4,+0.15,"2,527"
2025/02/21,"1,656,014","30,132,830",18.1,18.5,18.0,18.5,+0.10,943
2025/02/24,"1,930,327","35,913,920",18.6,18.8,18.35,18.8,+0.30,"1,062"
2025/02/25,"17,733,320","359,583,136",18.6,20.65,18.25,20.65,+1.85,"6,720"
2025/02/26,"19,944,913","427,812,692",21.7,22.4,20.8,21.7,+1.05,"9,743"
2025/02/27,"9,509,931","206,603,201",21.6,22.3,21.2,21.45,-0.25,"5,118"
2025/03/03,"4,578,003","94,473,394",20.8,21.3,19.75,20.65,-0.80,"2,944"
2025/03/04,"2,936,308","60,049,057",20.5,21.0,20.05,20.25,-0.40,"1,668"
2025/03/05,"8,146,009","171,614,799",20.45,21.6,19.85,21.2,+0.95,"4,451"
2025/03/06,"3,308,732","68,957,906",20.95,21.3,20.6,20.6,-0.60,"2,054"
2025/03/07,"3,086,343","64,295,247",20.5,21.4,20.35,20.6,0.00,"1,951"
2025/03/10,"1,828,790","38,077,745",20.65,21.05,20.6,20.85,+0.25,"1,131"
2025/03/11,"1,790,959","36,272,963",20.7,20.7,20.0,20.3,-0.55,"1,058"
2025/03/12,"1,733,287","35,206,309",20.45,21.0,20.0,20.2,-0.10,"1,122"
2025/03/13,"1,495,114","29,901,452",20.0,20.45,19.7,19.7,-0.50,926
2025/03/14,"1,592,806","32,142,414",19.8,20.45,19.8,20.2,+0.50,993
2025/03/17,"961,572","19,352,106",20.35,20.4,19.9,20.05,-0.15,548
2025/03/18,"1,446,652","29,115,318",19.95,20.3,19.85,20.2,+0.15,690
2025/03/19,"1,134,796","22,999,398",20.2,20.45,20.0,20.3,+0.10,643
2025/03/20,"674,191","13,656,849",20.45,20.5,20.1,20.3,0.00,409
2025/03/21,"1,247,326","24,581,357",20.1,20.15,19.25,19.25,-1.05,765
2025/03/24,"862,783","16,847,183",19.4,19.8,19.05,19.45,+0.20,568
2025/03/25,"1,207,556","22,828,873",19.45,19.5,18.6,18.8,-0.65,702
2025/03/26,"647,755","12,365,989",18.9,19.35,18.9,19.1,+0.30,421
2025/03/27,"621,156","11,791,583",19.05,19.25,18.8,18.8,-0.30,363
2025/03/28,"1,106,572","20,322,488",18.8,18.8,18.1,18.6,-0.20,587
2025/03/31,"5,426,582","103,938,359",18.55,19.7,18.3,18.5,-0.10,"3,062"
2025/04/01,"1,262,515","23,651,381",18.55,19.1,18.35,18.65,+0.15,750
2025/04/02,"922,455","16,924,650",18.85,18.85,18.1,18.35,-0.30,553
2025/04/07,"46,256","765,529",16.55,16.55,16.55,16.55,-1.80,55
