日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"717,682","16,443,908",22.75,23.75,22.35,22.6,+0.20,498
2025/01/03,"510,024","11,751,093",22.9,23.5,22.6,22.85,+0.25,327
2025/01/06,"911,835","21,355,917",22.9,23.9,22.9,23.25,+0.40,499
2025/01/07,"313,855","7,343,710",24.0,24.0,23.1,23.5,+0.25,205
2025/01/08,"239,000","5,651,050",23.55,23.85,23.35,23.5,0.00,192
2025/01/09,"470,547","11,157,233",23.5,23.9,23.35,23.55,+0.05,230
2025/01/10,"368,550","8,643,636",23.55,23.8,23.0,23.2,-0.35,195
2025/01/13,"174,363","4,050,625",23.25,23.5,23.0,23.2,0.00,111
2025/01/14,"80,018","1,869,798",23.2,23.55,23.1,23.3,+0.10,47
2025/01/15,"736,797","17,673,588",23.45,24.95,23.45,23.55,+0.25,539
2025/01/16,"370,200","8,804,962",23.9,24.6,23.35,23.4,-0.15,225
2025/01/17,"280,974","6,581,579",23.45,23.85,23.2,23.2,-0.20,143
2025/01/20,"454,616","10,287,262",23.3,23.35,22.35,22.35,-0.85,270
2025/01/21,"358,500","8,088,347",22.45,23.15,22.4,22.5,+0.15,162
2025/01/22,"701,688","15,954,843",22.75,23.35,22.45,22.45,-0.05,340
2025/02/03,"282,811","6,287,129",22.4,22.6,22.05,22.1,-0.35,171
2025/02/04,"122,232","2,680,768",22.1,22.45,21.6,21.65,-0.45,110
2025/02/05,"221,099","4,882,227",21.7,22.35,21.7,22.25,+0.60,156
2025/02/06,"103,997","2,299,528",22.25,22.5,21.9,21.95,-0.30,131
2025/02/07,"343,306","7,455,939",21.75,22.1,21.4,21.9,-0.05,234
2025/02/10,"1,784,640","42,083,339",21.85,24.05,21.85,23.4,+1.50,"2,903"
2025/02/11,"604,473","13,700,806",23.25,23.35,22.25,22.35,-1.05,383
2025/02/12,"151,485","3,382,763",22.35,22.6,22.05,22.35,0.00,137
2025/02/13,"1,056,633","24,607,357",22.4,23.7,22.4,23.0,+0.65,737
2025/02/14,"1,147,162","26,736,908",23.3,24.0,22.9,23.0,0.00,669
2025/02/17,"312,575","7,260,039",23.0,23.5,22.7,23.2,+0.20,245
2025/02/18,"155,417","3,579,742",23.35,23.4,22.75,22.75,-0.45,136
2025/02/19,"173,396","3,968,638",22.9,23.1,22.75,22.85,+0.10,83
2025/02/20,"290,680","6,772,961",23.1,23.5,23.1,23.1,+0.25,190
2025/02/21,"189,839","4,415,265",23.05,23.5,23.0,23.35,+0.25,138
2025/02/24,"137,441","3,175,177",23.2,23.25,23.0,23.2,-0.15,110
2025/02/25,"241,891","5,630,864",23.15,23.45,22.95,23.2,0.00,177
2025/02/26,"238,553","5,566,346",23.4,23.6,23.15,23.2,0.00,147
2025/02/27,"250,011","5,806,246",23.4,23.55,23.0,23.1,-0.10,159
2025/03/03,"174,446","3,980,852",23.0,23.0,22.65,22.8,-0.30,139
2025/03/04,"165,574","3,722,067",22.8,22.8,22.2,22.8,0.00,103
2025/03/05,"185,196","4,291,320",22.85,23.35,22.65,23.25,+0.45,133
2025/03/06,"104,459","2,409,663",23.25,23.25,22.9,23.05,-0.20,112
2025/03/07,"265,104","6,043,191",23.0,23.05,22.6,22.9,-0.15,138
2025/03/10,"656,350","15,299,114",23.1,23.5,22.8,23.0,+0.10,202
2025/03/11,"895,362","20,564,268",23.15,23.65,22.2,23.15,+0.15,350
2025/03/12,"1,363,213","31,764,929",23.2,23.75,22.9,23.4,+0.25,362
2025/03/13,"836,961","19,073,018",23.5,23.85,22.3,22.3,-1.10,513
2025/03/14,"173,103","3,880,161",22.65,22.65,22.3,22.4,+0.10,109
2025/03/17,"197,660","4,367,060",22.4,22.45,21.85,22.25,-0.15,149
2025/03/18,"126,220","2,808,776",22.35,22.4,22.1,22.1,-0.15,74
2025/03/19,"590,026","12,611,297",21.95,22.2,20.9,20.9,-1.20,351
2025/03/20,"312,990","6,505,386",21.05,21.1,20.5,20.55,-0.35,224
2025/03/21,"132,703","2,684,517",20.5,20.5,20.05,20.2,-0.35,120
2025/03/24,"120,383","2,436,398",20.15,20.5,20.1,20.1,-0.10,114
2025/03/25,"172,959","3,418,445",20.1,20.1,19.5,19.6,-0.50,151
2025/03/26,"146,869","2,879,077",19.7,19.7,19.5,19.5,-0.10,103
2025/03/27,"260,875","5,201,321",19.5,20.45,19.3,20.45,+0.95,171
2025/03/28,"207,302","4,168,003",20.5,20.5,19.85,20.15,-0.30,136
2025/03/31,"143,952","2,843,579",20.0,20.2,19.5,20.05,-0.10,126
2025/04/01,"202,502","4,078,902",20.15,20.55,19.95,20.0,-0.05,163
2025/04/02,"112,141","2,251,296",19.95,20.4,19.85,20.05,+0.05,100
2025/04/07,"591,221","10,845,218",18.05,19.75,18.05,19.2,-0.85,271
2025/04/08,"843,259","15,315,180",18.9,18.9,17.6,18.55,-0.65,413
2025/04/09,"446,644","7,901,129",18.6,18.6,16.7,17.85,-0.70,283
2025/04/10,"247,806","4,775,332",19.35,19.6,18.8,19.3,+1.45,183
2025/04/11,"222,840","4,138,193",18.65,19.25,18.35,18.55,-0.75,161
2025/04/14,"208,097","3,959,441",18.55,19.65,18.55,18.7,+0.15,166
2025/04/15,"185,260","3,470,064",18.7,18.9,18.55,18.6,-0.10,145
2025/04/16,"163,841","2,973,598",18.4,18.55,17.8,18.3,-0.30,138
2025/04/17,"106,107","1,901,553",17.95,18.1,17.8,18.05,-0.25,79
2025/04/18,"32,245","583,009",18.05,18.2,17.95,17.95,-0.10,37
2025/04/21,"191,084","3,390,632",18.1,18.2,17.45,17.9,-0.05,140
2025/04/22,"144,672","2,589,429",17.8,18.2,17.8,17.9,0.00,70
2025/04/23,"166,050","3,044,111",18.3,18.5,18.15,18.15,+0.25,102
