日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"541,213","10,488,972",19.5,19.55,19.2,19.4,-0.15,361
2025/01/03,"517,630","10,010,565",19.4,19.6,19.2,19.2,-0.20,375
2025/01/06,"640,238","12,353,057",19.45,19.5,19.05,19.2,0.00,422
2025/01/07,"1,310,879","24,907,271",19.2,19.25,18.85,18.85,-0.35,785
2025/01/08,"1,355,273","25,299,269",18.85,18.85,18.55,18.6,-0.25,708
2025/01/09,"1,140,146","21,183,336",18.65,18.9,18.4,18.45,-0.15,612
2025/01/10,"857,325","15,771,673",18.3,18.65,18.3,18.6,+0.15,373
2025/01/13,"915,417","16,724,791",18.45,18.45,18.15,18.45,-0.15,525
2025/01/14,"826,136","15,367,168",18.45,18.8,18.4,18.7,+0.25,437
2025/01/15,"676,203","12,994,035",18.7,19.4,18.7,19.2,+0.50,426
2025/01/16,"541,261","10,482,086",19.6,19.7,19.2,19.25,+0.05,345
2025/01/17,"578,793","11,348,210",19.25,19.75,19.25,19.65,+0.40,400
2025/01/20,"479,898","9,473,232",19.7,19.9,19.45,19.85,+0.20,279
2025/01/21,"686,983","13,818,607",19.85,20.35,19.8,20.05,+0.20,378
2025/01/22,"781,925","15,680,630",20.05,20.2,19.9,20.2,+0.15,358
2025/02/03,"812,411","16,426,422",20.15,20.4,20.0,20.3,+0.10,555
2025/02/04,"997,467","20,548,409",20.3,20.8,20.05,20.65,+0.35,573
2025/02/05,"758,081","15,647,679",20.7,20.95,20.3,20.3,-0.35,603
2025/02/06,"500,572","10,226,948",20.4,20.6,20.3,20.5,+0.20,295
2025/02/07,"531,816","10,743,201",20.5,20.6,20.1,20.1,-0.40,434
2025/02/10,"3,660,862","77,402,031",20.0,21.65,20.0,21.15,+1.05,"2,023"
2025/02/11,"1,405,383","29,448,451",21.1,21.3,20.55,20.75,-0.40,"1,191"
2025/02/12,"475,159","9,832,560",20.75,20.95,20.55,20.75,0.00,341
2025/02/13,"5,369,079","121,334,008",21.0,22.8,21.0,22.8,+2.05,"2,362"
2025/02/14,"28,634,843","712,792,485",24.85,25.05,24.0,25.05,+2.25,"14,076"
2025/02/17,"19,841,795","491,183,668",24.95,25.3,24.15,24.6,-0.45,"8,918"
2025/02/18,"29,718,674","775,807,996",25.0,27.05,24.5,26.65,+2.05,"13,468"
2025/02/19,"31,812,970","871,694,925",26.65,28.2,26.25,27.3,+0.65,"13,632"
2025/02/20,"21,623,098","581,961,489",27.35,28.15,26.1,26.65,-0.65,"9,769"
2025/02/21,"13,424,639","344,681,596",26.35,26.65,25.0,25.6,-1.05,"6,129"
2025/02/24,"13,402,044","352,590,317",25.55,27.2,25.4,26.75,+1.15,"7,264"
2025/02/25,"31,468,048","858,360,853",26.65,28.0,26.1,27.2,+0.45,"14,329"
2025/02/26,"29,891,877","833,578,467",28.2,28.95,27.05,27.55,+0.35,"14,517"
2025/02/27,"24,383,493","681,451,431",27.3,28.75,27.05,27.55,0.00,"12,178"
2025/03/03,"10,072,181","268,003,382",25.7,27.4,25.65,27.0,-0.55,"5,445"
2025/03/04,"6,442,636","170,778,265",26.6,27.0,26.2,26.45,-0.55,"3,702"
2025/03/05,"9,903,821","267,574,406",26.7,27.55,26.2,27.1,+0.65,"5,646"
2025/03/06,"4,728,280","126,642,727",26.95,27.15,26.6,26.7,-0.40,"3,286"
2025/03/07,"5,763,453","153,212,628",26.5,27.2,26.25,26.35,-0.35,"3,440"
2025/03/10,"5,509,484","148,290,650",26.3,27.3,26.3,26.85,+0.50,"3,272"
2025/03/11,"4,368,324","115,493,683",26.65,26.85,25.95,26.7,-0.15,"2,549"
2025/03/12,"10,867,187","295,455,408",27.35,27.95,26.7,27.05,+0.35,"5,852"
2025/03/13,"5,929,153","156,546,300",27.15,27.35,25.9,25.9,-1.15,"3,775"
2025/03/14,"5,090,026","134,944,675",26.3,26.85,26.25,26.4,+0.50,"2,670"
2025/03/17,"2,506,077","66,217,619",26.65,26.7,26.2,26.3,-0.10,"1,772"
2025/03/18,"9,546,591","258,972,172",26.85,27.45,26.45,27.35,+1.05,"4,537"
2025/03/19,"6,156,660","166,873,917",27.5,27.5,26.75,27.1,-0.25,"3,232"
2025/03/20,"3,609,787","97,191,927",27.2,27.35,26.7,26.8,-0.30,"2,337"
2025/03/21,"5,183,337","135,603,431",26.85,26.85,25.85,25.85,-0.95,"3,042"
2025/03/24,"2,966,384","76,805,777",25.9,26.25,25.65,25.7,-0.15,"1,447"
2025/03/25,"4,968,605","125,421,776",25.9,25.9,24.95,25.1,-0.60,"2,490"
2025/03/26,"1,802,260","45,686,623",25.1,25.6,25.05,25.45,+0.35,956
2025/03/27,"1,788,271","45,846,822",25.5,25.9,25.25,25.55,+0.10,"1,081"
2025/03/28,"4,138,677","102,535,390",25.4,25.55,24.45,24.9,-0.65,"1,900"
2025/03/31,"2,581,637","62,677,099",24.55,24.75,24.0,24.15,-0.75,"1,403"
2025/04/01,"1,156,723","28,364,872",24.25,24.75,24.15,24.65,+0.50,749
2025/04/02,"891,302","21,773,721",24.7,24.7,24.2,24.4,-0.25,510
2025/04/07,"578,419","12,725,218",22.0,22.0,22.0,22.0,-2.40,318
2025/04/08,"6,145,264","123,950,277",19.8,20.85,19.8,20.35,-1.65,"2,709"
2025/04/09,"5,863,633","112,800,753",19.8,20.25,18.5,18.8,-1.55,"2,448"
2025/04/10,"790,489","16,323,585",20.65,20.65,20.65,20.65,+1.85,364
2025/04/11,"2,882,536","57,924,328",20.6,20.6,19.6,20.3,-0.35,"1,136"
2025/04/14,"2,107,479","43,973,821",20.7,21.1,20.65,20.75,+0.45,964
2025/04/15,"1,615,496","33,960,274",21.15,21.2,20.8,21.0,+0.25,815
2025/04/16,"1,513,374","30,990,048",21.1,21.1,20.25,20.3,-0.70,877
2025/04/17,"1,288,964","25,941,493",20.2,20.3,20.0,20.1,-0.20,578
2025/04/18,"851,069","17,089,522",20.2,20.3,19.95,20.0,-0.10,502
2025/04/21,"1,093,251","21,656,770",20.1,20.1,19.65,19.7,-0.30,656
2025/04/22,"818,400","16,193,898",19.6,19.95,19.4,19.8,+0.10,474
2025/04/23,"1,813,306","37,214,632",20.5,20.75,20.1,20.7,+0.90,"1,046"
2025/04/24,"1,317,707","27,433,250",20.7,21.05,20.6,20.8,+0.10,612
2025/04/25,"1,429,492","30,310,502",20.85,21.5,20.85,21.35,+0.55,680
2025/04/28,"870,492","18,920,734",21.5,21.9,21.5,21.85,+0.50,501
2025/04/29,"2,497,634","56,815,240",22.2,23.2,22.2,22.75,+0.90,"1,289"
2025/04/30,"2,774,199","60,420,008",22.75,22.75,21.2,21.2,-1.55,"1,799"
2025/05/02,"3,376,317","75,526,116",21.9,22.8,21.9,22.4,+1.20,"1,611"
