日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"244,358","3,716,596",15.2,15.4,15.0,15.15,-0.05,171
2025/01/03,"272,838","4,103,141",15.5,15.5,14.9,14.95,-0.20,201
2025/01/06,"267,421","4,012,615",14.9,15.1,14.85,15.05,+0.10,185
2025/01/07,"426,708","6,264,599",15.0,15.0,14.5,14.5,-0.55,349
2025/01/08,"338,679","4,850,927",14.4,14.55,14.15,14.5,0.00,269
2025/01/09,"679,346","10,127,587",14.9,15.2,14.65,14.7,+0.20,461
2025/01/10,"317,298","4,590,984",14.8,14.8,14.35,14.4,-0.30,288
2025/01/13,"405,987","5,792,599",14.7,14.7,13.95,14.45,+0.05,247
2025/01/14,"441,005","6,420,987",14.55,14.8,14.35,14.45,0.00,287
2025/01/15,"1,377,021","21,524,091",14.65,15.85,14.65,15.85,+1.40,631
2025/01/16,"7,371,425","120,874,454",16.65,17.1,15.95,16.45,+0.60,"3,668"
2025/01/17,"2,985,100","49,757,148",16.35,17.2,16.15,16.35,-0.10,"1,468"
2025/01/20,"1,054,982","17,038,609",16.25,16.45,15.95,16.05,-0.30,545
2025/01/21,"3,626,946","60,791,829",16.2,17.35,16.2,16.55,+0.50,"2,124"
2025/01/22,"1,570,959","25,988,950",16.7,16.7,16.35,16.55,0.00,686
2025/02/03,"1,964,029","32,876,730",16.5,17.0,16.3,16.65,+0.10,922
2025/02/04,"1,360,102","21,937,074",16.55,16.55,15.55,16.15,-0.50,736
2025/02/05,"750,401","12,324,254",16.45,16.9,16.2,16.25,+0.10,437
2025/02/06,"528,789","8,616,055",16.15,16.5,16.15,16.5,+0.25,287
2025/02/07,"563,729","9,104,308",16.5,16.5,16.0,16.05,-0.45,303
2025/02/10,"3,805,553","66,017,455",16.55,17.65,16.55,17.65,+1.60,"1,933"
2025/02/11,"5,605,553","97,431,017",17.65,18.05,16.95,16.95,-0.70,"2,839"
2025/02/12,"1,102,473","18,695,018",17.0,17.3,16.7,16.75,-0.20,693
