日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/02/03,"8,300,342","2,392,186,209",284.0,296.0,282.0,287.5,-5.50,"9,877"
2025/02/04,"18,476,283","5,564,256,354",289.5,313.0,285.5,306.0,+18.50,"17,712"
2025/02/05,"22,383,014","7,096,714,240",307.0,328.0,304.0,315.0,+9.00,"42,011"
2025/02/06,"17,072,853","5,461,344,876",320.5,326.0,311.0,324.0,+9.00,"24,802"
2025/02/07,"9,104,880","2,949,770,402",324.0,327.5,318.5,325.0,+1.00,"19,791"
2025/02/10,"4,890,573","1,576,229,630",322.0,326.0,319.0,322.0,-3.00,"12,699"
2025/02/11,"20,423,577","6,929,858,259",325.0,348.5,323.5,344.5,+22.50,"20,651"
2025/02/12,"22,076,064","7,700,863,338",346.5,363.0,336.0,337.5,-7.00,"21,822"
2025/02/13,"10,670,238","3,594,511,454",338.0,347.0,332.0,333.5,-4.00,"15,308"
2025/02/14,"11,628,412","3,962,780,357",334.5,348.0,333.5,337.5,+4.00,"11,592"
2025/02/17,"26,213,591","9,375,514,576",344.5,368.0,343.5,363.5,+26.00,"24,608"
2025/02/18,"10,824,697","3,896,885,008",363.5,364.5,353.5,363.0,-0.50,"11,555"
2025/02/19,"11,000,611","3,998,109,183",368.0,371.5,358.0,358.5,-4.50,"11,264"
2025/02/20,"15,727,220","5,719,445,706",359.0,370.5,354.5,356.5,-2.00,"14,334"
2025/02/21,"7,593,516","2,717,303,662",356.5,362.5,352.0,359.0,+2.50,"8,262"
2025/02/24,"4,097,945","1,464,796,360",353.5,361.5,352.5,359.5,+0.50,"4,669"
2025/02/25,"10,244,655","3,592,469,730",357.0,361.5,342.5,347.0,-12.50,"11,239"
2025/02/26,"10,623,581","3,718,480,656",349.5,360.0,344.0,345.5,-1.50,"10,862"
2025/02/27,"24,795,166","8,020,577,639",346.0,346.5,311.5,313.0,-32.50,"29,285"
2025/03/03,"14,551,801","4,383,404,572",300.0,306.0,295.0,301.5,-11.50,"15,870"
2025/03/04,"12,612,239","3,789,878,487",300.0,306.0,297.0,301.0,-0.50,"13,739"
2025/03/05,"8,684,970","2,653,731,646",306.0,309.5,300.5,305.5,+4.50,"8,536"
2025/03/06,"11,484,542","3,576,805,505",308.5,318.0,306.5,307.0,+1.50,"11,580"
2025/03/07,"6,650,454","2,010,120,652",305.0,308.5,299.0,299.0,-8.00,"8,578"
2025/03/10,"8,339,229","2,476,774,206",301.0,303.5,290.0,299.5,+0.50,"9,601"
2025/03/11,"8,802,782","2,533,616,970",289.5,293.0,282.5,289.0,-10.50,"12,240"
2025/03/12,"5,534,613","1,619,712,995",292.5,295.5,289.0,292.5,+3.50,"6,385"
2025/03/13,"7,038,964","2,102,627,534",298.5,304.0,293.0,293.0,+0.50,"7,679"
2025/03/14,"4,453,669","1,310,564,289",296.0,298.0,289.5,295.5,+2.50,"9,615"
2025/03/17,"5,978,587","1,798,044,381",305.0,305.0,298.0,298.0,+2.50,"5,512"
2025/03/18,"5,072,828","1,520,513,089",300.0,303.0,297.0,299.5,+1.50,"4,045"
2025/03/19,"7,445,398","2,155,215,362",299.0,301.0,283.0,284.5,-15.00,"11,185"
2025/03/20,"6,675,118","1,910,025,305",288.0,290.0,280.0,286.0,+1.50,"6,463"
2025/03/21,"5,588,519","1,571,692,410",287.0,289.0,278.5,279.0,-7.00,"7,135"
2025/03/24,"8,811,206","2,411,141,229",281.0,285.0,269.0,271.0,-8.00,"10,541"
2025/03/25,"2,729,812","750,687,611",278.0,278.0,272.0,273.5,+2.50,"4,521"
2025/03/26,"2,779,158","764,387,225",277.0,278.0,272.0,274.5,+1.00,"4,518"
2025/03/27,"3,144,527","847,583,339",272.0,272.0,265.0,271.0,-3.50,"4,504"
2025/03/28,"4,513,383","1,187,923,825",270.0,271.0,258.5,261.5,-9.50,"6,505"
2025/03/31,"8,747,019","2,146,686,692",253.0,255.0,240.5,241.0,-20.50,"9,191"
2025/04/01,"6,789,156","1,636,743,768",243.5,244.0,238.0,241.5,+0.50,"6,718"
2025/04/02,"3,509,226","857,795,056",245.0,248.0,241.5,245.0,+3.50,"3,654"
2025/04/07,"366,623","80,840,224",220.5,220.5,220.5,220.5,-24.50,"1,005"
2025/04/08,"1,946,148","386,310,669",198.5,198.5,198.5,198.5,-22.00,"3,269"
2025/04/09,"4,887,428","877,063,512",179.0,183.0,179.0,179.0,-19.50,"5,361"
2025/04/10,"10,810,767","2,114,421,084",196.5,196.5,191.0,196.5,+17.50,"7,050"
2025/04/11,"11,640,947","2,126,582,544",180.0,191.0,177.0,191.0,-5.50,"9,487"
2025/04/14,"9,685,493","1,866,083,007",194.0,201.5,188.0,192.5,+1.50,"10,631"
2025/04/15,"8,346,173","1,676,752,811",198.0,206.0,195.0,205.5,+13.00,"12,277"
2025/04/16,"6,922,016","1,360,050,268",202.5,202.5,192.0,194.0,-11.50,"21,820"
2025/04/17,"3,119,401","602,866,603",193.0,197.0,189.0,194.5,+0.50,"3,321"
2025/04/18,"2,987,443","574,692,326",195.5,195.5,191.0,191.0,-3.50,"4,250"
2025/04/21,"7,139,763","1,305,558,034",191.5,192.5,178.5,180.0,-11.00,"6,337"
2025/04/22,"4,757,460","860,272,163",178.0,185.0,177.0,179.0,-1.00,"4,761"
2025/04/23,"5,043,093","936,039,878",185.0,188.5,182.0,186.5,+7.50,"4,936"
2025/04/24,"6,280,263","1,192,335,737",190.0,193.5,186.5,189.0,+2.50,"6,999"
2025/04/25,"7,204,708","1,435,368,387",195.5,202.0,195.5,200.0,+11.00,"6,838"
2025/04/28,"5,208,051","1,053,844,953",203.5,204.0,200.0,202.5,+2.50,"4,530"
2025/04/29,"10,326,235","2,212,110,785",206.5,222.5,203.0,222.5,+20.00,"11,249"
2025/04/30,"32,237,015","7,391,931,487",228.5,239.5,219.5,220.0,-2.50,"36,805"
2025/05/02,"9,978,259","2,240,595,565",225.5,228.0,221.5,225.0,+5.00,"13,802"
2025/05/05,"10,889,909","2,306,680,324",222.5,223.5,203.5,207.0,-18.00,"10,360"
2025/05/06,"7,304,887","1,506,336,629",205.0,211.0,203.0,205.5,-1.50,"11,628"
2025/05/07,"3,181,136","653,426,858",208.0,208.0,202.0,205.5,0.00,"3,322"
2025/05/08,"2,726,127","561,722,133",207.5,209.0,204.5,204.5,-1.00,"3,074"
2025/05/09,"5,051,547","1,043,360,689",206.5,210.0,202.5,208.0,+3.50,"5,079"
2025/05/12,"13,137,618","2,909,358,718",210.0,227.5,210.0,223.5,+15.50,"13,126"
2025/05/13,"19,365,429","4,513,480,195",230.5,244.5,225.0,243.0,+19.50,"19,566"
2025/05/14,"15,214,971","3,676,636,394",245.0,245.5,237.0,241.5,-1.50,"21,081"
2025/05/15,"10,860,120","2,654,752,594",241.0,250.5,239.0,243.0,+1.50,"13,571"
2025/05/16,"8,213,056","2,006,948,274",243.0,249.0,241.5,242.0,-1.00,"8,251"
2025/05/19,"8,264,751","1,986,034,640",243.0,246.5,234.0,235.0,-7.00,"8,454"
2025/05/20,"5,326,350","1,250,058,779",238.0,241.5,230.0,230.0,-5.00,"7,388"
2025/05/21,"2,774,904","643,210,955",232.0,233.5,230.0,232.5,+2.50,"2,959"
2025/05/22,"4,194,726","954,548,593",229.5,231.0,225.0,230.5,-2.00,"4,830"
2025/05/23,"3,422,221","789,281,390",231.5,233.5,227.5,230.5,0.00,"3,780"
2025/05/26,"3,235,436","743,196,138",230.5,232.5,227.5,228.0,-2.50,"3,517"
2025/05/27,"2,132,771","487,233,233",229.5,231.0,226.5,227.0,-1.00,"2,393"
2025/05/28,"3,735,884","846,085,575",231.5,233.0,222.0,223.5,-3.50,"4,283"
2025/05/29,"2,715,499","607,231,183",227.0,227.5,221.5,224.5,+1.00,"3,386"
2025/06/02,"4,078,223","882,997,073",221.0,223.0,213.0,217.0,-7.50,"4,888"
2025/06/03,"2,486,930","542,173,161",217.5,220.0,216.0,218.0,+1.00,"2,592"
2025/06/04,"6,911,979","1,565,955,900",224.5,232.5,223.0,225.0,+7.00,"6,420"
2025/06/05,"4,292,109","978,669,256",225.5,231.0,224.0,227.0,+2.00,"4,618"
2025/06/06,"2,917,281","650,035,467",227.5,227.5,220.0,221.5,-5.50,"4,062"
2025/06/09,"2,469,362","538,945,891",223.0,223.0,216.0,217.5,-4.00,"3,126"
2025/06/10,"4,306,895","934,269,292",219.0,221.0,214.0,215.5,-2.00,"5,449"
2025/06/11,"3,225,495","707,659,350",218.0,222.0,216.5,220.5,+5.00,"3,357"
2025/06/12,"2,690,297","600,307,931",220.0,226.5,218.0,221.5,+1.00,"3,232"
2025/06/13,"2,332,005","505,898,073",219.5,220.0,215.5,216.0,-5.50,"3,239"
2025/06/16,"2,443,297","521,058,888",214.0,215.5,210.5,215.5,-0.50,"3,276"
2025/06/17,"2,110,476","452,679,398",217.0,218.5,212.5,212.5,-3.00,"2,852"
2025/06/18,"1,779,009","380,050,528",214.0,215.0,212.0,214.0,+1.50,"2,061"
2025/06/19,"4,208,628","872,885,218",214.0,214.0,205.5,206.0,-8.00,"5,375"
2025/06/20,"3,626,572","741,215,824",206.0,208.5,202.0,204.0,-2.00,"3,485"
2025/06/23,"2,283,397","464,631,636",201.5,206.5,200.0,206.5,+2.50,"2,606"
2025/06/24,"2,483,335","526,167,073",209.5,214.5,209.0,212.5,+6.00,"2,847"
2025/06/25,"1,690,984","360,512,320",215.0,216.0,212.0,212.5,0.00,"2,687"
2025/06/26,"11,416,802","2,499,800,685",214.5,224.5,213.5,213.5,+1.00,"11,006"
2025/06/27,"2,959,795","628,393,874",215.5,216.0,210.0,211.5,-2.00,"4,772"
2025/06/30,"2,637,823","553,614,349",212.0,212.5,208.0,210.0,-1.50,"2,841"
2025/07/01,"1,932,723","407,498,981",211.0,213.5,208.5,209.0,-1.00,"2,334"
2025/07/02,"1,046,010","219,310,957",207.5,211.0,207.5,210.5,+1.50,"1,411"
2025/07/03,"7,259,738","1,589,531,829",212.5,223.5,212.5,223.0,+12.50,"7,499"
2025/07/04,"7,728,229","1,701,677,446",224.0,229.0,214.5,216.0,-7.00,"7,924"
2025/07/07,"3,938,775","817,535,632",215.0,215.0,205.5,206.5,-9.50,"4,964"
2025/07/08,"3,095,581","625,702,817",205.0,206.0,200.5,201.5,-5.00,"3,922"
2025/07/09,"1,551,852","315,989,561",201.5,205.5,200.0,205.0,+3.50,"1,834"
2025/07/10,"2,399,347","486,927,875",204.5,206.0,201.0,202.0,-3.00,"2,963"
2025/07/11,"2,647,009","550,052,328",203.0,211.0,202.5,208.0,+6.00,"3,075"
2025/07/14,"893,795","184,470,543",208.0,209.0,205.0,205.5,-2.50,"1,856"
2025/07/15,"807,652","167,531,470",206.5,208.0,206.0,208.0,+2.50,"1,211"
2025/07/16,"1,979,419","412,052,456",208.5,210.5,206.0,206.0,-2.00,"2,396"
2025/07/17,"4,382,594","929,561,320",206.0,216.0,206.0,214.0,X0.00,"5,003"
2025/07/18,"7,988,618","1,742,677,996",218.5,224.5,212.0,213.5,-0.50,"8,118"
2025/07/21,"3,235,270","696,357,552",215.0,217.5,213.0,215.0,+1.50,"6,421"
2025/07/22,"3,411,191","725,599,504",215.5,218.5,208.5,209.0,-6.00,"4,138"
2025/07/23,"5,609,685","1,217,309,634",209.0,220.5,209.0,217.5,+8.50,"5,587"
2025/07/24,"2,627,351","568,720,308",217.5,220.0,214.5,217.0,-0.50,"5,067"
2025/07/25,"1,989,099","428,516,059",216.0,217.5,212.5,216.5,-0.50,"2,365"
2025/07/28,"1,700,771","365,574,623",218.0,218.0,213.5,214.0,-2.50,"2,396"
2025/07/29,"1,579,827","336,359,143",214.5,215.5,211.0,212.5,-1.50,"2,024"
2025/07/30,"4,152,027","897,933,042",219.0,222.0,213.0,214.5,+2.00,"3,785"
2025/07/31,"1,763,350","375,341,443",214.5,215.0,211.5,212.5,-2.00,"2,070"
2025/08/01,"3,624,278","759,370,562",205.0,215.0,200.0,213.0,+0.50,"3,926"
2025/08/04,"3,404,590","714,250,282",211.0,213.0,207.0,210.0,-3.00,"3,931"
2025/08/05,"2,507,095","531,372,099",211.0,213.5,210.0,211.5,+1.50,"2,722"
2025/08/06,"3,212,922","669,631,329",213.5,213.5,206.0,209.0,-2.50,"6,259"
2025/08/07,"2,286,492","483,940,713",210.0,213.5,210.0,211.5,+2.50,"2,413"
2025/08/08,"4,141,907","895,512,916",212.5,218.5,212.5,216.0,+4.50,"4,687"
2025/08/11,"2,201,703","473,141,126",215.5,216.5,211.5,216.5,+0.50,"2,965"
2025/08/12,"2,315,493","494,453,966",216.5,216.5,212.0,213.5,-3.00,"3,778"
2025/08/13,"6,123,059","1,285,265,055",211.0,213.5,207.0,209.0,-4.50,"6,904"
2025/08/14,"2,637,023","549,920,818",208.0,211.0,207.0,207.5,-1.50,"3,352"
2025/08/15,"3,414,683","709,823,368",208.5,210.0,205.0,210.0,+2.50,"3,474"
2025/08/18,"8,770,198","1,901,530,166",207.5,223.0,204.5,218.5,+8.50,"8,848"
2025/08/19,"5,088,801","1,091,088,204",222.0,222.0,211.0,211.5,-7.00,"12,412"
2025/08/20,"5,565,777","1,142,289,442",210.0,210.0,203.0,203.0,-8.50,"7,558"
2025/08/21,"2,811,161","581,543,580",206.0,210.0,204.5,206.0,+3.00,"3,315"
2025/08/22,"2,891,062","591,277,242",207.5,208.0,202.5,203.0,-3.00,"3,737"
2025/08/25,"8,138,181","1,738,123,132",207.5,216.0,207.5,215.0,+12.00,"7,520"
2025/08/26,"2,826,519","605,751,376",215.0,217.0,212.0,214.0,-1.00,"9,318"
2025/08/27,"2,555,236","548,480,300",216.0,217.0,213.0,215.0,+1.00,"3,220"
2025/08/28,"3,955,817","860,349,896",215.0,221.0,213.5,215.5,+0.50,"5,393"
2025/08/29,"1,945,556","418,500,878",218.0,219.0,213.0,213.5,-2.00,"2,393"
2025/09/01,"2,887,580","606,547,916",214.5,215.5,207.0,207.0,-6.50,"4,411"
2025/09/02,"2,859,723","587,071,015",208.5,209.5,203.0,204.5,-2.50,"3,964"
2025/09/03,"1,334,423","274,726,403",206.0,207.5,204.5,205.0,+0.50,"1,823"
2025/09/04,"1,570,522","326,268,789",207.5,210.0,206.0,206.0,+1.00,"2,081"
2025/09/05,"1,015,289","210,577,190",207.5,209.0,206.0,208.0,+2.00,"1,999"
2025/09/08,"2,317,556","474,974,942",207.0,207.5,203.0,206.0,-2.00,"3,512"
2025/09/09,"20,243,237","4,491,417,993",212.5,226.5,212.0,220.5,+14.50,"15,976"
2025/09/10,"9,685,869","2,111,452,977",223.5,223.5,215.0,216.0,-4.50,"32,524"
2025/09/11,"4,004,428","857,322,389",218.5,219.0,210.0,211.0,-5.00,"5,124"
2025/09/12,"6,957,133","1,514,175,553",218.5,220.0,215.0,217.5,+6.50,"6,603"
2025/09/15,"3,715,206","792,769,960",216.5,217.0,210.5,214.0,-3.50,"4,410"
2025/09/16,"2,379,058","509,380,145",215.0,215.5,212.5,215.0,+1.00,"2,621"
2025/09/17,"2,987,241","647,118,489",215.5,218.5,215.0,216.0,+1.00,"3,184"
2025/09/18,"4,873,062","1,069,001,039",217.5,223.0,216.0,219.0,+3.00,"5,224"
2025/09/19,"6,296,092","1,402,411,194",222.0,226.0,219.5,223.0,+4.00,"7,185"
2025/09/22,"5,573,507","1,240,923,832",228.0,230.0,219.0,220.5,-2.50,"8,223"
2025/09/23,"2,971,672","650,091,720",220.5,221.0,217.0,217.5,-3.00,"3,489"
2025/09/24,"2,570,815","560,515,550",219.0,221.0,215.0,218.0,+0.50,"2,804"
2025/09/25,"4,441,306","988,126,674",220.0,226.0,218.5,220.5,+2.50,"5,057"
2025/09/26,"5,266,491","1,146,005,855",221.5,222.5,215.0,216.0,-4.50,"6,103"
2025/09/30,"2,197,973","473,984,151",216.5,217.0,214.0,215.5,-0.50,"3,707"
2025/10/01,"2,410,115","521,157,164",216.0,220.0,214.0,214.5,-1.00,"3,023"
2025/10/02,"2,846,195","615,583,850",214.5,218.0,213.5,218.0,+3.50,"3,058"
2025/10/03,"2,019,153","439,997,107",217.5,220.5,216.5,217.0,-1.00,"4,559"
2025/10/07,"5,060,805","1,118,676,419",217.0,224.0,217.0,221.5,+4.50,"7,707"
2025/10/08,"9,464,845","2,146,888,589",220.5,231.5,220.5,228.5,+7.00,"16,760"
2025/10/09,"5,608,089","1,273,348,910",228.5,232.0,224.5,224.5,-4.00,"11,041"
2025/10/13,"4,872,302","1,046,712,788",210.0,217.5,210.0,215.5,-9.00,"8,399"
2025/10/14,"4,574,047","974,465,230",217.0,219.0,208.5,208.5,-7.00,"5,539"
2025/10/15,"2,285,904","476,546,041",209.5,211.0,206.5,209.0,+0.50,"3,715"
2025/10/16,"1,675,329","352,830,611",210.0,212.5,209.5,210.0,+1.00,"2,057"
2025/10/17,"1,689,048","351,775,802",210.0,210.0,207.5,208.0,-2.00,"2,428"
2025/10/20,"1,339,459","281,750,511",209.5,211.5,208.5,211.0,+3.00,"1,714"
2025/10/21,"3,451,036","746,611,389",212.5,219.0,211.5,216.0,+5.00,"3,900"
2025/10/22,"5,693,806","1,267,649,172",217.0,227.5,215.5,220.5,+4.50,"7,216"
2025/10/23,"2,966,828","654,631,964",219.5,223.5,218.0,222.0,+1.50,"3,016"
2025/10/27,"2,936,353","651,340,856",223.5,227.5,219.0,220.0,-2.00,"9,079"
2025/10/28,"1,897,965","415,115,388",221.5,222.0,217.5,219.0,-1.00,"3,025"
2025/10/29,"1,605,137","353,415,069",220.0,221.5,219.0,219.5,+0.50,"1,976"
2025/10/30,"2,980,664","659,712,588",221.5,225.0,219.5,220.5,+1.00,"5,236"
2025/10/31,"3,388,462","757,996,084",222.0,226.0,220.5,223.5,+3.00,"3,462"
2025/11/03,"2,248,781","504,740,491",223.5,226.0,222.5,225.0,+1.50,"3,851"
2025/11/04,"3,999,430","890,217,659",229.5,230.5,216.0,217.0,-8.00,"9,322"
2025/11/05,"1,945,088","418,570,454",215.0,218.0,211.0,217.5,+0.50,"2,552"
2025/11/06,"1,014,871","220,673,617",219.5,220.0,216.0,218.0,+0.50,"1,701"
2025/11/07,"1,787,511","382,544,523",216.5,216.5,212.5,214.0,-4.00,"2,023"
2025/11/10,"2,889,254","610,019,102",215.5,217.0,209.0,210.0,-4.00,"3,462"
2025/11/11,"2,678,776","567,691,568",211.0,215.0,209.5,209.5,-0.50,"2,713"
2025/11/12,"5,932,964","1,219,768,240",209.5,210.0,204.0,205.0,-4.50,"7,708"
2025/11/13,"5,006,119","1,002,681,628",201.0,205.0,196.5,200.0,-5.00,"6,029"
2025/11/14,"3,457,008","685,726,947",195.0,201.0,194.0,198.5,-1.50,"3,966"
2025/11/17,"4,701,928","918,324,556",200.0,200.0,193.0,193.0,-5.50,"5,698"
2025/11/18,"3,839,598","723,074,244",191.0,191.5,186.0,186.5,-6.50,"5,726"
2025/11/19,"2,437,772","456,346,640",186.5,190.0,185.0,186.5,0.00,"2,928"
2025/11/20,"3,128,645","587,620,146",189.5,191.5,186.5,186.5,0.00,"3,155"
2025/11/21,"2,375,624","436,343,333",184.5,186.0,182.0,183.5,-3.00,"3,333"
2025/11/24,"3,925,483","714,330,282",183.5,185.0,180.5,181.0,-2.50,"4,069"
2025/11/25,"2,724,529","497,345,820",182.5,184.0,181.0,184.0,+3.00,"2,330"
2025/11/26,"2,044,942","381,363,791",184.5,188.0,184.5,188.0,+4.00,"2,393"
2025/11/27,"1,993,031","375,568,987",189.0,190.5,187.0,189.0,+1.00,"2,274"
2025/11/28,"1,593,532","305,259,766",189.5,193.0,189.0,193.0,+4.00,"1,952"
2025/12/01,"1,854,297","355,217,880",194.0,195.5,189.0,191.5,-1.50,"2,378"
