日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"675,807","22,206,087",33.1,33.25,32.6,32.65,-0.45,627
2025/01/03,"662,442","21,607,614",32.7,33.2,32.3,32.3,-0.35,632
2025/01/06,"770,871","24,992,564",32.6,32.7,32.15,32.35,+0.05,556
2025/01/07,"1,120,113","35,720,163",32.55,32.6,31.45,31.6,-0.75,948
2025/01/08,"1,269,651","39,506,372",31.1,31.5,30.95,31.15,-0.45,864
2025/01/09,"3,058,347","99,138,498",32.0,33.1,31.7,32.05,+0.90,"2,074"
2025/01/10,"1,061,303","33,287,915",32.1,32.1,30.9,30.9,-1.15,"1,054"
2025/01/13,"1,718,766","51,316,916",31.2,31.2,29.25,29.7,-1.20,"1,209"
2025/01/14,"1,194,119","36,462,121",29.75,31.25,29.75,30.85,+1.15,766
2025/01/15,"948,231","29,404,147",30.85,31.5,30.6,31.0,+0.15,674
2025/01/16,"543,543","17,073,874",31.65,31.65,31.25,31.4,+0.40,628
2025/01/17,"491,267","15,439,160",31.6,31.65,31.05,31.55,+0.15,337
2025/01/20,"325,326","10,272,348",31.9,32.0,31.3,31.6,+0.05,269
2025/01/21,"300,342","9,479,663",31.8,31.8,31.4,31.65,+0.05,268
2025/01/22,"569,087","17,937,512",31.9,31.9,31.2,31.65,0.00,611
2025/02/03,"1,032,019","32,745,155",31.6,32.35,30.9,32.0,+0.35,802
2025/02/04,"506,383","15,987,968",32.0,32.1,31.25,31.75,-0.25,456
2025/02/05,"1,319,616","42,669,139",32.1,32.9,32.1,32.3,+0.55,795
2025/02/06,"1,090,732","34,944,577",32.4,32.6,31.75,31.85,-0.45,774
2025/02/07,"1,007,767","32,005,983",31.9,32.05,31.55,32.05,+0.20,864
2025/02/10,"1,310,321","40,352,202",31.5,31.5,30.4,31.05,-1.00,"1,082"
2025/02/11,"974,486","29,743,873",31.25,31.3,30.3,30.3,-0.75,800
2025/02/12,"868,897","26,282,900",30.3,30.65,30.0,30.0,-0.30,571
2025/02/13,"729,696","22,302,998",30.25,31.0,30.1,30.9,+0.90,522
2025/02/14,"573,844","17,569,090",30.9,30.9,30.3,30.5,-0.40,451
2025/02/17,"512,336","15,854,352",30.7,31.1,30.7,30.95,+0.45,421
2025/02/18,"1,996,532","63,946,178",32.0,32.8,31.5,31.5,+0.55,"1,303"
2025/02/19,"555,599","17,629,622",31.6,32.0,31.5,31.55,+0.05,409
2025/02/20,"519,830","16,397,625",31.8,31.95,31.35,31.4,-0.15,366
2025/02/21,"513,196","16,176,405",31.5,31.7,31.3,31.65,+0.25,389
2025/02/24,"478,629","15,091,197",31.65,31.75,31.45,31.45,-0.20,303
2025/02/25,"465,505","14,536,270",31.45,31.5,31.1,31.15,-0.30,325
2025/02/26,"495,176","15,441,534",31.15,31.3,31.0,31.2,+0.05,320
2025/02/27,"1,144,424","35,505,988",31.25,31.65,30.5,30.5,-0.70,829
2025/03/03,"4,801,302","154,186,234",31.0,32.9,31.0,32.75,+2.25,"3,248"
2025/03/04,"7,104,871","236,181,623",32.85,34.3,31.9,31.9,-0.85,"5,175"
2025/03/05,"1,566,521","50,759,879",32.3,32.75,31.75,32.55,+0.65,"1,161"
2025/03/06,"4,639,911","156,249,837",33.6,34.3,33.0,33.0,+0.45,"3,549"
2025/03/07,"1,163,356","38,540,496",33.0,33.4,32.8,33.3,+0.30,947
2025/03/10,"1,392,796","46,023,858",33.35,33.4,32.65,32.95,-0.35,"1,008"
2025/03/11,"1,275,071","41,071,452",32.1,32.65,31.55,32.55,-0.40,865
2025/03/12,"1,132,490","37,360,130",32.85,33.35,32.35,33.15,+0.60,810
2025/03/13,"1,210,998","40,139,869",33.3,33.7,32.5,32.55,-0.60,"1,014"
2025/03/14,"473,154","15,394,361",32.75,32.75,32.25,32.75,+0.20,422
2025/03/17,"652,707","21,600,658",33.25,33.4,32.85,32.9,+0.15,513
2025/03/18,"1,027,124","34,220,745",33.3,33.5,33.0,33.45,+0.55,756
2025/03/19,"929,439","30,731,405",33.6,33.6,32.75,33.0,-0.45,902
2025/03/20,"631,663","20,776,431",33.05,33.1,32.75,32.85,-0.15,592
2025/03/21,"514,972","16,843,358",32.8,32.9,32.5,32.9,+0.05,365
2025/03/24,"454,018","14,872,915",33.0,33.0,32.65,32.65,-0.25,315
2025/03/25,"661,701","21,347,054",32.85,33.0,31.95,32.15,-0.50,623
2025/03/26,"248,659","7,999,325",32.3,32.3,32.0,32.25,+0.10,277
2025/03/27,"509,778","16,156,122",31.75,31.95,31.55,31.6,-0.65,503
2025/03/28,"838,574","25,903,622",31.55,31.55,30.65,30.65,-0.95,589
2025/03/31,"1,352,090","39,862,444",30.0,30.1,28.9,28.95,-1.70,888
2025/04/01,"666,191","19,497,268",29.1,29.55,28.9,29.35,+0.40,440
2025/04/02,"396,286","11,713,247",29.35,29.9,29.1,29.85,+0.50,285
2025/04/07,"79,103","2,127,830",26.9,26.9,26.9,26.9,-2.95,117
2025/04/08,"885,846","21,512,744",24.25,25.0,24.25,24.25,-2.65,547
2025/04/09,"3,917,218","86,714,311",22.85,23.35,21.85,21.85,-2.40,"1,558"
2025/04/10,"724,151","17,356,257",23.95,24.0,23.75,24.0,+2.15,342
2025/04/11,"1,918,411","46,610,448",23.5,25.5,22.75,24.6,+0.60,"1,144"
2025/04/14,"1,507,959","37,482,210",24.75,25.5,24.25,24.35,-0.25,914
2025/04/15,"862,721","21,651,017",24.5,25.45,24.5,25.4,+1.05,600
2025/04/16,"687,386","17,110,368",25.2,25.25,24.65,24.7,-0.70,501
2025/04/17,"548,726","13,412,351",24.7,24.8,24.0,24.7,0.00,337
2025/04/18,"389,821","9,630,976",25.0,25.0,24.55,24.7,0.00,257
2025/04/21,"436,613","10,547,017",24.7,24.7,24.0,24.0,-0.70,295
2025/04/22,"345,427","8,188,256",23.7,24.15,23.35,23.7,-0.30,256
2025/04/23,"682,606","16,713,729",24.15,24.75,24.0,24.5,+0.80,413
2025/04/24,"804,464","20,154,240",24.5,25.35,24.5,25.1,+0.60,479
2025/04/25,"664,691","16,949,315",25.5,25.75,25.25,25.5,+0.40,418
2025/04/28,"578,530","14,930,270",25.75,26.0,25.65,25.75,+0.25,353
2025/04/29,"759,136","19,872,697",25.75,26.65,25.75,26.65,+0.90,558
2025/04/30,"755,510","20,077,448",26.65,27.0,26.2,26.35,-0.30,517
2025/05/02,"1,090,099","29,668,374",27.1,28.0,26.8,27.2,+0.85,670
2025/05/05,"1,194,109","31,072,210",27.5,27.5,25.05,25.55,-1.65,885
2025/05/06,"642,263","16,707,310",25.55,26.35,25.5,26.1,+0.55,512
2025/05/07,"306,162","7,894,916",26.2,26.2,25.6,25.7,-0.40,261
2025/05/08,"315,641","8,144,329",25.75,25.95,25.65,25.9,+0.20,258
2025/05/09,"791,052","20,158,137",25.75,25.95,25.25,25.5,-0.40,601
2025/05/12,"730,454","19,070,952",25.8,26.45,25.5,26.3,+0.80,614
2025/05/13,"865,889","22,953,137",26.7,26.85,26.25,26.5,+0.20,506
2025/05/14,"701,502","18,600,341",26.8,26.8,26.3,26.6,+0.10,624
2025/05/15,"368,282","9,730,915",26.8,26.8,26.25,26.3,-0.30,274
2025/05/16,"447,375","11,800,981",26.3,26.5,26.15,26.5,+0.20,264
2025/05/19,"430,077","11,171,343",26.4,26.4,25.7,25.7,-0.80,352
2025/05/20,"241,091","6,233,234",26.05,26.05,25.7,25.7,0.00,191
2025/05/21,"253,060","6,539,289",25.95,26.0,25.7,25.8,+0.10,184
2025/05/22,"269,959","6,904,141",25.8,25.8,25.45,25.6,-0.20,208
2025/05/23,"188,430","4,858,545",25.5,25.9,25.5,25.85,+0.25,144
2025/05/26,"239,632","6,181,304",25.95,25.95,25.6,25.6,-0.25,190
2025/05/27,"1,803,752","48,093,681",25.85,27.1,25.75,26.4,+0.80,"1,321"
2025/05/28,"491,351","12,835,579",26.5,26.7,25.75,25.85,-0.55,465
2025/05/29,"448,119","11,400,632",26.2,26.2,25.3,25.4,-0.45,330
2025/06/02,"465,565","11,703,074",25.4,25.4,24.6,24.6,-0.80,319
2025/06/03,"310,301","7,612,303",24.9,24.9,24.4,24.4,-0.20,220
2025/06/04,"258,902","6,437,974",24.7,24.95,24.7,24.9,+0.50,201
2025/06/05,"213,435","5,316,214",24.95,25.05,24.8,24.8,-0.10,174
2025/06/06,"106,433","2,645,862",24.95,25.0,24.75,24.85,+0.05,101
2025/06/09,"426,505","10,775,343",24.9,25.6,24.9,25.35,+0.50,341
2025/06/10,"234,198","5,963,730",25.4,25.6,25.3,25.45,+0.10,165
2025/06/11,"211,508","5,369,793",25.5,25.55,25.25,25.45,0.00,155
2025/06/12,"224,037","5,640,412",25.4,25.4,24.95,25.25,-0.20,168
2025/06/13,"323,776","8,033,312",25.0,25.05,24.65,24.65,-0.60,286
2025/06/16,"244,131","5,981,694",24.55,24.75,24.3,24.55,-0.10,185
