日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"158,021","2,489,182",15.8,15.9,15.65,15.65,-0.20,114
2025/01/03,"144,082","2,250,535",15.7,15.7,15.5,15.7,+0.05,95
2025/01/06,"539,044","8,459,255",15.6,16.0,15.55,16.0,+0.30,230
2025/01/07,"255,311","4,019,956",16.0,16.0,15.6,15.8,-0.20,125
2025/01/08,"251,988","3,911,648",15.8,15.8,15.35,15.5,-0.30,134
2025/01/09,"1,267,409","20,809,082",16.3,16.6,16.1,16.4,+0.90,755
2025/01/10,"554,010","9,158,304",16.5,16.75,16.35,16.5,+0.10,278
2025/01/13,"565,922","9,107,470",16.55,16.55,15.6,15.85,-0.65,324
2025/01/14,"158,743","2,542,477",15.85,16.25,15.85,16.15,+0.30,106
2025/01/15,"485,617","8,075,670",16.15,17.0,15.95,16.35,+0.20,320
2025/01/16,"162,233","2,679,854",16.55,16.7,16.4,16.45,+0.10,110
2025/01/17,"176,655","2,931,817",16.5,16.7,16.45,16.6,+0.15,130
2025/01/20,"221,498","3,640,689",16.6,16.75,16.35,16.35,-0.25,178
2025/01/21,"287,201","4,764,286",16.45,16.85,16.45,16.45,+0.10,183
2025/01/22,"128,354","2,110,148",16.6,16.6,16.3,16.55,+0.10,97
2025/02/03,"352,009","5,784,198",16.55,16.6,16.3,16.45,-0.10,186
2025/02/04,"316,878","5,325,185",16.6,17.0,16.5,17.0,+0.55,248
2025/02/05,"266,694","4,555,952",17.0,17.2,16.9,17.1,+0.10,211
2025/02/06,"327,177","5,674,632",17.2,17.55,17.05,17.5,+0.40,246
2025/02/07,"298,251","5,180,396",17.6,17.6,17.15,17.45,-0.05,184
2025/02/10,"1,420,254","25,839,553",17.6,18.7,17.55,17.85,+0.40,960
2025/02/11,"695,564","12,548,814",18.4,18.4,17.65,17.75,-0.10,581
2025/02/12,"343,800","6,118,208",17.75,18.05,17.55,17.55,-0.20,176
2025/02/13,"1,961,771","36,573,566",17.55,18.95,17.55,18.7,+1.15,986
2025/02/14,"4,055,150","77,905,300",18.95,19.75,18.5,19.2,+0.50,"2,055"
2025/02/17,"1,469,861","27,543,686",19.2,19.2,18.5,18.85,-0.35,700
2025/02/18,"680,899","12,682,116",18.8,18.85,18.4,18.75,-0.10,377
2025/02/19,"465,023","8,726,927",18.55,18.95,18.5,18.9,+0.15,282
2025/02/20,"717,021","13,607,964",19.1,19.45,18.65,18.7,-0.20,404
2025/02/21,"383,785","7,156,684",18.6,18.75,18.6,18.7,0.00,214
2025/02/24,"519,145","9,684,575",18.6,18.85,18.5,18.65,-0.05,326
2025/02/25,"1,710,569","32,914,955",18.75,19.7,18.55,19.45,+0.80,932
2025/02/26,"2,123,901","41,882,833",19.9,20.2,19.2,19.55,+0.10,"1,171"
2025/02/27,"794,839","15,369,406",19.6,19.6,19.15,19.2,-0.35,439
2025/03/03,"640,476","11,986,801",18.95,19.0,18.6,18.6,-0.60,342
2025/03/04,"311,747","5,818,098",18.3,18.9,18.3,18.8,+0.20,215
2025/03/05,"401,373","7,699,302",18.8,19.35,18.75,19.2,+0.40,253
2025/03/06,"312,677","5,971,556",19.2,19.35,18.95,19.0,-0.20,217
2025/03/07,"1,272,660","23,633,998",18.4,18.9,18.4,18.45,-0.55,559
2025/03/10,"757,616","14,184,030",18.5,19.05,18.4,19.05,+0.60,351
2025/03/11,"509,780","9,568,392",18.8,19.0,18.5,18.85,-0.20,286
2025/03/12,"949,313","18,358,648",18.9,19.55,18.9,19.45,+0.60,559
2025/03/13,"406,320","7,809,941",19.45,19.45,19.05,19.1,-0.35,372
2025/03/14,"299,496","5,774,285",19.25,19.5,19.1,19.3,+0.20,206
2025/03/17,"409,546","7,849,331",19.2,19.45,18.95,18.95,-0.35,239
2025/03/18,"342,096","6,465,700",19.1,19.1,18.75,18.9,-0.05,214
2025/03/19,"252,092","4,850,955",19.05,19.5,18.9,19.25,+0.35,181
2025/03/20,"177,019","3,399,172",19.25,19.3,19.1,19.2,-0.05,128
2025/03/21,"203,547","3,888,513",19.3,19.3,19.0,19.05,-0.15,123
2025/03/24,"173,504","3,281,858",19.1,19.1,18.75,19.0,-0.05,135
2025/03/25,"373,583","6,960,728",19.1,19.1,18.45,18.6,-0.40,202
2025/03/26,"187,557","3,476,593",18.6,18.7,18.45,18.6,0.00,116
2025/03/27,"243,009","4,458,113",18.55,18.55,18.2,18.3,-0.30,191
2025/03/28,"373,401","6,663,807",18.15,18.15,17.7,17.85,-0.45,211
2025/03/31,"356,063","6,226,068",17.5,17.7,17.3,17.45,-0.40,171
2025/04/01,"188,258","3,352,050",17.45,18.0,17.45,17.9,+0.45,147
2025/04/02,"87,323","1,561,514",18.0,18.05,17.65,17.9,0.00,68
2025/04/07,"98,587","1,592,162",16.15,16.15,16.15,16.15,-1.75,96
2025/04/08,"999,041","14,791,102",15.45,15.45,14.6,15.0,-1.15,520
2025/04/09,"1,278,546","17,857,109",14.85,15.0,13.5,13.7,-1.30,690
2025/04/10,"205,498","3,092,742",15.05,15.05,15.05,15.05,+1.35,69
2025/04/11,"529,099","7,818,495",15.05,15.05,14.3,15.0,-0.05,326
2025/04/14,"1,331,474","20,777,892",14.95,16.05,14.9,15.75,+0.75,795
2025/04/15,"605,887","9,776,364",15.85,16.45,15.7,16.3,+0.55,359
2025/04/16,"384,805","6,113,291",16.3,16.3,15.8,15.8,-0.50,296
2025/04/17,"288,338","4,502,665",15.7,15.75,15.45,15.6,-0.20,164
2025/04/18,"135,658","2,114,487",15.5,15.75,15.4,15.55,-0.05,108
2025/04/21,"267,169","4,090,588",15.35,15.55,15.2,15.25,-0.30,192
2025/04/22,"169,066","2,573,560",15.05,15.4,15.05,15.2,-0.05,118
2025/04/23,"277,939","4,413,798",15.65,16.1,15.6,16.0,+0.80,207
2025/04/24,"139,067","2,194,270",15.95,16.0,15.65,15.75,-0.25,123
2025/04/25,"275,129","4,334,676",16.0,16.0,15.7,15.85,+0.10,178
2025/04/28,"179,437","2,878,525",15.8,16.25,15.8,16.25,+0.40,121
2025/04/29,"291,255","4,795,134",16.25,16.6,16.25,16.55,+0.30,162
2025/04/30,"86,256","1,406,943",16.5,16.5,16.2,16.25,-0.30,69
2025/05/02,"142,668","2,335,035",16.25,16.55,16.2,16.45,+0.20,92
2025/05/05,"273,299","4,448,200",16.6,16.65,15.95,16.1,-0.35,165
2025/05/06,"213,227","3,503,529",15.9,16.7,15.9,16.45,+0.35,151
2025/05/07,"126,926","2,065,515",16.5,16.5,16.2,16.2,-0.25,82
2025/05/08,"96,569","1,569,827",16.3,16.35,16.1,16.25,+0.05,71
2025/05/09,"218,112","3,607,802",16.7,16.8,16.45,16.55,+0.30,148
2025/05/12,"416,589","7,047,573",16.9,17.2,16.8,16.9,+0.35,225
2025/05/13,"527,156","8,905,560",16.95,17.15,16.65,17.1,+0.20,241
2025/05/14,"179,301","3,063,234",17.2,17.2,17.0,17.15,+0.05,263
2025/05/15,"184,001","3,119,591",17.1,17.1,16.85,16.9,-0.25,90
2025/05/16,"521,617","8,738,715",16.9,16.9,16.65,16.7,-0.20,415
2025/05/19,"213,677","3,577,919",16.75,16.8,16.6,16.7,0.00,96
2025/05/20,"231,131","3,909,712",16.75,17.0,16.7,17.0,+0.30,135
2025/05/21,"189,810","3,238,704",17.15,17.25,16.95,16.95,-0.05,111
