日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,073,685","48,886,746",45.4,45.9,45.35,45.4,-0.10,813
2025/01/03,"1,261,074","56,973,636",45.55,45.65,45.0,45.05,-0.35,872
2025/01/06,"1,972,164","89,418,303",45.2,45.6,45.1,45.2,+0.15,868
2025/01/07,"2,030,432","91,289,705",45.45,45.55,44.7,44.85,-0.35,"1,180"
2025/01/08,"1,662,155","74,327,565",44.8,44.95,44.5,44.65,-0.20,"1,137"
2025/01/09,"2,434,466","107,569,097",44.8,44.85,43.65,43.8,-0.85,"1,434"
2025/01/10,"1,882,481","82,086,645",43.8,44.35,43.35,43.4,-0.40,"1,052"
2025/01/13,"2,423,606","103,246,007",43.2,43.3,42.15,42.5,-0.90,"1,328"
2025/01/14,"1,749,418","75,449,553",42.95,43.6,42.7,43.4,+0.90,973
2025/01/15,"2,257,808","99,817,189",43.7,44.85,43.6,43.9,+0.50,"1,680"
2025/01/16,"943,463","41,363,756",44.2,44.35,43.45,43.85,-0.05,"1,189"
2025/01/17,"728,234","32,204,856",43.95,44.45,43.75,44.3,+0.45,513
2025/01/20,"1,347,858","59,818,443",44.45,45.05,43.8,44.7,+0.40,"1,021"
2025/01/21,"736,782","32,950,362",44.75,45.2,44.45,44.45,-0.25,483
2025/01/22,"1,231,044","55,479,824",45.0,45.4,44.75,45.2,+0.75,904
2025/02/03,"1,615,752","73,198,590",44.7,46.0,44.5,45.55,+0.35,"1,105"
2025/02/04,"1,431,494","64,256,270",45.6,45.8,44.4,44.4,-1.15,"1,122"
2025/02/05,"1,137,295","50,572,935",44.9,45.1,44.2,44.2,-0.20,918
2025/02/06,"830,535","36,864,598",44.3,44.8,44.15,44.45,+0.25,623
2025/02/07,"669,012","29,627,510",44.45,44.45,44.2,44.25,-0.20,673
2025/02/10,"1,634,794","72,578,548",44.2,45.05,43.6,44.95,+0.70,"1,135"
2025/02/11,"979,510","44,113,555",45.1,45.4,44.75,44.95,0.00,568
2025/02/12,"1,089,809","48,613,513",45.1,45.1,44.35,44.35,-0.60,802
2025/02/13,"698,677","31,423,722",44.5,45.5,44.5,44.9,+0.55,548
2025/02/14,"1,353,623","61,286,003",44.8,45.7,44.6,45.7,+0.80,836
