日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,757,255","35,009,301",20.0,20.05,19.8,19.85,-0.30,979
2025/01/03,"1,505,710","29,761,565",19.9,20.05,19.6,19.7,-0.15,712
2025/01/06,"895,805","17,840,683",19.7,20.05,19.65,19.9,+0.20,490
2025/01/07,"1,812,992","35,514,460",19.9,20.0,19.4,19.45,-0.45,935
2025/01/08,"1,108,026","21,634,991",19.5,19.65,19.35,19.65,+0.20,582
2025/01/09,"1,771,544","34,309,751",19.7,19.7,19.15,19.15,-0.50,866
2025/01/10,"912,720","17,648,750",19.1,19.5,19.1,19.45,+0.30,555
2025/01/13,"1,341,518","25,745,913",19.35,19.4,19.0,19.25,-0.20,787
2025/01/14,"878,394","17,202,714",19.25,19.7,19.25,19.55,+0.30,488
2025/01/15,"1,239,556","24,644,123",19.55,20.05,19.5,19.75,+0.20,695
2025/01/16,"608,184","12,082,144",19.9,20.0,19.8,19.8,+0.05,354
2025/01/17,"1,010,807","20,421,294",19.8,20.35,19.8,20.25,+0.45,564
2025/01/20,"610,092","12,296,889",20.4,20.4,20.0,20.2,-0.05,346
2025/01/21,"512,758","10,416,181",20.35,20.5,20.2,20.3,+0.10,298
2025/01/22,"446,818","9,091,940",20.3,20.5,20.2,20.4,+0.10,249
2025/02/03,"890,572","18,037,697",20.4,20.5,20.05,20.15,-0.25,594
2025/02/04,"884,207","17,769,530",20.2,20.25,20.0,20.05,-0.10,459
2025/02/05,"1,001,865","20,115,993",20.05,20.3,20.0,20.05,0.00,543
2025/02/06,"370,879","7,519,503",20.05,20.4,20.05,20.35,+0.30,267
2025/02/07,"798,497","16,240,053",20.25,20.45,20.2,20.35,0.00,369
2025/02/10,"1,083,496","22,271,769",20.3,20.7,20.3,20.6,+0.25,511
2025/02/11,"990,011","20,493,355",20.7,20.8,20.6,20.75,+0.15,495
2025/02/12,"921,044","19,154,851",20.75,20.95,20.65,20.7,-0.05,509
