日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,269,719","15,914,946",12.6,12.65,12.4,12.45,-0.25,901
2025/01/03,"1,226,955","15,267,437",12.45,12.65,12.35,12.35,-0.1,675
2025/01/06,"1,548,235","19,427,315",12.35,12.75,12.35,12.6,0.25,801
2025/01/07,"685,568","8,559,616",12.7,12.7,12.4,12.4,-0.2,510
2025/01/08,"792,497","9,725,346",12.3,12.4,12.2,12.25,-0.15,512
2025/01/09,"1,592,333","19,182,359",12.35,12.35,11.9,11.95,-0.3,990
2025/01/10,"1,151,863","13,768,667",11.9,12.05,11.85,11.95,0.0,672
2025/01/13,"2,000,076","23,431,063",11.8,11.95,11.55,11.8,-0.15,982
2025/01/14,"1,137,122","13,851,449",11.95,12.3,11.95,12.15,0.35,677
2025/01/15,"1,559,795","19,346,862",12.15,12.55,12.15,12.4,0.25,779
2025/01/16,"1,690,839","21,273,926",12.55,12.75,12.45,12.5,0.1,756
2025/01/17,"2,101,254","26,805,667",12.5,12.9,12.5,12.8,0.3,744
2025/01/20,"1,159,834","14,644,005",12.8,12.8,12.5,12.65,-0.15,563
2025/01/21,"1,000,989","12,691,703",12.6,12.85,12.55,12.7,0.05,532
2025/01/22,"1,508,941","19,059,170",12.8,12.8,12.5,12.7,0.0,568
2025/02/03,"2,205,516","27,048,251",12.5,12.5,12.1,12.25,-0.45,"1,263"
2025/02/04,"1,090,670","13,395,154",12.35,12.4,12.2,12.25,0.0,536
2025/02/05,"1,671,268","20,607,496",12.35,12.55,12.2,12.2,-0.05,791
2025/02/06,"815,147","10,075,345",12.2,12.45,12.2,12.4,0.2,456
2025/02/07,"897,811","11,012,702",12.4,12.4,12.2,12.25,-0.15,497
2025/02/10,"972,324","11,919,554",12.2,12.4,12.1,12.3,0.05,541
2025/02/11,"1,314,194","16,400,730",12.35,12.55,12.35,12.35,0.05,588
2025/02/12,"2,430,899","30,618,335",12.45,12.75,12.45,12.5,0.15,"1,132"
2025/02/13,"3,755,439","48,894,073",12.65,13.2,12.55,13.1,0.6,"1,513"
2025/02/14,"2,325,756","30,603,716",13.1,13.3,12.95,13.2,0.1,"1,044"
2025/02/17,"2,205,946","28,977,407",13.2,13.2,13.0,13.1,-0.1,"1,197"
2025/02/18,"2,270,438","29,890,227",13.25,13.35,13.05,13.05,-0.05,"1,159"
2025/02/19,"3,146,500","41,509,925",13.05,13.35,13.05,13.2,0.15,"1,249"
2025/02/20,"2,880,295","38,307,037",13.2,13.5,13.15,13.25,0.05,"1,175"
2025/02/21,"1,899,573","25,120,179",13.25,13.35,13.15,13.2,-0.05,"1,014"
2025/02/24,"1,647,604","21,724,169",13.2,13.35,13.1,13.1,-0.1,924
2025/02/25,"3,998,650","52,461,655",13.05,13.35,12.9,13.1,0.0,"1,327"
2025/02/26,"2,973,390","38,658,391",13.15,13.25,12.9,13.0,-0.1,"1,218"
2025/02/27,"26,157,689","328,095,159",13.0,13.25,12.5,12.5,-0.5,"1,697"
2025/03/03,"10,263,400","128,758,916",12.5,12.7,12.45,12.6,0.1,"2,275"
2025/03/04,"2,151,806","26,737,440",12.5,12.6,12.25,12.6,0.0,"1,016"
2025/03/05,"4,290,968","54,743,022",12.6,12.95,12.5,12.95,0.35,"1,251"
2025/03/06,"2,379,350","30,696,375",13.0,13.15,12.7,12.8,-0.15,"1,259"
2025/03/07,"1,006,266","12,842,673",12.8,12.9,12.65,12.65,-0.15,688
2025/03/10,"1,616,560","20,490,499",12.6,12.8,12.6,12.7,0.05,928
2025/03/11,"3,099,989","38,312,338",12.45,12.55,12.15,12.5,-0.2,"1,373"
2025/03/12,"1,423,984","17,697,182",12.45,12.55,12.35,12.4,-0.1,836
2025/03/13,"2,225,847","27,408,572",12.45,12.6,12.2,12.2,-0.2,"1,923"
2025/03/14,"1,498,390","18,542,157",12.15,12.5,12.15,12.45,0.25,"1,374"
2025/03/17,"1,327,504","16,685,211",12.55,12.65,12.45,12.6,0.15,"1,297"
2025/03/18,"1,470,517","18,570,974",12.7,12.75,12.55,12.55,-0.05,"1,073"
2025/03/19,"1,742,412","21,859,889",12.55,12.7,12.45,12.5,-0.05,"1,030"
2025/03/20,"1,009,963","12,716,587",12.5,12.65,12.5,12.6,0.1,800
2025/03/21,"1,709,665","21,249,864",12.65,12.65,12.35,12.35,-0.25,"1,275"
2025/03/24,"1,146,885","14,197,308",12.4,12.45,12.3,12.3,-0.05,"1,425"
2025/03/25,"2,491,548","30,305,308",12.35,12.35,12.05,12.1,-0.2,"1,868"
2025/03/26,"1,043,772","12,757,406",12.2,12.35,12.1,12.25,0.15,"1,796"
2025/03/27,"1,079,532","13,109,028",12.15,12.2,12.1,12.15,-0.1,800
2025/03/28,"2,858,483","34,182,454",12.15,12.15,11.85,11.9,-0.25,"1,217"
2025/03/31,"3,169,496","36,730,121",11.7,11.7,11.5,11.55,-0.35,"1,405"
2025/04/01,"1,534,897","18,080,729",11.6,11.85,11.6,11.8,0.25,724
2025/04/02,"877,518","10,422,954",11.7,12.0,11.7,11.9,0.1,608
2025/04/07,"1,203,254","12,934,855",10.75,10.75,10.75,10.75,-1.15,643
2025/04/08,"4,307,405","44,052,332",10.2,10.5,10.1,10.25,-0.5,"1,461"
2025/04/09,"4,352,209","42,459,364",10.25,10.25,9.39,9.45,-0.8,"1,799"
2025/04/10,"2,167,029","22,280,917",10.0,10.35,9.96,10.35,0.9,708
2025/04/11,"2,440,354","24,877,762",9.9,10.45,9.85,10.4,0.05,901
2025/04/14,"2,150,642","22,690,572",10.4,10.75,10.35,10.45,0.05,835
2025/04/15,"1,339,937","14,369,793",10.45,10.9,10.45,10.9,0.45,608
2025/04/16,"772,907","8,231,660",10.8,10.8,10.55,10.65,-0.25,442
2025/04/17,"1,013,548","10,727,562",10.6,10.75,10.45,10.55,-0.1,476
2025/04/18,"752,406","8,001,796",10.65,10.7,10.55,10.65,0.1,354
2025/04/21,"676,294","7,031,047",10.6,10.6,10.3,10.4,-0.25,468
2025/04/22,"577,226","5,989,013",10.4,10.5,10.3,10.35,-0.05,366
2025/04/23,"668,578","7,106,867",10.5,10.7,10.45,10.65,0.3,369
2025/04/24,"732,409","7,712,130",10.65,10.75,10.4,10.5,-0.15,412
2025/04/25,"748,188","7,908,162",10.55,10.7,10.5,10.55,0.05,347
2025/04/28,"519,614","5,499,898",10.65,10.65,10.55,10.65,0.1,312
2025/04/29,"1,048,782","11,287,487",10.65,10.85,10.65,10.8,0.15,507
2025/04/30,"647,894","6,926,019",10.75,10.8,10.55,10.6,-0.2,360
2025/05/02,"927,985","9,959,591",10.65,10.8,10.6,10.75,0.15,456
2025/05/05,"1,514,323","16,588,511",10.8,11.2,10.65,10.8,0.05,758
2025/05/06,"536,715","5,848,403",10.8,11.05,10.8,10.85,0.05,284
2025/05/07,"679,234","7,439,041",10.95,11.0,10.85,11.0,0.15,351
2025/05/08,"732,325","8,052,826",11.05,11.1,10.9,11.0,0.0,394
2025/05/09,"868,396","9,524,447",10.95,11.1,10.85,11.1,0.1,419
2025/05/12,"1,105,958","12,452,207",11.2,11.35,11.15,11.3,0.2,566
2025/05/13,"3,488,307","41,080,746",11.65,11.9,11.65,11.75,0.45,"1,307"
2025/05/14,"1,569,754","18,668,075",11.9,11.95,11.75,11.9,0.15,803
2025/05/15,"1,304,168","15,463,128",11.95,11.95,11.75,11.85,-0.05,534
2025/05/16,"707,115","8,355,166",11.85,11.85,11.75,11.85,0.0,399
2025/05/19,"1,027,011","11,935,268",11.7,11.8,11.45,11.55,-0.3,566
2025/05/20,"504,460","5,809,489",11.7,11.7,11.45,11.55,0.0,303
2025/05/21,"597,641","6,914,920",11.55,11.65,11.5,11.65,0.1,417
2025/05/22,"836,949","9,562,884",11.55,11.55,11.3,11.5,-0.15,417
2025/05/23,"351,727","4,020,978",11.35,11.5,11.35,11.4,-0.1,221
2025/05/26,"1,802,305","20,590,779",11.4,11.6,11.25,11.3,-0.1,756
2025/05/27,"1,040,167","11,888,271",11.4,11.55,11.35,11.35,0.05,572
2025/05/28,"827,321","9,338,528",11.45,11.45,11.15,11.3,-0.05,432
2025/05/29,"802,801","8,965,725",11.4,11.4,11.05,11.2,-0.1,431
2025/06/02,"1,316,448","14,193,185",11.05,11.05,10.65,10.8,-0.4,675
2025/06/03,"722,492","7,679,375",10.8,10.85,10.55,10.55,-0.25,448
2025/06/04,"837,825","8,909,427",10.65,10.75,10.55,10.6,0.05,533
2025/06/05,"604,734","6,434,337",10.6,10.7,10.55,10.7,0.1,379
2025/06/06,"441,355","4,722,386",10.65,10.75,10.65,10.7,0.0,280
2025/06/09,"728,793","7,683,230",10.7,10.7,10.45,10.5,-0.2,424
2025/06/10,"1,508,916","16,224,877",10.5,10.9,10.45,10.75,0.25,903
2025/06/11,"837,885","9,044,763",10.65,11.0,10.65,10.9,0.15,520
2025/06/12,"731,956","7,994,135",10.9,11.0,10.85,10.95,0.05,389
2025/06/13,"970,605","10,593,663",10.85,11.05,10.75,10.9,-0.05,567
2025/06/16,"656,858","7,189,842",10.85,11.1,10.8,11.1,0.2,307
2025/06/17,"798,834","8,761,031",11.1,11.15,10.9,11.0,-0.1,411
2025/06/18,"2,491,148","27,739,678",11.0,11.4,10.85,11.05,0.05,994
2025/06/19,"1,484,679","16,077,533",11.05,11.05,10.75,10.75,-0.3,725
2025/06/20,"680,710","7,268,827",10.75,10.85,10.55,10.6,-0.15,519
