日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"161,297","4,157,897",25.75,25.9,25.7,25.8,0.00,259
2025/01/03,"333,874","8,562,948",25.7,25.9,25.5,25.55,-0.25,418
2025/01/06,"163,689","4,216,444",25.6,25.9,25.6,25.75,+0.20,182
2025/01/07,"203,513","5,234,287",25.75,25.8,25.65,25.7,-0.05,161
2025/01/08,"358,766","9,172,994",25.7,25.7,25.4,25.6,-0.10,239
2025/01/09,"225,592","5,791,365",25.6,25.8,25.6,25.6,0.00,194
2025/01/10,"384,893","9,812,064",25.55,25.7,25.4,25.55,-0.05,343
2025/01/13,"372,428","9,400,804",25.4,25.4,25.15,25.2,-0.35,462
2025/01/14,"199,670","5,082,760",25.35,25.6,25.35,25.55,+0.35,198
2025/01/15,"148,808","3,807,547",25.6,25.75,25.45,25.45,-0.10,148
2025/01/16,"187,162","4,776,708",25.5,25.7,25.4,25.6,+0.15,228
2025/01/17,"208,402","5,333,562",25.6,25.7,25.5,25.7,+0.10,173
2025/01/20,"167,060","4,279,124",25.7,25.7,25.5,25.65,-0.05,268
2025/01/21,"147,241","3,779,930",25.65,25.75,25.6,25.6,-0.05,114
2025/01/22,"210,821","5,429,624",25.6,25.9,25.6,25.9,+0.30,198
2025/02/03,"180,212","4,647,669",25.9,25.9,25.7,25.8,-0.10,220
2025/02/04,"224,416","5,789,548",25.7,25.9,25.7,25.8,0.00,447
2025/02/05,"147,777","3,828,700",25.95,25.95,25.8,25.85,+0.05,171
2025/02/06,"222,002","5,763,500",25.85,26.15,25.8,26.1,+0.25,194
2025/02/07,"168,418","4,380,360",26.15,26.15,25.85,25.85,-0.25,334
2025/02/10,"284,342","7,393,389",25.85,26.2,25.8,26.1,+0.25,332
2025/02/11,"205,343","5,336,475",26.1,26.1,25.85,26.0,-0.10,279
2025/02/12,"238,884","6,205,263",26.0,26.1,25.85,26.0,0.00,239
2025/02/13,"161,267","4,201,581",25.9,26.15,25.9,26.15,+0.15,297
2025/02/14,"201,342","5,273,516",26.15,26.25,26.15,26.25,+0.10,218
2025/02/17,"196,116","5,172,048",26.35,26.5,26.15,26.4,+0.15,269
2025/02/18,"63,961","1,679,948",26.4,26.4,26.2,26.25,-0.15,189
2025/02/19,"124,737","3,275,140",26.2,26.45,26.15,26.25,0.00,200
2025/02/20,"205,260","5,402,646",26.25,26.4,26.25,26.4,+0.15,264
2025/02/21,"322,170","8,454,562",26.25,26.35,26.05,26.3,-0.10,274
2025/02/24,"158,872","4,183,757",26.3,26.5,26.15,26.4,+0.10,314
2025/02/25,"124,458","3,272,602",26.25,26.4,26.2,26.35,-0.05,270
