日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"296,217","9,937,912",33.85,33.95,33.35,33.55,-0.45,290
2025/01/03,"162,246","5,453,386",33.55,33.95,33.4,33.5,-0.05,122
2025/01/06,"548,473","18,994,181",33.6,34.95,33.6,34.9,+1.40,448
2025/01/07,"271,575","9,432,244",34.9,35.2,34.3,34.35,-0.55,409
2025/01/08,"217,945","7,465,162",34.1,34.55,34.1,34.25,-0.10,314
2025/01/09,"464,818","16,031,525",34.25,35.15,34.2,34.2,-0.05,519
2025/01/10,"230,221","7,791,535",33.8,34.4,33.6,33.75,-0.45,393
2025/01/13,"429,337","14,135,850",33.5,33.5,32.6,33.1,-0.65,555
2025/01/14,"213,313","7,062,545",33.0,33.35,32.9,33.15,+0.05,342
2025/01/15,"254,432","8,474,221",32.95,33.65,32.9,33.0,-0.15,384
2025/01/16,"230,022","7,660,947",33.15,33.6,33.1,33.1,+0.10,288
2025/01/17,"201,922","6,679,056",33.05,33.3,32.95,33.15,+0.05,220
2025/01/20,"209,212","6,922,907",33.15,33.35,32.85,33.1,-0.05,194
2025/01/21,"110,865","3,671,640",33.1,33.2,33.05,33.1,0.00,121
2025/01/22,"183,799","6,103,113",33.25,33.45,33.0,33.45,+0.35,192
2025/02/03,"371,860","12,216,799",33.45,33.45,32.45,32.9,-0.55,329
2025/02/04,"274,016","8,989,473",32.9,33.5,32.5,32.6,-0.30,367
2025/02/05,"187,389","6,158,293",33.0,33.1,32.6,32.8,+0.20,183
2025/02/06,"363,494","12,161,548",32.9,33.9,32.9,33.7,+0.90,304
2025/02/07,"145,008","4,871,598",33.7,34.15,33.45,33.55,-0.15,238
2025/02/10,"227,466","7,631,604",33.55,33.8,33.25,33.5,-0.05,240
2025/02/11,"197,291","6,563,008",33.15,33.75,33.1,33.1,-0.40,297
2025/02/12,"357,781","11,787,801",33.1,33.25,32.75,32.8,-0.30,328
2025/02/13,"261,898","8,758,500",33.0,33.6,33.0,33.55,+0.75,249
2025/02/14,"183,292","6,156,243",33.6,33.7,33.45,33.7,+0.15,282
2025/02/17,"273,541","9,280,292",33.95,34.05,33.75,33.95,+0.25,419
2025/02/18,"159,118","5,360,200",33.85,33.85,33.55,33.75,-0.20,379
2025/02/19,"332,475","11,346,667",33.95,34.3,33.95,34.2,+0.45,270
2025/02/20,"193,736","6,587,927",34.25,34.25,33.8,33.9,-0.30,257
2025/02/21,"222,598","7,587,559",33.9,34.25,33.85,34.1,+0.20,212
2025/02/24,"431,785","14,774,941",34.2,34.8,33.8,34.05,-0.05,506
2025/02/25,"237,082","8,072,221",33.8,34.35,33.75,34.05,0.00,292
2025/02/26,"168,382","5,712,409",34.0,34.05,33.85,34.05,0.00,205
2025/02/27,"407,989","13,813,885",34.0,34.05,33.6,33.95,-0.10,317
2025/03/03,"344,437","11,513,236",33.9,33.9,33.2,33.45,-0.50,336
2025/03/04,"178,070","5,897,892",33.0,33.6,32.85,33.6,+0.15,217
2025/03/05,"193,701","6,536,170",33.4,34.0,33.3,33.9,+0.30,230
2025/03/06,"185,166","6,282,541",34.05,34.2,33.85,33.9,0.00,196
2025/03/07,"140,594","4,743,784",33.9,33.9,33.65,33.65,-0.25,294
2025/03/10,"266,050","8,910,583",33.65,33.7,33.3,33.4,-0.25,633
2025/03/11,"541,709","17,725,898",33.0,33.05,32.3,32.9,-0.50,"1,900"
2025/03/12,"219,461","7,210,182",32.95,33.0,32.7,32.85,-0.05,"1,051"
2025/03/13,"395,388","12,897,192",33.0,33.2,32.4,32.4,-0.45,905
2025/03/14,"301,413","9,829,749",32.6,32.9,32.45,32.75,+0.35,597
2025/03/17,"147,303","4,841,241",32.8,33.15,32.6,32.8,+0.05,909
2025/03/18,"256,604","8,415,929",32.95,33.15,32.65,32.7,-0.10,656
2025/03/19,"283,072","9,283,931",33.1,33.1,32.65,32.85,+0.15,693
2025/03/20,"261,959","8,639,835",33.0,33.15,32.85,32.95,+0.10,521
2025/03/21,"416,466","14,151,253",33.0,33.0,32.7,32.75,-0.20,724
2025/03/24,"667,846","21,752,732",32.75,32.8,32.45,32.5,-0.25,"1,313"
2025/03/25,"701,741","22,708,757",32.6,32.8,32.05,32.35,-0.15,"1,489"
2025/03/26,"382,729","12,120,405",31.65,31.8,31.5,31.65,X0.00,"1,041"
2025/03/27,"175,492","5,534,084",31.6,31.7,31.4,31.7,+0.05,318
2025/03/28,"541,879","16,990,897",31.5,31.55,31.2,31.3,-0.40,536
2025/03/31,"1,218,685","36,404,087",30.85,30.85,29.25,29.45,-1.85,916
2025/04/01,"238,175","7,057,636",29.45,29.8,29.4,29.65,+0.20,274
2025/04/02,"243,559","7,215,986",29.65,29.85,29.3,29.75,+0.10,241
2025/04/07,"1,923,555","52,128,913",26.8,27.7,26.8,27.1,-2.65,"1,180"
2025/04/08,"1,204,656","32,262,615",26.7,27.3,26.1,27.0,-0.10,853
2025/04/09,"1,894,398","47,742,066",26.75,26.75,24.3,24.3,-2.70,"1,230"
2025/04/10,"498,963","13,322,301",26.7,26.7,26.7,26.7,+2.40,149
2025/04/11,"690,462","18,309,041",26.65,27.0,25.35,27.0,+0.30,449
2025/04/14,"885,669","23,674,423",26.7,27.05,26.4,26.55,-0.45,704
2025/04/15,"273,072","7,393,411",26.5,27.5,26.5,27.25,+0.70,273
2025/04/16,"190,380","5,127,833",27.1,27.15,26.75,26.8,-0.45,208
2025/04/17,"189,550","5,036,244",26.8,26.8,26.3,26.55,-0.25,211
2025/04/18,"133,318","3,535,608",26.75,26.75,26.35,26.5,-0.05,165
2025/04/21,"251,231","6,468,421",26.2,26.25,25.55,25.55,-0.95,311
2025/04/22,"199,090","5,072,213",25.35,25.75,25.0,25.55,0.00,207
2025/04/23,"160,912","4,194,701",25.55,26.3,25.55,26.2,+0.65,177
2025/04/24,"166,064","4,337,981",26.2,26.4,25.9,25.9,-0.30,192
2025/04/25,"130,051","3,399,303",26.2,26.4,26.0,26.3,+0.40,130
2025/04/28,"397,895","10,615,001",26.3,27.1,26.3,26.8,+0.50,288
2025/04/29,"358,756","9,727,563",27.05,27.4,26.8,27.05,+0.25,234
2025/04/30,"261,202","7,034,348",27.0,27.15,26.7,26.7,-0.35,253
2025/05/02,"220,025","5,999,865",27.25,27.55,27.0,27.35,+0.65,235
2025/05/05,"255,510","6,946,043",27.4,27.6,26.7,27.05,-0.30,298
2025/05/06,"130,469","3,563,367",27.45,27.75,27.15,27.35,+0.30,140
2025/05/07,"203,553","5,512,090",27.45,27.45,26.95,27.0,-0.35,211
2025/05/08,"149,005","4,048,009",27.1,27.3,27.0,27.2,+0.20,116
2025/05/09,"225,899","6,122,202",27.15,27.4,26.85,27.25,+0.05,188
2025/05/12,"211,589","5,790,530",27.5,27.55,27.1,27.4,+0.15,214
2025/05/13,"145,846","3,986,589",27.5,27.65,27.1,27.1,-0.30,194
