日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"21,853","669,923",30.60,30.90,30.40,30.60,0.00,25
2025/01/03,"24,671","754,883",30.65,31.20,30.40,30.70,+0.10,31
2025/01/06,"29,297","893,957",30.65,30.65,30.45,30.60,-0.10,46
2025/01/07,"62,378","1,893,528",30.50,30.55,30.25,30.50,-0.10,79
2025/01/08,"24,728","749,649",30.50,30.50,30.25,30.30,-0.20,33
2025/01/09,"65,245","1,959,099",30.20,30.20,29.90,29.90,-0.40,173
2025/01/10,"41,672","1,232,729",29.90,30.00,29.50,29.50,-0.40,106
2025/01/13,"71,782","2,104,393",29.50,29.50,29.10,29.45,-0.05,101
2025/01/14,"30,503","893,382",29.75,29.75,29.15,29.45,0.00,131
2025/01/15,"94,804","2,829,361",29.70,30.05,29.50,29.80,+0.35,54
2025/01/16,"36,409","1,081,528",29.70,29.80,29.60,29.70,-0.10,32
2025/01/17,"39,873","1,178,019",29.70,29.70,29.40,29.40,-0.30,73
2025/01/20,"91,482","2,690,912",29.80,29.95,29.30,29.35,-0.05,47
2025/01/21,"43,045","1,259,111",29.35,29.45,29.10,29.45,+0.10,42
2025/01/22,"45,158","1,328,710",29.30,29.65,29.25,29.50,+0.05,34
2025/02/03,"22,100","647,012",29.40,29.55,29.15,29.45,-0.05,22
2025/02/04,"19,089","559,216",29.45,29.45,29.25,29.25,-0.20,32
2025/02/05,"30,215","887,760",29.50,29.55,29.25,29.45,+0.20,27
2025/02/06,"22,909","676,108",29.55,29.80,29.35,29.60,+0.15,39
2025/02/07,"79,902","2,380,732",30.15,30.15,29.65,29.90,+0.30,80
2025/02/10,"74,150","2,208,624",29.60,30.05,29.60,29.95,+0.05,36
2025/02/11,"28,447","849,253",29.90,30.05,29.80,29.80,-0.15,30
2025/02/12,"19,367","576,322",29.80,29.90,29.65,29.90,+0.10,55
2025/02/13,"53,114","1,583,359",29.80,30.00,29.70,29.95,+0.05,37
2025/02/14,"43,059","1,288,459",29.95,30.05,29.75,30.05,+0.10,33
2025/02/17,"54,980","1,655,717",30.10,30.20,30.05,30.20,+0.15,55
2025/02/18,"21,134","636,976",30.10,30.20,30.05,30.20,0.00,20
2025/02/19,"26,007","787,861",30.10,30.40,30.10,30.35,+0.15,28
2025/02/20,"23,306","705,776",30.20,30.35,30.20,30.25,-0.10,21
2025/02/21,"30,662","928,322",30.20,30.45,30.15,30.45,+0.20,49
2025/02/24,"25,088","757,624",29.95,30.30,29.95,30.30,-0.15,26
2025/02/25,"33,290","1,004,945",30.25,30.25,30.10,30.10,-0.20,28
2025/02/26,"21,290","644,355",30.15,30.45,30.15,30.45,+0.35,27
2025/02/27,"17,236","521,448",30.35,30.35,30.20,30.20,-0.25,20
2025/03/03,"30,006","903,836",30.05,30.15,30.05,30.15,-0.05,18
2025/03/04,"42,347","1,280,961",29.85,30.75,29.85,30.35,+0.20,28
2025/03/05,"76,363","2,303,022",30.05,30.40,30.05,30.10,-0.25,72
2025/03/06,"39,534","1,199,804",30.50,30.65,30.15,30.45,+0.35,33
2025/03/07,"10,670","323,365",30.40,30.40,30.20,30.40,-0.05,77
2025/03/10,"50,669","1,538,841",30.40,31.25,30.10,30.20,-0.20,162
2025/03/11,"22,099","664,939",29.95,30.25,29.95,30.15,-0.05,18
2025/03/12,"40,136","1,214,730",30.20,30.70,30.15,30.15,0.00,48
2025/03/13,"48,703","1,491,534",30.45,30.85,30.35,30.35,+0.20,85
2025/03/14,"15,019","456,734",30.25,30.45,30.25,30.30,-0.05,17
2025/03/17,"64,634","1,965,182",30.35,30.70,30.35,30.35,+0.05,45
2025/03/18,"63,851","1,951,690",30.50,30.60,30.35,30.60,+0.25,51
2025/03/19,"63,232","1,932,396",30.40,30.80,30.30,30.70,+0.10,39
2025/03/20,"44,879","1,378,808",30.60,30.90,30.60,30.85,+0.15,56
2025/03/21,"47,637","1,469,217",30.90,30.90,30.80,30.85,0.00,26
2025/03/24,"10,021","306,640",30.50,30.65,30.50,30.65,-0.20,10
2025/03/25,"7,467","229,649",30.65,30.95,30.65,30.95,+0.30,11
2025/03/26,"25,902","798,806",30.85,31.00,30.55,31.00,+0.05,25
2025/03/27,"32,077","988,077",30.80,30.90,30.75,30.80,-0.20,14
2025/03/28,"41,114","1,245,113",30.50,30.50,30.20,30.20,-0.60,27
2025/03/31,"47,186","1,397,610",29.95,29.95,29.30,29.70,-0.50,49
2025/04/01,"24,000","715,850",29.70,30.05,29.70,29.80,+0.10,15
2025/04/02,"65,879","1,970,291",29.80,30.10,29.60,30.00,+0.20,40
2025/04/07,"240,265","6,487,155",27.00,27.00,27.00,27.00,-3.00,144
2025/04/08,"129,852","3,478,778",27.00,27.30,26.55,26.75,-0.25,119
2025/04/09,"171,040","4,493,818",26.45,26.80,25.95,26.10,-0.65,114
2025/04/10,"109,570","3,036,676",27.85,28.10,27.10,27.95,+1.85,85
2025/04/11,"40,479","1,099,147",27.00,27.30,27.00,27.20,-0.75,38
2025/04/14,"47,954","1,308,663",27.20,28.05,27.10,27.20,0.00,70
2025/04/15,"54,679","1,512,054",27.25,27.90,27.25,27.65,+0.45,52
2025/04/16,"25,000","686,650",27.70,27.80,27.20,27.35,-0.30,21
2025/04/17,"34,493","938,424",27.15,27.40,27.05,27.25,-0.10,32
2025/04/18,"32,386","883,517",27.10,27.50,27.10,27.25,0.00,25
2025/04/21,"37,653","1,020,924",27.25,27.25,27.00,27.20,-0.05,34
2025/04/22,"33,372","906,181",27.10,27.40,27.10,27.15,-0.05,18
2025/04/23,"134,258","3,646,586",27.25,27.35,27.00,27.20,+0.05,71
2025/04/24,"34,361","936,966",27.40,27.40,27.15,27.25,+0.05,34
2025/04/25,"41,578","1,149,643",27.30,27.80,27.30,27.75,+0.50,46
2025/04/28,"10,011","277,594",27.95,27.95,27.65,27.70,-0.05,11
