日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"2,144,564","150,311,646",69.3,70.5,69.3,70.0,+0.90,"1,466"
2025/01/03,"1,259,655","87,890,113",70.4,70.5,69.4,69.4,-0.60,"1,187"
2025/01/06,"1,372,618","95,961,250",69.6,70.2,69.3,69.7,+0.30,"1,011"
2025/01/07,"1,274,721","88,911,113",70.1,70.2,69.3,69.6,-0.10,"1,183"
2025/01/08,"1,143,654","80,009,834",69.6,70.2,69.4,70.1,+0.50,776
2025/01/09,"811,118","55,839,930",70.1,70.1,68.2,68.3,-1.80,"1,370"
2025/01/10,"1,491,519","101,243,423",68.3,68.6,67.4,68.0,-0.30,990
2025/01/13,"831,438","56,555,075",67.8,68.4,67.5,68.4,+0.40,777
2025/01/14,"505,031","34,680,139",68.5,69.1,68.1,68.8,+0.40,699
2025/01/15,"718,635","49,693,799",68.8,69.4,68.6,69.4,+0.60,617
2025/01/16,"831,327","57,881,592",70.0,70.2,69.1,69.4,0.00,650
2025/01/17,"722,126","50,482,126",69.5,70.2,69.5,70.0,+0.60,704
2025/01/20,"539,258","37,712,415",70.0,70.1,69.6,70.1,+0.10,604
2025/01/21,"758,545","53,362,452",70.1,70.9,70.0,70.1,0.00,797
2025/01/22,"763,028","53,744,743",70.5,70.7,70.1,70.5,+0.40,846
2025/02/03,"1,088,937","76,844,389",69.8,70.9,69.7,70.9,+0.40,"1,491"
2025/02/04,"908,159","64,419,302",70.9,71.5,70.4,70.4,-0.50,799
2025/02/05,"903,099","64,309,354",71.3,71.5,70.7,71.3,+0.90,830
2025/02/06,"569,475","40,577,057",71.3,71.5,70.9,71.3,0.00,"1,179"
2025/02/07,"344,777","24,389,924",71.4,71.4,70.5,70.5,-0.80,"1,004"
2025/02/10,"441,942","31,238,139",70.5,70.9,70.4,70.6,+0.10,465
2025/02/11,"698,717","48,966,311",70.5,70.9,69.7,69.8,-0.80,886
2025/02/12,"463,228","32,369,098",69.8,70.5,69.5,69.5,-0.30,537
2025/02/13,"386,692","27,005,113",69.8,70.4,69.6,69.7,+0.20,547
