日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,007,632","15,242,285",15.05,15.25,15.0,15.05,0.0,663
2025/01/03,"1,796,461","26,956,051",15.1,15.15,14.9,14.95,-0.1,940
2025/01/06,"1,469,235","22,076,524",14.95,15.15,14.9,15.0,0.05,800
2025/01/07,"4,989,608","77,588,857",15.4,15.8,15.3,15.3,0.3,"2,053"
2025/01/08,"1,184,952","18,034,219",15.25,15.3,15.1,15.2,-0.1,680
2025/01/09,"2,117,207","31,751,357",15.2,15.2,14.85,14.85,-0.35,"1,014"
2025/01/10,"1,755,586","25,932,578",14.85,14.9,14.7,14.8,-0.05,"1,058"
2025/01/13,"2,802,969","40,126,577",14.6,14.65,14.2,14.3,-0.5,"1,782"
2025/01/14,"1,544,101","22,299,919",14.4,14.55,14.35,14.5,0.2,832
2025/01/15,"1,226,690","18,070,884",14.65,14.85,14.55,14.85,0.35,661
2025/01/16,"997,471","14,841,379",15.0,15.05,14.7,14.7,-0.15,802
2025/01/17,"1,370,943","20,441,225",14.7,15.05,14.7,15.0,0.3,672
2025/01/20,"1,127,790","16,940,711",15.0,15.2,14.85,15.2,0.2,690
2025/01/21,"714,353","10,857,904",15.2,15.3,15.1,15.2,0.0,440
2025/01/22,"1,162,435","17,478,016",15.3,15.3,14.95,15.05,-0.15,888
2025/02/03,"1,264,222","18,867,029",15.0,15.1,14.7,14.9,-0.15,911
2025/02/04,"1,032,292","15,373,754",14.9,15.05,14.8,14.8,-0.1,727
2025/02/05,"1,170,891","17,356,687",14.8,15.0,14.7,14.8,0.0,905
2025/02/06,"857,866","12,923,830",14.8,15.2,14.8,15.15,0.35,615
2025/02/07,"851,857","12,808,063",15.15,15.15,14.95,15.0,-0.15,673
2025/02/10,"1,297,258","19,485,063",14.9,15.15,14.9,14.95,-0.05,771
2025/02/11,"679,365","10,200,222",14.95,15.1,14.95,15.0,0.05,454
2025/02/12,"1,684,271","25,510,968",15.0,15.3,14.95,14.95,-0.05,688
2025/02/13,"2,923,506","44,834,126",15.1,15.5,15.05,15.45,0.5,"1,138"
2025/02/14,"2,567,164","40,034,984",15.5,15.75,15.4,15.7,0.25,"1,216"
2025/02/17,"1,489,977","23,443,062",15.85,15.85,15.6,15.75,0.05,929
2025/02/18,"885,555","13,824,693",15.7,15.75,15.55,15.55,-0.2,713
2025/02/19,"714,862","11,183,059",15.6,15.75,15.55,15.7,0.15,650
2025/02/20,"2,759,445","44,252,751",15.7,16.25,15.7,16.0,0.3,"1,637"
2025/02/21,"1,097,256","17,557,934",16.1,16.15,15.85,16.0,0.0,784
2025/02/24,"2,163,442","35,032,810",16.1,16.4,16.1,16.15,0.15,"1,246"
2025/02/25,"1,710,489","27,653,296",16.1,16.4,16.0,16.1,-0.05,"1,028"
2025/02/26,"4,705,741","79,236,015",16.8,17.2,16.5,16.65,0.55,"2,261"
2025/02/27,"3,747,710","63,019,326",16.5,17.05,16.45,16.95,0.3,"1,823"
2025/03/03,"4,066,823","70,022,752",16.9,17.6,16.7,17.25,0.3,"2,135"
2025/03/04,"1,958,147","33,193,179",17.0,17.2,16.75,17.05,-0.2,"1,286"
2025/03/05,"1,732,716","29,481,953",17.1,17.2,16.8,17.0,-0.05,860
2025/03/06,"1,764,528","30,175,156",16.95,17.2,16.9,17.15,0.15,982
2025/03/07,"1,548,416","26,344,843",17.15,17.2,16.9,17.0,-0.15,968
2025/03/10,"1,556,885","26,206,055",16.75,16.95,16.75,16.8,-0.2,921
2025/03/11,"1,789,896","29,525,782",16.65,16.7,16.35,16.7,-0.1,995
2025/03/12,"1,498,677","25,289,509",17.3,17.3,16.7,16.75,0.05,799
2025/03/13,"1,816,336","29,790,112",16.9,16.95,16.1,16.1,-0.65,"1,069"
2025/03/14,"1,136,689","18,537,193",16.1,16.5,16.1,16.5,0.4,636
2025/03/17,"3,667,454","62,142,912",16.7,17.1,16.7,16.9,0.4,"1,598"
2025/03/18,"1,924,880","32,335,119",17.1,17.15,16.6,16.75,-0.15,"1,024"
2025/03/19,"2,303,255","39,094,788",16.75,17.1,16.7,17.0,0.25,"1,248"
2025/03/20,"1,394,785","23,651,301",17.0,17.05,16.8,16.95,-0.05,808
2025/03/21,"969,308","16,395,203",16.9,17.0,16.8,17.0,0.05,686
2025/03/24,"5,133,954","89,390,167",17.1,17.8,16.95,17.4,0.4,"2,508"
2025/03/25,"2,798,002","48,537,778",17.5,17.65,17.15,17.2,-0.2,"1,623"
2025/03/26,"8,074,764","144,714,023",17.8,18.2,17.65,17.85,0.65,"3,440"
2025/03/27,"3,638,724","63,839,947",17.8,17.95,17.4,17.5,-0.35,"1,770"
2025/03/28,"7,755,145","137,880,209",17.85,18.2,17.25,17.9,0.4,"3,456"
2025/03/31,"6,417,195","110,052,149",17.4,17.6,16.8,16.85,-1.05,"2,632"
2025/04/01,"4,911,970","85,977,046",17.0,17.85,16.85,17.7,0.85,"2,287"
2025/04/02,"3,383,527","59,242,715",17.7,17.8,17.2,17.65,-0.05,"1,796"
2025/04/07,"1,065,878","16,947,243",15.9,15.9,15.9,15.9,-1.75,895
2025/04/08,"4,690,396","73,877,609",14.9,16.5,14.9,16.35,0.45,"2,381"
2025/04/09,"5,960,420","95,286,869",16.2,16.8,15.15,15.35,-1.0,"2,576"
2025/04/10,"4,720,107","78,994,436",16.6,16.85,16.2,16.85,1.5,"1,861"
2025/04/11,"7,194,701","124,633,360",16.8,17.7,16.05,17.5,0.65,"3,449"
2025/04/14,"5,370,059","93,823,710",17.55,17.8,17.1,17.35,-0.15,"2,714"
2025/04/15,"3,691,082","64,877,516",17.6,17.8,17.35,17.55,0.2,"1,830"
2025/04/16,"5,815,269","103,396,517",17.65,18.0,17.35,17.7,0.15,"2,501"
2025/04/17,"3,971,329","68,210,844",17.75,17.75,16.95,17.15,-0.55,"2,585"
2025/04/18,"1,471,871","25,129,777",17.15,17.25,16.95,17.05,-0.1,"1,078"
2025/04/21,"2,509,853","41,769,670",17.1,17.1,16.5,16.5,-0.55,"2,195"
2025/04/22,"1,363,475","22,483,938",16.25,16.75,16.25,16.5,0.0,"1,097"
2025/04/23,"1,332,277","22,274,267",16.8,17.0,16.55,16.7,0.2,"1,321"
2025/04/24,"1,233,623","20,389,537",16.75,16.75,16.4,16.6,-0.1,766
