日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"253,200","27,085,302",106.0,108.0,106.0,107.0,+0.50,247
2025/01/03,"501,443","53,692,356",107.0,109.0,106.0,107.5,+0.50,397
2025/01/06,"1,904,607","214,831,402",108.0,115.0,108.0,113.0,+5.50,"1,860"
2025/01/07,"2,176,456","231,501,787",110.5,110.5,103.5,103.5,-9.50,"3,284"
2025/01/08,"591,122","60,750,470",102.0,104.0,102.0,103.0,-0.50,766
2025/01/09,"731,278","75,055,283",103.0,104.0,101.0,103.5,+0.50,520
2025/01/10,"1,999,152","201,605,261",103.0,103.5,99.0,103.0,-0.50,"1,455"
2025/01/13,"1,072,472","106,894,486",101.5,103.0,98.3,99.5,-3.50,"1,280"
2025/01/14,"502,902","50,178,939",99.8,100.5,99.1,99.8,+0.30,"1,022"
2025/01/15,"562,514","56,148,259",99.8,100.5,99.3,99.8,0.00,450
2025/01/16,"616,399","61,896,610",101.0,101.5,99.7,100.5,+0.70,413
2025/01/17,"283,980","28,681,259",101.0,102.0,100.0,101.5,+1.00,267
2025/01/20,"495,386","50,414,610",102.5,103.0,101.0,101.5,0.00,520
2025/01/21,"496,914","50,757,199",102.5,103.5,101.5,102.0,+0.50,338
2025/01/22,"514,563","52,492,738",103.0,103.0,101.5,102.0,0.00,372
2025/02/03,"752,741","75,717,567",101.0,103.5,99.6,100.5,-1.50,581
2025/02/04,"608,890","61,124,467",101.0,102.5,99.7,99.9,-0.60,507
2025/02/05,"198,043","19,918,134",100.5,101.0,99.9,101.0,+1.10,228
2025/02/06,"388,788","39,834,150",101.5,103.5,101.5,102.5,+1.50,325
2025/02/07,"1,780,365","175,222,282",101.5,101.5,97.3,97.3,-5.20,"1,843"
2025/02/10,"765,057","73,341,673",97.1,97.5,94.8,97.3,0.00,893
2025/02/11,"351,699","34,121,471",97.4,97.7,96.5,97.0,-0.30,390
2025/02/12,"678,356","65,055,984",97.0,97.6,94.7,95.4,-1.60,736
2025/02/13,"393,841","38,069,642",95.5,97.2,95.5,96.8,+1.40,347
2025/02/14,"374,342","36,426,357",96.9,98.1,96.3,97.9,+1.10,480
2025/02/17,"442,003","43,645,761",98.2,99.2,98.2,99.0,+1.10,478
2025/02/18,"458,284","45,035,351",98.9,99.2,97.5,98.5,-0.50,530
2025/02/19,"592,675","58,118,413",98.9,98.9,97.5,97.9,-0.60,825
2025/02/20,"576,598","56,493,141",97.9,98.9,97.5,97.5,-0.40,725
2025/02/21,"344,277","33,797,607",97.7,98.8,97.1,98.8,+1.30,365
2025/02/24,"691,472","68,633,235",98.6,100.5,98.4,99.3,+0.50,551
2025/02/25,"364,554","35,690,189",99.1,99.1,97.3,97.8,-1.50,479
2025/02/26,"286,509","27,848,288",97.6,97.8,96.8,96.8,-1.00,332
2025/02/27,"2,450,528","234,415,337",97.0,97.0,95.5,95.5,-1.30,776
2025/03/03,"943,923","88,282,005",95.7,95.7,93.0,93.0,-2.50,903
2025/03/04,"1,203,988","109,908,454",92.6,93.8,89.6,92.9,-0.10,"1,024"
2025/03/05,"433,320","40,648,372",92.9,94.6,92.5,94.3,+1.40,409
2025/03/06,"264,332","24,935,151",94.5,95.3,93.5,93.7,-0.60,364
2025/03/07,"1,472,056","131,764,410",89.4,90.7,88.8,88.9,-4.80,"1,485"
2025/03/10,"553,432","49,121,650",88.9,89.3,88.3,88.7,-0.20,598
2025/03/11,"724,432","62,349,499",87.7,87.7,84.7,87.1,-1.60,886
2025/03/12,"488,943","43,215,019",87.6,89.2,87.5,88.2,+1.10,404
2025/03/13,"264,793","23,410,843",88.7,89.6,87.5,87.6,-0.60,292
2025/03/14,"361,574","31,990,481",87.8,89.4,87.4,89.3,+1.70,386
2025/03/17,"234,447","21,117,764",89.3,90.5,89.3,89.9,+0.60,266
2025/03/18,"439,020","39,813,773",90.1,91.2,90.1,91.1,+1.20,314
2025/03/19,"461,175","42,257,703",91.2,92.7,90.6,90.8,-0.30,753
2025/03/20,"396,690","36,190,189",90.9,91.9,90.6,91.7,+0.90,373
2025/03/21,"199,165","18,136,361",91.6,91.6,90.5,91.0,-0.70,277
2025/03/24,"214,795","19,447,045",91.3,91.3,89.7,90.5,-0.50,187
2025/03/25,"218,809","19,770,590",91.0,91.3,89.7,90.8,+0.30,222
2025/03/26,"287,414","26,185,231",91.7,92.0,90.2,91.2,+0.40,293
2025/03/27,"331,568","29,572,936",90.5,90.5,88.5,88.5,-2.70,896
2025/03/28,"528,721","45,101,784",89.0,89.2,83.7,84.5,-4.00,956
2025/03/31,"757,088","59,927,358",80.8,81.5,77.6,79.9,-4.60,784
