日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"6,147,430","1,717,401,472",283.0,285.5,271.5,274.0,-8.50,"5,923"
2025/01/03,"7,321,075","2,003,823,932",276.0,286.0,257.0,271.0,-3.00,"7,004"
2025/01/06,"4,702,228","1,264,264,010",273.0,274.5,261.5,270.0,-1.00,"4,298"
2025/01/07,"5,033,128","1,346,439,602",272.0,278.0,262.0,264.0,-6.00,"5,237"
2025/01/08,"3,082,326","798,738,790",264.0,266.5,255.0,255.5,-8.50,"3,539"
2025/01/09,"4,577,099","1,147,551,702",255.5,261.5,243.5,245.5,-10.00,"4,179"
2025/01/10,"2,989,020","714,649,586",242.5,247.5,233.0,234.5,-11.00,"3,613"
2025/01/13,"3,491,110","805,923,082",233.0,238.0,224.5,230.0,-4.50,"3,419"
2025/01/14,"1,760,220","409,454,835",233.5,237.0,227.0,233.0,+3.00,"2,218"
2025/01/15,"2,420,677","555,055,933",231.5,238.0,224.0,224.5,-8.50,"2,657"
2025/01/16,"1,646,190","379,203,779",228.5,234.0,227.0,227.0,+2.50,"1,839"
2025/01/17,"1,373,144","307,882,862",228.5,231.5,218.0,220.0,-7.00,"1,586"
2025/01/20,"905,026","201,562,066",220.0,225.0,219.0,224.0,+4.00,"1,213"
2025/01/21,"1,447,034","323,470,220",222.0,228.0,218.5,224.0,0.00,"1,427"
2025/01/22,"1,092,156","242,992,078",225.0,227.0,219.0,223.0,-1.00,"1,328"
2025/02/03,"1,113,664","236,391,854",209.0,218.5,206.5,215.0,-8.00,"1,896"
2025/02/04,"1,113,841","237,388,678",217.0,217.5,209.5,213.0,-2.00,"1,221"
2025/02/05,"3,264,177","731,028,126",213.0,229.5,211.5,225.0,+12.00,"3,139"
2025/02/06,"3,362,976","767,972,195",229.0,235.0,223.0,226.5,+1.50,"5,167"
2025/02/07,"5,166,891","1,242,174,056",232.0,248.0,226.0,243.0,+16.50,"6,164"
2025/02/10,"5,140,350","1,249,081,785",240.5,253.0,237.0,237.0,-6.00,"7,756"
2025/02/11,"4,437,584","1,069,536,500",241.5,246.0,234.5,241.0,+4.00,"4,193"
2025/02/12,"4,166,404","1,006,489,753",243.5,248.0,235.5,237.0,-4.00,"4,145"
