日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"608,160","73,968,964",125.0,125.0,120.0,120.0,-5.00,447
2025/01/03,"438,162","52,045,865",120.0,120.5,117.5,119.0,-1.00,344
2025/01/06,"450,765","53,386,341",119.0,121.0,117.0,118.5,-0.50,346
2025/01/07,"175,786","20,665,218",119.0,120.0,116.5,116.5,-2.00,226
2025/01/08,"180,513","21,087,928",116.0,118.0,115.5,116.0,-0.50,144
2025/01/09,"572,966","65,221,815",116.0,116.0,111.0,111.0,-5.00,404
2025/01/10,"224,314","24,801,937",110.5,113.0,109.5,110.0,-1.00,464
2025/01/13,"427,449","45,467,630",109.5,110.0,104.0,106.0,-4.00,459
2025/01/14,"156,880","16,923,366",108.5,109.5,106.5,107.0,+1.00,145
2025/01/15,"95,324","10,203,321",108.0,108.0,106.5,106.5,-0.50,104
2025/01/16,"373,424","42,264,824",107.5,117.0,107.5,112.5,+6.00,341
2025/01/17,"69,790","7,814,420",113.0,113.0,111.5,111.5,-1.00,467
2025/01/20,"120,741","13,683,404",112.0,115.0,111.5,112.5,+1.00,134
2025/01/21,"78,518","8,780,684",115.0,115.0,110.5,110.5,-2.00,151
2025/01/22,"145,017","15,912,358",111.0,113.0,108.5,109.5,-1.00,189
2025/02/03,"153,878","16,689,519",107.0,111.0,105.0,108.5,-1.00,134
2025/02/04,"119,726","12,870,594",109.0,111.5,106.5,107.5,-1.00,115
2025/02/05,"125,272","13,807,070",109.0,111.5,109.0,111.5,+4.00,118
2025/02/06,"165,651","18,820,777",111.5,115.5,109.5,115.5,+4.00,400
2025/02/07,"205,568","24,251,592",116.0,120.5,115.5,119.5,+4.00,260
2025/02/10,"186,985","22,067,851",120.5,121.0,116.5,118.0,-1.50,191
2025/02/11,"444,614","54,329,262",124.0,125.0,119.5,119.5,+1.50,462
2025/02/12,"2,464,294","317,994,902",122.0,131.0,119.0,131.0,+11.50,"1,445"
2025/02/13,"6,549,053","895,181,541",134.0,140.5,134.0,135.5,+4.50,"5,006"
2025/02/14,"2,906,917","394,968,399",136.5,138.0,132.0,138.0,+2.50,"2,240"
2025/02/17,"1,586,496","216,700,039",139.0,139.0,134.0,136.5,-1.50,"1,317"
2025/02/18,"1,448,901","198,182,450",137.5,139.5,135.0,135.0,-1.50,"1,257"
2025/02/19,"1,775,231","235,297,732",136.5,136.5,130.0,131.5,-3.50,"1,557"
2025/02/20,"814,771","106,489,711",132.0,133.0,129.0,130.0,-1.50,737
2025/02/21,"1,330,384","174,006,300",127.5,134.5,126.5,131.5,+1.50,936
2025/02/24,"476,548","61,896,787",131.5,132.0,128.5,128.5,-3.00,525
2025/02/25,"569,340","72,299,591",128.5,130.0,124.5,127.5,-1.00,563
2025/02/26,"534,603","67,983,923",128.0,130.0,125.5,126.0,-1.50,504
2025/02/27,"717,782","88,046,897",126.5,127.0,120.0,123.5,-2.50,705
2025/03/03,"314,680","38,664,502",121.5,125.5,121.0,123.0,-0.50,306
2025/03/04,"213,508","26,119,284",120.5,124.0,120.0,123.0,0.00,280
2025/03/05,"188,060","22,901,425",123.5,123.5,121.0,121.0,-2.00,270
2025/03/06,"164,634","19,881,664",121.0,122.5,119.5,120.5,-0.50,168
2025/03/07,"1,119,829","129,201,530",119.5,121.5,112.5,112.5,-8.00,952
2025/03/10,"243,122","27,342,110",113.0,113.5,111.5,112.0,-0.50,203
2025/03/11,"331,007","36,268,305",109.0,112.0,107.5,110.5,-1.50,289
2025/03/12,"242,251","26,844,838",112.0,113.0,109.0,110.0,-0.50,229
2025/03/13,"304,558","33,509,554",112.0,112.0,109.0,109.5,-0.50,259
2025/03/14,"205,831","22,827,889",110.5,112.5,109.0,112.0,+2.50,184
2025/03/17,"342,292","39,271,737",112.5,117.0,112.0,114.5,+2.50,279
2025/03/18,"502,996","58,622,137",119.5,120.0,114.0,115.0,+0.50,460
2025/03/19,"310,148","36,121,978",115.0,118.5,114.5,115.0,0.00,279
2025/03/20,"165,419","19,098,713",116.0,117.0,114.0,115.0,0.00,153
2025/03/21,"149,782","17,105,367",115.0,115.0,113.0,115.0,0.00,122
2025/03/24,"150,903","17,308,726",116.5,116.5,113.5,114.5,-0.50,113
2025/03/25,"152,105","17,296,596",115.0,115.0,113.0,114.0,-0.50,134
2025/03/26,"86,890","9,963,570",115.0,115.0,114.0,115.0,+1.00,97
2025/03/27,"118,414","13,488,604",114.0,115.0,112.5,115.0,0.00,121
2025/03/28,"273,414","30,458,627",113.5,114.0,110.0,110.5,-4.50,212
2025/03/31,"647,693","66,244,003",108.5,108.5,99.5,99.5,-11.00,557
2025/04/01,"376,334","38,676,992",103.5,104.5,100.5,100.5,+1.00,333
2025/04/02,"353,458","34,970,134",100.5,101.0,97.3,98.7,-1.80,312
2025/04/07,"11,028","980,376",88.9,88.9,88.9,88.9,-9.80,44
2025/04/08,"99,149","7,941,824",80.1,80.1,80.1,80.1,-8.80,106
2025/04/09,"180,196","12,992,231",72.1,72.1,72.1,72.1,-8.00,144
2025/04/10,"743,058","58,886,673",79.3,79.3,77.2,79.3,+7.20,306
2025/04/11,"683,500","54,874,273",80.4,84.6,75.4,84.1,+4.80,519
2025/04/14,"483,144","42,296,839",85.0,90.0,85.0,87.5,+3.40,641
2025/04/15,"538,778","49,427,811",88.5,93.5,88.2,93.3,+5.80,395
2025/04/16,"434,669","40,285,502",93.3,95.6,90.3,93.9,+0.60,571
2025/04/17,"353,723","33,080,041",94.0,94.5,92.4,93.8,-0.10,298
2025/04/18,"244,745","22,917,618",93.6,95.3,92.0,94.0,+0.20,220
2025/04/21,"131,549","12,095,485",94.5,94.5,90.7,90.7,-3.30,129
2025/04/22,"286,795","26,080,597",88.0,92.5,88.0,90.5,-0.20,230
2025/04/23,"330,912","30,998,987",91.5,94.8,91.5,93.3,+2.80,262
2025/04/24,"194,218","18,178,907",93.3,95.0,92.3,93.2,-0.10,165
2025/04/25,"188,476","17,598,105",93.5,94.2,92.5,93.2,0.00,172
2025/04/28,"104,706","9,836,365",93.5,95.1,93.2,93.5,+0.30,116
2025/04/29,"185,736","17,448,019",92.7,94.7,92.5,93.8,+0.30,180
2025/04/30,"305,786","29,132,686",93.9,97.3,93.3,93.8,0.00,288
2025/05/02,"249,148","23,113,054",94.5,94.9,90.8,93.3,-0.50,247
2025/05/05,"212,888","19,745,923",93.9,93.9,91.6,93.3,0.00,218
2025/05/06,"77,321","7,185,428",93.0,93.8,92.2,93.1,-0.20,86
2025/05/07,"76,710","7,094,733",92.6,93.8,92.1,92.4,-0.70,87
2025/05/08,"130,194","12,139,547",94.5,94.5,92.4,93.8,+1.40,102
2025/05/09,"238,291","22,506,870",95.0,95.4,93.2,95.0,+1.20,213
2025/05/12,"187,074","18,034,935",95.4,97.5,95.4,97.0,+2.00,175
2025/05/13,"470,527","46,158,432",102.5,102.5,95.8,97.2,+0.20,"1,021"
2025/05/14,"491,201","47,698,565",97.5,99.0,95.0,97.2,0.00,468
2025/05/15,"134,403","13,014,697",97.0,98.0,96.0,96.0,-1.20,219
2025/05/16,"114,221","10,919,860",96.5,96.5,94.8,95.4,-0.60,141
2025/05/19,"196,750","18,370,891",94.4,94.7,92.6,93.5,-1.90,176
2025/05/20,"99,225","9,368,673",94.0,95.5,93.0,93.5,0.00,103
2025/05/21,"142,015","13,439,959",93.4,95.7,93.0,94.4,+0.90,138
2025/05/22,"179,089","17,073,115",94.3,96.1,94.1,94.5,+0.10,172
2025/05/23,"94,596","8,946,367",94.5,95.1,93.9,94.5,0.00,100
2025/05/26,"82,242","7,738,347",93.7,94.7,92.8,94.0,-0.50,94
2025/05/27,"116,952","10,934,153",94.0,95.0,92.6,92.8,-1.20,163
2025/05/28,"134,253","12,422,362",92.9,94.4,91.5,91.5,-1.30,129
2025/05/29,"63,277","5,856,493",91.9,93.5,91.9,92.4,+0.90,286
2025/06/02,"127,217","11,582,326",91.1,92.4,90.1,90.9,-1.50,122
2025/06/03,"203,294","18,553,000",91.0,94.4,89.8,91.4,+0.50,163
2025/06/04,"279,134","26,463,242",91.6,95.9,91.6,95.5,+4.10,240
2025/06/05,"111,901","10,697,387",94.8,97.0,94.3,95.0,-0.50,165
2025/06/06,"60,378","5,718,513",96.1,96.1,93.9,94.9,-0.10,63
2025/06/09,"121,465","11,390,447",94.9,94.9,92.1,94.9,0.00,85
2025/06/10,"102,904","9,822,004",95.0,96.4,94.3,96.0,+1.10,103
2025/06/11,"293,311","28,102,499",97.2,97.7,94.4,95.3,-0.70,408
2025/06/12,"53,670","5,121,946",96.1,96.7,94.3,94.7,-0.60,68
2025/06/13,"87,195","8,137,350",94.2,94.8,92.6,93.6,-1.10,85
2025/06/16,"90,088","8,417,586",93.9,95.0,91.4,93.2,-0.40,69
2025/06/17,"204,117","19,531,837",93.6,96.5,93.6,95.0,+1.80,178
2025/06/18,"82,672","7,906,916",95.0,96.3,94.3,95.2,+0.20,71
2025/06/19,"53,351","5,069,013",96.2,96.2,94.3,95.0,-0.20,49
2025/06/20,"54,026","5,093,529",94.2,95.1,93.5,94.2,-0.80,47
2025/06/23,"77,333","7,319,538",93.9,95.5,93.9,95.2,+1.00,57
2025/06/24,"213,758","20,621,380",95.5,97.4,95.4,96.1,+0.90,162
2025/06/25,"306,006","30,162,503",96.5,99.6,96.5,98.8,+2.70,270
2025/06/26,"210,728","21,147,035",98.9,101.5,98.9,99.9,+1.10,189
2025/06/27,"137,054","13,647,888",100.0,101.0,99.0,99.5,-0.40,126
2025/06/30,"146,361","14,519,723",100.0,101.0,98.2,99.2,-0.30,230
2025/07/01,"98,619","9,808,008",99.3,100.5,98.3,99.2,0.00,572
2025/07/02,"154,476","15,230,405",99.2,99.8,97.5,98.9,-0.30,241
2025/07/03,"164,431","16,181,130",99.7,99.8,97.8,99.0,+0.10,116
2025/07/04,"182,892","18,283,269",99.2,102.0,98.7,98.7,-0.30,181
2025/07/07,"80,976","7,924,144",98.1,98.7,97.0,98.0,-0.70,85
2025/07/08,"77,146","7,473,701",98.0,98.0,95.3,97.2,-0.80,120
2025/07/09,"40,898","3,985,002",96.9,98.5,96.9,97.4,+0.20,43
2025/07/10,"117,797","11,497,017",96.5,98.3,96.4,98.0,+0.60,106
2025/07/11,"244,614","24,256,516",98.0,100.0,96.3,99.4,+1.40,233
2025/07/14,"47,824","4,697,858",98.4,98.9,97.9,98.5,-0.90,115
2025/07/15,"126,580","12,289,188",98.6,99.0,95.0,97.6,-0.90,414
2025/07/16,"94,794","9,190,671",97.0,99.1,96.2,97.0,-0.60,365
2025/07/17,"73,112","7,103,796",98.4,98.4,96.6,96.9,-0.10,74
2025/07/18,"160,306","15,502,065",97.3,98.2,96.0,96.9,0.00,171
2025/07/21,"82,884","7,980,806",96.2,97.0,95.8,96.4,-0.50,70
2025/07/22,"125,714","12,061,005",96.9,96.9,95.1,95.9,-0.50,199
2025/07/23,"229,897","22,599,317",96.8,99.8,96.2,98.0,+2.10,220
2025/07/24,"51,414","5,036,172",98.1,99.3,97.4,98.2,+0.20,47
2025/07/25,"97,741","9,615,022",97.7,99.7,97.5,97.5,-0.70,65
2025/07/28,"81,285","7,886,881",97.3,97.5,96.4,97.4,-0.10,91
2025/07/29,"104,801","10,107,429",97.8,97.8,95.8,96.9,-0.50,295
2025/07/30,"99,563","9,636,373",96.3,97.5,96.2,97.0,+0.10,73
2025/07/31,"76,001","7,328,996",96.5,97.2,96.1,96.9,-0.10,63
2025/08/01,"32,445","3,135,872",96.0,97.3,95.6,97.1,+0.20,46
2025/08/04,"74,316","7,200,731",95.7,97.8,95.7,97.2,+0.10,62
2025/08/05,"110,431","10,906,197",96.4,100.5,96.4,98.9,+1.70,137
2025/08/06,"372,064","38,093,766",98.9,104.0,98.9,103.5,+4.60,796
2025/08/07,"547,035","55,853,117",103.5,104.5,100.0,102.5,-1.00,"1,042"
2025/08/08,"259,553","26,230,833",103.5,103.5,100.0,102.5,0.00,496
2025/08/11,"329,591","34,381,800",104.0,105.5,102.5,103.0,+0.50,850
