日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"55,013","1,907,543",34.65,34.95,34.4,34.6,-0.05,57
2025/01/03,"164,856","5,611,611",34.6,34.65,33.6,34.0,-0.6,252
2025/01/06,"47,250","1,604,860",34.15,34.2,33.85,33.95,-0.05,38
2025/01/07,"236,390","7,856,301",34.0,34.0,32.6,33.35,-0.6,143
2025/01/08,"79,611","2,627,924",33.1,33.4,32.75,33.1,-0.25,65
2025/01/09,"75,838","2,447,698",32.55,33.05,31.95,32.0,-1.1,76
2025/01/10,"73,092","2,370,752",32.0,32.9,32.0,32.4,0.4,43
2025/01/13,"74,735","2,379,171",32.1,32.4,31.6,31.6,-0.8,61
2025/01/14,"95,004","2,979,974",31.05,31.9,31.05,31.7,0.1,67
2025/01/15,"60,068","1,903,420",31.7,32.0,31.4,31.75,0.05,47
2025/01/16,"32,001","1,025,331",31.75,32.4,31.7,32.15,0.4,22
2025/01/17,"38,020","1,212,989",32.0,32.0,31.85,31.85,-0.3,28
2025/01/20,"91,114","2,931,208",31.85,32.7,31.85,32.5,0.65,59
2025/01/21,"38,119","1,237,722",32.0,32.8,32.0,32.35,-0.15,124
2025/01/22,"118,020","3,936,325",32.7,34.6,32.7,34.6,2.25,93
2025/02/03,"56,299","1,921,675",35.5,35.6,33.05,33.8,-0.8,68
2025/02/04,"42,026","1,437,163",33.6,34.35,33.6,34.2,0.4,33
2025/02/05,"48,029","1,653,852",35.0,35.0,34.1,34.3,0.1,56
2025/02/06,"24,020","820,937",34.1,34.3,34.05,34.3,0.0,25
2025/02/07,"13,040","451,824",34.45,34.8,34.35,34.8,0.5,11
2025/02/10,"127,544","4,454,928",34.85,35.9,34.75,35.55,0.75,67
2025/02/11,"68,142","2,381,152",35.25,35.3,34.7,34.8,-0.75,102
2025/02/12,"18,205","633,933",35.0,35.0,34.7,34.75,-0.05,18
2025/02/13,"47,415","1,681,267",34.85,35.9,34.85,35.6,0.85,44
2025/02/14,"58,227","2,086,254",35.8,36.1,35.5,35.7,0.1,61
2025/02/17,"166,345","6,264,631",36.0,38.5,36.0,37.55,1.85,180
2025/02/18,"165,973","6,389,795",37.8,39.0,37.8,38.5,0.95,191
2025/02/19,"105,274","4,060,140",38.5,38.9,37.9,38.55,0.05,103
2025/02/20,"34,010","1,312,190",38.8,38.8,38.4,38.65,0.1,27
2025/02/21,"40,133","1,552,986",38.8,39.25,38.1,39.1,0.45,43
2025/02/24,"45,402","1,780,906",38.3,39.4,38.3,39.1,0.0,42
2025/02/25,"52,980","2,058,666",39.0,39.2,38.65,38.75,-0.35,157
2025/02/26,"22,046","852,356",39.0,39.0,38.5,38.8,0.05,24
2025/02/27,"61,111","2,344,841",39.05,39.05,37.8,38.5,-0.3,67
2025/03/03,"28,062","1,068,494",38.0,38.3,37.75,38.05,-0.45,21
2025/03/04,"61,240","2,297,259",37.55,38.05,37.0,38.05,0.0,46
2025/03/05,"40,004","1,541,900",37.95,39.0,37.95,38.85,0.8,37
2025/03/06,"37,000","1,437,850",39.5,39.5,38.5,38.8,-0.05,28
2025/03/07,"37,208","1,425,283",38.1,38.7,38.05,38.2,-0.6,42
2025/03/10,"68,000","2,615,700",37.65,38.9,37.35,38.7,0.5,53
2025/03/11,"85,004","3,161,398",37.2,37.85,36.75,37.7,-1.0,68
2025/03/12,"56,284","2,111,655",38.0,38.0,37.15,37.5,-0.2,41
2025/03/13,"18,624","702,118",38.3,38.3,37.4,37.4,-0.1,16
2025/03/14,"75,242","2,790,078",37.5,38.0,36.6,37.05,-0.35,65
2025/03/17,"42,043","1,561,315",37.5,37.5,37.0,37.0,-0.05,34
2025/03/18,"30,280","1,125,651",37.1,37.5,37.0,37.5,0.5,43
2025/03/19,"18,020","666,898",36.85,37.4,36.75,37.2,-0.3,18
2025/03/20,"46,000","1,741,950",37.5,38.3,37.5,37.95,0.75,39
2025/03/21,"12,002","451,675",37.8,38.2,37.4,37.4,-0.55,13
2025/03/24,"27,304","1,015,448",38.0,38.0,36.85,36.85,-0.55,29
2025/03/25,"5,013","185,369",37.2,37.2,36.6,37.0,0.15,16
2025/03/26,"16,100","597,100",36.95,37.2,36.75,37.2,0.2,19
2025/03/27,"27,000","1,001,800",37.0,37.4,36.8,37.1,-0.1,24
2025/03/28,"49,149","1,782,757",36.65,37.2,36.0,36.0,-1.1,45
2025/03/31,"68,545","2,341,608",35.0,35.15,33.75,34.1,-1.9,71
2025/05/02,"45,052","1,388,457",31.35,31.35,30.65,30.75,-0.35,48
2025/05/05,"56,063","1,689,620",30.75,31.25,29.65,30.25,-0.5,62
2025/05/06,"35,000","1,047,100",29.7,30.15,29.55,29.95,-0.3,33
2025/05/07,"51,024","1,501,557",29.65,29.9,29.2,29.55,-0.4,51
2025/05/08,"38,189","1,124,873",29.85,29.85,29.35,29.65,0.1,38
2025/05/09,"241,224","7,019,192",29.3,29.5,28.95,29.2,-0.45,156
2025/05/12,"67,000","1,967,450",29.8,29.8,29.2,29.2,0.0,52
2025/05/13,"240,510","6,935,197",29.3,29.3,28.45,28.65,-0.55,229
2025/05/14,"103,450","2,928,869",27.55,29.1,27.45,28.9,0.25,178
2025/05/15,"78,260","2,230,243",28.55,29.0,28.05,28.6,-0.3,67
2025/05/16,"72,700","2,135,415",28.6,30.0,28.6,29.25,0.65,89
2025/05/19,"138,333","4,183,818",29.1,31.3,29.0,30.55,1.3,142
2025/05/20,"73,019","2,224,226",30.55,30.95,30.2,30.65,0.1,51
