日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"2,322,663","69,886,143",27.9,30.45,27.9,30.45,2.75,"1,493"
2025/01/03,"2,558,234","76,325,399",30.45,30.8,29.0,29.25,-1.2,"1,483"
2025/01/06,"621,060","18,345,079",29.85,30.25,29.25,29.65,0.4,474
2025/01/07,"451,332","13,156,876",29.7,29.75,28.75,28.75,-0.9,362
2025/01/08,"609,972","17,927,746",28.95,29.9,28.65,29.9,1.15,437
2025/01/09,"310,372","9,050,464",29.9,29.9,28.5,28.5,-1.4,330
2025/01/10,"256,875","7,255,114",28.3,28.6,27.9,28.1,-0.4,191
2025/01/13,"698,235","18,903,354",28.0,28.0,26.8,27.0,-1.1,436
2025/01/14,"166,438","4,506,519",27.05,27.3,26.9,27.2,0.2,163
2025/01/15,"258,620","7,062,730",27.2,27.6,27.0,27.35,0.15,184
2025/01/16,"188,408","5,185,785",27.6,28.05,27.25,27.45,0.1,153
2025/01/17,"165,214","4,560,474",27.5,27.75,27.45,27.65,0.2,187
2025/01/20,"287,020","7,997,262",27.6,28.35,27.2,28.3,0.65,260
2025/01/21,"1,751,201","52,575,446",28.1,30.75,28.1,29.6,1.3,"1,391"
2025/01/22,"533,883","15,788,921",30.2,30.2,29.15,29.75,0.15,531
2025/02/03,"269,950","7,866,668",29.0,29.5,28.85,29.15,-0.6,263
2025/02/04,"231,903","6,757,174",29.3,29.45,28.95,29.25,0.1,175
2025/02/05,"266,108","7,907,190",29.5,29.85,29.5,29.7,0.45,192
2025/02/06,"139,664","4,141,664",30.0,30.0,29.45,29.75,0.05,154
2025/02/07,"167,505","4,984,599",30.0,30.0,29.55,29.75,0.0,151
2025/02/10,"489,189","14,639,110",29.75,30.25,29.55,29.85,0.1,335
2025/02/11,"180,034","5,349,409",29.85,29.9,29.3,29.3,-0.55,269
2025/02/12,"1,145,249","35,270,820",29.35,31.95,29.35,30.45,1.15,"1,059"
2025/02/13,"666,290","20,654,266",30.5,31.3,30.5,31.0,0.55,576
2025/02/14,"402,284","12,328,529",31.0,31.1,29.8,30.7,-0.3,328
2025/02/17,"260,075","7,974,528",30.95,31.2,30.35,30.75,0.05,362
2025/02/18,"247,400","7,542,309",30.75,30.75,30.3,30.6,-0.15,175
2025/02/19,"737,875","23,065,740",30.75,31.8,30.75,31.5,0.9,519
2025/02/20,"372,788","11,723,599",31.45,31.85,31.2,31.55,0.05,312
2025/02/21,"453,977","14,336,812",31.5,31.75,31.25,31.55,0.0,345
2025/02/24,"494,500","15,743,308",31.5,32.3,31.0,31.8,0.25,329
2025/02/25,"359,874","11,479,992",31.5,32.15,31.5,31.65,-0.15,257
2025/02/26,"605,425","19,234,156",31.85,32.05,31.45,31.9,0.25,342
2025/02/27,"723,570","22,694,848",31.85,32.05,31.1,31.15,-0.75,384
2025/03/03,"688,451","21,261,855",30.7,31.7,30.35,30.7,-0.45,438
2025/03/04,"710,728","20,946,815",30.6,30.6,29.15,29.65,-1.05,480
2025/03/05,"312,062","9,335,140",29.6,30.25,29.35,30.0,0.35,520
2025/03/06,"380,007","11,194,282",29.9,29.9,29.2,29.45,-0.55,509
2025/03/07,"1,619,529","50,318,534",29.6,31.8,29.45,30.85,1.4,"1,254"
