日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"190,963","3,223,309",16.85,17.0,16.7,17.0,0.1,140
2025/01/03,"346,227","5,741,605",17.0,17.0,16.4,16.4,-0.6,226
2025/01/06,"225,503","3,715,830",16.35,16.6,16.3,16.35,-0.05,150
2025/01/07,"273,347","4,445,888",16.6,16.6,16.15,16.2,-0.15,210
2025/01/08,"461,638","7,386,002",16.2,16.2,15.8,15.85,-0.35,241
2025/01/09,"818,966","12,610,117",15.35,15.65,15.15,15.15,-0.7,464
2025/01/10,"265,501","4,420,584",16.65,16.65,16.65,16.65,1.5,147
2025/01/13,"2,872,470","50,841,515",18.3,18.3,17.15,17.15,0.5,"1,614"
2025/01/14,"571,281","9,713,337",17.15,17.35,16.65,17.35,0.2,440
2025/01/15,"255,705","4,406,852",17.35,17.35,17.0,17.35,0.0,187
2025/01/16,"271,452","4,712,447",17.45,17.6,17.1,17.1,-0.25,233
2025/01/17,"372,004","6,331,768",17.1,17.3,16.6,16.95,-0.15,191
2025/01/20,"162,557","2,743,651",17.0,17.0,16.75,16.95,0.0,132
2025/01/21,"176,446","2,983,234",17.1,17.2,16.7,16.75,-0.2,149
2025/01/22,"426,776","7,343,802",16.85,17.65,16.8,17.05,0.3,319
2025/02/03,"306,846","5,088,584",16.85,16.9,16.2,16.75,-0.3,218
2025/02/04,"101,333","1,673,059",16.65,16.7,16.4,16.55,-0.2,105
2025/02/05,"167,246","2,802,521",16.55,16.95,16.55,16.8,0.25,116
2025/02/06,"243,216","4,184,118",16.85,17.5,16.8,17.2,0.4,194
2025/02/07,"171,721","2,991,758",17.2,17.75,17.15,17.4,0.2,144
2025/02/10,"210,825","3,596,141",16.75,17.45,16.75,17.2,-0.2,170
2025/02/11,"94,511","1,619,764",17.25,17.25,17.0,17.15,-0.05,83
2025/02/12,"165,360","2,854,432",17.25,17.45,17.05,17.15,0.0,120
2025/02/13,"324,808","5,725,496",17.3,17.75,17.3,17.6,0.45,255
2025/02/14,"180,344","3,206,310",17.5,17.95,17.5,17.85,0.25,146
2025/02/17,"139,416","2,473,652",17.85,17.85,17.55,17.8,-0.05,154
2025/02/18,"247,225","4,411,583",18.0,18.4,17.6,17.7,-0.1,162
2025/02/19,"390,053","7,065,388",17.8,18.45,17.8,18.0,0.3,274
2025/02/20,"264,224","4,681,415",18.05,18.05,17.5,17.65,-0.35,217
2025/02/21,"286,450","5,122,844",17.8,18.0,17.65,17.8,0.15,175
2025/02/24,"157,724","2,835,977",17.8,18.1,17.8,18.0,0.2,123
2025/02/25,"131,565","2,342,255",18.05,18.05,17.75,17.75,-0.25,97
2025/02/26,"267,592","4,737,207",17.7,17.8,17.55,17.6,-0.15,146
2025/02/27,"322,505","5,668,585",17.6,17.8,17.4,17.45,-0.15,193
2025/03/03,"241,431","4,118,700",17.2,17.25,16.8,17.05,-0.4,153
2025/03/04,"153,315","2,632,048",16.9,17.4,16.8,17.25,0.2,132
2025/03/05,"200,003","3,430,052",17.25,17.35,17.0,17.1,-0.15,132
2025/03/06,"202,331","3,430,299",17.05,17.1,16.85,17.0,-0.1,147
2025/03/07,"390,349","6,557,909",16.8,17.1,16.65,16.65,-0.35,219
2025/03/10,"165,913","2,771,501",16.65,16.9,16.55,16.8,0.15,110
2025/03/11,"424,152","6,842,565",16.3,16.4,15.9,16.1,-0.7,248
2025/03/12,"144,210","2,356,684",16.1,16.5,16.1,16.3,0.2,69
2025/03/13,"270,249","4,326,518",16.4,16.45,15.8,15.8,-0.5,186
