日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/03/13,"1,365,658","84,168,702",63.00,63.00,60.20,60.40,X0.00,"1,142"
2025/03/14,"714,684","41,777,904",59.50,60.40,57.00,58.40,-2.00,576
2025/03/17,"334,348","19,608,054",58.80,59.20,58.30,59.00,+0.60,247
2025/03/18,"253,730","15,027,897",59.20,59.80,58.50,59.80,+0.80,175
2025/03/19,"268,342","16,299,491",59.80,61.30,59.80,60.80,+1.00,239
2025/03/20,"596,454","37,721,912",61.40,64.60,61.30,63.80,+3.00,461
2025/03/21,"286,215","17,977,167",62.90,63.20,62.10,63.20,-0.60,255
2025/03/24,"162,896","10,229,021",63.40,63.40,62.40,62.70,-0.50,130
2025/03/25,"162,784","10,124,903",62.70,62.70,61.50,61.70,-1.00,127
2025/03/26,"76,735","4,666,136",61.50,61.50,60.10,61.20,-0.50,75
2025/03/27,"132,921","7,997,765",60.60,61.00,59.60,60.20,-1.00,111
2025/03/28,"255,490","14,819,742",59.50,59.50,57.30,57.80,-2.40,190
2025/03/31,"125,330","6,891,321",57.00,57.00,54.10,54.80,-3.00,119
2025/04/01,"44,357","2,484,209",55.30,56.70,55.30,56.30,+1.50,54
2025/04/02,"41,099","2,335,452",56.00,57.50,56.00,57.10,+0.80,35
2025/04/07,"21,168","1,088,032",51.40,51.40,51.40,51.40,-5.70,25
2025/04/08,"154,026","7,185,866",47.00,47.30,46.30,46.30,-5.10,128
2025/04/09,"115,845","4,830,730",41.70,41.70,41.70,41.70,-4.60,64
2025/04/10,"384,314","17,159,770",45.80,45.85,43.25,45.85,+4.15,190
2025/04/11,"106,628","4,549,695",41.45,44.50,41.45,44.25,-1.60,86
2025/04/14,"108,904","4,838,334",45.00,45.00,44.25,44.60,+0.35,83
2025/04/15,"256,506","12,219,610",45.35,49.05,44.90,49.05,+4.45,496
2025/04/16,"138,677","6,667,802",49.05,49.05,47.55,48.45,-0.60,85
2025/04/17,"151,001","7,254,597",48.30,51.90,46.05,49.70,+1.25,93
2025/04/18,"80,350","3,963,403",49.85,50.00,49.10,49.35,-0.35,61
2025/04/21,"58,540","2,852,375",50.00,50.00,47.85,47.85,-1.50,47
2025/04/22,"36,100","1,702,080",47.55,47.55,46.80,47.00,-0.85,22
2025/04/23,"29,091","1,423,092",49.00,49.30,48.05,49.30,+2.30,22
2025/04/24,"101,064","5,114,739",49.40,51.20,49.40,49.60,+0.30,63
2025/04/25,"121,574","6,320,483",49.60,53.20,49.60,52.60,+3.00,102
2025/04/28,"107,114","5,791,090",52.00,55.00,52.00,53.60,+1.00,118
2025/04/29,"58,281","3,146,413",53.60,54.90,53.50,54.00,+0.40,46
2025/04/30,"77,794","4,145,539",54.40,54.40,52.50,53.50,-0.50,78
2025/05/02,"61,270","3,308,965",53.60,54.40,53.50,54.00,+0.50,40
2025/05/05,"101,287","5,196,936",54.00,54.00,50.00,50.60,-3.40,66
2025/05/06,"27,350","1,408,901",50.70,52.70,50.70,52.40,+1.80,23
