日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"5,029,023","506,878,029",99.8,101.5,99.7,100.5,+1.00,"3,102"
2025/01/03,"3,042,247","307,646,598",101.5,101.5,101.0,101.0,+0.50,"1,726"
2025/01/06,"5,055,156","515,546,482",101.5,102.5,101.0,102.0,+1.00,"3,095"
2025/01/07,"4,732,758","482,017,268",102.5,103.0,101.5,101.5,-0.50,"2,200"
2025/01/08,"5,323,474","542,166,670",102.0,102.5,101.5,101.5,0.00,"2,048"
2025/01/09,"17,925,476","1,874,466,850",102.0,106.0,102.0,104.0,+2.50,"11,162"
2025/01/10,"5,853,554","606,821,729",103.5,105.0,103.0,103.0,-1.00,"4,015"
2025/01/13,"6,477,138","662,743,350",102.5,103.5,101.0,102.0,-1.00,"3,574"
2025/01/14,"4,566,348","473,696,402",102.5,104.5,102.5,104.0,+2.00,"2,866"
2025/01/15,"6,147,382","631,673,652",103.5,104.5,101.0,101.0,-3.00,"4,215"
2025/01/16,"21,484,691","2,293,683,159",104.0,107.5,103.5,107.5,+6.50,"12,737"
2025/01/17,"7,567,884","807,264,811",106.5,107.5,106.0,107.0,-0.50,"6,044"
2025/01/20,"14,478,547","1,570,389,095",106.5,109.5,106.5,108.0,+1.00,"8,069"
2025/01/21,"6,756,338","723,587,161",108.0,108.5,106.0,107.0,-1.00,"3,750"
2025/01/22,"7,361,724","800,381,320",108.0,109.0,107.5,109.0,+2.00,"5,074"
2025/02/03,"9,527,540","1,014,561,226",105.0,108.0,104.5,107.5,-1.50,"4,888"
2025/02/04,"4,895,572","525,260,418",108.0,108.5,106.5,106.5,-1.00,"3,144"
2025/02/05,"6,098,712","660,815,044",108.0,109.5,107.5,108.5,+2.00,"3,556"
2025/02/06,"3,934,108","427,615,828",109.0,109.5,108.0,108.5,0.00,"2,942"
2025/02/07,"4,356,847","468,217,400",108.5,109.0,106.5,107.5,-1.00,"3,247"
2025/02/10,"7,043,856","762,332,286",107.5,109.0,107.0,108.5,+1.00,"4,177"
2025/02/11,"3,412,332","369,978,361",109.0,109.0,108.0,108.0,-0.50,"2,486"
2025/02/12,"4,047,702","437,354,061",108.5,109.0,107.5,108.0,0.00,"2,188"
2025/02/13,"19,461,318","2,153,063,115",108.5,112.0,108.5,111.0,+3.00,"11,588"
2025/02/14,"5,002,204","549,178,760",111.5,111.5,109.0,109.0,-2.00,"3,198"
2025/02/17,"6,385,245","706,310,380",110.0,111.5,109.5,111.0,+2.00,"4,356"
2025/02/18,"5,487,485","610,262,875",111.0,111.5,110.5,111.5,+0.50,"3,361"
2025/02/19,"12,294,757","1,375,791,588",111.5,113.5,110.0,111.0,-0.50,"7,152"
2025/02/20,"11,629,896","1,290,559,292",111.0,112.0,109.5,111.5,+0.50,"5,640"
2025/02/21,"5,201,860","581,613,231",111.5,112.0,110.5,112.0,+0.50,"3,680"
2025/02/24,"5,796,940","645,535,459",111.5,113.0,110.5,111.5,-0.50,"3,862"
2025/02/25,"8,962,167","1,001,524,392",111.0,112.5,110.5,111.5,0.00,"4,456"
2025/02/26,"10,415,889","1,157,409,126",111.5,112.0,109.5,112.0,+0.50,"4,832"
2025/02/27,"23,529,426","2,541,072,412",111.5,111.5,106.0,107.0,-5.00,"11,461"
2025/03/03,"11,614,960","1,264,100,716",107.0,110.0,106.5,109.5,+2.50,"6,181"
2025/03/04,"12,175,179","1,329,848,804",108.0,110.0,107.5,109.0,-0.50,"5,047"
2025/03/05,"7,571,795","828,427,640",109.5,110.0,108.5,109.0,0.00,"4,328"
2025/03/06,"6,433,039","697,739,016",109.5,110.0,107.0,107.5,-1.50,"4,359"
2025/03/07,"6,559,735","704,457,999",107.5,108.5,106.5,106.5,-1.00,"4,340"
2025/03/10,"7,010,210","749,248,147",107.0,108.0,105.5,106.5,0.00,"4,125"
2025/03/11,"11,590,151","1,220,287,952",105.0,106.5,104.5,105.0,-1.50,"6,348"
2025/03/12,"6,312,948","677,857,636",106.5,108.5,106.0,107.0,+2.00,"3,639"
2025/03/13,"7,462,950","794,807,042",108.0,108.5,105.0,105.5,-1.50,"3,802"
2025/03/14,"5,977,471","630,881,180",106.0,106.5,105.0,105.5,0.00,"3,106"
2025/03/17,"5,334,580","573,434,319",108.0,108.0,106.5,107.0,+1.50,"2,860"
2025/03/18,"7,521,922","803,552,416",107.5,108.5,105.5,107.0,0.00,"3,964"
2025/03/19,"7,431,145","788,507,483",107.5,108.0,105.0,105.5,-1.50,"4,210"
2025/03/20,"9,356,286","965,978,555",103.5,104.5,102.5,102.5,X0.00,"6,515"
2025/03/21,"16,398,796","1,704,219,934",104.0,105.0,103.0,104.0,+1.50,"3,899"
2025/03/24,"8,139,480","832,482,090",104.0,105.0,101.5,101.5,-2.50,"5,661"
2025/03/25,"11,656,622","1,173,447,025",102.5,103.0,100.0,100.0,-1.50,"7,995"
2025/03/26,"7,485,123","757,534,981",101.0,102.0,100.5,101.5,+1.50,"3,434"
2025/03/27,"6,579,388","665,564,649",101.0,102.0,100.0,101.5,0.00,"3,150"
2025/03/28,"14,685,843","1,446,352,878",100.0,100.0,97.3,98.0,-3.50,"11,536"
2025/03/31,"18,148,753","1,690,145,251",95.5,95.9,90.9,90.9,-7.10,"10,973"
2025/04/01,"8,529,869","802,789,331",92.8,95.3,92.6,94.3,+3.40,"6,470"
2025/04/02,"4,316,114","409,268,199",94.0,95.3,93.9,94.8,+0.50,"3,203"
2025/04/07,"2,197,008","187,624,243",85.4,85.4,85.4,85.4,-9.40,"2,122"
2025/04/08,"17,834,960","1,383,163,037",78.0,81.0,76.9,76.9,-8.50,"11,041"
2025/04/09,"19,688,722","1,454,918,809",72.9,76.9,70.5,71.6,-5.30,"10,801"
2025/04/10,"3,338,764","262,760,685",78.7,78.7,78.7,78.7,+7.10,897
2025/04/11,"20,342,299","1,684,308,610",75.8,86.0,75.8,85.6,+6.90,"17,559"
2025/04/14,"15,722,192","1,388,496,710",88.9,90.8,86.7,87.2,+1.60,"11,020"
2025/04/15,"9,752,512","871,059,901",87.8,91.0,87.3,89.6,+2.40,"6,979"
2025/04/16,"6,356,047","567,678,886",88.9,90.2,88.5,88.8,-0.80,"5,883"
2025/04/17,"7,502,919","660,190,858",88.5,88.8,87.1,88.1,-0.70,"5,204"
2025/04/18,"4,642,986","414,700,766",88.7,90.1,88.6,89.0,+0.90,"3,460"
2025/04/21,"4,977,520","444,195,292",89.0,89.9,88.8,88.8,-0.20,"3,444"
2025/04/22,"6,985,776","620,622,989",87.9,89.4,87.9,88.8,0.00,"3,812"
