日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"259,824","4,825,450",18.65,18.8,18.45,18.65,-0.05,182
2025/01/03,"272,364","5,034,597",18.8,18.9,18.3,18.4,-0.25,178
2025/01/06,"372,977","7,008,765",18.55,19.05,18.5,18.9,+0.50,260
2025/01/07,"271,682","5,122,650",18.95,19.2,18.65,18.65,-0.25,187
2025/01/08,"2,242,416","44,263,688",18.65,20.2,18.6,19.85,+1.20,"1,175"
2025/01/09,"3,582,393","71,688,690",20.15,20.55,19.35,19.45,-0.40,"2,184"
2025/01/10,"709,351","13,713,512",19.45,19.6,19.1,19.2,-0.25,426
2025/01/13,"2,139,339","38,925,527",19.05,19.15,17.8,18.2,-1.00,"1,092"
2025/01/14,"938,417","17,021,886",18.2,18.35,17.95,18.15,-0.05,488
2025/01/15,"338,601","6,139,776",18.15,18.35,18.0,18.2,+0.05,239
2025/01/16,"364,332","6,710,800",18.25,18.65,18.25,18.25,+0.05,249
2025/01/17,"368,743","6,759,710",18.4,18.55,18.2,18.2,-0.05,211
2025/01/20,"206,827","3,757,420",18.3,18.3,18.05,18.15,-0.05,143
2025/01/21,"338,454","6,100,829",18.15,18.25,17.95,17.95,-0.20,235
2025/01/22,"365,606","6,579,484",18.15,18.15,17.85,17.95,0.00,195
2025/02/03,"550,432","9,631,487",17.7,17.8,17.3,17.75,-0.20,329
2025/02/04,"244,845","4,394,868",17.8,18.1,17.8,18.0,+0.25,141
2025/02/05,"269,738","4,934,139",18.1,18.4,18.1,18.3,+0.30,174
2025/02/06,"676,775","12,724,660",18.3,19.2,18.3,18.75,+0.45,438
2025/02/07,"1,805,894","35,130,094",19.0,19.8,18.6,19.45,+0.70,887
2025/02/10,"866,515","17,009,062",19.6,19.9,19.4,19.55,+0.10,530
2025/02/11,"1,041,370","20,662,802",19.9,20.2,19.6,19.65,+0.10,531
2025/02/12,"2,741,269","55,452,528",19.65,20.6,19.65,20.05,+0.40,"1,278"
2025/02/13,"1,496,291","30,664,535",20.4,21.2,20.1,20.1,+0.05,819
2025/02/14,"815,027","16,395,451",20.4,20.4,19.85,20.1,0.00,439
2025/02/17,"3,742,873","78,760,429",20.1,21.5,20.1,21.2,+1.10,"1,884"
2025/02/18,"3,367,729","71,967,684",21.6,22.15,20.7,21.15,-0.05,"1,895"
2025/02/19,"1,081,954","22,526,716",21.15,21.25,20.65,20.75,-0.40,553
2025/02/20,"1,318,927","28,030,542",21.05,21.6,20.9,21.1,+0.35,777
2025/02/21,"956,975","20,024,464",21.1,21.25,20.7,21.15,+0.05,495
2025/02/24,"1,791,860","38,643,898",21.2,21.85,21.15,21.85,+0.70,947
2025/02/25,"1,327,848","28,832,335",21.35,22.0,21.3,21.65,-0.20,701
2025/02/26,"755,462","16,408,447",21.65,22.0,21.35,21.65,0.00,509
2025/02/27,"668,819","14,370,485",21.55,21.75,21.3,21.3,-0.35,396
2025/03/03,"432,855","9,060,671",21.4,21.4,20.7,20.9,-0.40,303
