日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"274,269","4,028,412",14.85,14.95,14.5,14.55,-0.3,219
2025/01/03,"513,829","7,348,987",14.65,14.8,14.0,14.05,-0.5,313
2025/01/06,"450,239","6,399,048",14.15,14.5,14.0,14.05,0.0,254
2025/01/07,"439,026","6,128,911",14.3,14.3,13.7,13.7,-0.35,261
2025/01/08,"461,499","6,331,188",13.7,13.85,13.55,13.7,0.0,201
2025/01/09,"441,761","5,900,461",13.8,13.8,13.15,13.2,-0.5,259
2025/01/10,"1,066,563","14,578,748",13.75,14.2,13.4,13.5,0.3,516
2025/01/13,"668,257","8,590,443",13.45,13.45,12.6,12.8,-0.7,368
2025/01/14,"347,206","4,492,739",12.8,13.05,12.8,12.9,0.1,168
2025/01/15,"416,894","5,428,631",12.9,13.2,12.9,12.95,0.05,201
2025/01/16,"578,730","7,684,983",13.25,13.45,13.15,13.15,0.2,283
2025/01/17,"399,631","5,214,229",13.25,13.3,12.95,13.0,-0.15,216
2025/01/20,"689,879","9,092,572",13.1,13.4,13.0,13.2,0.2,321
2025/01/21,"538,022","7,194,049",13.4,13.65,13.15,13.2,0.0,306
2025/01/22,"328,367","4,371,895",13.25,13.45,13.2,13.4,0.2,184
2025/02/03,"398,377","5,237,147",13.6,13.6,12.8,13.15,-0.25,283
2025/02/04,"1,383,329","19,253,791",13.2,14.35,13.2,13.9,0.75,839
2025/02/05,"472,795","6,591,432",13.9,14.1,13.85,13.85,-0.05,262
2025/02/06,"437,504","6,138,909",14.0,14.25,13.85,14.05,0.2,260
2025/02/07,"242,933","3,394,265",14.15,14.25,13.9,13.95,-0.1,158
2025/02/10,"414,805","5,661,488",13.95,13.95,13.5,13.65,-0.3,253
2025/02/11,"421,710","5,814,705",13.75,14.05,13.7,13.75,0.1,199
2025/02/12,"1,147,955","17,058,670",13.85,15.1,13.85,15.1,1.35,539
2025/02/13,"5,036,753","78,119,142",15.95,15.95,15.05,15.05,-0.05,"2,446"
2025/02/14,"1,494,267","22,766,906",15.0,15.6,14.95,15.2,0.15,731
2025/02/17,"1,022,430","15,419,648",15.2,15.25,14.95,15.0,-0.2,491
2025/02/18,"639,816","9,470,457",14.95,15.0,14.7,14.75,-0.25,377
2025/02/19,"805,824","12,063,603",14.8,15.25,14.75,14.8,0.05,436
2025/02/20,"1,526,717","23,301,157",15.0,15.65,14.9,15.0,0.2,794
2025/02/21,"744,754","11,221,852",15.0,15.2,14.95,15.1,0.1,357
2025/02/24,"517,971","7,758,810",14.9,15.1,14.9,14.95,-0.15,285
2025/02/25,"432,847","6,458,854",14.85,15.1,14.75,14.9,-0.05,225
2025/02/26,"339,049","5,055,083",15.0,15.0,14.8,14.85,-0.05,174
2025/02/27,"742,993","10,958,288",14.85,15.1,14.5,14.5,-0.35,378
2025/03/03,"415,037","5,938,833",14.5,14.6,14.1,14.1,-0.4,252
2025/03/04,"376,556","5,280,856",14.1,14.2,13.85,14.15,0.05,212
2025/03/05,"394,295","5,618,212",14.3,14.4,14.05,14.2,0.05,218
2025/03/06,"398,784","5,637,456",14.3,14.5,14.0,14.0,-0.2,220
2025/03/07,"216,143","3,024,878",14.0,14.15,13.9,13.9,-0.1,149
2025/03/10,"353,832","5,012,357",14.05,14.35,14.0,14.15,0.25,183
2025/03/11,"468,934","6,427,704",14.0,14.05,13.4,14.0,-0.15,290
2025/03/12,"476,751","6,644,800",14.05,14.15,13.8,13.8,-0.2,257
2025/03/13,"523,252","7,311,792",13.95,14.2,13.75,13.75,-0.05,291
2025/03/14,"241,217","3,336,687",13.85,13.95,13.7,13.8,0.05,195
2025/03/17,"221,507","3,079,800",13.85,14.0,13.8,13.8,0.0,120
2025/03/18,"219,842","3,066,816",13.95,14.1,13.85,13.85,0.05,139
2025/03/19,"197,178","2,714,300",13.85,13.95,13.65,13.65,-0.2,129
2025/03/20,"429,363","5,999,805",13.85,14.15,13.75,13.95,0.3,192
2025/03/21,"202,319","2,808,256",14.1,14.1,13.8,13.8,-0.15,132
2025/03/24,"221,069","3,044,124",13.95,13.95,13.7,13.75,-0.05,156
2025/03/25,"247,808","3,404,422",13.95,13.95,13.6,13.75,0.0,147
2025/03/26,"256,376","3,571,678",13.9,14.05,13.8,13.9,0.15,154
2025/03/27,"130,178","1,800,060",13.9,13.9,13.7,13.85,-0.05,82
2025/03/28,"539,773","7,242,936",13.9,13.9,13.15,13.15,-0.7,324
2025/03/31,"843,466","10,372,509",13.0,13.0,12.0,12.0,-1.15,482
2025/04/01,"501,662","6,093,161",12.15,12.35,12.0,12.1,0.1,265
2025/04/02,"270,861","3,318,698",12.2,12.45,11.95,12.35,0.25,204
2025/04/07,"156,373","1,743,550",11.15,11.15,11.15,11.15,-1.2,84
2025/04/08,"1,161,122","11,729,845",10.1,10.25,10.05,10.05,-1.1,479
2025/04/09,"809,019","7,516,088",10.05,10.05,9.05,9.05,-1.0,421
2025/04/10,"250,334","2,477,701",9.8,9.95,9.68,9.95,0.9,143
2025/04/11,"395,479","3,961,941",9.99,10.3,9.6,10.3,0.35,249
2025/04/14,"561,706","6,122,325",10.5,11.25,10.5,10.6,0.3,293
