日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"11,380,681","4,783,630,401",430.50,436.50,412.50,417.00,-13.50,"26,479"
2025/01/03,"9,851,603","4,096,589,825",419.50,422.00,412.50,414.00,-3.00,"7,975"
2025/01/06,"7,109,722","2,961,882,393",422.00,422.00,415.00,418.50,+4.50,"6,043"
2025/01/07,"7,751,389","3,332,968,536",425.00,434.00,423.50,432.00,+13.50,"8,716"
2025/01/08,"12,300,630","5,330,039,702",440.50,446.00,425.50,428.00,-4.00,"10,523"
2025/01/09,"5,235,447","2,201,723,648",428.00,430.00,417.00,417.50,-10.50,"7,041"
2025/01/10,"4,405,382","1,843,054,259",420.00,420.50,416.00,420.00,+2.50,"3,927"
2025/01/13,"9,734,037","3,938,130,763",413.50,415.50,400.00,400.00,-20.00,"12,148"
2025/01/14,"10,194,540","4,162,323,274",410.00,412.50,403.00,410.00,+10.00,"7,554"
2025/01/15,"9,458,307","3,794,806,928",404.50,406.50,398.50,400.50,-9.50,"9,176"
2025/01/16,"9,885,870","4,120,907,506",408.50,424.50,405.50,418.50,+18.00,"9,049"
2025/01/17,"6,581,399","2,771,287,018",421.00,426.00,414.50,422.00,+3.50,"6,551"
2025/01/20,"4,795,905","2,051,535,027",425.00,431.50,425.00,427.00,+5.00,"5,398"
2025/01/21,"6,714,879","2,837,203,178",425.00,428.50,418.50,421.50,-5.50,"6,717"
2025/01/22,"10,034,866","4,349,995,402",424.00,438.00,424.00,437.50,+16.00,"12,433"
2025/02/03,"21,442,807","8,562,086,482",400.00,407.00,394.50,399.00,-38.50,"32,993"
2025/02/04,"9,832,298","3,943,454,067",401.50,408.00,396.50,397.00,-2.00,"12,646"
2025/02/05,"6,794,679","2,761,080,871",403.00,410.00,403.00,405.50,+8.50,"6,617"
2025/02/06,"8,942,631","3,710,017,537",413.50,417.50,411.50,417.00,+11.50,"7,907"
2025/02/07,"4,903,016","2,022,822,124",418.00,418.50,409.00,415.00,-2.00,"6,878"
2025/02/10,"5,455,004","2,214,491,910",405.00,409.50,404.00,404.50,-10.50,"8,402"
2025/02/11,"6,933,390","2,800,840,141",405.00,408.00,402.00,402.00,-2.50,"6,673"
2025/02/12,"3,998,133","1,610,368,483",403.00,406.50,401.00,401.00,-1.00,"5,091"
2025/02/13,"6,701,476","2,708,460,961",401.00,406.00,400.50,405.00,+4.00,"5,092"
2025/02/14,"5,005,852","2,011,567,147",402.00,406.00,400.00,401.00,-4.00,"7,661"
2025/02/17,"4,598,247","1,866,406,474",400.00,408.50,400.00,406.00,+5.00,"5,362"
2025/02/18,"21,321,011","8,392,544,011",402.00,403.50,390.50,391.00,-15.00,"37,838"
2025/02/19,"8,248,001","3,229,349,641",386.00,394.00,386.00,392.00,+1.00,"11,227"
2025/02/20,"10,129,322","3,966,771,228",392.50,394.50,390.00,390.00,-2.00,"12,173"
2025/02/21,"9,099,579","3,568,880,519",386.50,396.00,386.50,396.00,+6.00,"9,707"
2025/02/24,"7,070,816","2,784,138,643",391.50,396.00,389.50,395.50,-0.50,"7,260"
