日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"10,414,334","405,581,758",39.7,39.75,38.5,38.7,-1.50,"8,033"
2025/01/03,"7,192,833","268,985,214",38.8,38.9,36.5,36.7,-2.00,"5,303"
2025/01/06,"3,557,016","132,636,928",37.5,37.7,36.85,36.9,+0.20,"2,674"
2025/01/07,"4,138,752","156,105,856",37.6,38.35,37.0,37.8,+0.90,"3,189"
2025/01/08,"4,904,590","188,298,428",37.9,38.9,37.9,38.4,+0.60,"3,370"
2025/01/09,"5,809,236","213,180,813",38.2,38.25,35.5,35.9,-2.50,"4,977"
2025/01/10,"3,367,241","119,280,049",36.1,36.25,34.6,35.75,-0.15,"2,186"
2025/01/13,"3,262,268","110,140,810",35.5,35.5,33.35,33.4,-2.35,"2,321"
2025/01/14,"1,539,465","51,515,172",33.6,33.9,33.1,33.5,+0.10,"1,129"
2025/01/15,"1,489,729","49,492,776",33.5,33.8,32.9,33.0,-0.50,"1,246"
2025/01/16,"1,352,974","45,359,517",33.9,34.2,33.15,33.35,+0.35,"1,046"
2025/01/17,"2,467,602","84,328,918",33.8,34.8,33.7,34.15,+0.80,"1,773"
2025/01/20,"1,819,986","61,737,058",34.5,34.5,33.55,34.4,+0.25,"1,236"
2025/01/21,"1,436,363","49,217,310",34.4,34.9,34.0,34.25,-0.15,"1,168"
2025/01/22,"3,390,529","118,949,297",34.5,35.95,34.1,35.75,+1.50,"2,274"
2025/02/03,"2,811,169","99,584,406",35.0,36.45,34.25,35.6,-0.15,"2,504"
2025/02/04,"1,959,389","68,202,947",35.6,35.6,34.45,34.45,-1.15,"1,510"
2025/02/05,"1,450,803","50,409,880",34.5,35.15,34.45,34.85,+0.40,"1,005"
2025/02/06,"1,395,452","48,228,534",34.8,35.0,34.35,34.35,-0.50,"1,296"
2025/02/07,"2,559,444","88,132,199",34.15,35.3,33.1,34.95,+0.60,"1,756"
2025/02/10,"2,036,912","69,180,028",34.5,34.55,33.75,33.8,-1.15,"1,674"
2025/02/11,"2,592,612","85,841,149",33.15,33.4,33.0,33.0,-0.80,"1,953"
2025/02/12,"1,645,838","54,180,455",32.8,33.5,32.5,32.65,-0.35,"1,257"
2025/02/13,"1,391,733","45,794,922",32.7,33.3,32.7,32.9,+0.25,"1,031"
2025/02/14,"1,448,045","47,363,119",33.05,33.05,32.55,32.65,-0.25,"1,211"
2025/02/17,"1,296,026","42,863,409",32.9,33.35,32.85,33.0,+0.35,"1,016"
2025/02/18,"2,861,273","96,936,766",33.15,34.2,33.15,34.2,+1.20,"1,969"
2025/02/19,"1,529,331","51,983,516",34.2,34.2,33.75,34.2,0.00,"1,155"
2025/02/20,"1,220,288","41,676,962",34.45,34.75,33.9,33.9,-0.30,945
2025/02/21,"1,260,742","42,485,238",33.9,34.1,33.25,33.7,-0.20,978
2025/02/24,"2,798,621","97,431,891",33.85,35.4,33.85,34.7,+1.00,"2,060"
2025/02/25,"1,608,443","54,699,380",34.7,34.7,33.8,33.9,-0.80,"1,644"
2025/02/26,"1,044,000","35,273,094",34.05,34.15,33.7,33.85,-0.05,801
2025/02/27,"1,310,719","44,087,016",34.0,34.1,33.25,33.25,-0.60,"1,109"
2025/03/03,"1,307,136","43,055,873",33.25,33.4,32.65,32.85,-0.40,"1,080"
2025/03/04,"841,684","27,570,819",32.5,33.25,32.1,33.15,+0.30,641
2025/03/05,"693,211","23,002,283",33.0,33.4,33.0,33.1,-0.05,673
2025/03/06,"976,545","31,960,425",33.15,33.3,32.55,32.55,-0.55,977
2025/03/07,"1,008,721","32,525,186",32.45,32.7,32.05,32.05,-0.50,899
2025/03/10,"941,225","30,034,895",32.1,32.65,31.65,31.8,-0.25,826
2025/03/11,"1,490,874","45,537,440",31.0,31.05,30.0,30.8,-1.00,"1,230"
2025/03/12,"731,570","22,678,387",31.3,31.35,30.9,31.15,+0.35,677
2025/03/13,"2,035,456","61,893,970",31.0,31.0,30.05,30.05,-1.10,"1,468"
2025/03/14,"1,166,166","34,943,135",29.8,30.35,29.8,30.1,+0.05,819
2025/03/17,"1,319,271","35,752,130",27.1,27.1,27.1,27.1,-3.00,"1,241"
2025/03/18,"106,867","2,607,497",24.4,24.4,24.4,24.4,-2.70,247
2025/03/19,"164,131","3,610,882",22.0,22.0,22.0,22.0,-2.40,240
2025/03/20,"307,188","6,082,240",19.8,19.8,19.8,19.8,-2.20,321
2025/03/21,"1,379,658","24,626,678",17.85,17.85,17.85,17.85,-1.95,825
2025/03/24,"3,127,889","50,358,940",16.1,16.1,16.1,16.1,-1.75,"1,507"
2025/03/25,"1,428,599","20,714,626",14.5,14.5,14.5,14.5,-1.60,957
2025/03/26,"670,389","8,748,494",13.05,13.05,13.05,13.05,-1.45,595
2025/03/27,"14,557,561","184,016,154",11.75,14.35,11.75,14.35,+1.30,"5,356"
2025/03/28,"5,844,360","78,505,134",12.95,13.8,12.95,13.4,-0.95,"2,486"
2025/03/31,"2,831,380","34,640,395",12.6,12.6,12.1,12.1,-1.30,"1,367"
2025/04/01,"4,591,857","52,462,415",11.6,12.4,10.9,12.2,+0.10,"2,001"
2025/04/02,"1,920,573","23,582,129",11.85,12.7,11.85,12.7,+0.50,"1,083"
2025/04/07,"258,871","2,964,020",11.45,11.45,11.45,11.45,-1.25,280
2025/04/08,"1,650,810","17,420,320",10.9,10.9,10.35,10.35,-1.10,725
2025/04/09,"2,550,848","24,370,289",10.0,10.0,9.32,9.32,-1.03,959
2025/04/10,"2,375,805","23,645,576",10.25,10.25,9.65,9.99,+0.67,"1,117"
2025/04/11,"2,062,459","18,630,320",9.01,9.24,9.0,9.0,-0.99,"1,139"
2025/04/14,"1,547,878","14,825,647",9.24,9.9,9.24,9.9,+0.90,830
2025/04/15,"2,001,118","21,388,202",10.2,10.85,9.99,10.85,+0.95,875
2025/04/16,"1,911,330","22,456,784",11.0,11.9,11.0,11.9,+1.05,"1,014"
2025/04/17,"3,184,155","38,232,437",12.5,12.5,11.2,12.0,+0.10,"1,445"
2025/04/18,"1,676,476","18,832,429",11.25,12.0,10.9,11.4,-0.60,982
2025/04/21,"1,115,088","11,883,978",11.05,11.15,10.35,10.55,-0.85,707
2025/04/22,"786,416","7,991,860",10.05,10.6,9.88,10.15,-0.40,503
2025/04/23,"1,182,985","12,094,116",10.55,10.65,10.0,10.2,+0.05,571
2025/04/24,"538,090","5,447,849",10.1,10.3,10.05,10.2,0.00,307
2025/04/25,"707,497","7,261,213",10.45,10.5,10.1,10.2,0.00,363
2025/04/28,"742,964","7,700,125",10.25,10.6,10.1,10.4,+0.20,399
2025/04/29,"1,262,679","13,920,699",10.5,11.4,10.3,11.4,+1.00,673
2025/04/30,"938,906","10,378,687",11.2,11.3,10.9,10.95,-0.45,517
2025/05/02,"600,005","6,728,773",10.95,11.55,10.95,11.15,+0.20,370
2025/05/05,"827,648","8,714,465",11.1,11.1,10.2,10.35,-0.80,420
2025/05/06,"450,357","4,756,915",10.35,10.8,10.35,10.55,+0.20,248
2025/05/07,"359,308","3,780,367",10.55,10.7,10.4,10.5,-0.05,159
2025/05/08,"1,183,819","11,187,126",9.45,9.45,9.45,9.45,-1.05,679
2025/05/09,"4,252,260","36,901,973",8.51,9.24,8.51,9.05,-0.40,"1,849"
2025/05/12,"2,307,071","19,867,734",8.78,8.87,8.4,8.79,-0.26,"1,073"
2025/05/13,"1,850,701","16,476,872",8.96,9.14,8.67,8.7,-0.09,743
2025/05/14,"1,338,017","11,786,138",8.61,9.0,8.6,8.84,+0.14,493
2025/05/15,"642,246","5,615,075",8.95,8.95,8.65,8.7,-0.14,389
2025/05/16,"852,692","7,386,986",8.7,8.76,8.6,8.63,-0.07,423
2025/05/19,"2,377,476","18,804,981",8.03,8.09,7.78,7.91,-0.72,"1,014"
2025/05/20,"1,046,231","8,055,917",7.91,7.91,7.49,7.49,-0.42,580
2025/05/21,"1,096,360","8,636,110",7.65,8.05,7.65,7.93,+0.44,483
2025/05/22,"465,508","3,705,664",7.85,7.98,7.85,7.94,+0.01,261
2025/05/23,"974,411","8,412,339",8.05,8.73,8.05,8.73,+0.79,582
2025/05/26,"801,481","7,141,138",8.91,8.97,8.57,8.85,+0.12,409
2025/05/27,"432,487","3,655,638",8.95,8.95,8.36,8.36,-0.49,232
2025/05/28,"364,317","3,058,086",8.64,8.64,8.36,8.36,0.00,203
2025/05/29,"290,126","2,393,549",8.49,8.49,8.23,8.26,-0.10,199
2025/06/02,"251,503","2,013,949",8.25,8.25,7.98,8.02,-0.24,212
2025/06/03,"287,240","2,308,775",8.05,8.1,8.0,8.1,+0.08,169
2025/06/04,"208,773","1,696,773",8.38,8.38,8.1,8.1,0.00,161
2025/06/05,"370,097","2,953,912",8.1,8.1,7.92,8.0,-0.10,226
2025/06/06,"158,623","1,282,982",8.03,8.12,8.03,8.1,+0.10,126
2025/06/09,"243,877","1,952,226",8.0,8.02,8.0,8.0,-0.10,231
2025/06/10,"275,538","2,191,330",7.9,7.99,7.9,7.96,-0.04,179
2025/06/11,"570,249","4,405,487",7.92,7.92,7.7,7.7,-0.26,344
2025/06/12,"565,918","4,281,945",7.61,7.61,7.54,7.56,-0.14,309
2025/06/13,"242,145","1,855,880",7.7,7.7,7.65,7.66,+0.10,162
2025/06/16,"193,430","1,460,389",7.62,7.62,7.52,7.56,-0.10,168
2025/06/17,"513,718","3,846,475",7.58,7.58,7.45,7.45,-0.11,263
2025/06/18,"529,286","3,791,076",7.45,7.45,7.11,7.18,-0.27,290
