日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"608,327","29,220,145",47.2,48.6,47.05,47.8,+0.45,622
2025/01/03,"322,840","15,402,547",47.8,48.45,47.3,47.4,-0.40,667
2025/01/06,"537,564","25,584,073",47.55,47.95,47.2,47.6,+0.20,540
2025/01/07,"712,139","34,470,411",48.2,49.15,47.75,48.15,+0.55,713
2025/01/08,"421,146","20,073,379",48.0,48.05,47.4,47.55,-0.60,499
2025/01/09,"819,124","38,421,642",47.55,48.35,46.0,46.2,-1.35,830
2025/01/10,"535,457","24,772,586",46.1,47.2,45.7,45.8,-0.40,514
2025/01/13,"755,436","34,003,812",45.7,45.7,44.65,45.0,-0.80,678
2025/01/14,"398,936","18,038,377",44.95,45.65,44.75,45.55,+0.55,507
2025/01/15,"739,975","33,068,097",45.25,45.7,44.05,44.1,-1.45,685
2025/01/16,"930,672","41,126,158",44.45,44.8,43.9,43.9,-0.20,660
2025/01/17,"887,389","39,440,540",44.2,45.1,43.75,44.7,+0.80,651
2025/01/20,"599,847","26,814,857",44.65,45.1,44.3,44.7,0.00,720
2025/01/21,"434,288","19,543,859",44.7,45.3,44.7,44.9,+0.20,438
2025/01/22,"891,794","41,187,306",45.1,46.75,45.1,46.4,+1.50,909
2025/02/03,"4,424,524","216,304,089",50.0,50.0,47.4,49.3,+2.90,"3,769"
2025/02/04,"1,224,321","60,395,951",49.4,49.9,48.7,49.1,-0.20,"1,720"
2025/02/05,"1,758,770","88,112,248",49.1,50.7,49.1,50.3,+1.20,"1,610"
2025/02/06,"1,108,699","55,502,942",50.3,50.7,49.65,50.0,-0.30,"1,144"
2025/02/07,"861,104","43,219,597",50.2,50.5,49.9,50.2,+0.20,542
2025/02/10,"1,058,140","52,349,422",49.6,50.5,48.2,50.5,+0.30,853
2025/02/11,"580,353","29,123,803",50.3,50.7,49.85,49.85,-0.65,608
2025/02/12,"618,892","30,573,868",50.0,50.3,49.0,49.2,-0.65,588
2025/02/13,"710,577","35,353,524",49.0,50.1,49.0,49.7,+0.50,493
2025/02/14,"690,586","34,438,314",50.2,50.2,49.35,50.0,+0.30,595
2025/02/17,"502,384","25,135,486",50.3,50.4,49.8,49.8,-0.20,487
2025/02/18,"1,114,309","56,386,232",49.8,51.0,49.8,50.5,+0.70,810
2025/02/19,"391,861","19,736,725",50.5,50.7,50.0,50.1,-0.40,509
2025/02/20,"450,764","22,664,680",50.1,50.7,49.9,50.1,0.00,468
2025/02/21,"343,892","17,233,413",50.1,50.3,49.95,50.1,0.00,404
2025/02/24,"1,051,753","53,412,069",50.0,51.4,49.9,50.6,+0.50,814
2025/02/25,"1,607,662","80,251,034",50.9,51.2,49.4,49.4,-1.20,"2,035"
2025/02/26,"590,069","29,050,087",49.4,49.55,49.05,49.1,-0.30,633
2025/02/27,"880,750","42,895,178",49.1,49.8,48.2,48.3,-0.80,817
2025/03/03,"1,214,647","57,054,469",47.7,48.05,46.3,46.7,-1.60,994
2025/03/04,"892,085","40,972,555",45.7,46.45,45.2,46.45,-0.25,724
2025/03/05,"477,038","22,266,903",46.3,47.05,46.2,47.05,+0.60,457
2025/03/06,"643,841","30,000,830",47.15,47.2,46.4,46.4,-0.65,541
2025/03/07,"803,879","36,952,808",46.0,46.3,45.6,45.6,-0.80,533
2025/03/10,"409,834","18,707,776",45.6,46.05,45.35,45.4,-0.20,455
2025/03/11,"890,141","39,441,169",44.5,45.15,43.55,44.85,-0.55,701
2025/03/12,"500,488","22,600,365",44.65,45.5,44.65,45.15,+0.30,438
2025/03/13,"347,925","15,812,366",45.25,46.1,44.65,44.65,-0.50,389
2025/03/14,"237,071","10,680,872",45.4,45.4,44.6,45.0,+0.35,278
2025/03/17,"300,297","13,703,119",45.0,45.9,45.0,45.6,+0.60,350
2025/03/18,"265,332","12,199,695",46.1,46.25,45.7,45.7,+0.10,282
2025/03/19,"269,962","12,245,780",45.7,45.95,45.2,45.25,-0.45,296
2025/03/20,"146,011","6,670,366",45.4,45.85,45.4,45.8,+0.55,197
2025/03/21,"225,700","10,311,833",45.65,46.05,45.45,45.55,-0.25,242
2025/03/24,"269,118","12,202,330",45.9,45.9,45.0,45.15,-0.40,282
2025/03/25,"395,900","18,074,074",45.2,46.5,45.15,45.15,0.00,387
2025/03/26,"155,795","7,059,408",45.1,45.6,45.1,45.5,+0.35,202
2025/03/27,"797,204","35,188,635",44.65,44.85,43.85,44.0,-1.50,769
2025/03/28,"1,023,086","43,763,999",43.8,43.8,42.0,42.35,-1.65,"1,205"
2025/03/31,"1,261,349","50,774,180",40.65,41.25,39.55,39.8,-2.55,"1,153"
2025/04/01,"466,016","18,967,662",40.2,41.15,40.1,40.95,+1.15,528
2025/04/02,"325,780","13,431,051",40.95,41.65,40.8,41.5,+0.55,404
2025/04/07,"67,799","2,532,202",37.35,37.35,37.35,37.35,-4.15,293
2025/04/08,"454,432","15,291,508",33.65,33.65,33.65,33.65,-3.70,488
2025/04/09,"774,135","23,519,877",30.4,30.8,30.3,30.3,-3.35,682
2025/04/10,"2,006,597","66,190,571",32.25,33.3,32.15,33.3,+3.00,"1,293"
2025/04/11,"1,182,165","37,633,248",31.5,33.4,30.0,33.25,-0.05,"1,112"
2025/04/14,"1,305,436","44,857,287",34.0,35.5,33.65,33.85,+0.60,"1,488"
2025/04/15,"924,650","32,578,234",34.0,36.15,33.9,36.05,+2.20,"1,085"
2025/04/16,"639,483","22,857,632",35.8,36.05,35.4,35.7,-0.35,"1,047"
2025/04/17,"600,911","21,265,538",35.5,35.8,34.9,35.65,-0.05,500
2025/04/18,"337,810","12,053,676",35.35,36.1,35.35,35.55,-0.10,545
2025/04/21,"504,811","17,509,428",35.4,35.6,34.4,34.4,-1.15,454
2025/04/22,"460,604","15,811,822",33.5,34.9,33.5,34.6,+0.20,388
2025/04/23,"568,815","20,543,485",35.95,36.6,35.9,36.25,+1.65,531
2025/04/24,"488,164","17,891,626",36.25,37.05,36.25,36.6,+0.35,392
2025/04/25,"665,214","25,037,228",37.45,37.95,37.1,37.85,+1.25,546
2025/04/28,"491,015","18,706,831",38.35,38.5,37.85,37.95,+0.10,474
2025/04/29,"706,735","27,784,675",38.9,39.7,38.6,39.3,+1.35,597
2025/04/30,"602,971","23,466,094",39.05,39.45,38.45,38.55,-0.75,731
2025/05/02,"401,553","15,803,574",38.6,39.8,38.6,39.5,+0.95,377
2025/05/05,"513,071","19,821,755",39.7,39.7,38.05,38.6,-0.90,553
2025/05/06,"171,795","6,636,463",38.1,38.9,38.1,38.65,+0.05,202
2025/05/07,"236,823","9,099,208",38.3,38.7,38.2,38.35,-0.30,261
2025/05/08,"351,778","13,800,036",38.45,39.6,38.45,39.6,+1.25,311
2025/05/09,"259,777","10,276,631",39.3,39.85,39.3,39.7,+0.10,232
2025/05/12,"287,966","11,528,463",39.8,40.2,39.75,40.2,+0.50,281
2025/05/13,"1,010,352","42,804,952",43.45,43.45,41.8,41.9,+1.70,912
2025/05/14,"796,040","34,504,274",43.15,43.7,42.8,43.25,+1.35,886
2025/05/15,"402,188","17,487,847",43.0,43.85,43.0,43.45,+0.20,468
2025/05/16,"511,417","22,426,048",43.7,44.15,43.5,43.95,+0.50,364
2025/05/19,"402,712","17,375,613",43.6,43.9,42.6,42.7,-1.25,511
2025/05/20,"240,892","10,233,307",42.75,43.15,42.1,42.25,-0.45,309
2025/05/21,"143,703","6,132,715",42.3,42.9,42.3,42.75,+0.50,207
2025/05/22,"184,146","7,918,864",42.6,43.3,42.5,43.2,+0.45,182
2025/05/23,"209,964","9,054,327",43.05,43.5,42.8,42.95,-0.25,182
2025/05/26,"231,966","10,070,575",42.9,43.9,42.9,43.25,+0.30,253
2025/05/27,"234,979","10,183,129",43.2,44.0,42.9,42.9,-0.35,241
2025/05/28,"242,023","10,444,644",43.15,43.7,42.55,42.95,+0.05,211
2025/05/29,"226,933","9,794,139",43.05,43.4,42.8,43.35,+0.40,168
2025/06/02,"250,388","10,615,526",42.9,43.1,42.1,42.35,-1.00,245
2025/06/03,"162,636","6,881,373",42.5,42.75,42.1,42.4,+0.05,177
2025/06/04,"625,416","27,283,865",42.4,44.4,42.4,44.0,+1.60,471
2025/06/05,"291,683","12,848,928",43.85,44.35,43.6,44.2,+0.20,274
2025/06/06,"460,503","20,644,591",44.05,45.3,44.05,44.55,+0.35,375
2025/06/09,"278,103","12,342,033",44.95,44.95,44.05,44.35,-0.20,311
