日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"41,467,354","7,588,159,603",184.00,186.00,181.50,182.50,-1.50,"48,006"
2025/01/03,"48,659,205","8,838,730,132",183.00,184.00,180.50,181.00,-1.50,"52,820"
2025/01/06,"67,829,021","12,539,307,339",185.00,187.50,183.50,184.50,+3.50,"48,289"
2025/01/07,"83,019,294","15,727,768,928",187.00,192.00,186.50,190.00,+5.50,"61,312"
2025/01/08,"41,798,818","7,881,691,230",190.00,190.00,187.00,188.00,-2.00,"68,591"
2025/01/09,"47,079,538","8,712,211,883",188.00,188.00,183.00,183.00,-5.00,"53,956"
2025/01/10,"42,317,494","7,698,779,260",182.50,184.00,181.00,181.50,-1.50,"47,888"
2025/01/13,"157,188,534","27,407,637,685",180.00,180.50,171.50,171.50,-10.00,"192,669"
2025/01/14,"64,355,673","11,130,474,220",171.50,174.50,171.00,174.50,+3.00,"52,963"
2025/01/15,"60,432,737","10,411,822,201",174.50,175.50,171.00,171.00,-3.50,"65,891"
2025/01/16,"42,128,703","7,331,867,358",175.00,176.00,173.00,173.50,+2.50,"32,338"
2025/01/17,"47,442,329","8,231,498,177",173.00,175.50,172.00,173.50,0.00,"33,175"
2025/01/20,"35,167,919","6,214,216,149",174.50,178.00,174.50,178.00,+4.50,"44,005"
2025/01/21,"32,613,034","5,818,448,615",178.50,180.00,177.00,178.50,+0.50,"31,806"
2025/01/22,"44,375,092","7,991,917,051",180.50,181.00,178.50,180.00,+1.50,"34,107"
2025/02/03,"168,103,694","27,880,932,586",164.00,168.00,163.50,165.50,-14.50,"203,537"
2025/02/04,"68,458,788","11,379,696,528",167.00,169.00,165.00,165.00,-0.50,"73,349"
2025/02/05,"53,304,973","9,033,062,898",167.00,171.50,167.00,171.00,+6.00,"42,917"
2025/02/06,"41,060,652","7,081,097,296",172.50,174.00,171.00,173.00,+2.00,"31,971"
2025/02/07,"52,118,210","9,202,320,428",175.00,178.00,174.00,178.00,+5.00,"44,998"
2025/02/10,"37,723,196","6,590,892,944",176.00,176.50,174.00,174.00,-4.00,"48,491"
2025/02/11,"71,048,641","12,782,953,142",178.00,182.00,176.00,179.00,+5.00,"48,761"
2025/02/12,"42,666,219","7,608,185,758",181.50,181.50,177.00,177.00,-2.00,"63,003"
2025/02/13,"40,596,733","7,259,602,358",177.00,181.00,177.00,180.00,+3.00,"24,848"
2025/02/14,"26,925,038","4,808,438,797",180.00,180.50,177.50,178.00,-2.00,"25,657"
2025/02/17,"47,251,327","8,577,655,581",179.50,182.50,179.00,182.50,+4.50,"34,023"
2025/02/18,"27,184,244","4,958,070,370",183.00,184.00,181.00,183.50,+1.00,"22,580"
2025/02/19,"35,389,548","6,488,063,362",183.50,184.50,182.00,183.00,-0.50,"27,655"
2025/02/20,"23,659,372","4,311,924,877",183.00,183.50,181.50,182.00,-1.00,"20,159"
2025/02/21,"35,359,340","6,465,535,028",181.50,184.00,181.00,183.00,+1.00,"21,572"
2025/02/24,"27,928,907","5,103,161,593",181.00,184.00,180.50,184.00,+1.00,"21,220"
2025/02/25,"70,811,787","12,690,044,507",181.50,182.00,177.50,177.50,-6.50,"73,391"
2025/02/26,"45,145,771","8,041,430,005",175.00,181.00,174.50,180.50,+3.00,"29,868"
2025/02/27,"81,509,723","14,374,897,915",180.00,181.50,174.00,174.00,-6.50,"74,546"
2025/03/03,"70,556,492","12,112,410,727",172.00,175.00,170.00,170.00,-4.00,"76,523"
2025/03/04,"71,127,819","12,007,537,766",165.50,172.00,165.00,170.50,+0.50,"65,668"
2025/03/05,"45,364,409","7,855,325,151",171.50,175.00,171.50,173.50,+3.00,"31,719"
2025/03/06,"28,989,951","5,056,441,595",175.50,176.00,173.50,173.50,0.00,"25,315"
2025/03/07,"32,530,175","5,607,535,311",171.00,174.50,171.00,172.00,-1.50,"29,463"
2025/03/10,"36,673,846","6,293,376,887",173.50,174.00,170.00,172.00,0.00,"26,004"
2025/03/11,"69,729,259","11,667,727,498",166.00,169.50,165.00,168.50,-3.50,"65,332"
2025/03/12,"41,085,436","6,996,341,452",169.00,171.50,169.00,170.50,+2.00,"29,551"
2025/03/13,"35,310,891","6,014,788,759",172.50,174.00,168.00,168.00,-2.50,"44,215"
2025/03/14,"33,052,530","5,596,145,369",168.50,170.50,168.00,170.00,+2.00,"21,222"
2025/03/17,"50,999,196","8,651,398,483",172.00,172.50,168.00,168.00,-2.00,"49,501"
2025/03/18,"40,404,616","6,786,977,089",169.00,169.50,167.00,167.50,-0.50,"40,157"
2025/03/19,"80,802,409","13,339,464,376",167.00,167.50,163.50,164.00,-3.50,"98,597"
2025/03/20,"37,221,459","6,170,852,921",165.00,167.00,164.50,166.00,+2.00,"29,854"
2025/03/21,"55,445,821","9,171,520,069",167.00,167.00,165.00,165.00,-1.00,"28,897"
2025/03/24,"42,919,426","7,041,098,300",166.50,167.00,163.00,163.00,-2.00,"49,232"
2025/03/25,"34,677,689","5,728,366,017",165.50,166.50,164.00,165.00,+2.00,"24,782"
2025/03/26,"19,840,998","3,290,605,842",166.00,167.00,165.00,166.00,+1.00,"16,078"
2025/03/27,"68,898,389","11,113,072,033",163.50,164.00,160.00,160.50,-5.50,"90,993"
2025/03/28,"111,580,460","17,310,150,126",158.00,158.50,153.00,154.00,-6.50,"127,991"
2025/03/31,"130,858,564","19,290,960,164",145.00,149.50,145.00,146.00,-8.00,"109,001"
2025/04/01,"61,385,394","9,269,985,746",148.50,153.00,148.00,152.00,+6.00,"42,452"
2025/04/02,"38,868,764","5,955,684,019",153.00,154.50,152.00,153.50,+1.50,"31,686"
2025/04/07,"30,755,604","4,259,646,765",138.50,138.50,138.50,138.50,-15.00,"39,912"
2025/04/08,"308,542,896","39,193,398,694",127.00,130.50,125.00,125.00,-13.50,"184,008"
2025/04/09,"366,032,118","42,809,132,937",119.00,122.50,112.50,112.50,-12.50,"219,246"
2025/04/10,"36,901,188","4,557,296,036",123.50,123.50,123.50,123.50,+11.00,"15,924"
2025/04/11,"297,865,611","37,718,131,962",118.50,135.00,117.00,134.50,+11.00,"151,793"
2025/04/14,"214,264,335","30,130,175,092",141.50,145.00,136.00,138.50,+4.00,"127,354"
2025/04/15,"86,203,486","11,926,176,813",139.00,140.00,136.00,139.50,+1.00,"63,145"
2025/04/16,"61,680,512","8,447,843,722",138.00,139.50,136.00,136.00,-3.50,"50,625"
2025/04/17,"64,431,249","8,622,798,581",134.50,135.50,132.00,134.50,-1.50,"39,467"
2025/04/18,"26,363,008","3,564,680,170",135.00,136.50,133.50,135.50,+1.00,"21,715"
2025/04/21,"32,102,734","4,366,804,312",135.00,137.00,134.50,136.50,+1.00,"21,917"
2025/04/22,"44,476,006","5,940,736,369",134.50,136.00,131.50,132.00,-4.50,"55,134"
2025/04/23,"65,973,272","9,086,566,741",136.00,139.50,136.00,139.00,+7.00,"38,655"
2025/04/24,"46,353,045","6,354,097,505",139.00,139.00,135.50,136.50,-2.50,"30,115"
2025/04/25,"57,201,568","7,980,480,834",140.50,141.00,138.50,139.00,+2.50,"32,639"
2025/04/28,"47,321,711","6,732,928,742",140.00,143.50,140.00,142.50,+3.50,"32,931"
2025/04/29,"40,351,039","5,750,350,132",141.50,143.50,141.00,143.00,+0.50,"23,400"
2025/04/30,"42,090,535","5,991,475,670",143.00,144.00,141.50,141.50,-1.50,"24,152"
2025/05/02,"60,280,797","8,810,890,892",144.50,148.00,144.00,147.50,+6.00,"43,319"
2025/05/05,"66,798,494","9,625,497,137",149.00,149.00,142.00,142.50,-5.00,"46,397"
2025/05/06,"53,330,985","7,744,348,350",142.50,146.50,142.00,146.00,+3.50,"28,490"
2025/05/07,"43,382,455","6,280,064,242",146.50,148.00,143.50,145.00,-1.00,"26,060"
2025/05/08,"29,519,952","4,306,942,606",145.50,146.50,144.50,146.00,+1.00,"19,660"
2025/05/09,"30,063,441","4,411,271,067",146.50,147.50,145.50,147.00,+1.00,"19,339"
2025/05/12,"59,409,981","9,007,425,118",149.00,153.00,148.50,153.00,+6.00,"39,231"
2025/05/13,"95,098,747","15,131,219,536",159.50,161.50,157.00,158.00,+5.00,"62,733"
2025/05/14,"71,682,968","11,574,000,654",161.50,163.00,159.50,163.00,+5.00,"52,174"
2025/05/15,"71,845,843","11,496,060,994",163.00,163.00,158.50,159.50,-3.50,"63,640"
2025/05/16,"34,670,607","5,488,707,082",158.50,159.50,157.00,158.00,-1.50,"29,721"
2025/05/19,"53,345,121","8,302,375,919",157.00,158.00,154.00,154.00,-4.00,"45,200"
2025/05/20,"41,647,356","6,466,185,354",157.00,158.50,153.50,154.00,0.00,"29,970"
2025/05/21,"29,698,374","4,611,696,553",155.00,156.50,154.50,155.00,+1.00,"21,779"
2025/05/22,"37,074,612","5,656,223,455",153.50,154.00,151.50,153.00,-2.00,"31,839"
2025/05/23,"22,518,013","3,464,814,657",156.00,156.00,153.00,154.00,+1.00,"16,196"
2025/05/26,"28,992,215","4,448,552,234",152.50,155.00,151.00,153.00,-1.00,"18,855"
2025/05/27,"27,594,038","4,221,069,063",153.50,155.00,152.00,152.00,-1.00,"19,732"
2025/05/28,"31,758,614","4,842,901,295",154.00,154.00,151.50,152.00,0.00,"20,993"
2025/05/29,"91,749,249","14,345,913,002",154.50,158.00,154.00,156.00,+4.00,"45,878"
2025/06/02,"55,748,448","8,490,668,458",154.00,154.50,151.00,152.50,-3.50,"44,219"
2025/06/03,"38,422,320","5,875,967,951",153.50,155.00,151.50,151.50,-1.00,"21,959"
2025/06/04,"39,837,003","6,177,051,978",153.50,156.00,153.00,156.00,+4.50,"22,240"
