日期_str,開盤價,最高價,最低價,收盤價,MA5,MA10,MA20
2021/01/04,530.0,540.0,528.0,536.0,536.0,536.0,536.0
2021/01/05,536.0,542.0,535.0,542.0,539.0,539.0,539.0
2021/01/06,555.0,555.0,541.0,549.0,542.33,542.33,542.33
2021/01/07,554.0,570.0,553.0,565.0,548.0,548.0,548.0
2021/01/08,580.0,580.0,571.0,580.0,554.4,554.4,554.4
2021/01/11,577.0,584.0,574.0,584.0,564.0,559.33,559.33
2021/01/12,583.0,597.0,582.0,591.0,573.8,563.86,563.86
2021/01/13,595.0,605.0,593.0,605.0,585.0,569.0,569.0
2021/01/14,587.0,597.0,587.0,592.0,590.4,571.56,571.56
2021/01/15,621.0,625.0,601.0,601.0,594.6,574.5,574.5
2021/01/18,608.0,608.0,594.0,607.0,599.2,581.6,577.45
2021/01/19,618.0,632.0,613.0,627.0,606.4,590.1,581.58
2021/01/20,633.0,650.0,631.0,647.0,614.8,599.9,586.62
2021/01/21,640.0,679.0,640.0,673.0,631.0,610.7,592.79
2021/01/22,649.0,665.0,649.0,649.0,640.6,617.6,596.53
2021/01/25,642.0,646.0,626.0,633.0,645.8,622.5,598.81
2021/01/26,632.0,640.0,610.0,617.0,643.8,625.1,599.88
2021/01/27,618.0,625.0,611.0,615.0,637.4,626.1,600.72
2021/01/28,600.0,608.0,598.0,601.0,623.0,627.0,600.74
2021/01/29,619.0,619.0,591.0,591.0,611.4,626.0,600.25
2021/02/01,595.0,612.0,587.0,611.0,607.0,626.4,604.0
2021/02/02,629.0,638.0,622.0,632.0,610.0,626.9,608.5
2021/02/03,638.0,642.0,630.0,630.0,613.0,625.2,612.55
2021/02/04,626.0,632.0,620.0,627.0,618.2,620.6,615.65
2021/02/05,638.0,641.0,631.0,632.0,626.4,618.9,618.25
2021/02/17,663.0,668.0,660.0,663.0,636.8,621.9,622.2
2021/02/18,664.0,665.0,656.0,660.0,642.4,626.2,625.65
2021/02/19,656.0,657.0,647.0,652.0,646.8,629.9,628.0
2021/02/22,660.0,662.0,650.0,650.0,651.4,634.8,630.9
2021/02/23,641.0,643.0,633.0,641.0,653.2,639.8,632.9
2021/02/24,627.0,636.0,625.0,625.0,645.6,641.2,633.8
2021/02/25,636.0,636.0,628.0,635.0,640.6,641.5,634.2
2021/02/26,611.0,618.0,606.0,606.0,631.4,639.1,632.15
2021/03/02,621.0,622.0,609.0,609.0,623.2,637.3,628.95
2021/03/03,609.0,622.0,601.0,622.0,619.4,636.3,627.6
2021/03/04,609.0,611.0,601.0,601.0,614.6,630.1,626.0
2021/03/05,588.0,605.0,584.0,601.0,607.8,624.2,625.2
2021/03/08,608.0,610.0,598.0,598.0,606.2,618.8,624.35
2021/03/09,585.0,595.0,585.0,595.0,603.4,613.3,624.05
2021/03/10,601.0,601.0,593.0,597.0,598.4,608.9,624.35
2021/03/11,596.0,612.0,595.0,609.0,600.0,607.3,624.25
2021/03/12,615.0,618.0,609.0,614.0,602.6,605.2,623.35
2021/03/15,614.0,614.0,609.0,611.0,605.2,605.7,622.4
2021/03/16,610.0,613.0,607.0,613.0,608.8,606.1,621.7
2021/03/17,612.0,612.0,602.0,604.0,610.2,604.3,620.3
2021/03/18,606.0,609.0,602.0,602.0,608.8,604.4,617.25
2021/03/19,594.0,598.0,591.0,591.0,604.2,603.4,613.8
2021/03/22,588.0,598.0,586.0,593.0,600.6,602.9,610.85
2021/03/23,597.0,603.0,593.0,594.0,596.8,602.8,608.05
2021/03/24,571.0,582.0,571.0,576.0,591.2,600.7,604.8
2021/03/25,572.0,581.0,570.0,575.0,585.8,597.3,602.3
2021/03/26,582.0,592.0,580.0,590.0,585.6,594.9,600.05
2021/03/29,599.0,602.0,596.0,599.0,586.8,593.7,599.7
2021/03/30,600.0,600.0,592.0,597.0,587.4,592.1,599.1
2021/03/31,596.0,597.0,587.0,587.0,589.6,590.4,597.35
2021/04/01,598.0,602.0,594.0,602.0,595.0,590.4,597.4
2021/04/06,615.0,616.0,608.0,610.0,599.0,592.3,597.85
2021/04/07,614.0,614.0,608.0,610.0,601.2,594.0,598.45
2021/04/08,606.0,613.0,603.0,613.0,604.4,595.9,599.35
2021/04/09,618.0,618.0,609.0,610.0,609.0,599.3,600.0
2021/04/12,612.0,613.0,603.0,605.0,609.6,602.3,599.8
2021/04/13,604.0,613.0,604.0,605.0,608.6,603.8,599.35
2021/04/14,608.0,612.0,600.0,612.0,609.0,605.1,599.4
2021/04/15,612.0,619.0,607.0,619.0,610.2,607.3,599.7
2021/04/16,610.0,611.0,603.0,610.0,610.2,609.6,600.0
2021/04/19,605.0,607.0,601.0,603.0,609.8,609.7,600.05
2021/04/20,598.0,602.0,595.0,602.0,609.2,608.9,600.6
2021/04/21,599.0,599.0,592.0,592.0,605.2,607.1,600.55
2021/04/22,596.0,598.0,591.0,591.0,599.6,604.9,600.4
2021/04/23,592.0,602.0,590.0,602.0,598.0,604.1,601.7
2021/04/26,605.0,610.0,603.0,610.0,599.4,604.6,603.45
2021/04/27,608.0,611.0,605.0,610.0,601.0,605.1,604.45
2021/04/28,606.0,608.0,601.0,602.0,603.0,604.1,604.6
2021/04/29,609.0,609.0,600.0,600.0,604.8,602.2,604.75
2021/05/03,595.0,597.0,588.0,588.0,602.0,600.0,604.8
2021/05/04,588.0,594.0,582.0,591.0,598.2,598.8,604.25
2021/05/05,594.0,594.0,585.0,585.0,593.2,597.1,603.0
2021/05/06,590.0,590.0,580.0,587.0,590.2,596.6,601.85
2021/05/07,594.0,600.0,589.0,599.0,590.0,597.4,601.15
2021/05/10,596.0,597.0,588.0,589.0,590.2,596.1,600.1
2021/05/11,579.0,580.0,570.0,571.0,586.2,592.2,598.4
