日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/08/02,"5,094,007","915,229,816",183.5,183.5,177.5,179.5,-1.5,"3,606"
110/08/03,"10,711,573","1,951,438,359",184.0,187.5,178.5,180.5,1.0,"7,248"
110/08/04,"12,868,627","2,228,837,412",175.0,177.5,170.5,171.5,-9.0,"10,550"
110/08/05,"7,819,523","1,322,906,583",166.0,171.5,166.0,169.5,-2.0,"5,986"
110/08/06,"4,686,574","787,102,647",169.5,169.5,167.0,167.0,-2.5,"4,010"
110/08/09,"5,476,003","940,443,610",171.0,174.5,170.0,170.0,3.0,"4,486"
110/08/10,"2,432,788","414,396,742",172.0,172.0,169.0,171.0,1.0,"1,787"
110/08/11,"3,320,256","555,730,940",170.0,170.0,166.0,166.0,-5.0,"3,010"
110/08/12,"4,064,895","664,994,484",166.0,167.0,161.5,162.5,-3.5,"3,701"
110/08/13,"3,035,055","492,807,036",162.0,165.0,160.5,161.5,-1.0,"2,384"
110/08/16,"4,084,718","646,075,534",160.0,163.0,155.0,160.0,-1.5,"3,331"
110/08/17,"3,589,332","563,935,747",160.5,162.0,154.5,154.5,-5.5,"3,152"
110/08/18,"4,926,812","757,455,247",150.5,158.0,149.0,158.0,3.5,"3,904"
110/08/19,"2,682,851","411,903,420",155.5,155.5,152.0,152.5,-5.5,"2,464"
110/08/20,"6,061,910","927,201,959",154.0,156.0,151.0,153.5,1.0,"3,252"
110/08/23,"2,387,255","376,143,734",156.0,159.0,155.0,159.0,5.5,"2,062"
110/08/24,"1,910,351","302,063,525",160.5,161.0,156.5,157.0,-2.0,"1,715"
110/08/25,"2,202,903","353,316,066",158.0,162.0,157.5,161.5,4.5,"1,930"
110/08/26,"2,101,909","334,078,752",162.5,162.5,158.0,158.5,-3.0,"1,860"
110/08/27,"3,172,708","493,061,333",158.0,158.0,153.5,154.5,-4.0,"2,879"
110/08/30,"1,497,866","234,397,222",156.0,158.0,155.0,156.5,2.0,"1,215"
110/08/31,"971,493","152,556,844",156.0,158.5,155.5,157.5,1.0,877
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,
