日期_str,開盤價,最高價,最低價,收盤價,MA5,MA10,MA20,MACD,Signal,MACD_Hist,RSV,K,D,UB,LB,RSI5,RSI10,VOL,VOL5,VOL10
2025/11/03,68.5,69.5,64.8,69.5,69.5,69.5,69.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35733989,35733989,35733989
2025/11/04,69.3,69.4,63.9,64.8,67.15,67.15,67.15,-0.37,-0.07,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21224327,28479158,28479158
2025/11/05,63.1,64.9,62.0,64.4,66.23,66.23,66.23,-0.7,-0.2,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9142395,22033570,22033570
2025/11/06,64.5,68.5,64.2,66.7,66.35,66.35,66.35,-0.76,-0.31,-0.45,0.0,0.0,0.0,0.0,0.0,40.87,35.57,17611719,20928108,20928108
2025/11/07,65.6,66.2,64.2,64.2,65.92,65.92,65.92,-0.99,-0.45,-0.54,0.0,0.0,0.0,0.0,0.0,26.28,24.88,7123628,18167212,18167212
2025/11/10,64.1,64.7,62.6,63.0,64.62,65.43,65.43,-1.27,-0.61,-0.66,0.0,0.0,0.0,0.0,0.0,21.64,21.44,4955899,12011594,15965326
2025/11/11,63.4,66.2,63.2,64.9,64.64,65.36,65.36,-1.31,-0.75,-0.56,0.0,0.0,0.0,0.0,0.0,41.92,36.8,7543053,9275339,14762144
2025/11/12,65.5,70.5,65.5,68.8,65.52,65.79,65.79,-1.02,-0.81,-0.21,0.0,0.0,0.0,0.0,0.0,65.1,56.29,29933935,13433647,16658618
2025/11/13,69.0,69.1,66.8,68.8,65.94,66.12,66.12,-0.78,-0.8,0.02,80.0,80.0,80.0,0.0,0.0,65.1,56.29,13625944,12636492,16321654
2025/11/14,66.5,68.0,66.1,66.2,66.34,66.13,66.13,-0.8,-0.8,0.0,49.41,69.8,76.6,0.0,0.0,45.98,44.89,7895691,12790904,15479058
2025/11/17,67.3,68.6,64.3,64.8,66.7,65.66,66.01,-0.91,-0.82,-0.09,32.94,57.52,70.24,0.0,0.0,38.39,40.04,8850663,13569857,12790725
2025/11/18,64.3,66.3,63.1,63.5,66.42,65.53,65.8,-1.09,-0.88,-0.21,11.39,42.14,60.87,0.0,0.0,32.22,36.03,5608206,13182888,11229113
2025/11/19,63.8,63.8,61.5,62.4,65.14,65.33,65.54,-1.3,-0.96,-0.34,10.0,31.43,51.06,0.0,0.0,27.54,32.92,5478288,8291758,10862703
2025/11/20,63.8,66.4,63.3,64.7,64.32,65.13,65.48,-1.28,-1.02,-0.26,35.56,32.8,44.97,0.0,0.0,47.49,44.11,5513787,6669327,9652909
2025/11/21,62.8,63.6,60.2,60.8,63.24,64.79,65.17,-1.55,-1.13,-0.42,5.83,23.81,37.92,0.0,0.0,29.99,33.56,8196673,6729523,9760214
2025/11/24,61.5,61.9,60.6,61.5,62.58,64.64,64.94,-1.69,-1.24,-0.45,12.62,20.08,31.97,0.0,0.0,35.33,36.59,2734717,5506334,9538096
2025/11/25,62.7,65.8,62.7,65.3,62.94,64.68,64.96,-1.48,-1.29,-0.19,57.3,32.49,32.14,0.0,0.0,57.4,50.25,6805291,5745751,9464320
2025/11/26,66.1,66.6,64.4,65.0,63.46,64.3,64.96,-1.32,-1.3,-0.02,57.14,40.71,35.0,0.0,0.0,55.53,49.31,6606711,5971436,7131597
