證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,37.65,1.33,111,49.54,1.25,112/1
1102,亞泥,40.55,5.67,111,11.82,0.92,112/1
1103,嘉泥,20.85,2.4,111,-,0.61,112/1
1104,環泥,29.80,6.04,111,10.96,0.91,112/1
1108,幸福,17.70,4.52,111,10.93,1.52,112/1
1109,信大,17.20,4.65,111,12.93,0.74,112/1
1110,東泥,20.00,0.5,111,74.07,1.31,112/1
1201,味全,19.60,1.22,111,45.58,1.38,112/2
1203,味王,42.80,2.57,111,18.06,1.81,112/1
1210,大成,58.80,2.55,111,20.70,2.28,112/1
1213,大飲,6.58,0.0,111,-,1.08,112/1
1215,卜蜂,93.40,3.75,111,16.68,3.03,112/1
1216,統一,71.70,4.39,111,22.69,3.13,112/1
1217,愛之味,14.75,2.71,111,25.00,1.07,112/1
1218,泰山,26.55,2.15,111,2.26,1.03,112/1
1219,福壽,20.45,3.91,111,35.88,1.48,112/1
1220,台榮,14.40,1.39,111,480.00,1.15,112/1
1225,福懋油,56.60,3.53,111,53.90,3.5,112/1
1227,佳格,39.55,3.26,111,31.14,2.01,112/1
1229,聯華,63.20,3.16,111,25.28,2.51,112/1
1231,聯華食,89.70,2.9,111,22.77,3.73,112/1
1232,大統益,146.00,4.11,111,21.31,4.25,112/1
1233,天仁,37.25,2.28,111,51.74,2.42,112/1
1234,黑松,39.65,4.54,111,16.73,0.89,112/1
1235,興泰,83.40,2.64,111,15.19,1.65,112/1
1236,宏亞,22.70,4.41,111,454.00,0.9,112/1
1256,鮮活果汁-KY,301.00,2.16,111,25.19,2.74,112/1
1301,台塑,84.20,4.99,111,24.48,1.56,112/1
1303,南亞,69.90,4.29,111,30.93,1.56,112/1
1304,台聚,24.50,2.86,111,28.49,1.08,112/1
1305,華夏,25.80,1.16,111,-,1.55,112/1
1307,三芳,24.60,3.25,111,18.92,1.18,112/1
1308,亞聚,26.75,4.49,111,13.31,1.08,112/1
1309,台達化,19.90,2.51,111,99.50,1.1,112/1
1310,台苯,16.85,1.19,111,-,1.36,112/1
1312,國喬,18.80,2.66,111,-,0.53,112/1
1313,聯成,16.25,1.23,111,-,0.77,112/2
1314,中石化,9.65,0.0,111,-,0.47,112/1
1315,達新,71.00,8.45,111,10.29,0.63,112/1
1316,上曜,12.00,5.83,111,22.64,1.0,112/1
1319,東陽,59.30,4.22,111,14.97,1.44,112/1
1321,大洋,34.70,0.0,111,73.83,1.34,112/1
1323,永裕,31.85,3.45,111,18.41,1.21,112/1
1324,地球,11.55,1.73,111,64.17,0.92,112/1
1325,恆大,22.85,2.19,111,163.21,0.7,112/1
1326,台化,66.50,1.43,111,-,1.18,112/2
1337,再生-KY,7.96,0.0,111,-,0.44,112/1
1338,廣華-KY,38.45,5.2,111,-,0.5,112/1
1339,昭輝,45.60,6.58,111,9.42,0.95,112/1
1340,勝悅-KY,12.50,0.0,111,-,0.42,112/1
1341,富林-KY,67.70,9.04,111,11.73,3.03,112/1
1342,八貫,114.00,4.71,111,16.12,4.58,112/1
1402,遠東新,29.80,4.53,111,23.28,0.76,112/1
1409,新纖,17.25,5.8,111,14.14,0.81,112/1
1410,南染,39.15,2.04,111,45.52,2.32,112/1
1413,宏洲,8.85,0.0,111,-,1.01,112/2
1414,東和,17.80,1.8,111,53.94,1.28,112/1
1416,廣豐,10.70,4.67,111,15.51,0.55,112/1
1417,嘉裕,13.25,2.79,111,22.46,0.91,112/1
1418,東華,21.55,0.0,111,44.90,0.97,112/1
1419,新紡,44.60,3.36,111,18.13,1.12,112/1
1423,利華,23.65,0.85,111,42.23,1.07,112/1
1432,大魯閣,17.80,0.0,111,-,2.11,112/1
1434,福懋,26.10,5.75,111,32.22,0.79,112/2
1436,華友聯,63.60,8.08,111,9.68,2.25,112/1
1437,勤益控,28.70,2.79,111,12.99,0.82,112/1
1438,三地開發,30.20,3.31,111,7.01,1.35,112/1
1439,雋揚,22.40,1.34,111,18.21,0.88,112/1
1440,南紡,15.65,2.24,111,-,0.97,112/1
1441,大東,7.99,0.0,111,-,1.55,112/1
1442,名軒,34.80,4.6,111,16.04,2.06,112/1
1443,立益物流,28.40,0.0,111,22.36,2.13,112/1
1444,力麗,10.60,3.77,111,81.54,0.93,112/1
1445,大宇,19.30,0.52,111,87.73,1.53,112/1
1446,宏和,40.00,0.5,111,-,3.86,112/1
1447,力鵬,7.85,0.0,111,-,0.71,112/1
1449,佳和,18.15,1.65,111,15.65,0.93,112/1
1451,年興,20.00,10.0,111,-,0.58,112/2
1452,宏益,16.55,4.83,111,78.81,0.84,112/2
1453,大將,14.10,2.13,111,-,1.06,112/1
1454,台富,18.00,1.39,111,100.00,1.41,112/1
1455,集盛,9.84,1.02,111,-,0.8,112/1
1456,怡華,17.25,0.0,111,-,1.1,112/1
1457,宜進,17.40,5.75,111,51.18,0.79,112/1
1459,聯發,9.48,0.0,111,-,1.08,112/2
1460,宏遠,8.79,0.0,111,14.90,0.84,112/1
1463,強盛新,15.10,2.65,111,25.59,1.1,112/1
1464,得力,15.25,6.56,111,19.81,1.12,112/1
1465,偉全,13.45,6.32,111,16.60,0.87,112/1
1466,聚隆,11.30,0.0,111,-,0.83,112/1
1467,南緯,12.50,0.0,111,-,1.02,112/1
1468,昶和,13.40,0.0,111,111.67,1.81,112/1
1470,大統新創,19.90,2.26,111,41.46,1.76,112/1
1471,首利,14.40,0.0,111,-,1.44,112/1
1472,三洋實業,43.35,0.0,111,100.81,1.38,112/1
1473,台南,24.40,4.1,111,13.41,0.99,112/1
1474,弘裕,12.45,3.21,111,69.17,0.77,112/1
1475,業旺,56.60,0.88,111,12.28,3.48,112/1
1476,儒鴻,525.00,3.24,111,24.72,6.78,112/1
1477,聚陽,307.00,4.72,111,20.40,5.44,112/2
1503,士電,136.00,1.47,111,34.00,2.37,112/1
1504,東元,53.80,2.79,111,23.91,1.33,112/1
1506,正道,17.45,0.0,111,49.86,1.97,112/1
1512,瑞利,12.95,0.0,111,-,3.36,112/1
1513,中興電,116.50,2.84,111,20.80,3.5,112/1
1514,亞力,61.20,2.12,111,27.69,3.66,112/1
1515,力山,38.50,0.0,111,-,2.05,112/1
1516,川飛,20.00,6.3,111,20.00,1.6,112/2
1517,利奇,16.95,5.31,111,9.16,0.93,112/1
1519,華城,210.00,1.19,111,52.11,14.83,112/1
1521,大億,35.90,1.95,111,31.22,1.51,112/1
1522,堤維西,32.55,5.53,111,12.97,1.25,112/1
1524,耿鼎,21.75,4.6,111,11.15,1.49,112/1
1525,江申,94.40,2.22,111,17.23,1.43,112/1
1526,日馳,36.05,9.43,111,6.35,1.46,112/1
1527,鑽全,41.80,5.74,111,9.31,1.21,112/1
1528,恩德,13.75,0.73,111,17.41,1.09,112/1
1529,樂事綠能,38.00,1.42,111,60.32,3.24,112/1
1530,亞崴,31.55,5.07,111,9.95,0.93,112/1
1531,高林股,14.55,5.5,111,26.45,0.71,112/1
1532,勤美,38.50,3.12,111,33.19,1.12,112/1
1533,車王電,62.30,0.0,111,-,2.4,112/1
1535,中宇,59.80,5.02,111,15.78,2.17,112/2
1536,和大,65.40,2.45,111,26.91,2.05,112/1
1537,廣隆,145.50,6.87,111,16.02,2.68,112/1
1538,正峰,9.50,0.0,111,-,2.95,112/1
1539,巨庭,27.90,8.96,111,6.27,1.09,112/1
1540,喬福,17.45,3.44,111,17.11,1.08,112/1
