證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,Unnamed: 8
1101,台泥,22.10,4.52,113,-,0.76,114/3,
1102,亞泥,38.85,5.66,113,11.60,0.79,114/3,
1103,嘉泥,13.95,3.94,113,32.44,0.5,114/3,
1104,環泥,31.65,5.37,113,13.47,0.94,114/3,
1108,幸福,14.95,5.02,113,6.39,1.06,114/3,
1109,信大,15.55,5.79,113,14.27,0.65,114/3,
1110,東泥,16.60,1.81,113,42.56,1.0,114/3,
1201,味全,14.90,3.36,113,26.61,1.01,114/3,
1203,味王,39.60,3.03,113,19.22,1.54,114/3,
1210,大成,52.00,5.44,113,13.23,1.76,114/3,
1213,大飲,10.25,3.41,113,1.16,0.87,114/3,
1215,卜蜂,141.50,3.18,113,13.85,3.59,114/3,
1216,統一,76.60,3.92,113,22.01,3.41,114/3,
1217,愛之味,10.35,3.57,113,38.33,0.68,114/3,
1218,泰山,18.15,7.44,113,13.85,0.7,114/3,
1219,福壽,13.65,3.66,113,31.74,1.03,114/3,
1220,台榮,12.55,5.58,113,50.20,0.94,114/3,
1225,福懋油,30.75,2.24,113,21.96,1.97,114/3,
1227,佳格,30.75,4.55,113,21.06,1.56,114/3,
1229,聯華,48.05,3.75,113,18.77,1.5,114/3,
1231,聯華食,100.00,2.6,113,27.70,4.41,114/3,
1232,大統益,144.00,4.86,113,17.89,4.19,114/3,
1233,天仁,31.65,3.0,113,39.56,2.14,114/3,
1234,黑松,37.95,5.01,113,19.36,0.82,114/3,
1235,興泰,47.85,5.22,113,-,0.65,114/3,
1236,宏亞,24.65,2.43,113,-,0.85,114/3,
1256,鮮活果汁-KY,137.00,3.43,113,14.17,1.35,114/3,
1301,台塑,41.55,1.2,113,-,0.91,114/3,
1303,南亞,56.20,1.25,113,-,1.35,114/3,
1304,台聚,10.75,1.86,113,-,0.64,114/3,
1305,華夏,10.80,1.39,113,-,0.8,114/3,
1307,三芳,33.80,7.99,113,11.42,1.42,114/3,
1308,亞聚,12.95,1.93,113,-,0.74,114/3,
1309,台達化,11.00,1.82,113,-,0.77,114/3,
1310,台苯,8.73,0.0,113,-,0.68,114/3,
1312,國喬,10.80,0.0,113,-,0.42,114/3,
1313,聯成,9.86,1.52,113,-,0.44,114/3,
1314,中石化,8.20,0.0,113,-,0.41,114/3,
1315,達新,64.70,7.73,113,39.45,0.66,114/3,
1316,上曜,15.25,0.0,113,-,1.25,114/3,
1319,東陽,99.10,5.35,113,15.18,2.19,114/3,
1321,大洋,36.00,1.06,113,-,1.37,114/3,
1323,永裕,19.60,4.59,113,196.00,0.73,114/3,
1324,地球,10.50,1.9,113,-,0.88,114/3,
1325,恆大,32.30,0.93,113,-,1.07,114/3,
1326,台化,33.15,1.51,113,-,0.69,114/3,
1337,再生-KY,4.92,0.0,113,-,0.37,114/3,
1338,廣華-KY,20.40,3.82,113,-,0.3,114/3,
1339,昭輝,46.20,6.49,113,22.32,0.87,114/3,
1340,勝悅-KY,6.93,0.0,113,-,0.39,114/3,
1341,富林-KY,0.00,8.83,113,14.69,2.64,114/3,
1342,八貫,85.60,5.6,113,15.76,2.86,114/3,
1402,遠東新,28.05,5.7,113,17.75,0.67,114/3,
1409,新纖,15.85,3.79,113,13.32,0.64,114/3,
1410,南染,0.00,1.47,113,61.05,2.07,114/3,
1413,宏洲,0.00,0.0,113,23.07,1.19,114/3,
1414,東和,17.60,1.31,113,146.67,1.25,114/3,
1416,廣豐,11.75,4.77,113,15.06,0.52,114/3,
1417,嘉裕,8.90,0.0,113,-,0.72,114/3,
1418,東華,20.10,0.0,113,-,0.93,114/3,
1419,新紡,70.80,2.12,113,15.87,1.22,114/3,
1423,利華,38.70,2.07,113,9.06,0.98,114/3,
1432,大魯閣,17.70,0.0,113,-,1.96,114/3,
1434,福懋,15.75,5.08,113,45.00,0.7,114/3,
1435,中福,24.20,0.0,113,-,3.01,114/3,
1436,華友聯,65.20,19.65,113,9.72,1.92,114/3,
1437,勤益控,32.60,4.14,113,15.52,0.8,114/3,
1438,三地開發,34.10,0.0,113,-,1.33,114/3,
1439,雋揚,27.05,1.11,113,9.70,0.87,114/3,
1440,南紡,13.85,2.17,113,-,0.84,114/3,
1441,大東,10.70,0.0,113,-,1.64,114/3,
1442,名軒,33.25,13.53,113,8.77,1.56,114/3,
1443,立益物流,27.35,0.0,113,35.06,1.62,114/3,
1444,力麗,6.01,0.0,113,-,0.61,114/3,
1445,大宇,14.00,3.57,113,-,0.8,114/3,
1446,宏和,17.90,11.17,113,6.37,0.87,114/3,
1447,力鵬,5.40,0.0,113,-,0.58,114/3,
1449,佳和,10.20,0.0,113,-,0.59,114/3,
1451,年興,17.35,5.76,113,9.86,0.47,114/3,
1452,宏益,11.75,4.26,113,-,0.58,114/3,
1453,大將,12.35,2.43,113,-,0.97,114/3,
1454,台富,13.60,1.84,113,-,1.16,114/3,
1455,集盛,7.61,0.0,113,-,0.68,114/3,
1456,怡華,13.45,0.0,113,10.59,0.82,114/3,
1457,宜進,16.10,6.21,113,39.27,0.73,114/3,
1459,聯發,11.90,0.0,113,16.53,1.15,114/3,
1460,宏遠,5.80,0.0,113,-,0.71,114/3,
1463,強盛新,19.05,11.02,113,5.19,1.21,114/3,
1464,得力,11.40,8.25,113,28.50,0.99,114/3,
1465,偉全,12.70,4.72,113,-,0.85,114/3,
1466,聚隆,14.40,0.0,113,-,1.03,114/3,
1467,南緯,6.98,0.0,113,-,0.6,114/3,
1468,昶和,11.55,0.0,113,115.50,1.38,114/3,
1470,大統新創,0.00,4.42,113,33.12,2.01,114/3,
1471,首利,8.89,0.0,113,-,0.94,114/3,
1472,三洋實業,91.80,3.27,113,14.25,2.17,114/3,
1473,台南,24.50,8.16,113,19.76,0.96,114/3,
1474,弘裕,11.55,3.46,113,35.00,0.72,114/3,
1475,業旺,36.90,9.76,113,10.76,1.66,114/3,
1476,儒鴻,430.50,3.95,113,20.94,4.25,114/3,
1477,聚陽,318.50,5.37,113,21.16,6.04,114/3,
1503,士電,168.50,2.67,113,26.75,2.42,114/3,
1504,東元,88.60,2.48,113,38.52,2.37,114/3,
1506,正道,11.75,0.0,113,146.88,1.27,114/3,
1512,瑞利,7.72,0.0,113,-,1.24,114/3,
1513,中興電,150.50,3.06,113,19.52,3.78,114/3,
1514,亞力,97.10,1.96,113,32.15,4.38,114/3,
1515,力山,27.55,3.63,113,-,1.34,114/3,
1516,川飛,20.25,0.0,113,-,3.88,114/3,
1517,利奇,11.65,1.72,113,-,0.76,114/3,
1519,華城,729.00,1.37,113,53.48,26.28,114/3,
1521,大億,24.50,4.08,113,39.52,1.03,114/3,
1522,堤維西,49.20,6.1,113,46.42,1.75,114/3,
1524,耿鼎,29.90,7.69,113,11.73,1.71,114/3,
1525,江申,65.40,4.74,113,16.90,1.01,114/3,
1526,日馳,17.10,0.0,113,-,0.76,114/3,
1527,鑽全,33.15,6.64,113,24.02,0.97,114/3,
1528,恩德,14.90,0.67,113,-,1.33,114/3,
1529,樂事綠能,19.15,1.04,113,25.88,1.64,114/3,
1530,亞崴,27.00,5.67,113,40.91,0.82,114/3,
1531,高林股,11.75,3.4,113,-,0.61,114/3,
1532,勤美,28.20,6.13,113,94.00,0.81,114/3,
1533,車王電,31.20,0.0,113,53.79,1.42,114/3,
1535,中宇,54.90,5.46,113,13.79,1.87,114/3,
1536,和大,58.40,1.37,113,-,2.05,114/3,
1537,廣隆,124.50,8.43,113,15.04,2.47,114/3,
1538,正峰,25.35,0.0,113,-,5.55,114/3,
1539,巨庭,17.20,4.94,113,68.80,0.71,114/3,
1540,喬福,21.90,7.31,113,21.06,1.31,114/3,
1541,錩泰,23.75,2.11,113,16.38,0.92,114/3,
1558,伸興,98.90,6.07,113,17.79,1.28,114/3,
1560,中砂,318.50,1.25,113,41.80,6.19,114/3,
1563,巧新,41.20,5.51,113,18.90,1.04,114/3,
1568,倉佑,21.20,5.66,113,18.43,1.19,114/3,
1582,信錦,68.00,8.09,113,14.95,1.43,114/3,
1583,程泰,45.15,6.71,113,19.89,0.9,114/3,
1587,吉茂,43.00,1.16,113,204.76,2.31,114/3,
1589,永冠-KY,17.55,0.0,113,-,0.3,114/3,
1590,亞德客-KY,897.00,2.18,113,22.78,3.75,114/3,
1597,直得,73.30,0.95,113,91.63,2.72,114/3,
1598,岱宇,22.20,2.25,113,52.86,0.84,114/3,
1603,華電,37.75,3.97,113,10.29,0.81,114/3,
1604,聲寶,24.60,6.1,113,14.91,1.08,114/3,
1605,華新,29.20,1.71,113,81.11,0.83,114/3,
1608,華榮,34.90,2.87,113,7.12,1.6,114/3,
1609,大亞,39.00,2.31,113,20.86,1.83,114/3,
1611,中電,12.40,6.45,113,72.94,0.94,114/3,
1612,宏泰,35.30,5.95,113,13.27,1.41,114/3,
1614,三洋電,34.10,1.7,113,33.11,1.58,114/3,
1615,大山,48.30,5.18,113,11.31,2.44,114/3,
1616,億泰,30.00,6.0,113,7.98,2.53,114/3,
1617,榮星,14.30,3.5,113,-,1.17,114/3,
1618,合機,42.10,3.56,113,9.88,1.3,114/3,
1626,艾美特-KY,12.30,0.0,113,-,0.68,114/3,
1702,南僑,37.85,6.61,113,21.03,0.88,114/3,
1707,葡萄王,129.00,5.35,113,15.66,1.88,114/3,
1708,東鹼,32.65,6.13,113,10.99,1.17,114/3,
1709,和益,16.75,4.78,113,16.26,0.9,114/3,
1710,東聯,12.05,0.0,113,-,1.06,114/3,
1711,永光,18.25,1.64,113,-,1.23,114/3,
1712,興農,42.85,5.83,113,16.35,2.18,114/3,
1713,國化,42.95,17.46,113,4.34,1.8,114/3,
1714,和桐,8.15,2.58,113,18.95,0.69,114/3,
1717,長興,39.55,3.03,113,26.19,1.76,114/3,
1718,中纖,6.84,0.0,113,-,0.41,114/3,
1720,生達,63.00,4.44,113,12.60,1.89,114/3,
1721,三晃,11.15,0.0,113,-,1.18,114/3,
1722,台肥,47.05,4.25,113,29.78,0.85,114/3,
1723,中碳,73.80,6.1,113,23.28,2.23,114/3,
1725,元禎,26.20,4.77,113,16.27,0.77,114/3,
1726,永記,76.00,4.74,113,13.24,1.23,114/3,
1727,中華化,40.55,1.23,113,405.50,2.43,114/3,
1730,花仙子,52.80,5.68,113,11.92,1.71,114/3,
1731,美吾華,21.80,5.5,113,16.64,1.39,114/3,
1732,毛寶,29.05,1.72,113,80.69,2.53,114/3,
1733,五鼎,30.25,3.97,113,20.03,1.67,114/3,
1734,杏輝,31.15,4.82,113,17.12,1.79,114/3,
1735,日勝化,14.60,5.48,113,32.44,0.99,114/3,
1736,喬山,163.00,2.45,113,17.43,4.37,114/3,
1737,臺鹽,31.65,4.11,113,18.95,0.95,114/3,
1752,南光,38.00,4.21,113,14.90,1.58,114/3,
1760,寶齡富錦,67.00,2.69,113,33.00,3.02,114/3,
1762,中化生,24.80,0.77,113,-,0.59,114/3,
1773,勝一,140.00,3.21,113,21.37,3.97,114/3,
1776,展宇,15.10,5.3,113,83.89,1.1,114/3,
1783,和康生,43.00,1.93,113,16.48,2.62,114/3,
1786,科妍,82.30,3.94,113,36.10,3.09,114/3,
1789,神隆,17.55,1.99,113,73.13,1.26,114/3,
1795,美時,317.50,1.82,113,17.64,3.76,114/3,
1802,台玻,33.10,0.0,113,-,2.15,114/3,
1805,寶徠,12.15,0.0,113,7.15,1.02,114/3,
1806,冠軍,9.01,11.1,113,28.16,0.67,114/3,
1808,潤隆,33.05,6.05,113,-,2.64,114/3,
1809,中釉,18.05,1.39,113,106.18,1.05,114/3,
1810,和成,17.95,1.06,113,448.75,0.8,114/3,
1817,凱撒衛,38.55,6.23,113,9.50,1.3,114/3,
1903,士紙,55.80,0.0,113,124.00,2.81,114/3,
1904,正隆,18.25,2.47,113,65.18,0.72,114/3,
1905,華紙,12.20,0.0,113,-,0.9,114/3,
1906,寶隆,12.50,0.8,113,113.64,0.67,114/3,
1907,永豐餘,27.30,2.93,113,22.75,0.66,114/3,
1909,榮成,10.60,0.0,113,-,0.71,114/3,
2002,中鋼,18.20,1.81,113,-,0.96,114/3,
2006,東和鋼鐵,67.80,5.9,113,11.08,1.51,114/3,
2007,燁興,7.18,0.0,113,-,0.85,114/3,
