排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Unnamed: 13
1,1314,中石化,"260,230,820","48,404",8.58,8.87,8.24,8.87,+,0.8,8.87,0.00,
2,2408,南亞科,"244,967,950","117,854",122.00,140.50,122.00,138.00,+,6.5,137.50,138.00,
3,"=""0050""",元大台灣50,"229,413,552","276,109",62.95,63.15,62.30,63.15,-,0.8,63.10,63.15,
4,"=""00981A""",主動統一台股增長,"183,686,826","46,650",15.25,15.56,15.16,15.52,-,0.19,15.52,15.53,
5,6770,力積電,"176,872,426","57,781",28.00,30.15,27.90,29.95,+,0.9,29.90,29.95,
6,"=""00982A""",主動群益台灣強棒,"165,022,884","38,604",14.25,14.42,14.04,14.40,-,0.11,14.40,14.41,
7,2337,旺宏,"136,164,027","52,137",28.80,31.60,28.50,31.35,+,1.65,31.30,31.35,
8,"=""0056""",元大高股息,"131,885,420","79,167",36.42,36.80,36.30,36.78,-,0.18,36.77,36.78,
9,1608,華榮,"114,680,171","54,766",38.30,41.90,37.00,40.20,+,1.55,40.15,40.20,
10,2317,鴻海,"114,664,242","102,625",239.00,248.50,237.00,247.00,+,3.0,247.00,247.50,
11,"=""00632R""",元大台灣50反1,"107,110,564","14,197",17.31,17.45,17.19,17.21,+,0.16,17.21,17.22,
12,"=""00988A""",主動統一全球創新,"107,077,968","16,911",9.99,10.20,9.98,10.19,-,0.06,10.18,10.19,
13,"=""00919""",群益台灣精選高息,"101,717,606","44,165",21.42,21.43,21.21,21.41,-,0.12,21.41,21.42,
14,"=""00878""",國泰永續高股息,"100,706,297","51,135",21.46,21.46,21.21,21.46,-,0.11,21.46,21.47,
15,3231,緯創,"76,834,974","49,431",136.00,138.50,132.00,137.50,-,1.5,137.50,138.00,
16,2327,國巨*,"70,796,868","70,650",225.00,235.00,224.00,233.50,-,4.5,233.50,234.00,
17,2330,台積電,"63,423,241","248,089","1,480.00","1,485.00","1,455.00","1,460.00",-,45.0,"1,460.00","1,465.00",
18,3706,神達,"61,081,894","42,899",91.60,95.90,91.50,94.80,-,1.5,94.80,94.90,
19,1802,台玻,"58,959,013","24,042",27.80,29.30,27.40,29.00,+,0.55,29.00,29.05,
20,2409,友達,"56,868,217","15,059",11.55,12.00,11.40,11.80,+,0.15,11.80,11.85,
說明:,,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,,
