分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"23,029,671","535,376,406","12,201",0.15,
食品類指數          ,"15,124,222","1,005,610,962","20,396",-2.08,
塑膠類指數          ,"358,277,675","5,405,723,520","93,121",-1.32,
紡織纖維類指數      ,"25,320,987","1,080,944,791","16,602",4.23,
電機機械類指數      ,"160,322,195","30,361,337,056","188,957",0.42,
電器電纜類指數      ,"179,459,188","6,556,425,203","89,934",1.19,
化學生技醫療類指數  ,"53,436,185","5,630,487,883","55,192",-0.85,
化學類指數          ,"29,554,296","1,760,773,759","22,274",-1.18,
生技醫療類指數      ,"23,881,889","3,869,714,124","32,918",-0.44,
玻璃陶瓷類指數      ,"60,532,747","1,694,125,506","25,095",1.12,
造紙類指數          ,"4,426,130","75,872,024","2,994",-1.07,
鋼鐵類指數          ,"50,517,331","1,324,283,876","26,873",-0.12,
橡膠類指數          ,"13,812,382","382,321,706","9,052",1.99,
汽車類指數          ,"28,375,796","2,050,709,932","29,162",-1.08,
電子類指數          ,"2,491,925,524","466,597,415,732","2,051,454",-30.75,
半導體類指數        ,"1,057,570,730","215,517,303,624","845,804",-21.6,
電腦及週邊設備類指數,"317,965,762","62,591,198,642","259,521",-1.85,
光電類指數          ,"221,189,959","9,150,910,093","111,567",0.08,
通信網路類指數      ,"106,648,679","20,482,505,120","96,135",-3.51,
電子零組件類指數    ,"475,629,243","100,130,901,553","466,227",-4.36,
電子通路類指數      ,"73,846,100","6,949,462,678","54,421",4.7,
資訊服務類指數      ,"6,426,113","425,210,978","9,955",-1.84,
其他電子類指數      ,"232,648,938","51,349,923,044","207,824",1.69,
建材營造類指數      ,"85,964,683","1,985,542,210","50,243",0.73,
航運業類指數        ,"154,240,231","8,911,742,697","98,631",-1.01,
觀光餐旅類指數      ,"5,855,991","537,224,024","10,191",0.05,
金融保險類指數      ,"312,543,203","9,567,743,517","137,616",-6.01,
貿易百貨類指數      ,"9,112,487","700,557,836","7,591",3.0,
油電燃氣類指數      ,"7,001,083","314,049,995","6,437",0.66,
其他類指數          ,"69,309,206","6,859,777,278","58,525",-0.03,
綠能環保類指數      ,"9,921,706","1,701,566,715","17,288",0.71,
數位雲端類指數      ,"2,072,824","237,837,789","4,754",-0.3,
運動休閒類指數      ,"18,267,270","1,482,660,856","16,649",0.33,
居家生活類指數      ,"4,599,504","852,231,495","3,878",-0.51,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
