分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數
水泥類指數          ,"31,906,298","761,169,444","11,355",-0.73
食品類指數          ,"19,628,249","1,326,901,028","16,038",-1.89
塑膠類指數          ,"169,957,751","6,523,935,044","83,992",-6.88
紡織纖維類指數      ,"32,467,098","1,589,041,735","18,374",0.72
電機機械類指數      ,"110,693,704","20,063,754,611","121,248",-16.54
電器電纜類指數      ,"70,344,507","2,095,974,243","37,321",-3.12
化學生技醫療類指數  ,"69,938,770","5,999,505,087","65,798",-2.42
化學類指數          ,"38,788,141","1,980,860,117","29,975",-3.16
生技醫療類指數      ,"31,150,629","4,018,644,970","35,823",-1.3
玻璃陶瓷類指數      ,"129,434,235","4,111,615,700","55,921",-4.02
造紙類指數          ,"6,747,433","128,592,488","3,879",3.88
鋼鐵類指數          ,"60,874,027","1,875,296,731","32,454",-0.08
橡膠類指數          ,"18,634,911","480,367,107","9,151",-0.77
汽車類指數          ,"26,632,103","1,798,371,091","29,712",1.41
電子類指數          ,"2,402,456,654","426,349,431,980","2,204,801",-71.77
半導體類指數        ,"1,064,811,598","197,770,474,573","976,385",-40.25
電腦及週邊設備類指數,"290,399,080","53,688,898,490","247,583",-8.96
光電類指數          ,"218,074,475","9,776,638,719","116,398",-0.87
通信網路類指數      ,"83,430,699","20,138,248,267","74,707",-2.61
電子零組件類指數    ,"440,532,320","94,221,726,931","493,590",-19.05
電子通路類指數      ,"110,026,924","7,573,095,106","76,153",-5.26
資訊服務類指數      ,"4,908,523","320,466,214","6,027",-3.78
其他電子類指數      ,"190,273,035","42,859,883,680","213,958",-10.09
建材營造類指數      ,"60,027,152","1,544,111,489","40,507",-4.03
航運業類指數        ,"186,907,240","10,213,637,897","117,393",-2.95
觀光餐旅類指數      ,"3,723,770","389,408,281","6,361",-0.59
金融保險類指數      ,"547,629,132","19,995,075,691","179,915",-12.49
貿易百貨類指數      ,"16,892,669","1,271,104,433","10,527",-1.27
油電燃氣類指數      ,"13,826,635","726,017,886","15,785",-3.85
其他類指數          ,"37,173,925","2,983,132,457","30,759",-0.15
綠能環保類指數      ,"23,581,736","1,251,967,020","18,909",-1.48
數位雲端類指數      ,"1,514,430","242,626,645","3,667",-1.05
運動休閒類指數      ,"23,887,712","2,511,229,997","20,786",1.19
居家生活類指數      ,"2,293,634","271,535,864","2,374",0.17
說明:,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,
