日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數,Unnamed: 6
114/11/03,"8,299,689,369","581,496,914,983","3,801,445","28,334.59",101.24,
114/11/04,"8,404,740,088","604,283,395,876","3,961,004","28,116.56",-218.03,
114/11/05,"8,989,778,518","619,346,788,683","4,143,624","27,717.06",-399.5,
114/11/06,"7,863,001,986","514,272,235,406","3,191,145","27,899.45",182.39,
114/11/07,"7,878,592,276","486,727,226,387","3,660,081","27,651.41",-248.04,
114/11/10,"7,491,028,505","504,213,278,890","3,251,620","27,869.51",218.1,
114/11/11,"8,924,063,428","584,494,820,328","3,913,468","27,784.95",-84.56,
114/11/12,"8,954,069,218","576,091,990,790","3,816,761","27,947.09",162.14,
114/11/13,"10,538,486,898","670,849,997,374","4,546,661","27,903.56",-43.53,
說明:,,,,,,
當日統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,
不加計外幣交易證券交易金額。,,,,,,
