證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數.1,賣出股數.1,買賣超股數.1,買進股數.2,賣出股數.2,買賣超股數.2,Unnamed: 11
"=""00940 """,元大台灣價值高息,0,"140,000","-140,000","39,046,109","3,706,658","35,339,451","39,046,109","3,846,658","35,199,451",
"=""00981A""",主動統一台股增長,0,0,0,"30,659,563","4,871,332","25,788,231","30,659,563","4,871,332","25,788,231",
"=""00637L""",元大滬深300正2  ,"120,000",0,"120,000","28,438,214","6,297,106","22,141,108","28,558,214","6,297,106","22,261,108",
"=""00929 """,復華台灣科技優息,"90,000",0,"90,000","21,599,140","2,613,182","18,985,958","21,689,140","2,613,182","19,075,958",
"=""00882 """,中信中國高股息  ,0,0,0,"23,097,617","4,699,723","18,397,894","23,097,617","4,699,723","18,397,894",
"=""00919 """,群益台灣精選高息,0,0,0,"19,656,903","1,573,758","18,083,145","19,656,903","1,573,758","18,083,145",
"=""00878 """,國泰永續高股息  ,"100,000",0,"100,000","16,132,692","1,790,716","14,341,976","16,232,692","1,790,716","14,441,976",
"=""00918 """,大華優利高填息30,0,0,0,"13,930,317","587,072","13,343,245","13,930,317","587,072","13,343,245",
"=""00953B""",群益優選非投等債,0,0,0,"10,528,000","808,813","9,719,187","10,528,000","808,813","9,719,187",
"=""00939 """,統一台灣高息動能,0,0,0,"11,427,154","1,971,392","9,455,762","11,427,154","1,971,392","9,455,762",
2344  ,華邦電          ,"5,599,044","3,645,809","1,953,235","8,354,649","1,297,364","7,057,285","13,953,693","4,943,173","9,010,520",
"=""00927 """,群益半導體收益  ,0,0,0,"9,605,996","1,694,347","7,911,649","9,605,996","1,694,347","7,911,649",
"=""00891 """,中信關鍵半導體  ,0,0,0,"8,979,031","1,091,920","7,887,111","8,979,031","1,091,920","7,887,111",
"=""00941 """,中信上游半導體  ,0,0,0,"7,841,725","150,000","7,691,725","7,841,725","150,000","7,691,725",
6770  ,力積電          ,"5,695,422","1,511,422","4,184,000","5,504,100","2,340,954","3,163,146","11,199,522","3,852,376","7,347,146",
"=""009802""",富邦旗艦50      ,0,0,0,"11,949,131","4,787,494","7,161,637","11,949,131","4,787,494","7,161,637",
"=""051699""",臺股指富邦4C購01,0,0,0,"7,072,000","522,000","6,550,000","7,072,000","522,000","6,550,000",
"=""00985B""",群益ESG投等債0-5,0,0,0,"6,537,000","777,819","5,759,181","6,537,000","777,819","5,759,181",
2317  ,鴻海            ,"3,242,000","828,000","2,414,000","3,610,923","291,522","3,319,401","6,852,923","1,119,522","5,733,401",
"=""00961 """,FT臺灣永續高息  ,0,0,0,"6,795,748","1,146,000","5,649,748","6,795,748","1,146,000","5,649,748",
"=""03687B""",臺股指元大56熊15,0,0,0,"6,285,000","653,000","5,632,000","6,285,000","653,000","5,632,000",
"=""00646 """,元大S&P500      ,0,0,0,"5,580,000","207,463","5,372,537","5,580,000","207,463","5,372,537",
"=""00713 """,元大台灣高息低波,0,0,0,"5,286,508","289,000","4,997,508","5,286,508","289,000","4,997,508",
"=""00680L""",元大美債20正2   ,0,0,0,"7,883,774","3,168,341","4,715,433","7,883,774","3,168,341","4,715,433",
"=""00946 """,群益科技高息成長,0,0,0,"5,081,366","1,110,521","3,970,845","5,081,366","1,110,521","3,970,845",
"=""06458U""",台積電凱基55售18,0,0,0,"3,889,000","63,000","3,826,000","3,889,000","63,000","3,826,000",
"=""00663L""",國泰臺灣加權正2 ,0,0,0,"5,723,196","2,211,455","3,511,741","5,723,196","2,211,455","3,511,741",
"=""035454""",華泰統一57購01  ,0,0,0,"3,491,000",0,"3,491,000","3,491,000",0,"3,491,000",
"=""0056  """,元大高股息      ,0,0,0,"3,642,000","172,710","3,469,290","3,642,000","172,710","3,469,290",
"=""00915 """,凱基優選高股息30,0,0,0,"3,585,584","260,166","3,325,418","3,585,584","260,166","3,325,418",
"=""071725""",旺宏統一4C購03  ,0,0,0,"3,327,000","99,000","3,228,000","3,327,000","99,000","3,228,000",
"=""05319U""",臺股指群益52售23,0,0,0,"3,053,000",0,"3,053,000","3,053,000",0,"3,053,000",
"=""00965 """,元大航太防衛科技,"745,000",0,"745,000","5,846,000","3,541,052","2,304,948","6,591,000","3,541,052","3,049,948",
"=""00900 """,富邦特選高股息30,0,0,0,"7,023,642","4,124,887","2,898,755","7,023,642","4,124,887","2,898,755",
"=""009809""",富邦淨零ESG50   ,0,0,0,"4,098,000","1,203,111","2,894,889","4,098,000","1,203,111","2,894,889",
"=""081860""",保瑞永豐52購01  ,0,0,0,"3,479,000","771,000","2,708,000","3,479,000","771,000","2,708,000",
"=""03693B""",臺股指凱基53熊28,0,0,0,"3,005,000","483,000","2,522,000","3,005,000","483,000","2,522,000",
"=""037783""",聯鈞元大54購06  ,0,0,0,"3,111,000","593,000","2,518,000","3,111,000","593,000","2,518,000",
"=""00934 """,中信成長高股息  ,0,0,0,"2,891,842","381,045","2,510,797","2,891,842","381,045","2,510,797",
"=""05439U""",健策國票53售02  ,0,0,0,"2,547,000","63,000","2,484,000","2,547,000","63,000","2,484,000",
2408  ,南亞科          ,"2,999,500","1,307,500","1,692,000","1,220,514","455,332","765,182","4,220,014","1,762,832","2,457,182",
"=""068403""",力積電統一52購02,0,0,0,"2,370,000","84,000","2,286,000","2,370,000","84,000","2,286,000",
"=""04731U""",南電永豐51售09  ,0,0,0,"2,265,000","6,000","2,259,000","2,265,000","6,000","2,259,000",
"=""00923 """,群益台ESG低碳50 ,"40,000",0,"40,000","4,020,612","1,804,185","2,216,427","4,060,612","1,804,185","2,256,427",
"=""00885 """,富邦越南        ,"80,000",0,"80,000","2,838,515","684,000","2,154,515","2,918,515","684,000","2,234,515",
2449  ,京元電子        ,"1,206,731","281,759","924,972","1,448,426","161,159","1,287,267","2,655,157","442,918","2,212,239",
"=""00980A""",主動野村臺灣優選,0,0,0,"3,808,082","1,605,742","2,202,340","3,808,082","1,605,742","2,202,340",
"=""03688B""",臺股指凱基55熊16,0,0,0,"4,611,000","2,420,000","2,191,000","4,611,000","2,420,000","2,191,000",
"=""00985A""",主動野村台灣50  ,0,0,0,"3,541,377","1,369,332","2,172,045","3,541,377","1,369,332","2,172,045",
"=""086916""",中砂元大51購08  ,0,0,0,"2,166,000",0,"2,166,000","2,166,000",0,"2,166,000",
"=""086680""",勤誠統一54購02  ,0,0,0,"2,233,000","71,000","2,162,000","2,233,000","71,000","2,162,000",
"=""04674U""",臺股指元富51售23,0,0,0,"2,096,000",0,"2,096,000","2,096,000",0,"2,096,000",
"=""00951 """,台新日本半導體  ,0,0,0,"2,310,307","244,146","2,066,161","2,310,307","244,146","2,066,161",
"=""041129""",聯發科統一4B購02,0,0,0,"2,051,000",0,"2,051,000","2,051,000",0,"2,051,000",
"=""084243""",來億統一56購02  ,0,0,0,"2,058,000","26,000","2,032,000","2,058,000","26,000","2,032,000",
"=""03475U""",金像電國票51售02,0,0,0,"2,051,000","34,000","2,017,000","2,051,000","34,000","2,017,000",
2330  ,台積電          ,"2,017,500","1,066,000","951,500","1,271,446","219,586","1,051,860","3,288,946","1,285,586","2,003,360",
"=""03422U""",智邦國票51售02  ,0,0,0,"1,996,000",0,"1,996,000","1,996,000",0,"1,996,000",
"=""08970P""",T50正2中信51售04,0,0,0,"1,996,000",0,"1,996,000","1,996,000",0,"1,996,000",
"=""086136""",矽力凱基52購01  ,0,0,0,"1,930,000",0,"1,930,000","1,930,000",0,"1,930,000",
"=""00936 """,台新永續高息中小,0,0,0,"2,437,013","559,618","1,877,395","2,437,013","559,618","1,877,395",
"=""05107U""",台積電群益52售06,0,0,0,"1,812,000",0,"1,812,000","1,812,000",0,"1,812,000",
"=""037171""",同欣電元大54購02,0,0,0,"2,036,000","256,000","1,780,000","2,036,000","256,000","1,780,000",
3231  ,緯創            ,"738,000","158,846","579,154","1,457,067","256,489","1,200,578","2,195,067","415,335","1,779,732",
"=""04825U""",宏達電元富52售01,0,0,0,"2,103,000","358,000","1,745,000","2,103,000","358,000","1,745,000",
"=""087913""",中砂國票52購03  ,0,0,0,"1,857,000","133,000","1,724,000","1,857,000","133,000","1,724,000",
