日期,星期,名稱,說明,備註
2021/1/1 ,星期五,中華民國開國紀念日,依規定放假1日。,
2021/2/8 ,星期一,農曆春節前最後交易日,2月8日市場無交易，僅辦理結算交割作業。,*
2021/2/9 ,星期二,農曆春節前最後交易日,2月9日市場無交易，僅辦理結算交割作業。,*
2021/2/10 ,星期三,農曆除夕前一日,2月10日（星期三）調整放假，於2月20日（星期六）補行上班，但不交易亦不交割。,
2021/2/11 ,星期四,農曆除夕,依規定放假1日。,
2021/2/12 ,星期五,農曆春節,依規定放假1日。,
2021/2/13 ,星期六,農曆春節,依規定放假1日。,
2021/2/14 ,星期日,農曆春節,依規定放假1日。,
2021/2/15 ,星期一,農曆春節,2月13日及2月14日適逢星期六及日，2月15日（星期一）及2月16日（星期二）補假1日。,
2021/2/16 ,星期二,農曆春節,2月13日及2月14日適逢星期六及日，2月15日（星期一）及2月16日（星期二）補假1日。,
2021/2/28 ,星期日,和平紀念日,依規定放假1日。,
2021/3/1 ,星期一,和平紀念日,2月28日適逢星期日，3月1日（星期一）補假1日。,
2021/4/2 ,星期五,兒童節 民族掃墓節,因兒童節與民族掃墓節為同一日(4月4日)且適逢星期日，於前一日4月2日（星期五）放假1日，且4月5日（星期一）補假1日。,
2021/4/3 ,星期六,兒童節 民族掃墓節,依規定放假1日。,
2021/4/4 ,星期日,兒童節 民族掃墓節,兒童節 民族掃墓節依規定放假1日。,
2021/4/5 ,星期一,兒童節 民族掃墓節,因兒童節與民族掃墓節為同一日(4月4日)且適逢星期日，於前一日4月2日（星期五）放假1日，且4月5日（星期一）補假1日。,
2021/4/30 ,星期五,勞動節,5月1日適逢星期六，4月30日（星期五）補假1日。,
2021/5/1 ,星期六,勞動節,依規定放假1日。,
2021/6/14 ,星期一,端午節,依規定放假1日。,
2021/9/20 ,星期一,中秋節,9月20日（星期一）調整放假，於9月11日（星期六）補行上班，但不交易亦不交割。,
2021/9/21 ,星期二,中秋節,依規定放假1日。,
2021/10/10 ,星期日,國慶日,依規定放假1日。,
2021/10/11 ,星期一,國慶日,10月10日適逢星期日，10月11日（星期一）補假1日。,
2021/12/31 ,星期五,中華民國開國紀念日,111年1月1日適逢星期六，110年12月31日（星期五）補假1日。,
2022/1/1 ,星期六,中華民國開國紀念日,依規定放假1日。,
2022/1/27 ,星期四,農曆春節前最後交易日,1月27日市場無交易，僅辦理結算交割作業。,*
2022/1/28 ,星期五,農曆春節前最後交易日,1月28日市場無交易，僅辦理結算交割作業。,*
2022/1/31 ,星期一,農曆除夕,依規定放假1日。,
2022/2/1 ,星期二,農曆春節,依規定放假1日。,
2022/2/2 ,星期三,農曆春節,依規定放假1日。,
2022/2/3 ,星期四,農曆春節,依規定放假1日。,
2022/2/4 ,星期五,農曆春節,2月4日（星期五）調整放假，於1月22日（星期六）補行上班，但不交易亦不交割。,
2022/2/28 ,星期一,和平紀念日,依規定放假1日。,
2022/4/4 ,星期一,兒童節,依規定放假1日。,
2022/4/5 ,星期二,民族掃墓節,依規定放假1日。,
2022/5/1 ,星期日,勞動節,依規定放假1日。,
2022/5/2 ,星期一,勞動節,5月1日適逢星期日，5月2日（星期一）補假1日。,
2022/6/3 ,星期五,端午節,依規定放假1日。,
2022/9/9 ,星期五,中秋節,9月10日適逢星期六，9月9日（星期五）補假1日。,
2022/9/10 ,星期六,中秋節,依規定放假1日。,
2022/10/10 ,星期一,國慶日,依規定放假1日。,
2023/1/1 ,星期日,中華民國開國紀念日,依規定放假1日。<br>1月1日適逢星期日，於1月2日（星期一）補假1日。,
2023/1/2 ,星期一,中華民國開國紀念日,依規定放假1日。<br>1月1日適逢星期日，於1月2日（星期一）補假1日。,
2023/1/18 ,星期三,市場無交易，僅辦理結算交割作業,,*
2023/1/19 ,星期四,市場無交易，僅辦理結算交割作業,,*
2023/1/20 ,星期五,農曆除夕前一日,1月20日（星期五）調整放假，於1月7日（星期六）補行上班，但不交易亦不交割。,
2023/1/21 ,星期六,農曆除夕,依規定放假1日。,
2023/1/22 ,星期日,農曆春節,依規定於1月22日至1月24日放假3日。<br><br>1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/1/23 ,星期一,農曆春節,依規定於1月22日至1月24日放假3日。<br><br>1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/1/24 ,星期二,農曆春節,依規定於1月22日至1月24日放假3日。<br><br>1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/1/25 ,星期三,農曆春節,1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/1/26 ,星期四,農曆春節,1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/1/27 ,星期五,農曆春節,1月21日及1月22日適逢星期六及星期日，於1月25日（星期三）及1月26日（星期四）補假2日。<br>1月27日（星期五）調整放假，於2月4日（星期六）補行上班，但不交易亦不交割。,
2023/2/27 ,星期一,和平紀念日,2月27日（星期一）調整放假，於2月18日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>,
2023/2/28 ,星期二,和平紀念日,2月27日（星期一）調整放假，於2月18日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>,
2023/4/3 ,星期一,兒童節,4月3日（星期一）調整放假，於3月25日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。,
2023/4/4 ,星期二,兒童節,4月3日（星期一）調整放假，於3月25日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>,
2023/4/5 ,星期三,民族掃墓節,依規定放假1日。,
2023/5/1 ,星期一,勞動節,依規定放假1日。,
2023/6/22 ,星期四,端午節,依規定放假1日。<br>6月23日（星期五）調整放假，於6月17日（星期六）補行上班，但不交易亦不交割。<br>,
2023/6/23 ,星期五,端午節,依規定放假1日。<br>6月23日（星期五）調整放假，於6月17日（星期六）補行上班，但不交易亦不交割。<br>,
2023/9/29 ,星期五,中秋節,依規定放假1日。,
2023/10/9 ,星期一,國慶日,10月9日（星期一）調整放假，於9月23日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>,
2023/10/10 ,星期二,國慶日,10月9日（星期一）調整放假，於9月23日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。,
2024/1/1 ,星期一,中華民國開國紀念日,依規定放假1日。,
2024/2/6 ,星期二,市場無交易，僅辦理結算交割作業,,*
2024/2/7 ,星期三,市場無交易，僅辦理結算交割作業,,*
2024/2/8 ,星期四,農曆除夕前一日,2月8日（星期四）調整放假，於2月17日（星期六）補行上班，但不交易亦不交割。,
2024/2/9 ,星期五,農曆除夕,依規定放假1日。,
2024/2/10 ,星期六,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
