日期,名稱,說明,備註
1月1日 (六),中華民國開國紀念日,依規定放假1日。,
1月27日 (四),農曆春節前最後交易日,1月27日市場無交易，僅辦理結算交割作業。,*
1月28日 (五),農曆春節前最後交易日,1月28日市場無交易，僅辦理結算交割作業。,*
1月31日 (一),農曆除夕,依規定放假1日。,
2月1日 (二),農曆春節,依規定放假1日。,
2月2日 (三),農曆春節,依規定放假1日。,
2月3日 (四),農曆春節,依規定放假1日。,
2月4日 (五),農曆春節,2月4日（星期五）調整放假，於1月22日（星期六）補行上班，但不交易亦不交割。,
2月28日 (一),和平紀念日,依規定放假1日。,
4月4日 (一),兒童節,依規定放假1日。,
4月5日 (二),民族掃墓節,依規定放假1日。,
5月1日 (日),勞動節,依規定放假1日。,
5月2日 (一),勞動節,5月1日適逢星期日，5月2日（星期一）補假1日。,
6月3日 (五),端午節,依規定放假1日。,
9月9日 (五),中秋節,9月10日適逢星期六，9月9日（星期五）補假1日。,
9月10日 (六),中秋節,依規定放假1日。,
10月10日 (一),國慶日,依規定放假1日。,
