證券代號,證券名稱,買進股數,賣出股數,買賣超股數
2881  ,富邦金          ,"12,471,651","1,042,623","11,429,028"
2337  ,旺宏            ,"10,745,000",0,"10,745,000"
2449  ,京元電子        ,"7,808,000","131,278","7,676,722"
4958  ,臻鼎-KY         ,"5,742,000","186,194","5,555,806"
1303  ,南亞            ,"5,060,156","1,852,000","3,208,156"
2610  ,華航            ,"2,556,000","223,754","2,332,246"
2887  ,台新新光金      ,"4,130,521","2,528,009","1,602,512"
8021  ,尖點            ,"1,240,000",0,"1,240,000"
"=""0050  """,元大台灣50      ,"1,100,000","68,000","1,032,000"
2393  ,億光            ,"966,000","95,000","871,000"
3189  ,景碩            ,"846,000",0,"846,000"
2383  ,台光電          ,"753,221","33,043","720,178"
1319  ,東陽            ,"432,000","19,864","412,136"
3665  ,貿聯-KY         ,"357,300","4,086","353,214"
2801  ,彰銀            ,"499,000","151,458","347,542"
6472  ,保瑞            ,"353,000","62,000","291,000"
6781  ,AES-KY          ,"247,000",0,"247,000"
3005  ,神基            ,"365,000","129,000","236,000"
3653  ,健策            ,"227,000","4,000","223,000"
2368  ,金像電          ,"221,000","2,101","218,899"
2408  ,南亞科          ,"1,024,000","857,013","166,987"
1522  ,堤維西          ,"162,000",0,"162,000"
3481  ,群創            ,"163,000","8,504","154,496"
6176  ,瑞儀            ,"205,000","58,000","147,000"
2327  ,國巨*           ,"853,679","714,118","139,561"
2402  ,毅嘉            ,"136,000",0,"136,000"
6269  ,台郡            ,"135,000",0,"135,000"
3033  ,威健            ,"135,000","3,000","132,000"
8016  ,矽創            ,"138,000","6,000","132,000"
2409  ,友達            ,"131,000","1,069","129,931"
6442  ,光聖            ,"117,500",0,"117,500"
2731  ,雄獅            ,"109,000",0,"109,000"
3167  ,大量            ,"106,000",0,"106,000"
3694  ,海華            ,"106,000",0,"106,000"
3706  ,神達            ,"117,000","16,000","101,000"
"=""006208""",富邦台50        ,"128,000","34,000","94,000"
2404  ,漢唐            ,"92,000","7,000","85,000"
6770  ,力積電          ,"72,000",0,"72,000"
3443  ,創意            ,"78,000","7,125","70,875"
2316  ,楠梓電          ,"68,000",0,"68,000"
2439  ,美律            ,"71,000","3,000","68,000"
3661  ,世芯-KY         ,"78,035","21,000","57,035"
6278  ,台表科          ,"92,000","35,000","57,000"
4763  ,材料*-KY        ,"87,000","32,000","55,000"
6213  ,聯茂            ,"49,000",0,"49,000"
2542  ,興富發          ,"72,000","34,000","38,000"
3515  ,華擎            ,"36,000",0,"36,000"
5234  ,達興材料        ,"30,000",0,"30,000"
2211  ,長榮鋼          ,"31,000","5,000","26,000"
2352  ,佳世達          ,"26,000",0,"26,000"
1476  ,儒鴻            ,"30,000","5,806","24,194"
2313  ,華通            ,"22,000",0,"22,000"
2354  ,鴻準            ,"22,000",0,"22,000"
2360  ,致茂            ,"69,000","47,158","21,842"
6757  ,台灣虎航        ,"21,000",0,"21,000"
1722  ,台肥            ,"18,000",0,"18,000"
6196  ,帆宣            ,"39,000","22,000","17,000"
6669  ,緯穎            ,"28,045","13,515","14,530"
2451  ,創見            ,"20,000","6,000","14,000"
1477  ,聚陽            ,"55,000","41,344","13,656"
8210  ,勤誠            ,"14,000","1,000","13,000"
9802  ,鈺齊-KY         ,"12,000",0,"12,000"
6191  ,精成科          ,"7,000",0,"7,000"
3030  ,德律            ,"62,000","56,000","6,000"
2455  ,全新            ,"13,000","8,000","5,000"
6271  ,同欣電          ,"5,000",0,"5,000"
6691  ,洋基工程        ,"3,000","1,000","2,000"
3596  ,智易            ,"1,000",0,"1,000"
6919  ,康霈*           ,435,72,363
3231  ,緯創            ,"82,323","12,414,688","-12,332,365"
2615  ,萬海            ,"2,616","9,937,578","-9,934,962"
2891  ,中信金          ,"1,123,725","10,217,416","-9,093,691"
2324  ,仁寶            ,"94,000","7,201,672","-7,107,672"
2882  ,國泰金          ,"10,096","6,972,508","-6,962,412"
1504  ,東元            ,0,"5,646,743","-5,646,743"
2885  ,元大金          ,"4,767","5,577,919","-5,573,152"
3711  ,日月光投控      ,"609,435","5,521,386","-4,911,951"
2344  ,華邦電          ,"69,000","4,909,000","-4,840,000"
3702  ,大聯大          ,"567,000","5,393,000","-4,826,000"
2301  ,光寶科          ,"43,850","4,701,919","-4,658,069"
2377  ,微星            ,"15,000","4,397,000","-4,382,000"
2382  ,廣達            ,"61,154","3,856,598","-3,795,444"
2886  ,兆豐金          ,"123,167","3,206,514","-3,083,347"
2303  ,聯電            ,"273,099","3,241,333","-2,968,234"
2356  ,英業達          ,"57,000","3,004,388","-2,947,388"
2884  ,玉山金          ,"155,715","2,854,648","-2,698,933"
2330  ,台積電          ,"696,128","3,162,663","-2,466,535"
4904  ,遠傳            ,776,"2,283,200","-2,282,424"
2892  ,第一金          ,"4,747","2,098,468","-2,093,721"
6239  ,力成            ,"42,000","1,886,000","-1,844,000"
1605  ,華新            ,0,"1,571,000","-1,571,000"
2883  ,凱基金          ,"470,900","1,828,031","-1,357,131"
5880  ,合庫金          ,"4,578","1,247,495","-1,242,917"
2002  ,中鋼            ,"4,951","1,137,000","-1,132,049"
2412  ,中華電          ,"1,670","1,078,795","-1,077,125"
2880  ,華南金          ,"184,070","1,165,000","-980,930"
8046  ,南電            ,"4,000","917,000","-913,000"
5876  ,上海商銀        ,"1,664","668,974","-667,310"
3044  ,健鼎            ,"259,000","879,000","-620,000"
2379  ,瑞昱            ,"75,213","606,031","-530,818"
1216  ,統一            ,"59,154","587,000","-527,846"
3045  ,台灣大          ,"1,618","505,074","-503,456"
2481  ,強茂            ,"319,000","773,000","-454,000"
3017  ,奇鋐            ,"30,142","477,000","-446,858"
3036  ,文曄            ,"91,000","534,000","-443,000"
"=""00965 """,元大航太防衛科技,0,"440,000","-440,000"
1301  ,台塑            ,"1,836","420,000","-418,164"
2618  ,長榮航          ,"5,000","407,383","-402,383"
2317  ,鴻海            ,"1,078,336","1,464,569","-386,233"
2376  ,技嘉            ,"12,000","392,384","-380,384"
8028  ,昇陽半導體      ,0,"375,000","-375,000"
3450  ,聯鈞            ,0,"365,000","-365,000"
8112  ,至上            ,0,"312,000","-312,000"
2915  ,潤泰全          ,0,"310,000","-310,000"
4915  ,致伸            ,0,"302,000","-302,000"
2504  ,國產            ,0,"300,000","-300,000"
2347  ,聯強            ,"27,000","316,000","-289,000"
2308  ,台達電          ,"20,845","293,767","-272,922"
3090  ,日電貿          ,0,"271,000","-271,000"
2105  ,正新            ,0,"260,569","-260,569"
2474  ,可成            ,"303,000","557,000","-254,000"
2609  ,陽明            ,"3,767","243,070","-239,303"
4938  ,和碩            ,"43,842","275,000","-231,158"
8131  ,福懋科          ,0,"219,000","-219,000"
2385  ,群光            ,"37,000","225,628","-188,628"
5388  ,中磊            ,0,"182,000","-182,000"
6005  ,群益證          ,0,"179,564","-179,564"
3010  ,華立            ,0,"178,000","-178,000"
1402  ,遠東新          ,0,"172,686","-172,686"
3034  ,聯詠            ,"13,252","180,129","-166,877"
5871  ,中租-KY         ,"35,652","200,000","-164,348"
3037  ,欣興            ,"39,000","201,000","-162,000"
2392  ,正崴            ,0,"157,000","-157,000"
"=""00646 """,元大S&P500      ,0,"155,000","-155,000"
2059  ,川湖            ,"3,025","151,144","-148,119"
2890  ,永豐金          ,"1,459,213","1,591,223","-132,010"
2834  ,臺企銀          ,0,"121,838","-121,838"
2357  ,華碩            ,"43,299","163,926","-120,627"
2006  ,東和鋼鐵        ,0,"120,000","-120,000"
2603  ,長榮            ,"1,475","121,203","-119,728"
6505  ,台塑化          ,521,"119,000","-118,479"
4551  ,智伸科          ,"30,000","148,000","-118,000"
6805  ,富世達          ,"70,000","185,000","-115,000"
